expiry_date,expiry_ts,symbol,pre_start,delivery_start,confirmation_end,outcome_end,pre_move,factor_move,cross_market_residual,residual_share,pre_quote_volume,pre_taker_pressure,pre_oi_change,delivery_return,delivery_taker_pressure,confirmation_return,confirmation_taker_pressure,confirmation_oi_change,entry_ts,entry_price,equilibrium_target,combined_high,combined_low,pre_return_z,residual_z,pre_volume_z,pre_oi_change_z,confirmation_oi_change_z
2024-06-01,2024-06-01 08:00:00+00:00,BTCUSDT,2024-06-01 04:00:00+00:00,2024-06-01 07:30:00+00:00,2024-06-01 08:15:00+00:00,2024-06-01 12:15:00+00:00,-0.0010647733120266636,-0.0010502096906439657,-1.456362138269789e-05,0.013677673189402021,552542253.7723,0.022719800161877416,0.010197701060358184,0.00024977461166697523,0.27577880086182405,-5.910357606331296e-06,0.0033798329833093915,0.0004968378779739525,2024-06-01 08:15:00+00:00,67677.4,67723.08555506737,67808.3,67608.6,,,,,
2024-06-01,2024-06-01 08:00:00+00:00,ETHUSDT,2024-06-01 04:00:00+00:00,2024-06-01 07:30:00+00:00,2024-06-01 08:15:00+00:00,2024-06-01 12:15:00+00:00,-0.0014292106574604836,-0.0010502096906439657,-0.0003790009668165179,0.265182018366664,656206214.67466,-0.0028493054256838886,0.011357923735286792,-0.002973431884379374,-0.18750732796456007,0.000818410799844127,0.10878963182782143,-0.0001218024264220894,2024-06-01 08:15:00+00:00,3778.7,3786.8007425590417,3786.87,3772.04,,,,,
2024-06-02,2024-06-02 08:00:00+00:00,BTCUSDT,2024-06-02 04:00:00+00:00,2024-06-02 07:30:00+00:00,2024-06-02 08:15:00+00:00,2024-06-02 12:15:00+00:00,-0.0012244688737148748,-0.004429439853500094,0.003204970979785219,2.6174376895851714,336452100.6065,-0.09770807166559536,0.0009506446717178425,-0.00045592772438940443,-0.05027856874459513,0.000774987821619888,0.26449075647333214,0.0011104306111749658,2024-06-02 08:15:00+00:00,67795.5,67816.65562390987,67805.8,67696.9,,,,,
2024-06-02,2024-06-02 08:00:00+00:00,ETHUSDT,2024-06-02 04:00:00+00:00,2024-06-02 07:30:00+00:00,2024-06-02 08:15:00+00:00,2024-06-02 12:15:00+00:00,-0.0036480216361103736,-0.004429439853500094,0.0007814182173897202,0.21420328477626327,709215830.47654,-0.03562386280997677,-0.0012264301776655669,-0.0028533968822828104,-0.2799485089768222,0.0007588672851785994,-0.0014920505495487693,0.0019419667236065005,2024-06-02 08:15:00+00:00,3798.01,3809.564136017116,3806.0,3784.95,,,,,
2024-06-03,2024-06-03 08:00:00+00:00,BTCUSDT,2024-06-03 04:00:00+00:00,2024-06-03 07:30:00+00:00,2024-06-03 08:15:00+00:00,2024-06-03 12:15:00+00:00,0.0074826131698424656,0.00788271521773673,-0.00040010204789426435,0.05347089830953908,2453138856.2061,0.06622802262810454,0.027624604791508224,0.0003162715931526172,-0.08137041993881454,0.0018549673676575562,0.056210662970174324,0.005619505117372433,2024-06-03 08:15:00+00:00,69077.9,68939.94798617592,69091.0,68845.2,,,,,
2024-06-03,2024-06-03 08:00:00+00:00,ETHUSDT,2024-06-03 04:00:00+00:00,2024-06-03 07:30:00+00:00,2024-06-03 08:15:00+00:00,2024-06-03 12:15:00+00:00,0.004686368802076845,0.00788271521773673,-0.003196346415659885,0.6820518296049106,1126860058.9553502,-0.030913617726129994,0.018101683254043575,0.0005081127800838914,-0.06191919454104867,0.0009973821989528453,0.15843996306279845,-0.0005758284755132918,2024-06-03 08:15:00+00:00,3823.81,3824.1445929334186,3826.53,3815.0,,,,,
2024-06-04,2024-06-04 08:00:00+00:00,BTCUSDT,2024-06-04 04:00:00+00:00,2024-06-04 07:30:00+00:00,2024-06-04 08:15:00+00:00,2024-06-04 12:15:00+00:00,-0.0020889126014348234,-0.00219564637179901,0.00010673377036418642,0.05109537387580197,1286782001.8716002,-0.03240831781649463,-0.0037660160442688525,0.00021147130435772432,-0.05799820495009908,0.0013800673669819297,0.22520838656478617,6.516336686578635e-05,2024-06-04 08:15:00+00:00,69149.9,69043.38899481954,69246.7,68911.2,,,,,
2024-06-04,2024-06-04 08:00:00+00:00,ETHUSDT,2024-06-04 04:00:00+00:00,2024-06-04 07:30:00+00:00,2024-06-04 08:15:00+00:00,2024-06-04 12:15:00+00:00,0.0004581404081843842,-0.00219564637179901,0.002653786779983394,5.792518478124167,600468942.90523,-0.02671005322888333,0.001121074430674623,0.0010840438812482756,0.039606785895906986,0.00034683611331742803,0.06778363799768904,-0.00046176713983345387,2024-06-04 08:15:00+00:00,3778.31,3769.094446889412,3785.5,3766.61,,,,,
2024-06-05,2024-06-05 08:00:00+00:00,BTCUSDT,2024-06-05 04:00:00+00:00,2024-06-05 07:30:00+00:00,2024-06-05 08:15:00+00:00,2024-06-05 12:15:00+00:00,0.0035166422743851604,0.0022501650134313387,0.0012664772609538217,0.3601382120037356,2073565012.1359,-0.01817190090813048,0.01645258189834359,0.0018534065133599675,-0.037370129564488264,-0.001980517657627412,-0.24525097081956745,-0.0014673580567838098,2024-06-05 08:15:00+00:00,71102.9,71134.38565294746,71430.0,71071.3,,,,,
2024-06-05,2024-06-05 08:00:00+00:00,ETHUSDT,2024-06-05 04:00:00+00:00,2024-06-05 07:30:00+00:00,2024-06-05 08:15:00+00:00,2024-06-05 12:15:00+00:00,-0.0004354463918887178,0.0022501650134313387,-0.0026856114053200562,6.167490316480538,1362940260.61138,-0.03635713728712658,-0.02371599490301837,-0.0018959877860676988,-0.09115746262629701,-0.0017552789555433934,-0.1797122744049376,-0.0015343487649029622,2024-06-05 08:15:00+00:00,3804.67,3800.1625564743763,3820.99,3801.29,,,,,
