client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20250218-014500-001-000-11,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-6354ffbc1673ddfb-15614,STOP_MARKET,SELL,7.852,GTC,True,False,7.852,TAKER,95875.8,0.0,['639.89426436 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250218-014500-001-000-4,['O-20250218-014500-001-000-12'],O-20250218-014500-001-000-10,,,,"['v155-informed-inventory-1739843100000000000', 'auction-rotation-invalidation']",5b19b24c-459e-4d0b-975f-326193226ae9,1739843100000000000,1739855820000000000,95875.8,DEFAULT,,,,,
O-20250218-014500-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,LIMIT,SELL,7.852,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250218-014500-001-000-4,['O-20250218-014500-001-000-11'],O-20250218-014500-001-000-10,,,,"['v155-informed-inventory-1739843100000000000', 'opposite-auction-liquidity']",c4295246-74de-4292-8333-2015d45bbf30,1739843100000000000,1739855820000000000,,,,,96431.9,True,
O-20250218-183500-001-000-13,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-803cd9bf2ae79e10-18475,MARKET,SELL,4.724,GTC,False,False,4.724,TAKER,93924.0,0.0,['377.14242960 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250218-183500-001-000-5,"['O-20250218-183500-001-000-14', 'O-20250218-183500-001-000-15']",,,,,"['v155-informed-inventory-1739903700000000000', 'candidate-02-v53']",c8090fae-0f67-44fd-90ec-f915f59b16e5,1739903700000000000,1739903700000000000,,,,,,,
O-20250218-183500-001-000-14,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,STOP_MARKET,BUY,4.724,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250218-183500-001-000-5,['O-20250218-183500-001-000-15'],O-20250218-183500-001-000-13,,,,"['v155-informed-inventory-1739903700000000000', 'auction-rotation-invalidation']",ae3850e6-460d-4e42-a962-b963a47ab230,1739903700000000000,1739905740000000000,94333.7,DEFAULT,,,,,
O-20250218-183500-001-000-15,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-a37a08366575d674-18608,LIMIT,BUY,4.724,GTC,True,False,4.724,MAKER,93405.3,0.0,['132.37399116 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250218-183500-001-000-5,['O-20250218-183500-001-000-14'],O-20250218-183500-001-000-13,,,,"['v155-informed-inventory-1739903700000000000', 'opposite-auction-liquidity']",cc25459d-dfb5-4752-863a-27fb40eab16d,1739903700000000000,1739905740000000000,,,,,93405.3,True,
O-20250218-191000-001-000-16,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-016,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-e52cecb9bf59d546-18614,MARKET,SELL,4.282,GTC,False,False,4.282,TAKER,93551.5,0.0,['340.49939455 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250218-191000-001-000-6,"['O-20250218-191000-001-000-17', 'O-20250218-191000-001-000-18']",,,,,"['v155-informed-inventory-1739905800000000000', 'candidate-02-v53']",65084cac-63a1-46dd-afac-a682b8a90b92,1739905800000000000,1739905800000000000,,,,,,,
O-20250218-191000-001-000-17,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-017,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-03202bf28b6c4691-18755,STOP_MARKET,BUY,4.282,GTC,True,False,4.282,TAKER,94033.3,0.0,['342.25300201 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250218-191000-001-000-6,['O-20250218-191000-001-000-18'],O-20250218-191000-001-000-16,,,,"['v155-informed-inventory-1739905800000000000', 'auction-rotation-invalidation']",b5a942f2-f2cf-4d76-b0e1-7e80a34b26d6,1739905800000000000,1739908020000000000,94033.3,DEFAULT,,,,,
O-20250218-191000-001-000-18,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-018,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,,LIMIT,BUY,4.282,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250218-191000-001-000-6,['O-20250218-191000-001-000-17'],O-20250218-191000-001-000-16,,,,"['v155-informed-inventory-1739905800000000000', 'opposite-auction-liquidity']",c37f0a06-f268-4af7-b386-aa053832793c,1739905800000000000,1739908020000000000,,,,,92979.5,True,
O-20250219-045500-001-000-19,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-019,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-1607411d9c39a7a5-20701,MARKET,SELL,6.356,GTC,False,False,6.356,TAKER,95327.6,0.0,['515.01689176 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250219-045500-001-000-7,"['O-20250219-045500-001-000-20', 'O-20250219-045500-001-000-21']",,,,,"['v155-informed-inventory-1739940900000000000', 'candidate-02-v53']",a2aaa8cb-70df-48cb-b32c-fa245f50ce2e,1739940900000000000,1739940900000000000,,,,,,,
O-20250219-045500-001-000-20,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-020,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-f7a4f2bd215fa881-21104,STOP_MARKET,BUY,6.356,GTC,True,False,6.356,TAKER,95587.5,0.0,['516.42102750 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250219-045500-001-000-7,['O-20250219-045500-001-000-21'],O-20250219-045500-001-000-19,,,,"['v155-informed-inventory-1739940900000000000', 'auction-rotation-invalidation']",4fdde007-f749-4862-ba74-fa784fd5d855,1739940900000000000,1739947980000000000,95587.5,DEFAULT,,,,,
