run_id,variant,segment,start_ns,end_ns,calendar_days,starting_nav,ending_nav,total_return,daily_geometric_return,trades,wins,losses,win_rate,profit_factor,expectancy_r,max_drawdown,maximum_consecutive_losses,largest_profit_share,reversal_trades,continuation_trades,rejected_orders,time_exits,missing_feature_bars,open_position_at_stop,native_account_final,native_expected_final,accounting_error,implementation_status
baseline:week-a,baseline,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,91460.4997957,-0.08539500204299999,-0.012670897152241345,8,2,6,0.25,0.5202150574996265,-0.351005549837913,0.10630264529285671,3,0.5765877385081327,8,0,0,0,0,False,97823.38773746,97823.38773746,0.0,OK
baseline:week-b,baseline,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,97646.58823395,-0.023534117660500065,-0.0033964287561437656,2,1,1,0.5,0.22067883483219303,-0.38890605773783615,0.02999831520741747,1,1.0,2,0,0,1,0,False,98638.47636815,98638.47636815,0.0,OK
baseline:week-c,baseline,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,98668.77943802498,-0.013312205619750217,-0.0019126838185506978,9,3,6,0.3333333333333333,0.927228892924874,-0.01848717722975208,0.08733135517757651,3,0.5282914548815629,9,0,0,1,0,False,106572.93264613,106572.93264613,0.0,OK
no-5m:week-a,no-5m,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,98006.208786825,-0.019937912131750002,-0.0028729158784918107,18,7,11,0.3888888888888889,0.9404583872054787,-0.006612706344547737,0.11068915772450161,3,0.36282409241414526,18,0,0,3,0,False,111776.46834282001,111776.46834282001,0.0,OK
no-5m:week-b,no-5m,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,96436.12299075,-0.03563877009250005,-0.005170775952230144,3,1,2,0.3333333333333333,0.15753323780224823,-0.3970159982414543,0.0420228349220616,2,1.0,3,0,0,2,0,False,97969.59962178,97969.59962178,0.0,OK
no-5m:week-c,no-5m,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,76727.62920617497,-0.23272370793825026,-0.03713690793714719,11,1,10,0.09090909090909091,0.1369400182719195,-0.786462955302662,0.23272370793825026,7,1.0,11,0,0,0,0,False,85473.61959854,85473.61959854,0.0,OK
with-240m:week-a,with-240m,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,88716.78644105,-0.1128321355895,-0.01695758307244133,9,2,7,0.2222222222222222,0.44757346002568654,-0.42312511844057255,0.1331125727763346,3,0.5839982708763025,9,0,0,0,0,False,95334.12126354,95334.12126354,0.0,OK
with-240m:week-b,with-240m,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,97646.58823395,-0.023534117660500065,-0.0033964287561437656,2,1,1,0.5,0.22067883483219303,-0.38890605773783615,0.02999831520741747,1,1.0,2,0,0,1,0,False,98638.47636815,98638.47636815,0.0,OK
with-240m:week-c,with-240m,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,98668.77943802498,-0.013312205619750217,-0.0019126838185506978,9,3,6,0.3333333333333333,0.927228892924874,-0.01848717722975208,0.08733135517757651,3,0.5282914548815629,9,0,0,1,0,False,106572.93264613,106572.93264613,0.0,OK
midpoint-target:week-a,midpoint-target,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
midpoint-target:week-b,midpoint-target,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
midpoint-target:week-c,midpoint-target,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,106723.7450595,0.06723745059499997,0.009339556555862272,1,1,0,1.0,inf,2.2415749057843466,0.0,0,1.0,1,0,0,0,0,False,107127.18224014,107127.18224014,0.0,OK
