scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,forced_exit_reason,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
HSP-1708979280000000000-000001,HSP,HSP,LONG,LONG,1708979400000000000,2024-02-26,20,1708979460000000000,54423.0,54383.0,54311.9,54991.8,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,54338.2,93.25500000000102,20.35,100000.0,3000.0,147.41703356249795,3.6090648898754547,0.0007,,False,True,54383.100000000006,1708979460000000000,1230,TIMEOUT,61,54716.9,54321.0,333.79999999999563,62.10000000000582,4.688202247190662,0.8721910112359833,3.5794327381908957,0.6659160366736919,1.602560398149912,1.7449136899837434,1.70898018e+18,1.7089803e+18,54673.8,1708983060000000000,2024-02-26,21,60.0,4362.2294595,0.005345410614694584,1.4540764865000002,TIMEOUT
HSP-1709013660000000000-000009,HSP,HSP,LONG,LONG,1709013720000000000,2024-02-27,6,1709013780000000000,56212.2,56210.4,56089.8,57780.0,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,56111.1,56.19499999999971,15.698,104362.2294595,3130.866883785,199.43408156250388,7.469168300269414,0.0007,,False,True,56210.5,1709013780000000000,1802,TIMEOUT,61,56497.0,56173.0,286.5,37.5,2.3736536868269007,0.3106876553438352,5.098318355725625,0.6673191565085896,1.0109044974683108,1.039966430888083,1.709016e+18,1.7090163e+18,56355.9,1709017380000000000,2024-02-27,7,60.0,1045.54205696,0.0025867053308545815,0.333946506117824,TIMEOUT
HSP-1709017800000000000-000010,HSP,HSP,LONG,LONG,1709017980000000000,2024-02-27,7,1709018040000000000,56252.9,56253.1,56162.700000000004,56465.0,PRIOR_FAST_BUYSIDE_LIQUIDITY,56183.7,47.54500000000007,18.676,105407.77151646,3162.2331454938,169.3150015624995,0.7843211102058301,0.0007,,False,True,56253.2,1709018040000000000,1873,,5,56272.5,56146.2,19.30000000000291,107.0,0.2132596685083366,1.1823204419890454,0.4059312230519062,2.2504995267641146,-0.4669072986472323,-0.35240817086117293,,,56162.6,1709018280000000000,2024-02-27,7,4.0,-3161.67983656,-0.0016105750428419814,-0.9998250258888759,STOP
HSP-1709116080000000000-000021,HSP,HSP,LONG,LONG,1709116260000000000,2024-02-28,10,1709116320000000000,59231.4,59179.1,59155.6,59566.200000000004,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,59186.1,55.8799999999992,28.798,102246.0916799,3067.3827503969997,106.51305487500204,2.8520287053685234,0.0007,,False,True,59179.2,1709116320000000000,3511,TIMEOUT,61,59546.8,59164.6,367.6000000000058,14.599999999998545,15.576271186441884,0.6186440677965866,6.578382247673785,0.2612741589119319,2.462676526439274,2.669079394386306,1.70911668e+18,1.70911812e+18,59398.1,1709119920000000000,2024-02-28,11,60.0,3913.52984022,0.003698934760861949,1.2758531160525979,TIMEOUT
