scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
AIMD-1709195820000000000-000015,AIMD,AIMD,SHORT,SHORT,1709195880000000000,2024-02-29,8,1709195880000000000,62676.4,62676.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-083800-001-000-1,62868.700000000004,62380.0,MIGRATION_AUCTION_LOW,62858.6,126.72999999999993,10.698,100000.0,3000.0,280.41999688000055,0.7441000011468264,0.0007,,False,True,(),False,62676.3,1709195880000000000,4837,14,62593.3,62877.6,83.0,201.29999999999563,0.4313929313929281,1.0462577962577657,0.6549356900497123,1.5884163181566775,-0.05704475493180996,-0.017433564133773328,,,62868.8,1709196660000000000,2024-02-29,8,13.0,-2999.52203586,-0.0030713363743552187,-0.99984067862,STOP
AIMD-1709422440000000000-000022,AIMD,AIMD,LONG,LONG,1709422620000000000,2024-03-02,23,1709422620000000000,62076.0,62076.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240302-233700-001-000-4,61918.0,62387.7,MIGRATED_VALUE_EXTENSION,62016.8,29.11499999999978,11.876,97000.47796414,2910.0143389242,245.02497955999723,0.9157246351082999,0.0007,,False,True,(),False,62076.1,1709422620000000000,8616,38,62120.0,61908.0,43.900000000001455,168.09999999999854,0.2776723592662989,1.0632511068943713,1.5078138416624347,5.7736561909668485,-0.17646066159312299,-0.17646066159312299,,,61917.9,1709424840000000000,2024-03-03,0,37.0,-2909.5701208,-0.002548484843603208,-0.9998473484758278,STOP
