episode_id,symbol,side,family,source_id,source_kind,source_side,source_price,source_lower,source_upper,source_timeframe_minutes,source_semantic_weight,source_strength_ratio,source_defense_count,source_accumulated,line_slope_atr_per_hour,interaction_index,interaction_time_ns,confirmation_index,confirmation_time_ns,departure_index,departure_time_ns,touch_index,touch_time_ns,response_index,response_time_ns,location_kind,zone_lower,zone_upper,event_extreme,event_strength,event_outside_close_ratio,event_outside_volume_ratio,event_path_efficiency,event_activity_ratio,event_flow_signed,event_volume_clock,response_kind,response_strength,response_flow_signed,response_activity_ratio,response_body_atr,response_delay_minutes,target_level_id,target_kind,target_structure_price,target_timeframe_minutes,target_semantic_weight,route_clarity,route_barrier_count,route_strongest_barrier_ratio,route_volume_congestion,structure_multiscale_trend_vote,arbitration_score,outcome,entry_index,entry_time_ns,resolution_index,resolution_time_ns,entry,stop,stop_fill,target,gross_rr,target_net_r,net_r,holding_minutes,mfe_r,mae_r,account_skip_reason
CLR:ETHUSDT:1755477000000000000:e36aebbd800baae4,ETHUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,ETHUSDT:ACTIVE_POOL:LOW:1755462600000000000:0240dd99b8b76e24,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4443.38,4442.3012,4444.4588,15,16.529292797127635,1.9056248995038854,3,True,0.0,50429,1755477000000000000,50431,1755477120000000000,50431,1755477120000000000,50433,1755477240000000000,50437,1755477480000000000,DIRECTIONAL_FVG,4448.22,4450.06,4435.0,4.4847843906368166,0.6666666666666666,0.5395511249167341,1.0,5.521520795543374,0.34765083125668095,16.564562386630122,ADVERSE_FLOW_ABSORBED,1.5592547458516488,-0.18345312530609628,2.1993722777561033,0.826130653266281,4.0,ETHUSDT:ACTIVE_POOL:LOW:1755475200000000000:14a7c9c8bdbdbaa8,ACCUMULATED_EQUAL_HIGH_LOW_POOL,4417.17,240,264.59167481073854,1.0,0,0.0,0.6095430731506936,0.0,10.750815213941685,STOP_FIRST,50438,1755477540000000000,50441,1755477720000000000,4442.969999999999,4453.883575,4453.903575,4417.18,2.36311199583985,1.4747797175940556,-1.0,3.0,0.12547123397523693,-0.8386419265705408,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:SOLUSDT:1755485460000000000:60489dce8c539c92,SOLUSDT,LONG,FAILED_AUCTION_REVERSAL,SOLUSDT:ACTIVE_POOL:LOW:1755485100000000000:767af33491109e26,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,183.7,183.6631,183.8067,5,4.68618764873006,1.3188419465486914,2,True,0.0,50570,1755485460000000000,50572,1755485580000000000,50572,1755485580000000000,50573,1755485640000000000,50575,1755485760000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,183.6631,183.8067,183.3,5.216216216216264,0.3333333333333333,0.29046705073936846,1.0,3.182416056935548,-0.16594678944306543,9.547248170806645,ADVERSE_FLOW_ABSORBED,1.2480031755878116,-0.07511813764172416,1.3926581754118557,0.7837837837838596,2.0,SOLUSDT:ACTIVE_POOL:HIGH:1755481500000000000:72dd82c43b586014,ACCUMULATED_EQUAL_HIGH_LOW_POOL,190.37,15,12.591940246488525,0.9147325046064532,1,0.13144697174485734,0.6807739063329732,-0.3333333333333333,10.095701222912107,STOP_FIRST,50576,1755485820000000000,50613,1755488040000000000,183.96200000000002,183.28705000000002,183.28505,190.369,9.492555004074413,7.293909256620399,-1.0,37.0,0.5903040068540086,-2.00099114134379,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:BTCUSDT:1755485460000000000:40a24ae5b7970db7,BTCUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:ACTIVE_POOL:LOW:1755485100000000000:ea75e842f1a1a021,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,115555.2,115501.26,115638.011,240,175.12535897135552,2.786358281635444,7,True,0.0,50570,1755485460000000000,50571,1755485520000000000,50571,1755485520000000000,50578,1755485940000000000,50579,1755486000000000000,DIRECTIONAL_FVG,115469.0,115516.8,115241.1,6.008000000000029,1.0,1.0,1.0,9.914330002756286,0.33390728843670187,19.82866000551257,ADVERSE_FLOW_ABSORBED,0.8065901771720003,-0.10897518038788273,1.4500134665683742,0.3232523549825423,1.0,BTCUSDT:ACTIVE_POOL:LOW:1754562600000000000:911a284c09b1a787,ACCUMULATED_EQUAL_HIGH_LOW_POOL,114794.9,15,22.2329938107761,1.0,0,0.0,0.8710274172452447,-0.3333333333333333,13.672856171113166,STOP_FIRST,50580,1755486060000000000,50760,1755496860000000000,115394.6,115641.58275,115641.78275,114795.0,2.427699910216469,1.4307757185098544,-1.0,180.0,1.2985905087934084,-0.7992810796161393,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:XRPUSDT:1755498180000000000:e31f9de26f0a7499,XRPUSDT,LONG,FAILED_AUCTION_REVERSAL,XRPUSDT:ACTIVE_POOL:LOW:1754568000000000000:502bb1b27f1ff07b,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.963,2.959559,2.966441,240,76.64553113972086,1.3451438332236032,6,True,0.0,50782,1755498180000000000,50787,1755498480000000000,50787,1755498480000000000,50788,1755498540000000000,50794,1755498900000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,2.9631,2.9647,2.9595,8.317219873613602,0.0,0.0,0.6428571428571278,2.6980881922688487,-0.21789654046725185,16.18852915361309,ADVERSE_FLOW_ABSORBED,3.0016696585892264,-0.052097724104244264,1.0959180666771555,2.636363636363508,6.0,XRPUSDT:5m:HIGH:c10151:s2:1755497400000000000,MINOR_ROUTE_STRUCTURE,2.9908,5,6.127580272502469,1.0,0,0.0,0.6795715380242092,-0.3333333333333333,16.713750666555338,STOP_FIRST,50795,1755498960000000000,50803,1755499440000000000,2.9721,2.9593,2.9591,2.9907,1.4531249999999372,1.034462218770317,-1.0,8.0,0.21922132585056378,-1.1775316931402355,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:SOLUSDT:1755508620000000000:ec080a12ec965479,SOLUSDT,LONG,FAILED_AUCTION_REVERSAL,SOLUSDT:ACTIVE_POOL:LOW:1755506700000000000:f773bf7d60127df0,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,180.12,180.0576,180.1824,15,16.71900644936258,1.5501683122110559,4,True,0.0,50956,1755508620000000000,50960,1755508860000000000,50960,1755508860000000000,50961,1755508920000000000,50963,1755509040000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,180.0576,180.1824,179.84,6.483746011417945,0.2,0.5588915494377033,1.0,2.510061563664964,-0.34080153098598515,12.55030781832482,ALIGNED_INITIATIVE,0.9785772044168307,0.037068118579100286,0.8833507869250741,0.6470588235293724,2.0,SOLUSDT:ACTIVE_POOL:HIGH:1755507600000000000:01c38a4bdf41fad3,ACCUMULATED_EQUAL_HIGH_LOW_POOL,181.57,15,12.336548543903028,1.0,0,0.0,0.5176816946860601,-0.3333333333333333,11.794233670045582,TARGET_FIRST,50964,1755509100000000000,50987,1755510480000000000,180.442,179.83405,179.83204999999998,181.569,1.853770869314829,1.266272155272956,1.266272155272956,23.0,1.7187980020301674,-0.5974025456246326,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:BTCUSDT:1755508800000000000:1504588d78d1c6eb,BTCUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:ACTIVE_POOL:LOW:1755507600000000000:93853511b9733768,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,114794.9,114785.146,114845.254,60,71.36061762322491,1.9509260966047584,9,True,0.0,50959,1755508800000000000,50961,1755508920000000000,50961,1755508920000000000,50962,1755508980000000000,50965,1755509160000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,114785.146,114837.0,114666.0,4.937644619149091,0.6666666666666666,0.7421202423740925,0.08428967154730177,7.722996690410674,0.21000179096376337,23.16899007123202,ALIGNED_INITIATIVE,1.650599413119597,0.023355484925437753,4.62363988222372,0.6272439281941592,3.0,BTCUSDT:ACTIVE_POOL:LOW:1754550900000000000:630a249b5488a317,ACCUMULATED_EQUAL_HIGH_LOW_POOL,114450.2,15,18.077299643652378,0.9609015780783834,1,0.0815247324411093,0.5,0.0,12.03318332795367,STOP_FIRST,50966,1755509220000000000,50980,1755510060000000000,114713.2,114909.88875,114910.08875,114450.3,1.3366295733741387,0.5859900830932183,-1.0,14.0,0.34712821014215534,-0.6756488082804243,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:BTCUSDT:1755537540000000000:fb7184bf9944759b,BTCUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:15m:HIGH:c3424:s2:1755535500000000000,DEFENDED_INTRADAY_SWING,HIGH,116304.3,116287.356,116321.244,15,3.25679525077574,1.8803116147308685,1,False,0.0,51438,1755537540000000000,51439,1755537600000000000,51439,1755537600000000000,51441,1755537720000000000,51445,1755537960000000000,DIRECTIONAL_FVG,116284.3,116320.1,116387.2,4.432166321282582,1.0,1.0,1.0,2.0972144785566393,0.4633032371365244,4.194428957113279,ALIGNED_INITIATIVE,2.415211309191178,0.04444084373091663,1.424399308468953,1.8959706959706106,4.0,BTCUSDT:ACTIVE_POOL:HIGH:1755482400000000000:c2cc9736e8642669,ACCUMULATED_EQUAL_HIGH_LOW_POOL,117358.7,15,11.71494198919781,1.0,0,0.0,0.62744556898909,0.0,10.354725865610082,STOP_FIRST,51446,1755538020000000000,51492,1755540780000000000,116432.0,116259.997,116259.797,117358.59999999999,5.387115341011538,2.9281424548567756,-1.0,46.0,1.1401880295169684,-0.6314354376230649,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:ETHUSDT:1755543900000000000:119ce20818814c22,ETHUSDT,SHORT,FAILED_AUCTION_REVERSAL,ETHUSDT:ACTIVE_POOL:HIGH:1755542700000000000:0853f479d9e1aeb5,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,4381.63,4378.3212,4383.0733,15,23.82945869370906,1.8885504196558993,5,True,0.0,51544,1755543900000000000,51545,1755543960000000000,51545,1755543960000000000,51560,1755544860000000000,51561,1755544920000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,4378.3212,4379.32,4383.67,4.564655619538525,0.0,0.0,1.0,2.8674025128896607,-0.3573938764589866,5.7348050257793215,ADVERSE_FLOW_ABSORBED,1.6495067877535874,-0.13026460769184134,2.0077103944141292,0.9802699896155443,1.0,ETHUSDT:5m:LOW:c10304:s2:1755543300000000000,MINOR_ROUTE_STRUCTURE,4340.32,5,2.204500355896795,1.0,0,0.0,0.541770578547629,0.0,10.488081497237616,TARGET_FIRST,51562,1755544980000000000,51637,1755549480000000000,4363.9,4383.8390500000005,4383.859050000001,4340.33,1.1821024572383685,0.843301008163283,0.843301008163283,75.0,1.3360495688197482,-0.318498436122832,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:BTCUSDT:1755544560000000000:c9d3a0ebeba18e53,BTCUSDT,LONG,FAILED_AUCTION_REVERSAL,BTCUSDT:ACTIVE_POOL:LOW:1755543600000000000:e69f1b4f9088565e,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,116175.9,116158.59599999999,116193.204,15,11.157743434631383,1.286351084240243,3,True,0.0,51555,1755544560000000000,51556,1755544620000000000,51556,1755544620000000000,51561,1755544920000000000,51563,1755545040000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,116184.7,116193.204,116139.7,5.598692773289574,0.0,0.0,1.0,1.9670496132968263,-0.27644742458809435,3.9340992265936525,ALIGNED_INITIATIVE,1.6725955646993609,0.03159966575112536,0.7937359961644963,1.3764172335600702,2.0,BTCUSDT:ACTIVE_POOL:HIGH:1755542700000000000:8821d10b370ff33a,ACCUMULATED_EQUAL_HIGH_LOW_POOL,116761.0,15,21.40229657761067,1.0,0,0.0,0.6057997021939244,0.0,12.060555071205384,STOP_FIRST,51564,1755545100000000000,51638,1755549540000000000,116292.9,116138.1565,116137.9565,116760.9,3.0243596661572827,1.4253684084621638,-1.0,74.0,0.7195042452009328,-0.7630211600823392,GLOBAL_ACCOUNT_POSITION_OPEN
CLR:ETHUSDT:1755549720000000000:e5d435a631c65410,ETHUSDT,LONG,FAILED_AUCTION_REVERSAL,ETHUSDT:15m:LOW:c3433:s4:1755545400000000000,DEFENDED_INTRADAY_SWING,LOW,4325.0,4323.4457,4326.5543,15,3.677390249615422,2.123142250530769,1,False,0.0,51641,1755549720000000000,51642,1755549780000000000,51642,1755549780000000000,51645,1755549960000000000,51647,1755550080000000000,TRANSFERRED_BOUNDARY,4323.4457,4326.5543,4314.45,8.521739130434913,0.0,0.0,1.0,5.235626383738152,0.048056325034852986,10.471252767476305,ADVERSE_FLOW_ABSORBED,0.9490083418177498,-0.06742513902894207,0.975285895018501,0.6239130434782495,2.0,ETHUSDT:5m:HIGH:c10322:s2:1755548700000000000,MINOR_ROUTE_STRUCTURE,4366.7,5,3.8711415621637295,1.0,0,0.0,0.46271460531795455,0.0,12.64867088334319,TARGET_FIRST,51648,1755550140000000000,51722,1755554580000000000,4331.040000000001,4314.282174999999,4314.262174999999,4366.69,2.127364380520475,1.5455168814562763,1.5455168814562763,74.0,1.9710455739258643,-0.3582857547218656,GLOBAL_ACCOUNT_POSITION_OPEN
