source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,reason,counterfactual_mfe_r,counterfactual_mae_r,response_index,response_time_ns,episode_id
BTCUSDT:DIAGONAL:15:HIGH:1755599400000000000:1755603000000000000:3d92a2467726e6a6,BTCUSDT,DIAGONAL_RESISTANCE,HIGH,115738.97833333333,15,2.2187825617559476,True,52650,1755610260000000000,2.211965811966263,FAILED_AUCTION_REVERSAL,SHORT,52651.0,1.75561032e+18,115847.4,115713.78433333334,115764.17233333332,TRANSFERRED_BOUNDARY_OB_OVERLAP,9.549805950840671,NO_FIRST_DEFENDED_RETURN,12.223310023309995,0.0027972027971620923,,,
BTCUSDT:15m:LOW:c2515:s2:1754717400000000000,BTCUSDT,DEFENDED_INTRADAY_SWING,LOW,116328.0,15,9.559275788490664,False,50504,1755481500000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50506.0,1.75548162e+18,116111.1,116480.0,116550.9,ORDER_BLOCK,5.125371534407384,NO_FIRST_DEFENDED_RETURN,12.08492930439302,-1.6352201257860994,,,
BTCUSDT:15m:LOW:c3415:s2:1755527400000000000,BTCUSDT,DEFENDED_INTRADAY_SWING,LOW,114769.2,15,9.944000982523548,False,52074,1755575700000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52077.0,1.75557588e+18,114734.8,114768.5,114778.5,TRANSFERRED_BOUNDARY_OB_OVERLAP,3.654618727470786,NO_FIRST_DEFENDED_RETURN,11.970149253733402,-9.041044776120712,,,
SOLUSDT:ACTIVE_POOL:LOW:1755529200000000000:5cb734c1785036ab,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,180.26,15,29.09998990154486,True,52059,1755574800000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52061.0,1.75557492e+18,180.16,180.21439999999998,180.27,TRANSFERRED_BOUNDARY_OB_OVERLAP,2.6501579210231294,NO_FIRST_DEFENDED_RETURN,11.14916286149292,-1.2176560121766724,,,
ETHUSDT:DIAGONAL:60:LOW:1753495200000000000:1755457200000000000:7fcc2b107e8be86f,ETHUSDT,DIAGONAL_SUPPORT,LOW,4425.788284403669,60,5.093719417483691,True,50489,1755480600000000000,0.41049223165853255,ACCEPTED_AUCTION_CONTINUATION,SHORT,50492.0,1.75548078e+18,4404.23,4428.84,4437.87,DIRECTIONAL_FVG,3.9797379013875878,NO_FIRST_DEFENDED_RETURN,10.963135218420963,-0.3747681684594741,,,
SOLUSDT:ACTIVE_POOL:HIGH:1755531900000000000:7e1436b433335703,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,182.75,15,16.011282868996265,True,51350,1755532260000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51351.0,1.75553232e+18,182.97,182.57,182.66,DIRECTIONAL_FVG_OB_OVERLAP,4.080562957296605,NO_FIRST_DEFENDED_RETURN,10.743134087237223,-5.169628432956269,,,
XRPUSDT:ACTIVE_POOL:LOW:1755543600000000000:99a19fabaae3cc64,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,3.0419,15,13.042483333774276,True,51863,1755563040000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,51872.0,1.75556358e+18,3.0238,3.0407,3.0414,DIRECTIONAL_FVG,5.477444349209064,NO_FIRST_DEFENDED_RETURN,10.072947384758717,-6.673909669408708,,,
ETHUSDT:ACTIVE_POOL:LOW:1755507600000000000:b938a86010ba4257,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4228.0,60,41.515342890662886,True,50968,1755509340000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,50970.0,1.75550946e+18,4224.1,4230.53,4234.2,ORDER_BLOCK,6.3839999999998325,NO_FIRST_DEFENDED_RETURN,8.53974615898502,-0.9398797595190598,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755504300000000000:604f7e30a8c41ffd,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115426.0,15,19.085673764060463,True,51179,1755522000000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51182.0,1.75552218e+18,115500.4,115418.1,115419.9,DIRECTIONAL_FVG_OB_OVERLAP,4.8113979346662274,NO_FIRST_DEFENDED_RETURN,8.271682426662874,-7.5236399930038615,,,
ETHUSDT:ACTIVE_POOL:LOW:1755475200000000000:291c5a9f343e0509,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4391.64,1440,233.99044252505774,True,50517,1755482280000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50528.0,1.75548294e+18,4373.48,4392.41,4392.59,DIRECTIONAL_FVG,4.195550629478884,NO_FIRST_DEFENDED_RETURN,8.04643663334404,-0.4843598839084273,,,
