scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,forced_exit_reason,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
SLT-1708963320000000000-000013,SAC,LONG,1708963500000000000,2024-02-26,16,1708963560000000000,52914.7,52939.5,52843.2,54106.6,ACCEPTED_SESSION_RANGE_PROJECTION,52885.5,92.09499999999971,17.589,100000.0,3000.0,170.55738334999575,6.402348045872655,0.0007,DIRECTIONAL_BODY,True,52939.6,1708963560000000000,965,TIMEOUT,53404.5,1708968960000000000,2024-02-26,17,90.0,6867.78563757,0.008781705944132587,2.28926187919,TIMEOUT
SLT-1709012820000000000-000021,SAC,LONG,1709013000000000000,2024-02-27,5,1709013060000000000,56238.0,56238.8,56159.6,56695.2,ACCEPTED_SESSION_RANGE_PROJECTION,56175.1,52.850000000000364,20.283,106867.78563757,3206.0335691271002,158.06389050000493,2.386036423669974,0.0007,DIRECTIONAL_BODY,True,56238.899999999994,1709013060000000000,1790,,56159.5,1709013240000000000,2024-02-27,5,3.0,-3206.31392304,-0.0014118341574958647,-1.0000874457197204,STOP
SLT-1709107380000000000-000042,SAC,LONG,1709107680000000000,2024-02-28,8,1709107740000000000,58481.0,58486.4,58394.2,59763.100000000006,ACCEPTED_SESSION_RANGE_PROJECTION,58472.8,131.2850000000013,17.847,103661.47171453,3109.8441514358997,174.24490004999745,6.850848143374522,0.0007,DIRECTIONAL_BODY,True,58486.5,1709107740000000000,3368,,58394.1,1709107980000000000,2024-02-28,8,4.0,-3109.24044774,-0.001579851760662742,-0.9998058733278898,STOP
SLT-1709324520000000000-000091,SAC,LONG,1709324700000000000,2024-03-01,20,1709324760000000000,62439.2,62449.9,62372.4,62838.4,ACCEPTED_SESSION_RANGE_PROJECTION,62434.3,49.43999999999905,18.268,100552.23126679,3016.5669380036998,165.11957920000168,1.820487863743322,0.0007,DIRECTIONAL_BODY,True,62450.0,1709324760000000000,6985,,62838.3,1709326500000000000,2024-03-01,20,29.0,5491.32773492,0.006217774219375547,1.8203898165621495,TARGET
SLT-1709485260000000000-000128,SAC,LONG,1709485440000000000,2024-03-03,17,1709485500000000000,62950.7,62958.8,62835.2,63718.8,ACCEPTED_SESSION_RANGE_PROJECTION,62929.9,86.70499999999956,15.018,106043.55900171,3181.3067700513,211.8263206500016,3.168282760804281,0.0007,DIRECTIONAL_BODY,True,62958.899999999994,1709485500000000000,9664,,62835.100000000006,1709485800000000000,2024-03-03,17,5.0,-3181.6504044,-0.001966362182312403,-1.0001080167281995,STOP
