scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,passive_fill_stop_crossed_during_activation,forced_exit_reason,partial_entry_abort_requested,partial_entry_abort_opened_quantity,partial_entry_open_parent_count,partial_entry_flatten_attempts,partial_entry_cancel_retry_count
SLT-1708940040000000000-000013,SAC,SAC,SHORT,SHORT,1708940280000000000,2024-02-26,9,1708940340000000000,51063.1,51063.0,DEFENSE_ORIGIN_LIMIT,LIMIT,1708941600000000000,O-20240226-093900-001-000-1,51085.9,50814.4,ACCEPTED_SESSION_RANGE_PROJECTION,51080.0,59.365000000000144,31.698,100000.0,3000.0,94.64075555000345,1.8711370061541326,0.0007,DIRECTIONAL_BODY,False,True,51062.899999999994,1708940580000000000,581,30,50922.5,51104.1,140.39999999999418,41.200000000004366,6.104347826084773,1.79130434782571,2.3650298997724897,0.6940116230102631,0.4172590314869884,0.7270675260367959,,,51086.0,1708942320000000000,2024-02-26,10,29.0,-2998.76488254,-0.00045238323714489036,-0.9995882941800001,STOP,,,,,,,
SLT-1709015820000000000-000044,SAC,SAC,LONG,LONG,1709015940000000000,2024-02-27,6,1709016000000000000,56378.8,56378.9,DEFENSE_ORIGIN_LIMIT,LIMIT,1709017200000000000,O-20240227-064000-001-000-7,56360.899999999994,56627.9,ACCEPTED_SESSION_RANGE_PROJECTION,56365.7,47.55,29.977,97001.23511746,2910.0370535238,97.07289150000175,1.748121822455342,0.0007,DIRECTIONAL_BODY,False,True,56379.0,1709016540000000000,1847,1,56392.1,56352.5,13.099999999998545,26.5,0.7237569060770349,1.4640883977895844,0.275499474237614,0.5573080967402735,-1.0756132673765162,-0.6803111453623514,,,56353.6,1709016540000000000,2024-02-27,6,0.0,-3126.98540514,-0.00045052235761544997,-1.0745517488698277,PASSIVE_FILL_STOP_ALREADY_CROSSED,True,PASSIVE_FILL_STOP_ALREADY_CROSSED,,,,,
SLT-1709087460000000000-000080,SAC,SAC,LONG,LONG,1709087820000000000,2024-02-28,2,1709087880000000000,56985.8,56985.9,DEFENSE_ORIGIN_LIMIT,LIMIT,1709089200000000000,O-20240228-023800-001-000-11,56962.0,57198.899999999994,ACCEPTED_SESSION_RANGE_PROJECTION,56964.5,25.134999999999856,27.111,93874.24971232,2816.2274913696,103.87702055000238,1.279114854242871,0.0007,DIRECTIONAL_BODY,False,True,56985.95139242375,1709088060000000000,3039,1,57019.3,56981.8,33.30000000000291,4.19999999999709,1.3875000000001212,0.17499999999987872,1.3248458325045993,0.16709767256801725,-0.8103568965907847,-0.4496057910855821,,,56981.7,1709088060000000000,2024-02-28,2,0.0,-2278.10339783,-7.46042194588208e-05,-0.8089202327621988,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,True,13.178,1.0,3.0,0.0
SLT-1709107380000000000-000089,SAC,SAC,LONG,LONG,1709107680000000000,2024-02-28,8,1709107740000000000,58481.0,58481.1,DEFENSE_ORIGIN_LIMIT,LIMIT,1709109000000000000,O-20240228-080900-001-000-17,58407.299999999996,59483.6,ACCEPTED_SESSION_RANGE_PROJECTION,58472.8,131.2850000000013,17.634,91596.14631449,2747.8843894347,155.82187999999562,5.902410560057632,0.0007,DIRECTIONAL_BODY,False,True,58481.2,1709107800000000000,3368,3,58599.0,58404.6,117.80000000000291,76.59999999999854,1.594046008119088,1.0365358592692426,0.8972845336481833,0.5834634573637337,-0.274038921876695,0.22874746473347585,,,58407.2,1709107920000000000,2024-02-28,8,2.0,-2747.76303192,-0.0012653639118212349,-0.9999558360187325,STOP,,,,,,,
SLT-1709109720000000000-000090,SAC,SAC,LONG,LONG,1709109900000000000,2024-02-28,8,1709109960000000000,58884.8,58884.8,DEFENSE_ORIGIN_LIMIT,LIMIT,1709110800000000000,O-20240228-084600-001-000-20,58820.0,59469.7,ACCEPTED_SESSION_RANGE_PROJECTION,58848.3,103.29499999999935,18.083,88848.38328257,2665.4514984771,147.3933600000029,3.4048470704514204,0.0007,DIRECTIONAL_BODY,False,True,58884.899999999994,1709110020000000000,3405,11,59508.8,58858.2,623.9000000000087,26.69999999999709,9.613251155625033,0.41140215716486106,6.0399825741808675,0.25848298562367256,3.581121361233629,3.6692589815443384,1.70911002e+18,1.70911044e+18,59469.6,1709110620000000000,2024-02-28,8,10.0,9074.98700355,0.00992954051038559,3.404671594562863,TARGET,,,,,,,
SLT-1709141460000000000-000102,SAC,SAC,SHORT,SHORT,1709141700000000000,2024-02-28,17,1709141760000000000,61118.4,61116.8,DEFENSE_ORIGIN_LIMIT,LIMIT,1709143200000000000,O-20240228-173600-001-000-23,61488.5,58536.0,ACCEPTED_SESSION_RANGE_PROJECTION,61418.0,705.2249999999997,6.417,97923.37028612,2937.7011085835998,457.7462257499962,5.4546447344465605,0.0007,DIRECTIONAL_BODY,False,True,61116.700000000004,1709142240000000000,3942,2,60925.4,61514.1,191.3000000000029,397.3999999999942,0.5145239376008746,1.0688542227003734,0.2712609450884512,0.5635081002516847,-0.7526974131473796,0.23084959319296752,,,61488.600000000006,1709142300000000000,2024-02-28,17,1.0,-2937.21304707,-0.0060850798554241544,-0.9998338627737948,STOP,,,,,,,
SLT-1709215800000000000-000134,SAC,SAC,LONG,LONG,1709215980000000000,2024-02-29,14,1709216040000000000,63151.3,63151.3,DEFENSE_ORIGIN_LIMIT,LIMIT,1709217000000000000,O-20240229-141400-001-000-26,63131.2,64017.2,ACCEPTED_SESSION_RANGE_PROJECTION,63140.0,87.94499999999934,26.216,94986.15723905,2849.5847171714995,108.69225384999926,7.145698267255127,0.0007,DIRECTIONAL_BODY,False,True,63151.399999999994,1709216100000000000,5173,1,63206.7,63123.2,55.30000000000291,28.19999999999709,2.737623762376776,1.396039603960453,0.6288020922167642,0.3206549548012656,-0.55231148378652,-0.30683575709104977,,,63179.9,1709216100000000000,2024-02-29,14,0.0,-1571.17495256,0.00045129640831410357,-0.5513697989367201,PASSIVE_FILL_STOP_ALREADY_CROSSED,True,PASSIVE_FILL_STOP_ALREADY_CROSSED,,,,,
SLT-1709235180000000000-000144,SAC,SAC,LONG,LONG,1709235600000000000,2024-02-29,19,1709235660000000000,61445.0,61445.1,DEFENSE_ORIGIN_LIMIT,LIMIT,1709236800000000000,O-20240229-194100-001-000-30,61340.8,61970.8,ACCEPTED_SESSION_RANGE_PROJECTION,61349.2,83.94000000000051,14.715,93414.98228649,2802.4494685947,190.44413420000168,2.3057096079360013,0.0007,DIRECTIONAL_BODY,False,True,61445.2,1709235720000000000,5500,3,61524.6,61340.0,79.40000000000146,105.19999999999709,0.7605363984674893,1.0076628352490704,0.9459137479151891,1.2532761496306464,-0.5136160292407561,-0.03612009384744011,,,61340.700000000004,1709235840000000000,2024-02-29,19,2.0,-2802.47366295,-0.0017007024145090704,-1.0000086332886893,STOP,,,,,,,
SLT-1709292720000000000-000169,SAC,SAC,SHORT,SHORT,1709293020000000000,2024-03-01,11,1709293080000000000,61940.0,61940.1,DEFENSE_ORIGIN_LIMIT,LIMIT,1709294400000000000,O-20240301-113800-001-000-33,61954.700000000004,61724.899999999994,ACCEPTED_SESSION_RANGE_PROJECTION,61950.1,45.72499999999891,26.782,90612.50862354,2718.3752587062,101.49884075000203,1.265378984143736,0.0007,DIRECTIONAL_BODY,False,True,61940.04710253156,1709293200000000000,6458,1,61903.0,61944.1,37.0,4.099999999998545,2.5170068027203407,0.2789115646256685,0.809185347184273,0.08966648441768492,-0.8651983544945039,-0.4915336927136186,,,61940.99999999999,1709293200000000000,2024-03-01,11,0.0,-2347.96804245,-1.5384190245430578e-05,-0.8637394836971501,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,True,12.615,1.0,3.0,0.0
SLT-1709401080000000000-000217,SAC,SAC,LONG,LONG,1709401320000000000,2024-03-02,17,1709401380000000000,62007.6,62007.6,DEFENSE_ORIGIN_LIMIT,LIMIT,1709402400000000000,O-20240302-174300-001-000-39,61989.9,62171.299999999996,ACCEPTED_SESSION_RANGE_PROJECTION,61992.9,30.170000000000435,25.287,88264.54058109,2647.9362174327,104.71523809999691,0.7312667324203566,0.0007,DIRECTIONAL_BODY,False,True,62007.66371257958,1709401440000000000,8262,1,62020.0,61988.5,12.30000000000291,19.19999999999709,0.6910112359553892,1.0786516853933594,0.4076897580378765,0.636393768644243,-0.7469489772377206,-0.7135483942522717,,,62016.400000000016,1709401440000000000,2024-03-02,17,0.0,-1974.42304937,0.00014089044639592366,-0.7456460002213713,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,True,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,True,9.176,1.0,3.0,0.0
