plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,context_progress,structure_direction,context_location,source_strength,acceptance,event_activity,event_progress,event_flow,approach_efficiency,departure_progress,return_depth,return_activity,return_flow,response_progress,response_flow,source_distance,risk_range,cost_r,planned_rr,elapsed_wave,market_progress
BTCUSDT:CONTROL:1723444500000000000:1:1723445100000000000,BTCUSDT:CONTROL:1723444500000000000:1,BTCUSDT,1,1723445100000000000,1723444500000000000,58310.899999999994,58232.9,58545.1,3.0025641025644387,58300.0,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:394:s2,DEPARTURE_EXTREME,58275.4,58324.6,58545.2,58233.0,BOUNDARY_CONTROL_FIRST_RETURN,-0.9617117117117039,1.0,-0.5562989868094179,1.0557926347400142,0.0,1.5110911082688447,-1.0640243902438964,-0.3116156492820616,-0.3842823121887782,2.4918699186992126,0.9555464926590771,0.5156907356882463,-0.006721017032897349,0.5325203252032047,0.6115969660546277,0.11077235772352054,0.7926829268292119,0.8964907692308527,3.0025641025644387,0.5108256237659907,-1.5940355940356248
BTCUSDT:CONTROL:1723518600000000000:-1:1723519620000000000,BTCUSDT:CONTROL:1723518600000000000:-1,BTCUSDT,-1,1723519620000000000,1723518600000000000,59252.0,59495.799999999996,58901.200000000004,1.438884331419204,59256.600000000006,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:489:s2,DEPARTURE_EXTREME,59214.33750000001,59298.8625,59434.59999999999,58901.100000000006,BOUNDARY_CONTROL_FIRST_RETURN,-1.3854781582054383,-0.0,-0.06425089136286699,1.5245384961728659,1.0,1.0124199296900571,1.0653652765454829,0.19874060469495156,0.7236354001060149,2.1029281277728575,0.9870604781997023,0.6243016707131748,-0.2015608511771755,0.3543330375628614,0.5466071372027484,0.027210884353776044,1.4421768707482796,0.29224232977851217,1.438884331419204,0.7576857016975165,-1.2098027495516912
BTCUSDT:CONTROL:1723567800000000000:1:1723574940000000000,BTCUSDT:CONTROL:1723567800000000000:1,BTCUSDT,1,1723574940000000000,1723567800000000000,60849.5,60415.00000000001,61544.899999999994,1.6004602991944898,60736.600000000006,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:86:s2,OPPOSING_LIQUIDITY,60691.012500000004,60782.18750000001,61544.99999999999,60563.100000000006,BOUNDARY_CONTROL_FIRST_RETURN,4.100230733733264,1.0,0.5455288006011729,1.3674077469631145,1.0,1.859715442808672,2.0548395941870026,0.2785915930169654,0.9348546190651453,4.433232794077199,0.8603414151410242,0.8015588688992822,-0.13649017392023383,0.162325198793519,0.29436440635543587,0.6191390183712248,2.382780367425213,0.16745385500575655,1.6004602991944898,1.0930412436186543,0.050227090569069634
BTCUSDT:CONTROL:1723654200000000000:1:1723663020000000000,BTCUSDT:CONTROL:1723654200000000000:1,BTCUSDT,1,1723663020000000000,1723654200000000000,58786.899999999994,58499.9,59436.09999999999,2.262020905923392,58668.0,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:530:s2,OPPOSING_LIQUIDITY,58611.7875,58724.2125,59436.19999999999,58500.0,BOUNDARY_CONTROL_FIRST_RETURN,-4.518946692357031,0.0,-0.8281881606132321,1.1197648787656063,0.0,1.8907648100064645,1.0833889259506342,0.02778356927352402,-0.2855912125780797,3.416499888814742,0.845222598281703,1.4478953220614905,-0.3547717446886373,0.23526795641536366,0.19598564564199264,0.5287969757615963,1.2764064932176766,0.24519888501742781,2.262020905923392,2.379546134130174,-1.0198347107438337
BTCUSDT:CONTROL:1723682100000000000:-1:1723682640000000000,BTCUSDT:CONTROL:1723682100000000000:-1,BTCUSDT,-1,1723682640000000000,1723682100000000000,58945.5,59000.1,58844.9,1.842490842490865,58996.0,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:669:s2,DEPARTURE_EXTREME,58971.525,59020.475,59000.0,58844.8,BOUNDARY_CONTROL_FIRST_RETURN,1.9021973834624661,-0.0,-0.08194574368570029,1.3617583870434835,0.0,1.0734329108014007,-0.7160367722165486,-0.22477211575016873,-0.9244299674267414,1.5444330949948974,0.6660052910052846,0.44423828307232405,-0.07486378122751099,0.1746680286006019,0.27404464181371974,0.5158324821246285,0.5577119509703755,1.2961054945055293,1.842490842490865,0.4700036292457356,-0.6994974874371969
BTCUSDT:CONTROL:1723703100000000000:-1:1723703580000000000,BTCUSDT:CONTROL:1723703100000000000:-1,BTCUSDT,-1,1723703580000000000,1723703100000000000,58086.1,58294.8,57800.1,1.3703881169142023,58134.2,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:690:s2,DEPARTURE_EXTREME,58113.487499999996,58154.9125,58173.0,57800.0,BOUNDARY_CONTROL_FIRST_RETURN,1.3338587996847289,-1.0,0.5313677313677337,1.7520969245107096,1.0,2.4411012161723282,1.7127338563669758,0.2768429488189443,0.7496729175752377,4.0337960168980445,0.8560742070616428,0.3612699216172452,-0.3120152439073663,0.5781532890766723,0.23000807966338235,0.5805672902836377,2.519010259505227,0.33458811691422397,1.3703881169142023,0.4274440148269396,1.5292697646349618
BTCUSDT:CONTROL:1723738200000000000:-1:1723738800000000000,BTCUSDT:CONTROL:1723738200000000000:-1,BTCUSDT,-1,1723738800000000000,1723738200000000000,59712.1,59770.1,59538.99999999999,2.98448275862079,59749.2,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:733:s2,DEPARTURE_EXTREME,59702.1,59796.299999999996,59770.0,59538.899999999994,BOUNDARY_CONTROL_FIRST_RETURN,-3.55335097001761,-1.0,-0.9327369888475818,1.3943322837562635,0.0,0.6050502071110128,0.35774946921448786,-0.09278635604316218,-0.40835053911445396,1.116242038216589,0.8235853542558343,0.512567811935638,-0.09444082854472825,0.14755838641190674,0.0112751804500637,0.1969214437367249,0.30785562632696745,1.2360227586206898,2.98448275862079,0.5108256237659907,0.1342887473461278
BTCUSDT:CONTROL:1723742400000000000:-1:1723742460000000000,BTCUSDT:CONTROL:1723742400000000000:-1,BTCUSDT,-1,1723742460000000000,1723742400000000000,59135.80000000001,59350.1,58508.2,2.928604759682908,59232.600000000006,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:732:s2,OPPOSING_LIQUIDITY,59191.475000000006,59273.725000000006,59339.00000000001,59141.2,BOUNDARY_CONTROL_FIRST_RETURN,-2.625793291024491,-1.0,-0.1238875728279798,1.5505761843789883,1.0,0.7695381219259948,1.0772036474163718,0.3598429905491427,0.6925454545454348,0.5556231003039922,-0.05908096280072634,1.2783120694478787,0.33319471126680983,0.04437689969602111,0.33319471126680983,0.5884498480242766,1.3027355623099308,0.331738404106411,2.928604759682908,0.06453852113757116,1.173252279635188
BTCUSDT:CONTROL:1723755300000000000:-1:1723755780000000000,BTCUSDT:CONTROL:1723755300000000000:-1,BTCUSDT,-1,1723755780000000000,1723755300000000000,56630.5,56880.2,55969.1,2.648778534241126,56633.0,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:750:s2,DEPARTURE_EXTREME,56586.5625,56679.4375,56780.0,55969.0,BOUNDARY_CONTROL_FIRST_RETURN,4.126028458038952,-0.0,0.6564528693845755,1.0342754058929657,1.0,0.5930454593493926,0.9318977119784578,0.3420878375448584,0.6104497354497441,3.5746971736204576,0.9962349397590361,0.5299929178455113,-0.18225568165992215,0.8118438761776346,0.2535544153873762,0.013458950201884253,1.3442799461641834,0.27275298358029954,2.648778534241126,0.4274440148269396,1.0682401231400662
BTCUSDT:CONTROL:1723771200000000000:-1:1723772280000000000,BTCUSDT:CONTROL:1723771200000000000:-1,BTCUSDT,-1,1723772280000000000,1723771200000000000,57240.5,57372.0,57062.2,1.355893536121695,57326.5,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:770:s2,DEPARTURE_EXTREME,57293.7625,57359.2375,57365.299999999996,57062.1,BOUNDARY_CONTROL_FIRST_RETURN,3.9970961184784084,1.0,0.2673581100547393,1.2399160643506566,1.0,1.153363576992821,1.5150820924016828,0.38763423322406604,0.36605504587156185,2.0190912562046583,0.674735249621787,0.7059412957256734,-0.3154252173722596,0.17563955708285509,-0.3154252173722596,0.6567392134402407,1.0042000763650192,0.5229467680608365,1.355893536121695,0.7884573603642702,-0.3881401617250829
