scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
SLT-1708963320000000000-000024,SAC,SAC,LONG,LONG,1708963500000000000,2024-02-26,16,1708963560000000000,52914.7,52939.5,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-160600-001-000-1,52865.4,53363.100000000006,ACCEPTED_SESSION_RANGE_PROJECTION,52885.5,92.09499999999971,20.22,100000.0,3000.0,148.36342999999852,2.352252034076066,0.0007,DIRECTIONAL_BODY,False,True,52939.6,1708963560000000000,965,4,53455.0,52906.0,515.4000000000015,33.599999999998545,6.9460916442051435,0.4528301886792434,5.596395026874457,0.36484065367282315,2.519291175729795,2.970568825484864,1.70896368e+18,1.70896374e+18,53363.0,1708963740000000000,2024-02-26,16,3.0,7056.5409996,0.007997793712079454,2.3521803331999998,OTHER_EXIT
SLT-1709107380000000000-000089,SAC,SAC,LONG,LONG,1709107680000000000,2024-02-28,8,1709107740000000000,58481.0,58486.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-080900-001-000-4,58407.299999999996,59483.6,ACCEPTED_SESSION_RANGE_PROJECTION,58472.8,131.2850000000013,19.932,107056.5409996,3211.6962299879997,161.12558999999854,5.6752065267845575,0.0007,DIRECTIONAL_BODY,False,True,58486.5,1709107740000000000,3368,4,58599.0,58404.6,112.5,81.90000000000146,1.4204545454544673,1.0340909090908705,0.8569143466504086,0.6238336443615085,-0.2979351076387176,0.1883012499752539,,,58407.2,1709107920000000000,2024-02-28,8,3.0,-3211.55525988,-0.0013558684482744378,-0.9999561072723244,STOP
SLT-1709109720000000000-000090,SAC,SAC,LONG,LONG,1709109900000000000,2024-02-28,8,1709109960000000000,58884.8,58896.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-084600-001-000-7,58820.0,59469.7,ACCEPTED_SESSION_RANGE_PROJECTION,58848.3,103.29499999999935,19.642,103844.98573972,3115.3495721915997,158.60119999999998,3.0935706035011363,0.0007,DIRECTIONAL_BODY,False,True,58896.1,1709109960000000000,3405,12,59508.8,58850.0,612.7000000000044,46.099999999998545,8.051248357424653,0.6057818659658268,5.931555254368636,0.4462945931555142,3.2573881534314015,3.3392973697551116,1.70911002e+18,1.70911044e+18,59469.6,1709110620000000000,2024-02-28,8,11.0,9637.22964442,0.009737486862457786,3.093466534364026,TARGET
SLT-1709141460000000000-000102,SAC,SAC,SHORT,SHORT,1709141700000000000,2024-02-28,17,1709141760000000000,61118.4,61019.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-173600-001-000-10,61488.5,58536.0,ACCEPTED_SESSION_RANGE_PROJECTION,61418.0,705.2249999999997,6.135,113482.21538414,3404.4664615242,554.8781857500006,4.324752966737071,0.0007,DIRECTIONAL_BODY,False,True,61019.5,1709141760000000000,3935,10,59700.2,61514.1,1319.300000000003,494.59999999999854,2.8130063965884924,1.0545842217483978,1.8707504697082542,0.7013364529050995,1.465549486146827,2.224986027034496,1.70914182e+18,1.70914188e+18,61488.600000000006,1709142300000000000,2024-02-28,17,9.0,-3404.03953545,-0.007687706388941336,-0.9998745982435061,STOP
SLT-1709485260000000000-000261,SAC,SAC,LONG,LONG,1709485440000000000,2024-03-03,17,1709485500000000000,62950.7,62958.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240303-170500-001-000-13,62921.2,63403.7,ACCEPTED_SESSION_RANGE_PROJECTION,62929.9,86.70499999999956,26.232,110078.17584869,3302.3452754607,125.88652065000163,2.829899882533586,0.0007,DIRECTIONAL_BODY,False,True,62958.899999999994,1709485500000000000,9664,5,63079.0,62903.8,120.10000000000582,55.09999999999127,3.1856763925733445,1.4615384615383429,1.3851565653653934,0.6354881494722513,-0.17229128176715033,0.2516033474947376,,,62921.100000000006,1709485740000000000,2024-03-03,17,4.0,-3303.028512,-0.000600391684098489,-1.0002068943379048,STOP
