trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-4dfdc28cc45f689a-25845,LIMIT,SELL,3788.9,128.410,GTD,1.744744620000001e+18,3788.9,MAKER,128.409,0.0010000000000047748,['194.61154404 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20250415-181700-001-000-1,"['O-20250415-181700-001-000-2', 'O-20250415-181700-001-000-3']",,,,,['ENTRY'],fa8b4241-c2f2-442b-a9d2-f76756db1d2b,2025-04-15 18:17:00+00:00,2025-04-15 18:47:00+00:00
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-003,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-bb307a16b1ab6879-27225,LIMIT,BUY,3788.9,125.280,GTC,,3788.9,MAKER,125.281,0.0010000000000047748,['189.87087236 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20250415-181700-001-000-1,['O-20250415-181700-001-000-2'],O-20250415-181700-001-000-1,,,,['TAKE_PROFIT'],afcef438-e777-4266-b480-31c5505c8192,2025-04-15 18:17:00+00:00,2025-04-16 00:59:00+00:00
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-27fa57bcb19a1374-36440,MARKET,SELL,390480,,GTC,,390480,TAKER,2.0851720280167996,0.0,['651.37437880 USDT'],FILLED,,False,False,,NO_TRIGGER,,OTO,OL-20250417-184900-001-000-2,"['O-20250417-184900-001-000-5', 'O-20250417-184900-001-000-6']",,,,,['ENTRY'],2e2d5ccb-d67b-46d7-ad6e-07ed58df8b74,2025-04-17 18:49:00+00:00,2025-04-17 18:49:00+00:00
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-003,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-e0207a2d7769a3e5-36554,LIMIT,BUY,390480,2.0559,GTC,,390480,MAKER,2.056,0.00010000000000021103,['321.13075200 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20250417-184900-001-000-2,['O-20250417-184900-001-000-5'],O-20250417-184900-001-000-4,,,,['TAKE_PROFIT'],1534f495-0cc9-4902-a762-14d94fe727d4,2025-04-17 18:49:00+00:00,2025-04-17 19:20:00+00:00
