symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,root_low,root_high,entry_kind,pool,shift,delivery_minutes,flow,accepted_pools,owner_15,space_15,flow_15,return_15,resilience_15,owner_60,space_60,flow_60,return_60,resilience_60,owner_240,space_240,flow_240,return_240,resilience_240,cost_fraction,stop_width,body_distance,pool_age,delivery_flow,predicted_win,predicted_value,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1723090500000000000,1723086600000000000,1723084200000000000,15.0,57278.0,57622.0,56812.0,1.3546511627906976,57278.0,57338.4,limit,57612.0,57183.0,70,0.06888983335075904,0,-1.0,-6.7963151749594655,-0.14090053325157662,-0.36706642103731746,-0.22616588778574084,-1.0,-3.606080140747336,0.07153535327186528,0.3264629342261985,0.2549275809543332,-1.0,-1.803040070373668,-0.06775724094479724,-1.4354967627462991,-1.3677395218015018,0.1498552325581395,3.630622825957898,0.32441860465115857,40.0,0.06888983335075904,0.4863158768776372,0.00042157868939846424,0.20301420412668764,-0.5076616688371568,0.0,154
XRPUSDT,1,1723120800000000000,1723119900000000000,1723113900000000000,15.0,0.6066,0.6055,0.6195,11.727272727272856,0.6058,0.6066,limit,0.608,0.6187,20,0.01686470367424464,0,-1.0,-1.4172835171571898,0.044017190506155636,1.0245423015594184,0.9805251110532628,1.0,10.296650130672148,-0.014133703254683237,-0.18783275528589147,-0.17369905203120822,1.0,4.849500227381244,-0.008546057341425339,-0.09391637764294573,-0.08537032030152039,0.4963090909090955,0.7274731330945108,5.454545454545509,100.0,0.01686470367424464,0.13226913632552598,0.001033152395847045,-2.8969643056929515,4.192298192406814,1.0,157
