plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,context_15,context_60,sweep_15,sweep_60,impulse_range,impulse_efficiency,impulse_activity,impulse_flow,opponent_reclaimed,footprint_gap,footprint_body,break_strength,source_age,parent_scale,parent_range,parent_age,transfer_distance,event_activity,event_flow,event_progress,higher_protected_distance,higher_control_age,location_60,pullback_depth,pullback_efficiency,pullback_activity,pullback_flow,pullback_duration,response_range,response_flow,response_activity,innovation_fast,innovation_slow,impact_slope,risk_range,cost_r,planned_rr,obstacle_distance,risk_bps,auction_value_distance,participation,response_age,market_15,relative_15,market_60,relative_60,market_dispersion,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
BTCUSDT:NESTED:BTCUSDT:15m:PIVOT:LOW:2203:s2:1724461740000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:LOW:2203:s2,BTCUSDT,1,1724461740000000000,1724456880000000000,63871.5,63809.9,64094.200000000004,3.6152597402598965,63900.0,15,BTCUSDT:15m:PIVOT:LOW:2203:s2,FIRST_RESPONSE_EXTREME,63842.9,63867.7,64168.0,63810.0,NESTED_LIQUIDITY_RESPONSE,1,1,1.0,0.0,-0.27325383304939443,-0.03319811242652433,0.7313694521857836,0.04108046331457167,0.1703577512776835,0.0,0.16899488926743228,-2.5533219761499004,3.2,1.0986122886681098,7.4957410562180735,3.2,3.3369676320272443,1.0278193146016592,-0.0140849739760258,0.1703577512776835,22.305962521294777,102.66666666666667,-0.5673584241997933,0.7834036568213846,-0.16690388793167954,0.9884506027741496,0.0959851953817176,5.8,0.8065519386274337,0.6291752658866845,1.1959896595195416,-0.03623878973543466,-0.08606248342562552,2.0694518794071075,0.4197614991482022,1.2442500000000294,3.6152597402598965,1.5175468483816343,9.644364074743594,2.1066575481528536,1.2132557890815407,5.8,-1.1911210996886128,0.6349530755944747,-0.44262666813799245,0.05293668556597042,0.3597803258112652,10000.0,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724461740000000000,1724462340000000000,63879.7,63801.799999999996,2.024,-286.883278,10.0,False,0.0,-286.883278,-0.9562775933333334,
ETHUSDT:NESTED:ETHUSDT:60m:PIVOT:LOW:550:s2:1724471940000000000,ETHUSDT:LQC:ETHUSDT:60m:PIVOT:LOW:550:s2,ETHUSDT,1,1724471940000000000,1724463840000000000,2745.35,2741.1099999999997,2760.1699999999996,3.495283018867661,2743.0,60,ETHUSDT:60m:PIVOT:LOW:550:s2,FIRST_RESPONSE_EXTREME,2741.13,2743.31,2760.18,2741.12,NESTED_LIQUIDITY_RESPONSE,1,1,0.0,1.0,0.9799691833590393,0.478339350180525,1.0732631392580019,0.18105067461962665,1.0372881355932353,0.0,0.4030816640985796,-3.1895223420646883,2.7333333333333334,2.4849066497880004,10.332203389830442,2.7333333333333334,4.574422187981516,1.084116387171722,0.1182960338675978,1.0372881355932353,21.7442218798149,96.83333333333333,-0.4489795918367607,0.7776612480335501,-0.07701895611529427,1.123414145403331,0.03907610546300259,25.8,0.8647906657513947,-0.2005833000575799,0.8143844407032499,-0.012532641929303562,-0.05846678554683981,1.2226758297962486,0.7839753466872482,0.7769858490565603,3.495283018867661,2.7402157164868264,15.44429671990907,2.357772176978885,0.6474660004042045,25.8,-0.2038412287477429,-0.14867689013083496,-0.33016441446190614,-0.4166774063395057,0.2929911466266157,9713.116722,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724471940000000000,1724475660000000000,2745.74,2740.65,36.227,-283.77315527,62.0,False,0.0,-283.77315527,-0.973848605591447,
ETHUSDT:NESTED:ETHUSDT:15m:PIVOT:HIGH:2319:s2:1724563200000000000,ETHUSDT:LQC:ETHUSDT:15m:PIVOT:HIGH:2319:s2,ETHUSDT,-1,1724563200000000000,1724560560000000000,2765.42,2767.38,2762.98,1.2448979591836782,2764.19,15,ETHUSDT:15m:PIVOT:HIGH:2319:s2,FIRST_RESPONSE_EXTREME,2765.3,2765.89,2767.37,2762.2,NESTED_LIQUIDITY_RESPONSE,1,1,1.0,0.0,0.43240729977919884,0.28028933092226505,0.5703085206090569,0.15268377441233466,0.12274787864699921,0.0,0.16459374636746044,-2.703243054748367,2.4,1.0986122886681098,4.795536440776503,2.4,3.71312332907125,0.9541915270566058,-0.14200475134627127,0.12274787864699921,15.510868301755222,7.083333333333333,-0.5810955961332267,0.5555555555555785,-0.16487213997308894,0.7914028633057603,-0.14752416268706414,3.0,1.629864972200163,0.04476081051931875,0.9839900857247517,0.06920875595974632,0.0013169853209533712,1.1064596770436839,0.5467860048820297,1.6931142857142543,1.2448979591836782,0.6806927815878354,7.087531007948291,1.6476999811129949,0.9255988177634804,3.0,-0.17319559256890926,-0.26205892884200704,-1.0121572123591611,0.19121293846545018,0.30006597561387693,9429.34356673,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724563200000000000,1724563440000000000,2764.94,2767.85,47.501,-269.6344389,4.0,False,0.0,-269.6344389,-0.9531750080368407,
BTCUSDT:NESTED:BTCUSDT:60m:PIVOT:LOW:592:s2:1724636760000000000,BTCUSDT:LQC:BTCUSDT:60m:PIVOT:LOW:592:s2,BTCUSDT,1,1724636760000000000,1724633520000000000,63983.3,63836.4,64169.1,1.2648059904696651,63950.0,60,BTCUSDT:60m:PIVOT:LOW:592:s2,FIRST_RESPONSE_EXTREME,63979.1,63982.2,64169.2,63836.5,NESTED_LIQUIDITY_RESPONSE,-1,1,0.0,1.0,0.4984828411470431,0.13562159899539067,0.5910689546673714,-0.04265291653302076,0.9795290397025523,0.0,0.015898115304065378,-1.062096670797891,7.866666666666666,2.4849066497880004,1.641095773323648,7.866666666666666,2.6237018676011745,0.9807038339370182,0.017711477774723077,0.9795290397025523,0.9795290397025523,2.25,-0.11752329425906705,0.5585937499999898,-0.16093844688770848,0.5680932445231377,-0.06097323484416935,6.2,0.63141098700717,0.28814985864427983,0.8498239887856565,0.02236302244515165,-0.04350340521955165,1.735640876837854,0.7533655284413946,0.5226682096664346,1.2648059904696651,0.9528612333860207,22.959115894303896,2.114792348174589,0.769429390411841,6.2,-0.7122727993025213,-0.05012549719500348,-0.20637694399582965,-0.06373283409402394,0.1266098809516363,9159.709127830001,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724636760000000000,1724637960000000000,63991.299999999996,63828.700000000004,1.178,-266.82878,20.0,False,0.0,-266.82878,-0.9710234836653362,
SOLUSDT:NESTED:SOLUSDT:15m:PIVOT:LOW:2421:s2:1724663580000000000,SOLUSDT:LQC:SOLUSDT:15m:PIVOT:LOW:2421:s2,SOLUSDT,1,1724663580000000000,1724652300000000000,159.3,158.246,160.636,1.2675521821631706,159.307,15,SOLUSDT:15m:PIVOT:LOW:2421:s2,FIRST_RESPONSE_EXTREME,159.039,159.147,160.646,158.256,NESTED_LIQUIDITY_RESPONSE,-1,1,1.0,0.0,1.7656610203468182,0.16188795765328953,0.7187936330633902,0.040714310338883716,0.40894056329561795,0.0,0.25979753432896635,-1.421669840633476,2.3333333333333335,1.0986122886681098,4.072566903878949,2.3333333333333335,4.358825298185854,1.440599956295847,-0.0025340599952863195,0.40894056329561795,10.26440813871904,93.08333333333333,-0.7234314980793719,0.5608333333333283,-0.11912558633507074,1.0466195313654585,-0.010707850878355105,13.6,1.2011144360748016,0.26904081102157523,0.9068105075616651,-0.0010013755895918047,-0.012994955420283606,1.409776920773386,2.5354314924325987,0.18136622390891805,1.2675521821631706,3.213791720958165,66.16446955430018,1.2740294995766153,0.8949647847151389,13.6,-0.7056397420663796,-0.23350855121083458,-0.2978508621011763,-0.1908283893594609,0.1068389539563757,8892.88034783,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724663580000000000,1724666400000000000,159.32,160.64,209.76,253.43454912,47.0,False,0.0,253.43454912,0.9499529931335913,
BTCUSDT:NESTED:BTCUSDT:15m:PIVOT:HIGH:2493:s2:1724726280000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:HIGH:2493:s2,BTCUSDT,-1,1724726280000000000,1724722260000000000,63061.9,63196.1,62919.5,1.0611028315946687,63150.0,15,BTCUSDT:15m:PIVOT:HIGH:2493:s2,FIRST_RESPONSE_EXTREME,63053.8,63072.9,63196.0,62919.4,NESTED_LIQUIDITY_RESPONSE,1,1,1.0,0.0,1.6453217990828997,0.45168202271267244,0.5494783005004427,0.20841492993873623,1.465803765976134,0.0,0.14907801879734608,-2.686526391102094,8.066666666666666,1.0986122886681098,4.152330157078228,8.066666666666666,4.511366223291759,0.5192396682976597,0.12177231611150605,1.465803765976134,7.001203291163855,24.0,-0.13954418232707577,0.5149981929888019,-0.13280521901211467,0.8916511319715655,-0.12206975763684073,7.6,0.9067083031282644,0.7108276339045569,0.43081629308618147,-0.08012284556516398,-0.012174071594349793,1.653053393160948,1.047448697518583,0.5638918032787007,1.0611028315946687,1.111450778887116,21.28067819079303,1.3604211066357148,0.6690882334513263,7.6,-0.23406131648471795,0.6601320916450345,-0.0887398695760359,0.3059885896653262,0.30156945497272614,9146.31489695,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724726280000000000,1724726640000000000,63053.299999999996,62919.5,1.242,111.3942969,6.0,False,0.0,111.3942969,0.40597150566488954,
SOLUSDT:NESTED:SOLUSDT:15m:PIVOT:HIGH:2561:s2:1724786040000000000,SOLUSDT:LQC:SOLUSDT:15m:PIVOT:HIGH:2561:s2,SOLUSDT,-1,1724786040000000000,1724782560000000000,155.21,155.45999999999998,154.74699999999999,1.8520000000002996,154.933,15,SOLUSDT:15m:PIVOT:HIGH:2561:s2,FIRST_RESPONSE_EXTREME,155.166,155.287,155.45,154.571,NESTED_LIQUIDITY_RESPONSE,1,1,1.0,0.0,0.9858120845321756,0.22697368421052133,0.766172666232046,0.08818938605619146,0.27621787875778153,0.0,0.2881238218077442,-2.4788173429903946,7.066666666666666,1.0986122886681098,3.7646591923802095,7.066666666666666,3.986109733108433,1.070110888744411,-0.06833251873574454,0.27621787875778153,11.441611270959557,28.083333333333332,-0.4539249146758062,0.6542185338866157,-0.33713471133285594,0.5584511691462085,-0.11553434358985638,1.8,0.2894270525692765,-0.13053778725420517,0.4666021832250933,-0.05387328724433475,-0.03486181720044958,1.2625539072946976,0.5952971524952257,0.7450080000000847,1.8520000000002996,1.1024903264213366,16.107209587009315,2.577211118625697,0.737803528800751,1.8,-0.595843591724162,0.8973818514121006,-0.5780914888654765,0.11385874234160948,0.39430595235611315,9257.70919385,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724786040000000000,1724786700000000000,155.18,154.75,587.81,188.9574026,11.0,False,0.0,188.9574026,0.6803605465216906,
BTCUSDT:NESTED:BTCUSDT:15m:PIVOT:HIGH:2599:s2:1724823720000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:HIGH:2599:s2,BTCUSDT,-1,1724823720000000000,1724814960000000000,59449.5,59640.1,59222.2,1.1925498426023329,59422.5,15,BTCUSDT:15m:PIVOT:HIGH:2599:s2,FIRST_RESPONSE_EXTREME,59455.1,59480.3,59640.0,59222.1,NESTED_LIQUIDITY_RESPONSE,1,1,1.0,0.0,2.6578393018357023,0.4112497671819805,0.8408154208439454,0.20876340295045678,0.5224195004514123,1.0,1.1724345470959172,-1.8826361721336153,5.066666666666666,1.0986122886681098,3.1513692446584485,5.066666666666666,5.023171832681303,1.0682070153063596,0.08038821269355526,0.5224195004514123,33.53475774902169,50.833333333333336,-0.8533007334963334,0.5440191387559843,-0.13600478468899313,0.9192903677050733,-0.06553785085521462,10.4,0.4807940857157548,0.5060548934402659,0.6625745181099009,-0.007717630389265359,0.016307167847015063,1.7436263651012422,2.294312368341822,0.3742885624344205,1.1925498426023329,2.7360818537466254,32.06082473359718,1.9086991759012948,1.2924426311827906,10.4,-0.16820774576358824,-0.5473593806858856,-0.6613371992279984,0.7328667100587013,0.7049757533077595,9446.666596449999,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724823720000000000,1724826180000000000,59441.9,59222.200000000004,1.044,185.97253284,41.0,False,0.0,185.97253284,0.6562192456680518,
BTCUSDT:NESTED:BTCUSDT:15m:PIVOT:LOW:2785:s2:1724987340000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:LOW:2785:s2,BTCUSDT,1,1724987340000000000,1724981280000000000,59060.4,58918.5,59264.6,1.439041578576427,59100.0,15,BTCUSDT:15m:PIVOT:LOW:2785:s2,OPPOSING_VALIDATED_CONTROL,59040.0,59043.0,59327.8,58918.6,NESTED_LIQUIDITY_RESPONSE,-1,1,1.0,0.0,1.0725055518759237,0.33914843287993973,2.093186422776101,0.07876996212855772,0.5395254607082759,0.0,0.028051583745665673,-2.90146881209338,3.8666666666666667,1.0986122886681098,3.440994272801656,3.8666666666666667,5.1371800366229206,2.12519088230324,-0.12249570035295237,0.5395254607082759,3.026765886157299,39.666666666666664,-0.6500324044069977,0.6533105301734659,-0.07529425015486826,1.0174775041917505,-0.01899871327137618,17.8,0.2553944706675271,0.2938960788101218,1.283629967689196,0.07928046675262658,0.035115238349290534,1.469776220163507,1.32683991117,0.49945369978857834,1.439041578576427,1.9093778002882829,24.026251092102566,1.8731864440991353,1.3321743707293505,17.8,-0.15536968074903032,-0.2712336828802122,-0.791757924753384,0.04182119000812334,0.22278994542508143,9632.63912929,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724987340000000000,1724987520000000000,59067.9,58911.2,1.303,-281.04348365,3.0,False,0.0,-281.04348365,-0.972538885338391,
SOLUSDT:NESTED:SOLUSDT:15m:PIVOT:HIGH:2814:s2:1725008760000000000,SOLUSDT:LQC:SOLUSDT:15m:PIVOT:HIGH:2814:s2,SOLUSDT,-1,1725008760000000000,1725006840000000000,139.427,139.83499999999998,138.974,1.1102941176471013,139.806,15,SOLUSDT:15m:PIVOT:HIGH:2814:s2,FIRST_RESPONSE_EXTREME,139.512,139.649,139.825,138.964,NESTED_LIQUIDITY_RESPONSE,1,1,1.0,0.0,0.668026394721051,0.2510822510822486,0.7795467790888655,0.15276058430304532,1.514577084583107,0.0,0.3944811037792438,-1.2035992801439843,3.2666666666666666,1.0986122886681098,2.7181763647270913,3.2666666666666666,2.772885422915387,1.1150756463389577,0.22945357191009072,1.514577084583107,5.085062987402472,89.66666666666667,-0.12623490669594828,0.5315729047072377,-0.14009077155823932,0.8017354483790762,0.12747200783611706,5.2,0.995788952192304,-0.027854195323246216,1.0237213750535388,-0.04878503087225827,-0.07180022431910066,1.4091130968316816,1.1748050389921592,0.41007941176471885,1.1102941176471013,1.3043791241751679,29.262624886140205,0.6618154998469272,0.9617464835685224,5.2,-0.41389135398299415,-0.08804027379369739,-0.36900542191393837,-0.11262385366298722,0.6096049351428753,9351.59564564,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1725008760000000000,1725010080000000000,139.41,139.85,461.1,-267.267393,22.0,False,0.0,-267.267393,-0.9526623517082466,
