development_week,scenario_id,direction,signal_time_ns,entry_time_ns,exit_time_ns,entry_trade_id,exit_trade_id,entry_raw_price,exit_raw_price,nav_before,nav_after,planned_loss,net_pnl,net_r,holding_minutes,funding_cost,exit_reason
2022-03-07,FAR2-b7d097be5bfc90c6,LONG,1646722559999999999,1646722735568000000,1646728353166000000,1122617880,1122748568,38271.0,38909.21787024688,100000.0,108988.57330064438,3000.0,8988.57330064437,2.99619110021479,93.62663333333333,11.426699355508909,TARGET
2022-03-07,FAR2-c934f3e6b1be2fc7,LONG,1646859179999999999,1646860025908000000,1646874426146000000,1126260593,1126439307,41918.9,41720.0,108988.57330064438,106250.28718198917,3269.657199019331,-2738.2861186552045,-0.8374841617881223,240.00396666666666,22.478920093910848,TIME
2022-03-07,FAR2-d6141c0487703cfa,LONG,1646930939999999999,1646931126756000000,1646945526940000000,1128525242,1128741592,39087.3,39599.9,106250.28718198917,111400.8309793453,3187.508615459675,5150.543797356127,1.615852510131446,240.00306666666665,21.91014167552452,TIME
2022-03-07,FAR2-fdbeea1049d24e91,LONG,1647032099999999999,1647032478522000000,1647046878658000000,1130949656,1131151333,38617.9,39131.9,111400.8309793453,115314.28034020089,3342.0249293803586,3913.4493608555886,1.170981498806826,240.00226666666666,16.375188284913957,TIME
2022-03-07,FAR2-1c44f0c3d3fe710f,LONG,1647073679999999999,1647073889509000000,1647088289675000000,1131389944,1131537395,39035.2,39084.9,115314.28034020089,115249.70292711347,3459.4284102060265,-64.57741308742176,-0.018667076010853437,240.00276666666667,41.60207609378655,TIME
2022-03-07,FAR2-bb727a0e440a793a,SHORT,1647105599999999999,1647105775113000000,1647120175118000000,1131816749,1131931124,39140.0,39099.4,115249.70292711347,114991.23131707346,3457.4910878134037,-258.4716100400081,-0.07475698518820231,240.00008333333332,41.41338313278714,TIME
2022-03-07,FAR2-bf3e4e12492b7304,SHORT,1647125579999999999,1647125683126000000,1647129794242000000,1131957689,1132000509,39087.6,38684.92507339692,114991.23131707346,125324.04552180515,3449.7369395122037,10332.814204731687,2.995246995903623,68.5186,16.39661380474773,TARGET
2022-03-07,FAR2-86aa7ac5fd43bd8b,LONG,1647132659999999999,1647133014613000000,1647147414827000000,1132037248,1132156173,38897.6,39112.3,125324.04552180515,129205.50765021918,3759.7213656541544,3881.4621284140285,1.032380261971539,240.00356666666667,46.59239785348432,TIME
2022-03-07,FAR2-f6678eb185ccf471,SHORT,1647199139999999999,1647199301352000000,1647211755151000000,1132751969,1132891751,38939.0,38385.844563575214,129205.50765021918,140795.07410930272,3876.165229506575,11589.566459083528,2.9899567672864262,207.56331666666668,38.92922943616611,TARGET
2025-03-17,FAR2-ebf87a83353b657b,LONG,1742193239999999999,1742193955610000000,1742208356191000000,2636838260,2636998209,83121.9,83373.3,100000.0,100681.08063054142,3000.0,681.0806305414211,0.22702687684714037,240.00968333333333,20.365049000877818,TIME
2025-03-17,FAR2-f3e75670f7c102a0,SHORT,1742225159999999999,1742225662418000000,1742226715683000000,2637509756,2637531453,83122.0,83581.7,100681.08063054142,97680.56229005413,3020.4324189162426,-3000.518340487277,-0.9934068783316427,17.55441666666667,1.6046034511139313,STOP
2025-03-17,FAR2-6b889cef60b28da4,SHORT,1742362439999999999,1742362660066000000,1742362780598000000,2639498729,2639499706,82950.0,83098.0,97680.56229005413,94795.81681794015,2930.416868701624,-2884.7454721139798,-0.984414710045032,2.0088666666666666,0.3911888503582388,STOP
2025-03-17,FAR2-5e659d82533f2075,SHORT,1742400059999999999,1742400127727000000,1742406432435000000,2640124777,2640260920,84646.7,83726.52325992408,94795.81681794015,103307.94320757613,2843.8745045382047,8512.126389635972,2.9931441686517712,105.07846666666667,19.49712397826137,TARGET
2025-03-17,FAR2-6ae03aab68b9554d,SHORT,1742532539999999999,1742532966395000000,1742542724029000000,2642706655,2642797489,84662.1,83856.35492379521,103307.94320757613,112567.35683713686,3099.2382962272836,9259.413629560731,2.987641718557833,162.62723333333332,38.301259120890386,TARGET
2025-03-17,FAR2-6c67ba465335b8dd,LONG,1742602019999999999,1742602193053000000,1742607392948000000,2643561378,2643588699,84073.9,83992.2,112567.35683713686,109236.75698542618,3377.0207051141056,-3330.599851710683,-0.9862539032309978,86.66491666666667,26.272884597395286,STOP
2025-03-17,FAR2-e972e9988def237f,SHORT,1742663759999999999,1742663817232000000,1742664250396000000,2643825757,2643827237,84088.2,84155.0,109236.75698542618,106031.3546516302,3277.1027095627855,-3205.4023337959807,-0.9781208030015114,7.2194,2.2993130342121106,STOP
2025-03-17,FAR2-bfa2ab1875e73d1e,SHORT,1742750279999999999,1742750808557000000,1742765208747000000,2644301118,2644385105,85246.1,84978.4,106031.3546516302,108005.32292447299,3180.940639548906,1973.968272842794,0.6205611787596028,240.00316666666666,55.05840122778785,TIME
