scenario_id,direction,ignition_time_ns,confirmation_time_ns,entry_time_ns,exit_time_ns,entry_trade_id,exit_trade_id,entry_raw_price,entry_fill_price,exit_raw_price,exit_fill_price,initial_stop_price,final_stop_price,target_trigger_price,quantity,nav_before,nav_after,planned_loss,expected_loss_per_unit,net_pnl,net_r,holding_minutes,funding_cost,mfe_r,mae_r,exit_reason,signal_direction,signal_ignition_return_bps,signal_ignition_oi_drop_bps,signal_continuation_return_bps,signal_continuation_oi_drop_bps,signal_ignition_futures_flow,signal_ignition_spot_flow,signal_continuation_futures_flow,signal_continuation_spot_flow,signal_extension_through_ignition_bps,signal_cascade_high,signal_cascade_low,signal_signal_atr,signal_stop_trigger_price
LCPT-b63ca6a8e3127cc7,LONG,1646630100000000000,1646630400000000000,1646630460025000000,1646639477404000000,1120324085,1120432655,38186.5,38192.227975,37806.0,37800.3291,37806.271,37806.271,40828.97311713496,6.951944481098597,100000.0,97003.07954276454,3000.0,431.53394106592725,-2996.9204572354715,-0.9989734857451572,150.28965,8.313217149421815,0.06945461792868926,0.894316618634266,STOP,LONG,19.409106414258748,1.1834770590346544,52.33474177040787,33.2745986341465,0.27707015297135645,0.36807683873980857,0.32351196924209097,0.19824367191700037,20.786996755006726,38130.0,37813.1,34.145000000000074,37806.271
LCPT-1fa18a6c62286580,SHORT,1646741700000000000,1646742000000000000,1646742060028000000,1646756460425000000,1123062618,1123577238,38919.9,38914.062015,38669.5,38675.300425,39212.73066666667,39212.73066666667,36795.363924710095,8.42131750449226,97003.07954276454,98670.67853667596,2910.092386282936,345.5626016630508,1667.5989939114236,0.5730398807171375,240.00661666666667,16.38583531681318,1.8956392035696537,0.7423777450609049,TIME,SHORT,-37.71503571054602,1.677227945796611,-20.45398622047334,50.401628471481445,0.2532068354489817,0.10441053719063018,0.10362548078290798,0.04009057022820065,-37.22694026452533,39200.0,38870.9,63.65333333333341,39212.73066666667
LCPT-bc60d9d96a5be2f4,SHORT,1646763900000000000,1646764200000000000,1646764260026000000,1646778660518000000,1123932166,1124200039,38811.4,38805.578290000005,38586.5,38592.28797500001,39336.194,39336.194,35296.10857791242,5.125481017974673,98670.67853667596,99555.59814781114,2960.1203561002785,577.5302543740502,884.9196111351737,0.29894717264165044,240.0082,9.945202528656738,0.7737746838637085,0.29456761565569706,TIME,SHORT,-37.26980228917709,15.316596262384685,-37.69049810780412,50.934146078204236,0.1042107435137412,0.1614502521014849,0.1861570875993348,0.1732416968949529,-72.70957123760802,39318.8,38912.1,86.97000000000007,39336.194
LCPT-baa858668658cba2,LONG,1646786700000000000,1646787000000000000,1646787060050000000,1646797747063000000,1124282501,1124628648,38966.8,38972.64502,40853.119788683776,40846.99182071548,38713.82633333334,40195.18991666667,40853.119788683776,9.77905680337588,99555.59814781114,117480.51927856501,2986.667944434334,305.4147250073535,17924.92113075388,6.001645132381399,178.11688333333333,14.14232132349085,6.157217796079481,0.3229871120248982,TARGET,LONG,30.807847350085016,6.163135395405028,26.3881451579695,50.628016410219075,0.23016886786771187,0.05873443214859327,0.4470340637952283,0.16171419876845533,28.761895909819035,39034.4,38721.9,40.36833333333367,38713.82633333334
LCPT-8b25ca93e5284bc4,LONG,1646815200000000000,1646815500000000000,1646815560097000000,1646829748315000000,1125195976,1125557817,42119.8,42126.11797000001,41731.7,41725.440245,41731.81566666667,41731.81566666667,44845.99918198583,7.927263629601156,117480.51927856501,113955.43294370917,3524.4155783569504,444.5942185139961,-3525.0863348558537,-1.0001903170849153,236.4703,16.4516744103743,1.1727143725409914,0.8866916248205664,STOP,LONG,29.05236131269806,4.950873122382404,64.62321038365415,69.96197112891566,0.2981505341851256,0.1766719677377908,0.30526499166154736,0.2383966930089498,36.98536884695791,42400.0,41745.0,65.92166666666708,41731.81566666667
LCPT-f52b104f5012198e,SHORT,1646829600000000000,1646829900000000000,1646829960037000000,1646844360143000000,1125578992,1125972991,41867.3,41861.019905,42263.0,42269.33945000001,42659.43066666667,42659.43066666667,36719.1292440786,4.02590586098978,113955.43294370917,112133.79995263273,3418.662988311275,849.1661520050516,-1821.6329910764262,-0.5328495371742572,240.00176666666667,8.426488296987504,0.25686363556175046,0.8514000390770381,TIME,SHORT,-61.73145752861653,56.99504160916358,-62.352616765555254,62.91796362278612,0.09047542584241251,0.022524546745252685,0.20894949603059412,0.15302511508695177,-5.137279525087024,42647.5,41730.8,59.65333333333341,42659.43066666667
LCPT-568198fadaa8a2f6,SHORT,1646876100000000000,1646876400000000000,1646876460054000000,1646890860098000000,1126489062,1127132883,41406.6,41400.38901,39280.3,39286.192045,41935.744,39362.4895,37840.7000065699,5.7466537460670715,112133.79995263273,124039.62321845749,3364.013998578982,585.3865827363038,11905.823265824753,3.5391717367567375,240.00073333333333,11.895721377574006,3.946774794872175,0.07449946972844484,TIME,SHORT,-12.913512881288502,7.627108049057529,-100.8365200764827,105.01859013096637,0.3325284733773273,0.29332224863119116,0.3920680052758055,0.19934161043926668,-5.715501923899691,41925.7,41230.5,50.22000000000019,41935.744
LCPT-d76545c0e00641db,LONG,1646895300000000000,1646895600000000000,1646895660136000000,1646896333780000000,1127269601,1127280458,39302.0,39307.895300000004,39199.8,39193.92003,39199.841,39199.841,40286.601506360574,23.98436563373307,124039.62321845749,120362.38535882975,3721.1886965537246,155.1505990769261,-3677.2378596277354,-0.9881890329918789,11.2274,2.205189850968127,0.34485654788525316,0.6960675668835578,STOP,LONG,20.070130698117694,15.554047528442139,15.041536018245427,36.78352594880474,0.3323776643044144,0.1408938430061932,0.3591686275096806,0.06864967390338345,33.55481897251656,39400.0,39210.5,53.29499999999971,39199.841
LCPT-2f84332d48d99864,SHORT,1646899200000000000,1646899500000000000,1646899560122000000,1646901313437000000,1127335392,1127410461,39207.7,39201.818844999994,39053.0,39058.857950000005,39293.75433333334,39052.99016666667,38321.10399667659,25.969949617811356,120362.38535882975,123052.66177944273,3610.8715607648924,139.04037604633606,2690.2764206129787,0.7450490485025992,29.221916666666665,6.197903142977877,3.3207537129080054,0.032229163408729646,TRAIL,SHORT,-13.266449378691592,10.202786968410704,-7.929647959326047,20.705045357130025,0.10873378429215394,-0.07627954096436948,0.1252747278399892,0.013602758378315951,33.13824799302756,39285.4,39062.7,41.77166666666635,39293.75433333334
LCPT-0688e4370c9c9a7e,LONG,1647008700000000000,1647009000000000000,1647009060064000000,1647009627901000000,1130381000,1130406042,39512.9,39518.826935000005,39210.6,39204.71841,39210.69933333333,39210.69933333333,41699.74581858624,10.388662807049062,123052.66177944273,119379.768585544,3691.5798533832817,355.34697024514253,-3672.8931938987243,-0.9949380318923804,9.46395,0.8094590718289688,0.21970938698629328,0.8671156948022958,STOP,LONG,18.074515952226644,5.715529979575251,23.996498496081653,70.78908692806918,0.32781797213762814,0.0718998090104892,0.26371062299005166,0.25005311981166944,-79.92123996566791,39535.5,39223.6,64.5033333333334,39210.69933333333
