plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,auction_rejection,higher_strength,lower_strength,trigger_strength,setup_age,trigger_age,overlap_width,peer_progress,peer_flow,m_opponent_markout_1,m_own_markout_1,m_trapped_opponent_1,m_trapped_self_1,m_extreme_flow_1,m_extreme_share_1,m_late_flow_1,m_late_progress_1,m_flow_price_alignment_1,m_opponent_markout_5,m_own_markout_5,m_trapped_opponent_5,m_trapped_self_5,m_extreme_flow_5,m_extreme_share_5,m_late_flow_5,m_late_progress_5,m_flow_price_alignment_5,x_spot_move_15,x_relative_move_15,x_spot_flow_15,x_relative_flow_15,x_oi_change_15,x_spot_move_60,x_relative_move_60,x_spot_flow_60,x_relative_flow_60,x_oi_change_60,x_index_basis,x_premium,x_premium_change,x_spot_activity,x_futures_activity,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
REJECTION:h4-liquidity-XRPUSDT-00000081,XRPUSDT:H4_SWEEP:XRPUSDT:1723766400000000000:PREVIOUS_H4_HIGH:80,XRPUSDT,-1,1723768860000000000,1723768800000000000,0.5611,0.5622,0.5591,1.8181818181818366,0.5619,5.584962500721156,PREVIOUS_H4:1723766400000000000:PREVIOUS_H4_HIGH:SNAP:1723768800000000000,ObjectKind.HORIZONTAL_SUPPORT,0.56185,0.56195,0.5613,0.5609,AUCTION_REJECTION,0.34782608695648815,0.30318175682858745,0.6666666666666666,0.428571428571202,-0.6086956521739508,-0.00532795228062735,-0.21212121212122437,-0.047619047619042565,0.08695652173912204,0.14090355229414495,0.0067114093959723545,-0.33333333333333326,-6.173913043478341,0.021665818028170927,-0.10215827338129456,-0.787234042553193,0.0,0.0,1.0,0.4999999999998612,-0.5000000000001388,0.5903358131332375,0.6690496289809686,-0.023041012748880096,0.4676042385314136,-0.0,-2.3297062307314764,-0.4266451460613179,0.5838986552475284,-0.42158920539731687,0.9421710713270726,-0.18710644677663396,-0.8552145495879505,-1.0,-0.0,-0.2131812420786161,0.1541506798272583,0.0,0.6931471805599453,-0.5217391304347322,0.19825905863183288,0.7313222277078615,0.20000000000008883,0.0,0.0,0.6956521739129763,0.956521739130439,19.604348600962215,0.6127090909090964,1.8181818181818366,1.739130434782634,0.0,1.0,1.0,1.0,1.6178042472354734,3.7376696182833684,0.0,0.08695652173912204,-0.2344827586206829,0.09341841620134446,,,,,,,,,,,,,,,,,,,-0.5216462116403309,-0.08742944558154178,0.09158220210380207,-0.0969101543844303,-12.862160282978152,0.08688683906466249,6.19348406320095e-05,0.09609691583873595,0.04480663645540919,-29.96392540094206,7.042621753079459,6.16,3.1694,0.8211557414274135,0.3672414488558825,1723770480000000000,0.8477987721915685,1,1,27.0,False,2024-08,0.4403548649508332,-0.005986437789809094
ACCEPTANCE:ec-re1-efficient-pullback-SOLUSDT-00000012,SOLUSDT:EFFICIENT_PULLBACK:SOLUSDT:SOLUSDT:5m:PIVOT:LOW:4312:s2:1723776300000000000,SOLUSDT,-1,1723777260000000000,1723776300000000000,142.887,143.19899999999998,142.529,1.1474358974359715,141.179,1.584962500721156,SOLUSDT:15m:PIVOT:LOW:1386:s2:SNAP:1723777260000000000,ObjectKind.HORIZONTAL_SUPPORT,143.169,143.179,143.353,142.529,AUCTION_ACCEPTANCE,0.11222444889781671,0.03754023979113331,0.11475409836068629,0.9865771812079897,0.7454909819638851,0.038474610835429274,0.1591103507271115,0.0982367758186421,-1.7755511022043666,-0.004056506738999558,-0.08879534976949313,-0.0849144634525647,1.9739478957915733,0.0032071206052514466,0.0310559006211184,-0.20162822252374335,0.0,0.0,2.0097995545657485,0.9927007299269724,-0.007299270073027529,0.5729695194127866,0.7000301969177907,0.09351636889341369,0.6884794173688307,4.408541527416432,3.014271985091188,1.7758385371703473,-0.10519475228800956,0.3093606835095296,-3.7720482796804315,0.43613029845435547,1.996497177476065,-0.0,1.0,0.45733647109422815,2.614959778036198,0.0,2.833213344056216,-2.705410821643224,0.012017264879600182,2.5379088900141564,0.26518518518518935,0.0,0.0,-3.4228456913826975,0.6252505010019589,21.835436393792534,0.5501653846154139,1.1474358974359715,0.7174348697394736,0.0,0.0,2.0097995545657485,1.5584988962472548,3.9914608905566262,5.332718793265369,0.0,0.020040080160302037,0.2387370042356592,0.08202988699095003,,,,,,,,,,,,,,,,,,,0.7201178061389022,0.024404430412052563,-0.08934814478008472,0.12782275561551398,9.900971948777482,-1.828413685122582,0.047334887210552457,-0.08668783786077276,0.0826313311217732,-79.77496149251806,7.650710658182458,5.1223,1.5015000000000005,0.5961226121139468,0.5937210965618075,1723778400000000000,0.48955496140803134,1,1,19.0,False,2024-08,0.31763761392977696,-0.01615311048582406
ACCEPTANCE:ec-re1-efficient-pullback-ETHUSDT-00000012,ETHUSDT:EFFICIENT_PULLBACK:ETHUSDT:ETHUSDT:5m:PIVOT:LOW:2869:s2:1723776000000000000,ETHUSDT,-1,1723784640000000000,1723776000000000000,2594.56,2598.8900000000003,2585.51,2.090069284064418,2564.685,1.584962500721156,ETHUSDT:15m:PIVOT:LOW:1441:s2:SNAP:1723784640000000000,ObjectKind.HORIZONTAL_SUPPORT,2598.39,2598.4,2599.5,2575.0,AUCTION_ACCEPTANCE,0.07843137254903626,0.1074236628063176,0.08641975308644055,0.6875000000000999,-0.9225023342670864,0.01491920100149371,-0.23704414587333703,-0.35377711293938674,-2.407096171802124,-0.07149671612505364,-0.17975177799470243,-0.5977653631284767,-3.3520074696546254,0.01659269579386284,-0.048722890258136566,-0.5010337698139204,0.0,0.0,1.003232758620699,0.595936794582386,0.29119638826185357,1.2602247585552178,1.1898682959044768,0.13894697840349235,0.6630510151240253,2.2035430698252867,2.24205912331632,1.7282747688986766,0.3500925655266487,-0.8754477349962557,-2.203548085901062,-0.047054599270830666,-0.20354808590106233,-0.0,-1.0,2.003715194596082,6.203210053469823,0.0,4.976733742420574,-1.9262371615313647,0.028199627355738933,5.314751707657174,1.8962675714978035,0.0,0.0,-5.578898225957268,0.8085901027078527,16.68876418352392,0.7196466512701444,2.090069284064418,1.6900093370681757,0.0,0.0,1.003232758620699,1.6850393700786828,27.837907277989743,8.928640371201949,0.0,0.001867413632160349,-0.8283931357254252,-0.13001226102356842,,,,,,,,,,,,,,,,,,,-1.0069457542862608,0.08356408897422671,-0.05542267106002929,0.07034187206152129,7.657507570026922,-2.4847190630399965,0.071623681570079,-0.0713080513247123,-0.00018866480034132604,13.63604044970046,7.531946884407059,8.4605,2.2353,0.764296910747062,0.5878523158126315,1723785720000000000,-0.9663286083908763,0,0,18.0,False,2024-08,0.26613742282696756,-0.015220774256393232
REJECTION:h4-liquidity-ETHUSDT-00000097,ETHUSDT:H4_SWEEP:ETHUSDT:1723780800000000000:PREVIOUS_H4_HIGH:96,ETHUSDT,-1,1723789260000000000,1723789200000000000,2606.72,2613.3,2592.22,2.203647416413246,2609.04,5.584962500721156,PREVIOUS_H4:1723780800000000000:PREVIOUS_H4_HIGH:SNAP:1723789200000000000,ObjectKind.HORIZONTAL_SUPPORT,2609.035,2609.045,2613.29,2606.24,AUCTION_REJECTION,0.20833333333337092,-0.18191488947944806,0.17948717948719942,0.8638297872340409,-0.761904761904706,-0.22386667613409433,-0.2350061199510259,0.21105990783414175,-2.2499999999999547,-0.11214947393656308,-0.14992067689053207,-0.3763644992880766,-8.373015873015897,-0.03477681357717032,-0.12294604358466432,-0.7372525494900941,0.0,0.0,1.0,0.7705479452054602,-0.09931506849313575,0.7382374690994308,0.7974940219802028,0.23708090392667203,0.7075377903256929,0.4986861537870091,-0.15327432973832877,-0.06428853192659127,0.2690162494510067,-0.4862758014932288,-1.9749999999999939,-0.2756289604114772,-0.27499999999996083,-0.0,-1.0,2.5580410792129693,0.4595323293784402,0.0,0.6931471805599453,0.8432539682539744,0.12490271039413009,1.387221318188592,0.1714285714285668,0.0,0.0,0.4603174603174961,1.3055555555556408,25.242450282348628,0.4759896656534678,2.203647416413246,2.876984126984148,0.0,1.0,1.0,1.0,4.011719393941633,4.955827057601261,0.0,0.001984126984170308,-0.4725516029864021,-0.12411504908451443,,,,,,,,,,,,,,,,,,,-0.7978089620801774,0.03534246152659268,-0.25487673339997347,0.031010057265878382,79.18746835713364,-2.3054914999182308,0.05058317819748056,-0.0068290723616451655,-0.10532040157491791,89.83633305131633,5.203241416381621,6.1209999999999996,3.6921999999999997,0.681100191855686,1.0574097194019245,1723789920000000000,-0.9738614327897798,0,0,11.0,False,2024-08,0.16543087871240603,-0.0193532678710109
REJECTION:h4-liquidity-SOLUSDT-00000098,SOLUSDT:H4_SWEEP:SOLUSDT:1723780800000000000:PREVIOUS_H4_HIGH:97,SOLUSDT,-1,1723791660000000000,1723791600000000000,144.208,144.541,143.273,2.807807807807828,144.358,5.584962500721156,PREVIOUS_H4:1723780800000000000:PREVIOUS_H4_HIGH:SNAP:1723791600000000000,ObjectKind.HORIZONTAL_SUPPORT,144.353,144.363,144.364,144.135,AUCTION_REJECTION,0.2900378310214478,0.23018588735781004,1.0,0.36244541484713344,0.9609079445144603,0.07542417599155728,0.3645933014354113,0.7725856697819067,-2.451450189155021,-0.026428848854232023,-0.15093167701863558,-0.436633663366343,-3.331651954602623,0.005833635319033476,-0.05649403412735819,-0.6509202453987792,0.0,0.0,1.0,0.07368421052636932,0.5684210526316072,0.5562923347374479,0.6540819712718872,0.18131789611627763,-0.35231421666097273,-0.0,-0.06922954440047313,-0.025087526554695868,0.3556816589603303,-0.8376784605834837,-2.756517690875315,1.7985864050979439,0.30506750172029395,-1.0,-0.0,-0.11583275964936335,0.5596157879354227,0.0,0.6931471805599453,0.015132408575031436,0.09624863799097183,0.8682941453572399,0.32735426008970037,0.0,0.0,0.3783102143757859,0.8398486759142089,23.09164540108721,0.520268468468471,2.807807807807828,2.3581336696089816,0.0,1.0,1.0,1.0,1.0,5.204006687076795,0.0,0.025220680958361833,-1.4444444444444786,0.01843612409501612,,,,,,,,,,,,,,,,,,,0.8810929284930888,0.07854787979032381,0.2473061497228422,-0.17188197373128494,17.458731018855644,-2.529234086802846,0.06948487407934519,-0.026645090625409016,0.00021624177117699275,132.83541977722635,6.387092451149989,7.4749,4.5279,0.8844531710843929,0.8661618553962815,1723794060000000000,-0.9723034209563083,0,0,40.0,False,2024-08,0.3992346245397348,0.00012789678673411423
REJECTION:h4-liquidity-BTCUSDT-00000106,BTCUSDT:H4_SWEEP:BTCUSDT:1723780800000000000:PREVIOUS_H4_HIGH:105,BTCUSDT,-1,1723791960000000000,1723791900000000000,58420.0,58524.0,58177.4,2.3326923076922936,58494.9,5.584962500721156,PREVIOUS_H4:1723780800000000000:PREVIOUS_H4_HIGH:SNAP:1723791900000000000,ObjectKind.HORIZONTAL_SUPPORT,58494.85,58494.950000000004,58457.0,58420.0,AUCTION_REJECTION,-0.025011579434896448,0.2940794218670779,-0.06905370843983868,0.3883677298310687,1.4182491894395324,0.2681979970181437,0.5351275777700081,0.8373161764706138,-2.1389532190829077,-0.05626688632225429,-0.15306595956247657,-0.09649717514123646,-2.2732746641963852,0.011079572709510219,-0.04093001534458589,-0.5316307403936227,0.0,0.0,1.0,0.3594594594595381,0.6405405405404618,0.5536376615334693,0.5711934197401645,-0.01901924072328999,-0.026826138550087975,2.5861371119906273,0.1966714279799664,3.3655493059114847,0.3274664196387024,1.4695281256150778,-2.5859601260249896,-0.051278936175545464,0.4470069069420819,-1.0,-1.0,-0.2763120567375996,0.5714502455824255,0.0,0.6931471805599453,-0.35108846688282724,0.2318641672891946,0.7534592838343881,-0.0,0.0,0.0,0.6938397406206666,0.9634089856414942,17.80212256076686,0.6746769230769231,2.3326923076922936,2.247336729967549,0.0,1.0,1.0,1.0,1.0082634443362368,5.231108616854587,0.0,0.000926354793939973,1.5208070617906235,0.2990154974645045,,,,,,,,,,,,,,,,,,,1.4213600454323883,-0.004966002656914236,-0.005400873568952544,0.273598870587097,12.611368406574286,-2.2526492509145672,0.10945784692311429,-0.18445970274185924,0.12819281641960506,43.844733689493154,7.011513147484605,6.9387,2.2179999999999995,0.9329308030160456,0.836544828524657,1723795740000000000,-0.9915211421855481,0,0,63.0,False,2024-08,0.2059546192972729,-0.017568809003906203
ACCEPTANCE:ec-re1-efficient-pullback-ETHUSDT-00000013,ETHUSDT:EFFICIENT_PULLBACK:ETHUSDT:ETHUSDT:5m:PIVOT:HIGH:2834:s2:1723789800000000000,ETHUSDT,1,1723809300000000000,1723789800000000000,2609.23,2604.81,2624.0,3.341628959275959,2588.425,1.584962500721156,ETHUSDT:15m:PIVOT:HIGH:1434:s2:SNAP:1723809300000000000,ObjectKind.HORIZONTAL_RESISTANCE,2605.96,2605.9700000000003,2627.65,2604.82,AUCTION_ACCEPTANCE,-0.7339847991313997,-0.20947439463161208,-0.4470899470899379,0.13076923076923297,-1.0162866449511005,-0.2319510147875946,-0.23708206686927885,-0.030769230769253086,-1.5548317046688005,-0.15126110285170144,-0.10978227537564746,-0.5401459854014712,-1.3224755700325996,-0.01637420761856371,-0.022193068765716223,-0.5732946298984096,0.0,0.0,1.6678158588521572,0.8100775193799242,0.1899224806200758,0.5162268222382502,0.795973837969878,0.31281007539118466,0.21908769497303432,1.6099294314275703,3.227508743310903,2.134932953524972,-0.5701219512194343,-1.268847006651833,-2.6687915742793127,0.25256036170073237,1.1139598696105122,0.0,1.0,-1.0822066963070218,6.256389632437147,0.0,5.786897381366708,8.5179153094462,-0.031222128813257612,5.61412354177685,0.46959847036329166,0.0,0.0,4.517915309446201,0.9598262757871998,16.939863484629843,0.707788235294106,3.341628959275959,3.2073832790445,0.0,0.0,1.6678158588521572,1.638185032410068,1.2207881178195745,9.003439196207838,0.0,0.0021715526601994006,-1.411764705882299,-0.0486016648549509,,,,,,,,,,,,,,,,,,,-1.0908468855102984,0.07547057461623367,-0.31754442270045585,0.08559340791286235,7.808983419206328,-1.647388492425434,0.09468620348950023,-0.13636023949496673,-0.014900863356734712,91.69808129362522,-1.5057905178017528,-2.6729,2.2144999999999997,0.8031605767241858,1.0218420412927083,1723810320000000000,-0.9665883999007373,0,0,17.0,False,2024-08,0.16835933163778719,-0.01732395588756458
REJECTION:h4-liquidity-XRPUSDT-00000085,XRPUSDT:H4_SWEEP:XRPUSDT:1723809600000000000:PREVIOUS_H4_LOW:84,XRPUSDT,1,1723810560000000000,1723810500000000000,0.5643,0.5636,0.5678,4.999999999999683,0.5642,5.584962500721156,PREVIOUS_H4:1723809600000000000:PREVIOUS_H4_LOW:SNAP:1723810500000000000,ObjectKind.HORIZONTAL_RESISTANCE,0.56415,0.56425,0.5648,0.5637,AUCTION_REJECTION,-1.0,-0.28286708455025555,-0.4736842105263465,-0.19999999999997042,-1.7777777777776818,-0.0022770328560509255,-0.2758620689654994,-0.7073170731707092,-2.6666666666665844,-0.0005584895250967489,-0.1379310344827538,-0.733333333333317,-5.111111111110974,0.02341699718758535,-0.08745247148288673,-0.8095238095237944,0.0,0.0,1.0,-0.36363636363632695,0.4545454545455096,1.092216716411641,1.1770839041095857,-0.35102543624026095,-0.03197221579736853,-0.0517452576720423,-0.7611595385603742,0.3321433318051764,-1.5746147607460783,-1.9393722401240994,-2.528822055137822,0.1615944623464176,-0.13784461152876215,0.0,1.0,-3.517906336088327,0.06062462181643484,0.0,0.6931471805599453,0.5555555555556104,-0.060019412493610313,1.4644501344560168,0.8333333333333334,0.0,0.0,0.11111111111109741,0.7777777777778052,12.404749246855111,0.9667714285713815,4.999999999999683,3.888888888888779,0.0,1.0,1.0,1.0,4.46185193309303,2.833213344056216,0.0,0.11111111111109741,-2.100966702470517,-0.09863856961717483,,,,,,,,,,,,,,,,,,,-1.6632780113781642,-0.11198419033341064,-0.23599043606923037,0.2337134032131798,8.473798910095809,-2.4379670164697425,-0.22304493523064256,-0.2552905309842201,0.2547320414591232,36.52527424591767,-6.296051197658414,-3.5214000000000003,-1.3895000000000002,1.147833887904824,0.930287537935932,1723810680000000000,-0.9606257701458829,0,0,2.0,False,2024-08,0.24390791977146192,-0.007945100828131822
ACCEPTANCE:ec-re1-efficient-pullback-SOLUSDT-00000013,SOLUSDT:EFFICIENT_PULLBACK:SOLUSDT:SOLUSDT:5m:PIVOT:LOW:4288:s2:1723811700000000000,SOLUSDT,-1,1723812480000000000,1723811700000000000,139.28,139.78,138.587,1.386000000000024,140.668,1.584962500721156,SOLUSDT:15m:PIVOT:LOW:1445:s2:SNAP:1723812480000000000,ObjectKind.HORIZONTAL_SUPPORT,139.73000000000002,139.74,139.77,138.738,AUCTION_ACCEPTANCE,0.3214793741109634,0.05593153241465116,0.23014256619145193,0.7915904936015055,0.9416785206258914,0.046860729342481165,0.1520440973817094,0.011850501367370203,10.088193456614853,0.07906123542199144,0.327061427780852,0.7360603847090326,12.86201991465192,0.04363649623122776,0.16954809675604607,0.81015761821366,0.0,0.0,1.5288985823336798,0.7984084880636679,-0.10079575596812837,0.6807979167479962,0.7554785226334645,0.358696752967518,0.4414209281705242,7.677013220253048,4.4458330496477405,2.278869347893776,-0.8406596348450106,0.9011546214523201,8.01558066070568,0.040523899173571354,2.0726127959091727,-0.0,-1.0,5.769430894308981,4.110873864173311,0.0,2.639057329615259,5.490753911806761,0.04696399909606615,2.8523297570012978,0.28082901554404127,0.0,0.0,3.9487908961594753,1.4224751066856844,35.89890867317634,0.33487199999999995,1.386000000000024,1.9715504978663931,0.0,0.0,1.5288985823336798,1.790408525754873,3.794557318526904,6.81783057145415,0.0,0.028449502133687816,0.8606307222787486,-0.026023921946696567,,,,,,,,,,,,,,,,,,,0.6816136985552935,0.2589476385643748,0.07539123267023026,-0.028530503327749097,70.17817237983337,9.742716259612147,0.21919587266709248,0.16719801008432897,-0.08813677466233753,32.17720515761968,12.900679230283263,7.971500000000001,6.235800000000001,1.2365373160497095,1.3448378196565134,1723814160000000000,-0.9795586866931648,0,0,28.0,False,2024-08,0.2570124247915698,-0.016130891973799147
ACCEPTANCE:ec-re1-efficient-pullback-BTCUSDT-00000014,BTCUSDT:EFFICIENT_PULLBACK:BTCUSDT:BTCUSDT:5m:PIVOT:LOW:3974:s2:1723815600000000000,BTCUSDT,-1,1723825980000000000,1723815600000000000,58520.0,58692.5,57965.4,3.2150724637681076,58024.55,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:1464:s2:SNAP:1723825980000000000,ObjectKind.HORIZONTAL_SUPPORT,58658.6,58658.7,58692.4,57601.3,AUCTION_ACCEPTANCE,-0.00590987441515426,-0.022753203380774103,-0.008462623413237412,0.8688346883468993,-1.1406057621275312,-0.1457718221783389,-0.45146198830408435,-0.19869858238438165,-3.2789953213493885,-0.10126089308183905,-0.2766788563829823,-0.6839886353221489,-3.3967003201181343,-0.02570337822323129,-0.052835594505771924,-0.448349307774228,0.0,0.0,1.5637942551770223,0.5824357912179338,0.27340513670257494,0.9949020922826597,0.9481695874130994,0.21067892244905473,0.5104522394887867,1.4816596994216003,1.1703772534332746,0.5820043470866378,-0.8875451873718646,-1.7260836027638047,-3.290660451372379,0.5854778406362735,0.011665130022990411,-0.0,-1.0,0.32882765288856886,5.135798437050262,0.0,5.159055299214529,2.0844619551834223,-0.011248279312671004,5.374339532364416,2.170584760779674,0.0,0.0,-2.4400393991627185,0.8495444471804853,29.4771018455229,0.40769565217391307,3.2150724637681076,2.7313469588770776,0.0,0.0,1.5637942551770223,1.413860680563,6.0626959215082445,7.904334842085095,0.0,0.0004924895345902161,-2.1395348837209673,-0.22310218529927842,,,,,,,,,,,,,,,,,,,-1.1563417049626985,0.013472927244885635,-0.2092175730753179,0.06344575089697929,-22.509480002650406,-3.3524582473899813,0.05466715851856422,-0.07412423917328455,-0.02713665390855445,-33.86257174055274,7.61327125141098,6.978000000000001,2.9031000000000007,0.6785802823454292,0.680324695659376,1723829580000000000,-0.9764677370872753,0,0,60.0,False,2024-08,0.13533173184930455,-0.018289256670956516
