plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,source_prominence,effort_ratio,extension_noise,value_reclaim,event_minutes,first_effort,response_flow,risk_bps,risk_range,cost_r,planned_rr,market_move,relative_move,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:2644:s2:1739162520000000000:1739163300000000000,BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:2644:s2:1739162520000000000,BTCUSDT,1,1739163300000000000,1739162520000000000,96905.5,96759.9,97279.2,2.5666208791207565,96800.0,0.0,BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:2644:s2:1739162520000000000,15M_OPPOSING_LIQUIDITY,96725.1,96874.9,96942.9,96760.0,DEFENDED_AUCTION_PROBE,1.4248039914469024,1.3946135831381732,-0.7823765020028087,0.6554567304747599,13.0,0.4917118988505082,0.4575148573243207,15.024946984433889,1.8736729222520916,0.7986717032966714,2.5666208791207565,0.033473312408987516,0.28540041727686305,10000.0,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739163300000000000,1739164080000000000,96917.7,96747.3,1.085,-289.9472625,13.0,False,0.0,-289.9472625,-0.9664908750000001,
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2679:s2:1739174220000000000:1739174520000000000,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2679:s2:1739174220000000000,XRPUSDT,-1,1739174520000000000,1739174220000000000,2.4019,2.4085,2.3928000000000003,1.378787878787794,2.4078,0.0,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2679:s2:1739174220000000000,5M_OPPOSING_LIQUIDITY,2.4047,2.4109,2.4084,2.4015,DEFENDED_AUCTION_PROBE,1.6231884057971377,2.9375555614526254,-0.0322580645160551,1.2400170267354063,5.0,0.5182469929852594,0.02756507205275323,27.47824638827662,1.8938307030129764,0.43670909090908017,1.378787878787794,0.12888711456740376,-0.20777426322924286,9710.0527375,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739174520000000000,1739174760000000000,2.4015,2.4089,29040.7,-284.74987165,4.0,False,0.0,-284.74987165,-0.9775088400577633,
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2690:s2:1739177160000000000:1739177640000000000,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2690:s2:1739177160000000000,SOLUSDT,-1,1739177640000000000,1739177160000000000,205.12,205.53,203.17999999999998,4.7317073170732735,205.28,0.0,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2690:s2:1739177160000000000,5M_OPPOSING_LIQUIDITY,204.95,205.61,205.52,204.62,DEFENDED_AUCTION_PROBE,1.3141683778234028,3.4596116792648584,0.666666666666638,0.42813065394695604,8.0,0.6388276954735108,0.6532587151684738,19.988299531981113,1.1074097416043818,0.6003512195122,4.7317073170732735,-0.6481798480479954,-0.027459537457796723,9425.302865849999,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739177640000000000,1739177880000000000,205.09,205.56,409.42,-276.4915615,4.0,False,0.0,-276.4915615,-0.9778344011338224,
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2725:s2:1739187360000000000:1739188140000000000,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2725:s2:1739187360000000000,SOLUSDT,-1,1739188140000000000,1739187360000000000,204.78,205.32,203.47,2.425925925925966,205.28,0.0,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2725:s2:1739187360000000000,5M_OPPOSING_LIQUIDITY,204.95000000000002,205.60999999999999,205.31,204.47,DEFENDED_AUCTION_PROBE,2.1651376146789048,2.4717448777263713,-0.36363636363639495,0.5076750640510098,13.0,0.8504917403086523,0.11153570575591115,26.36976267213556,1.6990036706869183,0.45506666666667334,2.425925925925966,-0.3023098115469136,-0.09230804788588992,9148.811304350002,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739188140000000000,1739190480000000000,204.75,203.47,331.06,376.39237686,39.0,False,0.0,376.39237686,1.3713707873759005,
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:2753:s2:1739198280000000000:1739199060000000000,ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:2753:s2:1739198280000000000,ETHUSDT,1,1739199060000000000,1739198280000000000,2647.11,2637.5699999999997,2685.64,4.03878406708575,2640.7,0.0,ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:2753:s2:1739198280000000000,5M_OPPOSING_LIQUIDITY,2636.5299999999997,2644.87,2657.48,2637.58,DEFENDED_AUCTION_PROBE,1.2185541161721478,1.2170627443600217,0.34052757793766136,0.5705909856768566,13.0,3.1317124429685266,0.15370795719549715,36.039303240138935,2.091875890801545,0.3329698113207401,4.03878406708575,-0.6493617208925881,-0.017472501823021513,9525.20368121,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1739199060000000000,1739212260000000000,2647.41,2685.64,21.91,796.8484489699999,220.0,False,-3.1417679145664343,793.7066810554335,2.7775667853386623,
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2814:s2:1739213940000000000:1739214480000000000,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2814:s2:1739213940000000000,XRPUSDT,-1,1739214480000000000,1739213940000000000,2.4359,2.4409,2.4224,2.7000000000000712,2.4374,0.0,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2814:s2:1739213940000000000,5M_OPPOSING_LIQUIDITY,2.4339999999999997,2.4408,2.4408,2.4325,DEFENDED_AUCTION_PROBE,1.6395759717313814,4.834445797807552,0.9705882352940561,0.529297327099865,9.0,0.5708277674735767,0.015272329829887096,20.526294182847792,1.3895321908290668,0.5846160000000125,2.7000000000000712,-0.013857676393095764,-0.04235398320353116,10318.91036227,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739214480000000000,1739214720000000000,2.4354,2.4414,35947.4,-303.33854016,4.0,False,0.0,-303.33854016,-0.9798791070974741,
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:2866:s2:1739230140000000000:1739230560000000000,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:2866:s2:1739230140000000000,SOLUSDT,1,1739230560000000000,1739230140000000000,199.49,199.20000000000002,200.56,3.689655172413871,199.24,0.0,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:2866:s2:1739230140000000000,5M_OPPOSING_LIQUIDITY,199.07000000000002,199.41,199.66,199.21,DEFENDED_AUCTION_PROBE,1.543307086614162,1.01625428932635,-0.4117647058823431,0.688470592774107,7.0,0.4973204395077992,0.645965356991973,14.537069527294202,1.302785265049389,0.8254758620689882,3.689655172413871,-0.5650938272575345,0.05234228098118632,10015.571822110001,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739230560000000000,1739232660000000000,199.52,200.56,520.59,468.59763552,35.0,False,18.871801880638483,487.46943740063847,1.6223717961681734,
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2893:s2:1739237100000000000:1739237820000000000,BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2893:s2:1739237100000000000,BTCUSDT,-1,1739237820000000000,1739237100000000000,97968.6,98054.6,97720.1,2.88953488372093,97994.0,0.0,BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2893:s2:1739237100000000000,5M_OPPOSING_LIQUIDITY,97933.79999999999,98054.20000000001,98054.5,97850.0,DEFENDED_AUCTION_PROBE,1.7449896337248956,1.3418328969293025,-0.049833887043185754,0.30203015245168774,12.0,0.6478179386405436,0.3060289407859364,8.778322850382674,1.303589924967769,1.3670037209302326,2.88953488372093,-0.34572693393554216,0.037135260724033115,10503.041259509999,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739237820000000000,1739238060000000000,97955.7,98067.5,1.434,-300.8698344,4.0,False,0.0,-300.8698344,-0.9548657605166722,
ETHUSDT:PROBE:ETHUSDT:15m:PIVOT:LOW:965:s2:1739239380000000000:1739239740000000000,ETHUSDT:PROBE:ETHUSDT:15m:PIVOT:LOW:965:s2:1739239380000000000,ETHUSDT,1,1739239740000000000,1739239380000000000,2695.33,2690.41,2704.37,1.8373983739837052,2690.9,1.0986122886681098,ETHUSDT:PROBE:ETHUSDT:15m:PIVOT:LOW:965:s2:1739239380000000000,5M_OPPOSING_LIQUIDITY,2688.13,2693.67,2698.69,2690.42,DEFENDED_AUCTION_PROBE,0.9293347121682194,1.5966013486415656,-0.5703971119133349,0.7788748616767043,6.0,0.8194983065468229,0.47898523762200584,18.253794526087987,1.6560080780882083,0.6573975609756,1.8373983739837052,0.06259237275614639,-0.2373809941001493,10202.17142511,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1739239740000000000,1739239980000000000,2695.7,2690.04,35.488,-296.42665056,4.0,False,0.0,-296.42665056,-0.9685083635902014,
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:LOW:2916:s2:1739244000000000000:1739244840000000000,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:LOW:2916:s2:1739244000000000000,XRPUSDT,1,1739244840000000000,1739244000000000000,2.4359,2.432,2.4457,2.512820512820311,2.4339,0.0,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:LOW:2916:s2:1739244000000000000,5M_OPPOSING_LIQUIDITY,2.4314999999999998,2.4363,2.4389,2.4321,DEFENDED_AUCTION_PROBE,1.0952380952380563,1.4843121691893755,-0.7499999999998612,0.12636816039926735,14.0,0.5139104246401531,0.3666581205132694,16.010509462622586,1.555851063829874,0.7495076923076468,2.512820512820311,0.17443864065315257,0.05059708894299658,9905.744774550001,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739244840000000000,1739246820000000000,2.4364,2.4457,39072.3,296.66268932,33.0,False,0.0,296.66268932,0.9982849887343171,
