plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,risk_bps,risk_range,cost_r,planned_rr,defense_age,target_scale,defense_prominence,target_prominence,defense_distance,target_distance,move_5,flow_5,efficiency_5,activity_5,location_5,value_distance_5,move_15,flow_15,efficiency_15,activity_15,location_15,value_distance_15,move_60,flow_60,efficiency_60,activity_60,location_60,value_distance_60,move_240,flow_240,efficiency_240,activity_240,location_240,value_distance_240,move_block_0,flow_block_0,range_block_0,location_block_0,move_block_1,flow_block_1,range_block_1,location_block_1,move_block_2,flow_block_2,range_block_2,location_block_2,move_block_3,flow_block_3,range_block_3,location_block_3,move_block_4,flow_block_4,range_block_4,location_block_4,move_block_5,flow_block_5,range_block_5,location_block_5,move_block_6,flow_block_6,range_block_6,location_block_6,move_block_7,flow_block_7,range_block_7,location_block_7,high_change_15,low_change_15,high_change_60,low_change_60,high_change_240,low_change_240,market_move_5,relative_move_5,market_move_15,relative_move_15,market_move_60,relative_move_60,market_move_240,relative_move_240,inventory_change_5,inventory_change_15,inventory_change_60,inventory_change_surprise,spot_flow_15,relative_flow_15,spot_move_15,relative_spot_move_15,premium_bps,premium_change_15,spot_participation,futures_participation,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:6546:s2:XRPUSDT:15m:PIVOT:HIGH:2211:s2:1724463600000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:6546:s2:XRPUSDT:15m:PIVOT:HIGH:2211:s2,XRPUSDT,1,1724463600000000000,1724434500000000000,0.6042,0.5995,0.6096,1.1489361702127991,0.5996,5,XRPUSDT:5m:PIVOT:LOW:6546:s2,15M_NEAREST_OPPOSING_LIQUIDITY,0.5996,0.6042,0.6097,0.6042,LEARNED_AUCTION_DIRECTION,77.78881165176972,2.7790872865915612,0.15426382978723643,1.1489361702127991,32.333333333333336,1.0986122886681098,1.1162790697674299,1.6,10.763358778625877,12.366412213740725,-1.741060562633474,-0.4321893546708238,-0.4358974358974432,3.8440344827568076,0.055555555555548704,-0.7355957900519154,-1.3008493681918687,-0.21886105783138185,-0.2558139534883811,2.287956518770266,0.030303030303026224,-0.8545162880285413,-1.2417198514558507,-0.11879267251096916,-0.16030534351145526,1.2068834342686952,0.017857142857140733,-0.7960430651251508,-1.1382431971678442,-0.0645575991115052,-0.06368899917286994,1.3506299659386043,0.008620689655171423,-0.9235877392978307,-1.741060562633474,-0.432189354670824,1.8434758898471946,0.055555555555548704,-0.8193226177098769,-0.5014263450836367,1.331399253778479,0.07692307692307035,0.3072459816411612,0.530562941562905,1.228983926564872,0.41666666666668206,-0.512076636068602,-0.25634740173376697,0.6144919632823224,0.0,-1.1265685993510381,-0.432970813060508,1.6386452354196401,0.18749999999998698,-0.2048306544274408,0.11136197087764244,0.7169072904960427,0.42857142857142855,0.1024153272137204,0.20387395551623005,0.8193226177098769,0.4999999999999306,-0.4096613088549953,0.34353912546230736,1.1265685993510381,0.5454545454544903,-3.5477710041594985,-0.5912951673599165,1.8330150188157344,-1.3895436432957806,-0.4434713755199373,-0.4582537547039336,-0.39814039405758717,-1.342920168575887,-0.2987767712075893,-1.0020725969842794,-0.8050838780615036,-0.4366359733943471,-0.9537661442863472,-0.18447705288149696,-1.7672680518998618,19.105510269348258,53.97445319374583,0.5502273857665954,-0.2760664673151898,0.057205409483807895,-37.97577419529796,1.6301204393931386,-7.8805,-1.6837000000000004,1.0658549953749883,0.9731729057133423,10000.0,0.00052209097117999,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724463600000000000,1724479860000000000,0.6043,0.6096,54036.4,263.47770384999995,271.0,False,0.0,263.47770384999995,0.8782590128333332,0.5457182564923884
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:6798:s2:XRPUSDT:15m:PIVOT:LOW:2255:s2:1724512800000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:6798:s2:XRPUSDT:15m:PIVOT:LOW:2255:s2,XRPUSDT,-1,1724512800000000000,1724510100000000000,0.6196,0.6299,0.6093,1.0000000000000109,0.6298,5,XRPUSDT:5m:PIVOT:HIGH:6798:s2,15M_NEAREST_OPPOSING_LIQUIDITY,0.6196,0.6298,0.6196,0.6092,LEARNED_AUCTION_DIRECTION,166.23628147191698,2.917128224200091,0.07218640776699047,1.0000000000000109,3.0,1.0986122886681098,2.20833333333336,1.5517241379310476,11.297989031078567,11.29798903107869,1.3735262165263344,0.29817763759449856,0.4242424242424008,0.8761045899951697,0.8235294117646905,0.43980232419239834,0.849648997339835,0.2672472773843226,0.22727272727272382,0.4797375596298581,0.8723404255319064,0.5070655016882739,0.7080408311165292,0.04834803362994693,0.09140767824497252,0.4132228814686398,0.9444444444444404,0.6972745955569883,-0.5522718482708944,-0.05620755457145403,-0.03354838709677428,0.48514315631085986,0.5251141552511387,0.1764260437648066,1.3735262165263344,0.29817763759449856,1.667853262924866,0.8235294117646905,0.5886540927970627,0.3132963666816225,0.7848721237293808,0.7500000000000346,-0.39243606186463587,0.13697940782074913,0.8339266314624602,0.17647058823533637,0.9810901546616987,0.18614942262108072,1.2263626933270961,1.0,-0.04905450773307948,-0.26134813127605394,0.49054507733084934,0.3999999999999556,-0.5395995850639833,-0.3792272178207151,1.030144662394778,0.3809523809523407,0.5886540927970083,0.23723763551243301,1.422580724259414,0.6551724137930915,0.5395995850639288,0.008355979565444696,0.9320356469286192,0.7368421052631302,0.2548946992019536,-0.5664326648932233,-0.16992979946796385,-0.5097893984039072,0.21949265764612325,-0.9133726721403234,0.8963342678159671,0.4771919487103673,0.5719378195723696,0.27771117776746546,0.22558873742435384,0.48245209369217534,0.12115065016654135,-0.6734224984374357,-39.73226178782596,-20.849603098511693,14.73754958119855,-0.5373207045430479,0.1776280896950311,0.08961918768929147,48.29371910344493,0.007775544497718556,4.2808,0.38900000000000023,0.6407602751314119,0.7090343435546174,10263.47770385,0.0016401030146487791,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724512800000000000,1724535420000000000,0.6195,0.6093,27617.6,269.77948766,377.0,False,1.7116164467968,271.4911041067968,0.8817385033955759,0.5672492308008377
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:6891:s2:XRPUSDT:60m:PIVOT:HIGH:572:s2:1724544000000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:6891:s2:XRPUSDT:60m:PIVOT:HIGH:572:s2,XRPUSDT,1,1724544000000000000,1724538000000000000,0.6121,0.6068,0.6242,2.2830188679245405,0.6069,5,XRPUSDT:5m:PIVOT:LOW:6891:s2,60M_NEAREST_OPPOSING_LIQUIDITY,0.6069,0.6121,0.6243,0.6121,LEARNED_AUCTION_DIRECTION,86.58715896095363,3.194834511268281,0.13858867924528376,2.2830188679245405,6.666666666666667,2.4849066497880004,1.7222222222222479,1.0138888888888873,12.373540856030766,28.24902723735341,-0.8352627464590694,-0.4337065322218497,-0.19512195121951287,1.8018906567168553,0.46666666666663215,0.008743410224597592,-0.06027989643901786,-0.27922606044770387,-0.01333333333333136,0.9496335283859062,0.41176470588232605,-0.09118570976314339,0.8439185501463505,-0.059940782411565176,0.10894941634241082,0.5046089573142537,0.7435897435897443,0.1047445984571095,-1.1001081100121932,-0.1070341955832854,-0.040043883708173016,1.1301051198948497,0.3838383838383822,-0.08205958444184167,-0.8352627464590694,-0.43370653222184974,1.5661176496106537,0.46666666666663215,0.31322352992210756,-0.17869392585949165,0.8352627464590694,0.6250000000000521,0.20881568661485428,0.17860400686713637,0.5220392165369618,0.6000000000000888,0.41763137322947674,0.12801853414095832,0.7308549031515843,0.8571428571428571,-0.31322352992210756,-0.09581962588584057,0.8352627464589535,0.25,0.31322352992210756,0.0509268765978419,0.9396705897664386,0.8888888888889026,0.20881568661473837,0.003807595514168876,0.8352627464590694,0.7500000000000346,0.0,0.18746319976038162,0.8352627464590694,0.6250000000000521,-2.109796375365893,-8.740584983658527,-2.0495164789268414,-3.767493527439018,2.3207760129024386,-0.4671691974024386,0.18302288764936228,-1.0182856341084316,1.8420382715679435,-1.9023181680069614,1.38989259159511,-0.5459740414487594,-0.5714253623324916,-0.5286827476797016,-46.80171938893807,-49.227801292452966,-36.44008644418051,-1.0735737904567482,-0.09689709485317385,-0.18232896559452985,3.264773127267806,-3.264773127267806,-7.378299999999999,-3.1984,0.34581452816723557,0.628457311403303,10534.96880796,0.0008030898814714964,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724544000000000000,1724549580000000000,0.6122,0.6067,51279.6,-313.29015222,93.0,False,0.0,-313.29015222,-0.9912706211440784,0.3643846802564136
SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:6933:s2:SOLUSDT:15m:PIVOT:HIGH:2309:s2:1724551500000000000,SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:6933:s2:SOLUSDT:15m:PIVOT:HIGH:2309:s2,SOLUSDT,1,1724551500000000000,1724550600000000000,158.513,157.309,159.823,1.0880398671096294,157.319,5,SOLUSDT:5m:PIVOT:LOW:6933:s2,15M_NEAREST_OPPOSING_LIQUIDITY,157.319,158.513,159.833,158.513,LEARNED_AUCTION_DIRECTION,75.9559152877056,1.275282906832695,0.1579863787375405,1.0880398671096294,1.0,1.0986122886681098,1.6609642301711294,1.0327272727272683,4.939149459866012,5.3739915219472145,0.7099890392116103,0.12890672210002174,0.3724735322425459,0.5285520213613153,0.8623417721519171,0.4301639732306199,0.8007590345228501,-0.030047923858038138,0.232830304896831,0.6353671156687974,0.8967971530249227,0.3405877299398416,-0.48882314078346023,-0.09133747384338577,-0.06310679611650484,0.8603646669534147,0.4749403341288831,0.035385416322083946,0.10300769326368936,0.010588895330483246,0.008052163113227234,0.7680872232419288,0.3463881636205442,-0.17722375479448932,0.7099890392116103,0.12890672210002174,1.1594653043455831,0.8623417721519171,-0.2311592220688527,-0.413857010478295,0.7705307402296306,0.17142857142858303,0.9117947092717305,0.25930223563085014,1.1539615133439165,0.7901430842607202,0.2917009230869774,-0.0350556874201205,0.8053880832400819,1.0,-0.2825279380841996,-0.05349626824803242,0.6237629801859164,0.28823529411768295,-0.3815961761137303,-0.01380967405286023,0.9906823802952544,0.31851851851851776,-1.8621159555550233,-0.3220306153258931,2.476705950738162,0.18592592592593024,-0.8347416352487622,-0.15045612231787228,1.144788528341191,0.27083333333335324,-0.9882383322881125,1.4140387712804379,-0.8256503537176726,7.748614705095117,0.13981506951986045,1.032724945317169,0.4021003356620327,0.3078887035495776,0.6152402095863116,0.18551882493653848,-0.40178156502232243,-0.0870415757611378,0.17075153087215414,-0.06774383760846478,4.062988730506589,53.2257752361609,11.207049719690332,1.7210686159858137,0.05841511633935705,-0.08846304019739519,50.56900788972918,-2.8250519673900243,-4.8304,-2.5154,0.6185835043460407,0.5495809491500725,10221.678655740001,0.004403498547387388,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724551500000000000,1724557500000000000,158.53,157.29,216.15,-302.1582465,100.0,False,0.0,-302.1582465,-0.9853510259143282,0.6307499343698983
SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:6963:s2:SOLUSDT:15m:PIVOT:HIGH:2309:s2:1724564700000000000,SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:6963:s2:SOLUSDT:15m:PIVOT:HIGH:2309:s2,SOLUSDT,1,1724564700000000000,1724559600000000000,158.405,157.352,159.823,1.3466286799620228,157.362,5,SOLUSDT:5m:PIVOT:LOW:6963:s2,15M_NEAREST_OPPOSING_LIQUIDITY,157.362,158.405,159.833,158.405,LEARNED_AUCTION_DIRECTION,66.47517439474747,2.292118287793408,0.18051851851851897,1.3466286799620228,5.666666666666667,1.0986122886681098,1.4738617200674495,1.0327272727272683,8.877335956161328,11.954475200224932,-1.202707351112678,-0.46987951807228917,-0.6536885245901789,0.455094407766034,0.003125000000014988,-0.4901769470051604,-0.9142352145044684,-0.3105731129796076,-0.2644836272040281,0.45296028061036037,0.002183406113547551,-0.5807786838527387,-0.08162814415217474,-0.04714503420771052,-0.01053814809610637,0.6750627241859536,0.00805152979065315,-0.28593582899010617,0.43861522791109175,-0.013881584443586918,0.02454473475851173,0.8597009759527646,0.6484018264840228,0.11469676682901112,-1.202707351112678,-0.46987951807228917,1.2064775935926733,0.003125000000014988,0.15835018415904772,-0.009305808107819018,0.6824138888758069,0.23204419889505798,-0.5391446746367399,-0.3440422488722632,0.7691294659152675,0.2990196078430628,0.45242909759727923,0.2674978747520544,1.2366395334324203,0.40548780487802344,0.3581730355978282,-0.22177445993261544,1.3346658379118665,0.7429378531073909,-0.7088055862357732,-0.26321063531298017,1.229099048472537,0.37730061349691085,0.6032387967963366,0.27954827394447535,1.104681046633339,0.5529010238907939,0.21113357887876602,-0.18972192889827524,0.7502782535153988,0.6934673366834996,-1.797995921858827,-0.10883752553621237,-1.6967770231101267,15.924018361208661,9.521650921538779,2.122331747956868,-1.2448666052416655,0.04215925412898747,-0.8209468195116807,-0.09328839499278774,-0.0447665440248257,-0.03686160012734904,0.36059670598458016,0.0780185219265116,-2.569996194594637,-5.1997545720361416,32.418174451596116,-0.17638564718168917,-0.00211952838044814,-0.30845358459915945,-24.577004525285773,-1.9651837953915674,-5.5892,-3.4629,0.4763951947010554,0.359225346891179,9919.52040924,0.0023961613594710354,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724564700000000000,1724569740000000000,158.44,157.33,233.1,-295.5439935,84.0,False,0.0,-295.5439935,-0.9931393901688426,0.5434438889374453
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:7001:s2:XRPUSDT:60m:PIVOT:LOW:542:s2:1724571900000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:7001:s2:XRPUSDT:60m:PIVOT:LOW:542:s2,XRPUSDT,-1,1724571900000000000,1724571000000000000,0.5965,0.602,0.5904,1.1090909090909182,0.6019,5,XRPUSDT:5m:PIVOT:HIGH:7001:s2,60M_NEAREST_OPPOSING_LIQUIDITY,0.5965,0.6019,0.5965,0.5903,LEARNED_AUCTION_DIRECTION,92.20452640402262,1.641727044635115,0.13014545454545573,1.1090909090909182,1.0,2.4849066497880004,1.259259259259253,1.8238341968911764,6.358381502890121,7.0520231213872835,-0.4653089432947605,-0.06634675532038253,-0.15789473684210628,3.6336456467321576,0.14999999999998337,-0.3698686084373599,1.074584974670248,0.22967106651168062,0.19565217391304268,5.413054575269115,0.6666666666666602,0.07566595662600953,1.2536824704486393,0.2172569402894422,0.1618497109826584,3.5813493455500613,0.8288288288288277,0.45143633937004024,0.6492284221966145,0.1609736813630315,0.05958904109589024,1.8788981002086695,0.8707482993197264,0.4917935343536355,-0.4653089432947605,-0.06634675532038256,1.034019873988344,0.14999999999998334,1.7061327920807503,0.3646229454097721,2.6884516723696827,0.7884615384615397,0.517009936994172,0.03295851886823544,0.6721129180924064,0.9230769230769297,0.5687109306935835,-0.06952854604901919,0.930617886589521,1.0,-1.1891228550865784,-0.04140389786179016,1.4993288172831045,0.06896551724140967,0.3102059621965262,0.08547804374131776,0.7238139117918179,1.0,1.24082384878599,0.29749525581627545,1.4993288172831045,0.8620689655172189,0.4136079495953491,0.2713943430383698,0.7755149054912293,0.8000000000000148,1.1641337225594603,-0.328345408927023,0.11939833051892197,1.5820278793756624,0.23133426538040408,-1.1492089312445888,-0.43215814339060504,-0.03315079990415548,1.112860440765326,-0.038275466095077926,1.0712616868473268,0.18242078360131253,0.480256586526394,0.16897183567022045,-4.024232002137751,-134.74437211396406,-253.02246337744805,-2.8397524284062134,0.13190347199768954,0.09776759451399111,61.78528463513744,-1.6146200601740972,7.3774,-0.34500000000000025,1.4943436499725495,1.471578763206036,9623.97641574,0.0008565203527719414,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724571900000000000,1724584800000000000,0.5964,0.6021,45709.8,-287.93745765,215.0,False,-2.356774911773026,-290.294232561773,-1.0054549180835384,0.5496565437136062
SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:7164:s2:SOLUSDT:60m:PIVOT:HIGH:570:s2:1724625300000000000,SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:7164:s2:SOLUSDT:60m:PIVOT:HIGH:570:s2,SOLUSDT,1,1724625300000000000,1724619900000000000,160.494,158.685,162.315,1.0066334991708128,158.695,5,SOLUSDT:5m:PIVOT:LOW:7164:s2,60M_NEAREST_OPPOSING_LIQUIDITY,158.695,160.494,162.325,160.494,LEARNED_AUCTION_DIRECTION,112.71449399977554,1.966108284913456,0.10646368159203994,1.0066334991708128,6.0,2.4849066497880004,1.2450028555111694,1.181938911022573,7.614704644310241,7.665216781254259,-0.4819139067545429,-0.30981120396162176,-0.21639898562975637,1.2804952742382938,0.22222222222224775,-0.1959856028313457,-1.2487885126398925,-0.301348537496962,-0.37512242899117293,0.9141616726914624,0.08371385083714752,-0.3817634709267258,-0.24182371110737305,0.0016170990648948886,-0.031219306861230978,1.0675747895324679,0.07304116865870759,-0.3630783467812,0.33773805944546975,0.008427954791346115,0.02766279432055874,0.8019893835493053,0.5924087591240895,0.11141320022762122,-0.4819139067545429,-0.30981120396162176,0.9318257181386747,0.22222222222224775,-0.39343752543633165,-0.16545774260907792,0.43108704940154957,0.004366812227094831,-1.2876137196097885,-0.3984048613748576,1.5944573399261779,0.1275088547815856,-0.3501405728763605,0.045042512824116365,0.688986288563161,0.33060109289618783,0.7812276222779101,0.16121453972034047,0.8960586703717257,0.871848739495843,-0.3181384775058959,-0.02309203142536476,1.4099746724966797,0.7743658210948147,0.6701615265805253,0.16280865900214048,1.1276032427576792,0.5943238731218711,-0.4179097160137206,-0.23560359328585234,1.005242289870788,0.5074906367041025,-0.5390766773449629,-0.1630272209712714,0.6825406317996972,-1.1189101599327822,4.754145475557042,3.4292775931305663,-0.0770806927283606,-0.4048332140261823,-1.1196351099284414,-0.12915340271145115,-0.3118991102755474,0.07007539916817435,0.23830498612884637,0.09943307331662338,5.875407990103554,-5.250599445556503,82.52849908485516,-0.2328607252524159,-0.24310235375157135,-0.058246183745390645,-70.74184016031992,-0.5945709071397687,-5.3242,-1.0784000000000005,0.7927331379437901,0.7903213311066263,9333.682183179999,8.572133994898604e-06,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724625300000000000,1724629740000000000,160.51,158.67,138.34,-276.6232806,74.0,False,0.0,-276.6232806,-0.9879033632210593,0.5501719873912099
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:7228:s2:XRPUSDT:15m:PIVOT:HIGH:2405:s2:1724640300000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:7228:s2:XRPUSDT:15m:PIVOT:HIGH:2405:s2,XRPUSDT,1,1724640300000000000,1724639100000000000,0.5954,0.5909,0.6,1.0222222222221948,0.591,5,XRPUSDT:5m:PIVOT:LOW:7228:s2,15M_NEAREST_OPPOSING_LIQUIDITY,0.591,0.5954,0.6001,0.5954,LEARNED_AUCTION_DIRECTION,75.57944239167045,1.4055181498333464,0.15877333333333124,1.0222222222221948,1.3333333333333333,1.0986122886681098,2.618181818181824,1.1186440677965968,5.443548387096812,5.564516129032148,0.48688576929431243,0.11385974070726253,0.3600000000000124,0.37417665368305847,0.6923076923077186,0.1606603956639472,0.09370120998891288,-0.0221203674836456,0.032967032967040746,0.5865391000350522,0.8181818181818366,0.14187971670885796,-0.3748048399555475,-0.1705167031251981,-0.048387096774192395,1.9903453509765432,0.578947368421058,0.16499485144564718,-0.5153566549388822,-0.125905713499027,-0.047930283224400336,1.1521741808914887,0.3333333333333389,-0.16768096566149537,0.48688576929431243,0.11385974070726262,0.7032794445362024,0.6923076923077186,-0.3786889316733074,-0.2827801966608907,0.9196731197781524,0.5294117647058785,0.0,0.13189966474102552,0.48688576929431243,0.33333333333329224,0.43278735048377986,0.2275656821661112,0.8114762821572074,0.7333333333332988,0.21639367524188993,-0.17520579521546498,1.7311494019352998,1.0,-0.10819683762094497,-0.039506182680225474,0.6491810257257299,0.3333333333333025,0.3245905128628349,-0.2901500534495117,1.0278699573990973,0.9473684210526377,-0.8655747009676198,-0.17244568960735754,1.4065588890724048,0.38461538461539446,-0.49973978660741974,-0.5309735232703792,-0.2654867616351896,-0.0780843416573985,1.202498861524067,0.3357626691268482,0.3524455213296065,0.13444024796470594,-0.07376878548342293,0.16746999547233582,-0.2995302506079326,-0.07527458934761488,-0.6397532426838819,0.12439658774499973,-0.5906718284620638,1.402996469401785,-117.85208633710909,0.05863802308311829,0.22051969639224725,-0.24264006387589215,8.392782699948587,-3.3528833912510603,-5.999999999999999,0.6329000000000002,0.37304875792718933,0.41179763067000985,9057.05890258,0.0005119560258426241,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724640300000000000,1724675700000000000,0.5955,0.5908,50392.0,-266.7324148,590.0,False,-0.5787567231479456,-267.31117152314795,-0.9838041774870998,0.5837862223081338
SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:7354:s2:SOLUSDT:15m:PIVOT:HIGH:2443:s2:1724678400000000000,SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:7354:s2:SOLUSDT:15m:PIVOT:HIGH:2443:s2,SOLUSDT,1,1724678400000000000,1724676900000000000,160.267,158.59,161.99,1.027429934406691,158.6,5,SOLUSDT:5m:PIVOT:LOW:7354:s2,15M_NEAREST_OPPOSING_LIQUIDITY,158.6,160.267,162.0,160.267,LEARNED_AUCTION_DIRECTION,104.6378855285238,1.7229240855732753,0.11468121645796114,1.027429934406691,1.6666666666666667,1.0986122886681098,1.5946477764659506,1.382211538461544,6.672856290204938,6.855892300550535,0.6174804070766904,0.06502116533864542,0.38684503901896516,1.3963965106023863,0.8539823008849496,0.3777219278811973,1.1773828277083835,0.1211799070063188,0.36015084852294516,1.458230635636116,0.9459016393442602,0.4287581656036799,-0.07448538831489077,-0.010283720592154677,-0.009616022282645484,1.8686151611682273,0.8548717948717882,0.43732317848754176,0.2057337794490427,-0.009966489252320881,0.014784053156145912,1.576398937316525,0.5233773377337717,-0.03990835667747506,0.6174804070766904,0.06502116533864542,0.8043260633967036,0.8539823008849496,0.0071179297645560385,0.0562121829639151,0.47334232934406395,0.5263157894736504,1.432483365120203,0.22701831981871298,1.4698524963842359,0.9842615012106473,-0.28293770814174735,0.09590007469499544,0.847033641984141,0.6239495798319278,0.42173733855096945,0.3596650383810188,1.43960129488486,0.2929542645241231,-0.48757818887322657,-0.16454063919693693,1.2794478751819192,0.6189151599443627,0.745603142838952,0.1996064879045481,1.2847863225053742,0.5941828254847604,-0.42707578587432327,-0.04926517571884984,0.9502436235704312,0.31460674157305046,1.3910788383221515,-0.3862966345709974,0.47156956188320953,0.44948079155534365,-0.11172808247232886,0.5576130276952271,0.554007588336608,0.06347281874008237,1.2413774074785338,-0.06399457977015022,-0.0718229026057224,-0.002662485709168369,0.05652645995951487,0.1492073194895278,-0.8374246637643523,-22.897287203011985,-138.41267251983425,-0.652629252900975,0.18744712901039573,-0.06626722200407693,72.60468772119388,-0.8421344558318111,-1.6792,2.2794,0.6114290803515955,0.6588357146663919,8789.74773106,0.000336626332715426,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724678400000000000,1724681700000000000,160.29,158.57,139.45,-262.0865135,55.0,False,0.0,-262.0865135,-0.9939098804617369,0.5538607230871709
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:7383:s2:XRPUSDT:15m:PIVOT:HIGH:2447:s2:1724688000000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:7383:s2:XRPUSDT:15m:PIVOT:HIGH:2447:s2,XRPUSDT,1,1724688000000000000,1724685600000000000,0.5924,0.5882000000000001,0.5967,1.0238095238095213,0.5883,5,XRPUSDT:5m:PIVOT:LOW:7383:s2,15M_NEAREST_OPPOSING_LIQUIDITY,0.5883,0.5924,0.5968,0.5924,LEARNED_AUCTION_DIRECTION,70.89804186360536,2.161665123464642,0.1692571428571436,1.0238095238095213,2.6666666666666665,1.0986122886681098,1.9199999999999644,1.2602739726027463,8.372093023255958,8.571428571428699,-0.8023101048836734,-0.21193669116923672,-0.45000000000003054,0.45526278801193376,0.09090909090908174,-0.4517942308211406,-0.7205550411548616,-0.21163060030943748,-0.19178082191780302,0.5285451964670492,0.04999999999999445,-0.4620103898052766,0.1544046516760581,-0.05309953327164247,0.019933554817277672,0.6488900722165627,0.6833333333333315,0.17352483957908665,-0.38601162919011667,-0.09817192487868932,-0.017123287671232956,1.1029057073585415,0.684210526315794,0.23536085978101867,-0.8023101048836734,-0.2119366911692367,0.9806012393022455,0.09090909090908174,-0.8023101048835745,-0.21163342040434535,1.3371835081394887,0.333333333333358,0.4457278360465292,-0.21132820239975408,1.4263290753487747,1.0,0.8914556720929594,0.18893168763486692,1.1588923737208177,0.7692307692307889,0.08914556720928604,-0.1839401767180716,0.7131645376743874,0.7500000000000346,0.08914556720928604,0.03949263586045296,0.8023101048835745,0.2222222222222222,0.7131645376743874,0.11228417081022198,1.1588923737208177,0.8461538461538592,1.1588923737208177,0.03384751352944921,1.2480379409301037,0.9285714285714343,-1.389641865084437,0.6176186067042324,-1.2095031047956788,-1.7756534942745394,1.9815263631759266,-0.4632139550281457,-0.8169256538436813,0.01461554896000794,-0.29971079769062414,-0.42084424346423743,0.09897335287010454,0.05543129880595356,-0.374225760485702,-0.01178586870441467,2.5761936910839722,9.620093544953079,48.69324349616733,0.4573394502628064,-0.3196096868979487,0.1079790865885113,-25.280202222308645,3.35961339244961,-3.3037,0.8473999999999998,0.5589381725472405,0.3967753017569912,8527.661217559998,0.0002530130507165506,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724688000000000000,1724693760000000000,0.5925,0.5881,50572.8,-252.37344384,96.0,False,0.0,-252.37344384,-0.986489485613857,0.5807118630664966
