plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,context_15,context_60,sweep_15,sweep_60,impulse_range,impulse_efficiency,impulse_activity,impulse_flow,opponent_reclaimed,footprint_gap,footprint_body,break_strength,source_age,parent_scale,parent_range,parent_age,transfer_distance,event_activity,event_flow,event_progress,location_60,pullback_depth,pullback_efficiency,pullback_activity,pullback_flow,pullback_duration,response_range,response_flow,response_activity,innovation_fast,innovation_slow,impact_slope,risk_range,cost_r,planned_rr,obstacle_distance,risk_bps,auction_value_distance,participation,market_15,relative_15,market_60,relative_60,market_dispersion,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
SOLUSDT:LQC:SOLUSDT:15m:PIVOT:LOW:2514:s2:1724742660000000000,SOLUSDT:LQC:SOLUSDT:15m:PIVOT:LOW:2514:s2,SOLUSDT,1,1724742660000000000,1724740560000000000,158.147,157.45600000000002,158.91441099791612,1.1105803153634717,157.976,15,SOLUSDT:15m:PIVOT:LOW:2514:s2,PRIOR_AUCTION_TRADED_VALUE,157.921,157.95,158.208,157.466,FRESH_LIQUIDITY_CONTROL,1.0,0.0,1.0,0.0,0.8236858006041968,0.2484689413823199,1.1138157549773129,0.11746776905829596,0.22332326283987144,0.0,0.08410876132929367,-4.550574018126888,7.4,1.0986122886681098,4.773897280966759,7.4,6.253051359516565,1.4530210718625742,-0.05760105958094666,0.22332326283987144,-0.20629370629371657,-0.11812297734624543,0.04119638826183875,0.7282131035043476,-0.013848322362207012,2.2,0.5577211394302273,0.3981827899518974,0.4355712653333618,0.05568055854424306,-0.05535976228354859,1.3697574273676276,2.004108761329208,0.27464023154849077,1.1105803153634717,2.2257237401796885,43.69352564386135,2.254726761327698,0.7517670863710034,0.7807162981820817,-0.3190361641971245,-0.7267697267427984,0.10022917138758292,0.2889389771978553,10000.0,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724742660000000000,1724744640000000000,158.17,157.44,329.36,-292.4074548,33.0,False,0.0,-292.4074548,-0.9746915159999999,
SOLUSDT:LQC:SOLUSDT:15m:PIVOT:HIGH:2697:s2:1724909040000000000,SOLUSDT:LQC:SOLUSDT:15m:PIVOT:HIGH:2697:s2,SOLUSDT,-1,1724909040000000000,1724900460000000000,143.875,144.154,143.48098696484172,1.4122331009257565,143.945,15,SOLUSDT:15m:PIVOT:HIGH:2697:s2,PRIOR_AUCTION_TRADED_VALUE,143.849,144.0,144.144,142.902,FRESH_LIQUIDITY_CONTROL,-0.0,-0.0,1.0,0.0,0.39049403411890254,0.20650813516894953,0.9261382169520874,-0.03943564605329311,0.617690563060829,0.0,0.3573612069815831,-2.042402129967448,2.066666666666667,1.0986122886681098,2.503895079380703,2.066666666666667,3.1310521644808236,1.0870120887284775,-0.03943564605329311,0.617690563060829,-0.8088888888888619,0.6299734748010613,-0.029071546606279412,1.1503924228518307,-0.023892291563206974,26.8,0.6111493461804144,0.4304694419840567,0.7682536802231951,-0.015176524552871704,0.03193846014334596,1.3617359716193398,0.6602899122374403,0.6188172043010833,1.4122331009257565,0.9324832702690757,19.391833188531457,0.9561495753671707,0.9227314154039318,-1.2973960741014827,-0.14771709177019798,-0.5958435917241772,0.1733954012554787,0.21527176280964733,9707.592545200001,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724909040000000000,1724909640000000000,143.86,143.48,603.23,168.52677802,10.0,False,0.0,168.52677802,0.5786768697982676,
ETHUSDT:LQC:ETHUSDT:15m:PIVOT:LOW:2796:s2:1724997900000000000,ETHUSDT:LQC:ETHUSDT:15m:PIVOT:LOW:2796:s2,ETHUSDT,1,1724997900000000000,1724995020000000000,2508.37,2502.83,2515.8199999999997,1.3447653429602648,2503.0,15,ETHUSDT:15m:PIVOT:LOW:2796:s2,OPPOSING_60M_FOOTPRINT,2506.87,2508.28,2517.0,2502.84,FRESH_LIQUIDITY_CONTROL,0.0,-1.0,1.0,0.0,-0.4531902206321033,-0.0785448532451462,2.600731594254853,-0.032274493280771095,1.7197376267143814,0.0,0.33631484794282906,-3.718545020870641,8.133333333333333,1.0986122886681098,5.438282647585022,8.133333333333333,5.476446034585584,2.39923412825977,-0.010207257898790576,1.7197376267143814,-0.21892655367234437,0.6090331686662007,-0.11571466881201481,0.7821257166602271,-0.035465901935454305,7.0,1.3402134728210373,0.6419241817337797,1.5383205781569733,-0.0324450455715739,-0.00980059559106716,1.41880074579025,1.3214072748956398,0.5433292418772598,1.3447653429602648,1.776982707215224,22.08605588489722,2.1156719863023197,1.0711641988397806,-0.7644046078040515,0.0660730910501679,-0.7224286524540491,0.3134734246943841,0.06893927409346035,9876.11932322,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724997900000000000,1724998080000000000,2508.7,2515.82,33.071,177.34277451,3.0,False,0.0,177.34277451,0.5985575531779465,
