date,nav
2023-06-19,99000.62155364
2023-06-20,97030.16591733
2023-06-21,96059.86848243
2023-06-22,95099.31625093
2023-06-23,93206.86752551
2023-06-24,92275.16586386
2023-06-25,90438.37404528
