plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,shock_sigma,shock_pressure,shock_activity,recovery_fraction,response_pressure,response_progress,basis_stress,basis_repair,oi_change,spot_confirmation,peer_response,context_direction,risk_range,cost_r,planned_rr,net_to_excursion,extreme_age,test_effort,test_depth,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
BTCUSDT:EXCURSION:HOUR:1739313060000000000:-1:1739313360000000000:1739313960000000000,BTCUSDT:EXCURSION:HOUR:1739313060000000000:-1:1739313360000000000,BTCUSDT,1,1739313960000000000,1739313360000000000,95886.7,95676.5,96217.62771925397,1.5743469041578426,95685.1,3.584962500721156,HOUR:1739313060000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,95676.6,95685.1,96217.72771925398,95676.6,PUBLIC_EXCURSION_RECLAIM,3.3918475774394294,-0.549341249379095,1.356498628778044,0.38826323717004724,0.34312285854136065,0.7025025135708272,-5.229900000000001,-3.0142,-9.179072841938307,-30.231583671653794,-0.8060078172857712,0.0,1.5223301892019159,0.5468026641294081,1.5743469041578426,0.4202113195157977,0.0,0.0,0.0,1739314500000000000,-0.9713537562402633,0,0,9.0,False,2025-02,0.6953265012626637,0.006380385080700655
ETHUSDT:EXCURSION:HOUR:1739313060000000000:-1:1739313360000000000:1739314020000000000,ETHUSDT:EXCURSION:HOUR:1739313060000000000:-1:1739313360000000000,ETHUSDT,1,1739314020000000000,1739313360000000000,2610.94,2600.12,2626.2440672036328,1.414423955973427,2609.64,3.584962500721156,HOUR:1739313060000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2600.13,2609.64,2626.254067203633,2600.13,PUBLIC_EXCURSION_RECLAIM,3.1595600669504496,-0.44441119773390425,1.0931528095876952,0.4137946788965801,0.13154038682830047,0.3163709065559473,-1.2929999999999997,0.14029999999999987,6.296753264525279,-37.06476078670917,-0.16177613422147882,-1.0,1.8403941983522405,0.28896820702402515,1.414423955973427,0.38220003063361113,0.0,0.0,0.0,1739314500000000000,-0.9816231404313109,0,0,8.0,False,2025-02,0.4245172638672681,-0.005847859159092436
SOLUSDT:EXCURSION:60:1739304000000000000:-1:1739329020000000000:1739330520000000000,SOLUSDT:EXCURSION:60:1739304000000000000:-1:1739329020000000000,SOLUSDT,1,1739330520000000000,1739329020000000000,195.13,193.64000000000001,196.7476128328412,1.085646196537744,194.94,3.584962500721156,60:1739304000000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,193.65,194.94,196.7576128328412,193.65,PUBLIC_EXCURSION_RECLAIM,4.133909250581342,-0.4625236789278747,1.6407413896215752,0.4762498031799121,-0.09580905423576871,0.4711557571384746,2.1335999999999995,4.6271,-2.3011911273762564,-121.9558424512357,0.9798089285304153,-1.0,3.6948530428227704,0.156551677852351,1.085646196537744,1.0,0.0,0.0,0.0,1739334540000000000,-0.988803531436924,0,0,67.0,False,2025-02,0.49005419831696645,-0.0033588889493892937
BTCUSDT:EXCURSION:60:1739314800000000000:1:1739366580000000000:1739366940000000000,BTCUSDT:EXCURSION:60:1739314800000000000:1:1739366580000000000,BTCUSDT,-1,1739366940000000000,1739366580000000000,96401.3,96596.40000000001,95881.43069758637,2.66462994573867,96468.5,3.584962500721156,60:1739314800000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,96596.3,96468.5,96596.3,95881.33069758637,PUBLIC_EXCURSION_RECLAIM,4.726716354916165,-0.22176208181933565,0.9279183959061571,0.2727389824174372,0.4370798473824006,1.21131495738735,1.3954000000000002,1.9049000000000003,-8.783595108763365,-66.17578751416886,0.35260243934774693,-1.0,2.3329471686700125,0.5935347001537495,2.66462994573867,0.8750040100195987,0.0,0.0,0.0,1739367060000000000,1.381602244156455,1,1,2.0,False,2025-02,0.4022292227932594,-0.0018722438223517414
XRPUSDT:EXCURSION:60:1739311200000000000:1:1739366580000000000:1739366940000000000,XRPUSDT:EXCURSION:60:1739311200000000000:1:1739366580000000000,XRPUSDT,-1,1739366940000000000,1739366580000000000,2.4412,2.4515000000000002,2.4204176965523536,2.0176993638490632,2.445,3.584962500721156,60:1739311200000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2.4514,2.445,2.4514,2.4203176965523534,PUBLIC_EXCURSION_RECLAIM,3.8447645724412203,-0.11000286343085407,0.9542423875651632,0.32816100702383744,0.49664047478682866,1.1809648020394132,0.02670000000000039,-0.6234999999999995,-0.44017834529341826,-111.31078310625541,0.25770854503244317,-0.0,2.1721316894653326,0.2850116504854252,2.0176993638490632,0.950994702351654,0.0,0.0,0.0,1739367060000000000,-0.9818898966152244,0,0,2.0,True,2025-02,0.6229248247747684,0.014092347959299867
XRPUSDT:EXCURSION:60:1739336400000000000:-1:1739367060000000000:1739367840000000000,XRPUSDT:EXCURSION:60:1739336400000000000:-1:1739367060000000000,XRPUSDT,1,1739367840000000000,1739367060000000000,2.3817,2.3306,2.436357204128278,1.0696126052500605,2.3789,3.584962500721156,60:1739336400000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2.3307,2.3789,2.436457204128278,2.3307,PUBLIC_EXCURSION_RECLAIM,13.865082161136282,-0.1601533641562307,1.9090429358346017,0.4822366515867741,0.12810263004724534,2.282408682300362,0.5027999999999997,-1.413800000000001,-23.185047112832535,-136.07909950224317,1.4379107585862596,0.0,9.559924890618724,0.05533033268101769,1.0696126052500605,0.7133457118221588,0.0,0.0,0.0,1739379420000000000,0.9728803808334157,1,1,193.0,False,2025-02,0.4483823611708566,-0.0038918406306708425
SOLUSDT:EXCURSION:60:1739030400000000000:-1:1739367060000000000:1739368080000000000,SOLUSDT:EXCURSION:60:1739030400000000000:-1:1739367060000000000,SOLUSDT,1,1739368080000000000,1739367060000000000,192.89,189.28,197.62097474480558,1.3105193198907514,192.67,3.584962500721156,60:1739030400000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,189.29,192.67,197.63097474480557,189.29,PUBLIC_EXCURSION_RECLAIM,15.72543847792992,-0.20348107167277926,1.9321144093132596,0.43160423213628946,0.1458356794671729,1.867285512272452,-6.0837,-2.4998,-53.51449558904875,-136.9744404407136,1.6275471920371591,-1.0,9.494226337047492,0.06351855955678695,1.3105193198907514,0.6758179874394719,0.0,0.0,0.0,1739370660000000000,-0.9950010717642721,0,0,43.0,False,2025-02,0.3852197714493503,-0.005259480596930854
BTCUSDT:EXCURSION:60:1739332800000000000:-1:1739367060000000000:1739368620000000000,BTCUSDT:EXCURSION:60:1739332800000000000:-1:1739367060000000000,BTCUSDT,1,1739368620000000000,1739367060000000000,95109.7,94003.79999999999,96305.16836569236,1.0809913786891667,95050.0,3.584962500721156,60:1739332800000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,94003.9,95050.0,96305.26836569236,94003.9,PUBLIC_EXCURSION_RECLAIM,14.832949378091746,-0.14426225033979445,1.929791132101722,0.4804967411930695,-0.009936065982120665,0.6791407927238903,6.8008999999999995,2.3831999999999995,-54.8763710290423,-86.6856381638037,1.128139684370865,1.0,11.012636402835604,0.10260249570485495,1.0809913786891667,0.8437850292932556,0.0,0.0,0.0,1739379300000000000,0.9068317388260596,1,1,178.0,False,2025-02,0.564782167945215,0.0019669526870924672
BTCUSDT:EXCURSION:HOUR:1739426760000000000:-1:1739426940000000000:1739428200000000000,BTCUSDT:EXCURSION:HOUR:1739426760000000000:-1:1739426940000000000,BTCUSDT,1,1739428200000000000,1739426940000000000,96480.9,96305.9,96656.0749219199,1.0009995538280678,96455.0,3.584962500721156,HOUR:1739426760000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,96306.0,96455.0,96656.17492191991,96306.0,PUBLIC_EXCURSION_RECLAIM,3.221818165787526,-0.32045482450286944,2.2214726952807045,0.4994646648054237,0.4795761630782848,0.6377068346998853,-2.9637000000000007,-1.7702000000000004,71.70425488062904,-27.083572447708093,-0.4604514438929095,0.0,1.8235081057595628,0.6609833142857142,1.0009995538280678,0.7642080200629016,0.0,0.0,0.0,1739428560000000000,-0.9678740150886405,0,0,6.0,False,2025-02,0.7872258316572258,0.0011843111298696996
SOLUSDT:EXCURSION:HOUR:1739454120000000000:-1:1739454420000000000:1739454720000000000,SOLUSDT:EXCURSION:HOUR:1739454120000000000:-1:1739454420000000000,SOLUSDT,1,1739454720000000000,1739454420000000000,190.62,190.09,191.43566367026395,1.5389880571017789,190.28,3.584962500721156,HOUR:1739454120000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,190.1,190.28,191.44566367026394,190.1,PUBLIC_EXCURSION_RECLAIM,3.1501018130480696,-0.1465366371766864,0.5500239833582155,0.38642642399494564,0.22952397124582555,0.8323710610762203,2.67,0.4045999999999994,14.813455459119496,-42.46736138340701,1.2949676804615964,0.0,1.2604476067725854,0.4309924528301877,1.5389880571017789,0.931597927995219,0.0,0.0,0.0,1739455380000000000,-0.9754826138795739,0,0,11.0,False,2025-02,0.379694059621903,-0.009302785604842705
