plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,shock_sigma,shock_pressure,shock_activity,recovery_fraction,response_pressure,response_progress,basis_stress,basis_repair,oi_change,spot_confirmation,peer_response,context_direction,risk_range,cost_r,planned_rr,net_to_excursion,extreme_age,test_effort,test_depth,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
XRPUSDT:EXCURSION:60:1739134800000000000:1:1739146020000000000:1739146140000000000,XRPUSDT:EXCURSION:60:1739134800000000000:1:1739146020000000000,XRPUSDT,-1,1739146140000000000,1739146020000000000,2.4146,2.4245,2.395436873449894,1.9356693484955731,2.4217,3.584962500721156,60:1739134800000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2.4244,2.4217,2.4244,2.3953368734498937,PUBLIC_EXCURSION_RECLAIM,3.1547410736240122,-0.10046122069975787,1.7027132333263757,0.33719703154112257,0.3692933943958255,0.2466437352129661,2.8668000000000005,-0.7069000000000001,-32.80248173417988,-88.04409214511088,-0.558639212228324,1.0,1.061640425481914,0.2932787878787873,1.9356693484955731,0.7511492982255535,1.0,0.0,0.0,100000.0,0.008560111914899016,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739146140000000000,1739146260000000000,2.4141,2.425,222643.80000000002,-2965.5152262899996,2.0,False,0.0,-2965.5152262899996,-0.9885050754299999,0.5627987353723296
BTCUSDT:EXCURSION:60:1739217600000000000:1:1739232480000000000:1739233020000000000,BTCUSDT:EXCURSION:60:1739217600000000000:1:1739232480000000000,BTCUSDT,-1,1739233020000000000,1739232480000000000,97584.9,97776.1,97352.44733410554,1.2157566207868107,97611.0,3.584962500721156,60:1739217600000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,97776.0,97611.0,97776.0,97352.34733410554,PUBLIC_EXCURSION_RECLAIM,3.3717038684854863,-0.1525173925260519,2.3029256342348137,0.4510770623773454,0.8379173351669341,1.8041140997227747,-0.2265000000000006,1.0248999999999997,-2.304744664929359,-23.693303252656506,0.9689977084899831,-0.0,2.506879475777623,0.6130575313807157,1.2157566207868107,0.6216697056227154,0.0,0.0,0.0,97034.48477371,0.004234871417953511,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739233020000000000,1739233620000000000,97570.09999999999,97792.4,8.867,-2837.27374375,10.0,False,0.0,-2837.27374375,-0.9746616543478283,0.7724276552237418
SOLUSDT:EXCURSION:HOUR:1739267400000000000:-1:1739267580000000000:1739268540000000000,SOLUSDT:EXCURSION:HOUR:1739267400000000000:-1:1739267580000000000,SOLUSDT,1,1739268540000000000,1739267580000000000,202.58,202.08,203.17953133293733,1.199062665874635,202.55,3.584962500721156,HOUR:1739267400000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,202.09,202.55,203.18953133293732,202.09,PUBLIC_EXCURSION_RECLAIM,3.3043600608411583,0.10944448131678503,0.802743468698941,0.4456444171454486,0.509194019590995,0.7818095172264758,-2.090200000000001,-1.1084000000000005,-5.417456641545471,-30.01453774907681,0.011595301483148008,0.0,1.3960884236187012,0.48559199999999997,1.199062665874635,0.5501277673309103,2.0,0.0,0.0,94197.21102996,0.007962548273202537,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739268540000000000,1739268840000000000,202.62,202.04,3485.86,-2727.0928538,5.0,False,0.0,-2727.0928538,-0.9650295813721531,0.8087551073807451
BTCUSDT:EXCURSION:HOUR:1739286240000000000:-1:1739286540000000000:1739286600000000000,BTCUSDT:EXCURSION:HOUR:1739286240000000000:-1:1739286540000000000,BTCUSDT,1,1739286600000000000,1739286540000000000,96771.6,96556.2,97017.74502837333,1.1427345792633166,96660.2,3.584962500721156,HOUR:1739286240000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,96556.3,96660.2,97017.84502837334,96556.3,PUBLIC_EXCURSION_RECLAIM,4.371016603338101,-0.4092054736759217,1.172635743917338,0.4664766962365584,0.475795297372061,0.800949991252996,0.6310999999999991,1.276699999999999,36.99229331175502,-39.666662610553516,-1.6330157929440956,1.0,1.5871630921424458,0.5385175487464962,1.1427345792633166,0.8192980294652363,0.0,0.0,0.0,91470.11817616,0.0001037287401409008,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739286600000000000,1739287080000000000,96785.0,97017.7,7.874,1298.45378104,8.0,False,0.0,1298.45378104,0.47317958656156994,0.6763755188444474
BTCUSDT:EXCURSION:HOUR:1739313060000000000:-1:1739313360000000000:1739313960000000000,BTCUSDT:EXCURSION:HOUR:1739313060000000000:-1:1739313360000000000,BTCUSDT,1,1739313960000000000,1739313360000000000,95886.7,95676.5,96217.62771925397,1.5743469041578426,95685.1,3.584962500721156,HOUR:1739313060000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,95676.6,95685.1,96217.72771925398,95676.6,PUBLIC_EXCURSION_RECLAIM,3.3918475774394294,-0.549341249379095,1.356498628778044,0.38826323717004724,0.34312285854136065,0.7025025135708272,-5.229900000000001,-3.0142,-9.179072841938307,-30.231583671653794,-0.8060078172857712,0.0,1.5223301892019159,0.5468026641294081,1.5743469041578426,0.4202113195157977,0.0,0.0,0.0,92768.5719572,0.006380385080700655,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739313960000000000,1739314500000000000,95901.0,95659.90000000001,8.084,-2723.3415578,9.0,False,0.0,-2723.3415578,-0.9785431640421103,0.6953265012626637
XRPUSDT:EXCURSION:60:1739311200000000000:1:1739366580000000000:1739366940000000000,XRPUSDT:EXCURSION:60:1739311200000000000:1:1739366580000000000,XRPUSDT,-1,1739366940000000000,1739366580000000000,2.4412,2.4515000000000002,2.4204176965523536,2.0176993638490632,2.445,3.584962500721156,60:1739311200000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2.4514,2.445,2.4514,2.4203176965523534,PUBLIC_EXCURSION_RECLAIM,3.8447645724412203,-0.11000286343085407,0.9542423875651632,0.32816100702383744,0.49664047478682866,1.1809648020394132,0.02670000000000039,-0.6234999999999995,-0.44017834529341826,-111.31078310625541,0.25770854503244317,-0.0,2.1721316894653326,0.2850116504854252,2.0176993638490632,0.950994702351654,0.0,0.0,0.0,90045.2303994,0.014092347959299867,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739366940000000000,1739367060000000000,2.4407,2.452,194278.2,-2670.6161345699998,2.0,False,0.0,-2670.6161345699998,-0.9886202458935922,0.6229248247747684
BTCUSDT:EXCURSION:HOUR:1739426760000000000:-1:1739426940000000000:1739428200000000000,BTCUSDT:EXCURSION:HOUR:1739426760000000000:-1:1739426940000000000,BTCUSDT,1,1739428200000000000,1739426940000000000,96480.9,96305.9,96656.0749219199,1.0009995538280678,96455.0,3.584962500721156,HOUR:1739426760000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,96306.0,96455.0,96656.17492191991,96306.0,PUBLIC_EXCURSION_RECLAIM,3.221818165787526,-0.32045482450286944,2.2214726952807045,0.4994646648054237,0.4795761630782848,0.6377068346998853,-2.9637000000000007,-1.7702000000000004,71.70425488062904,-27.083572447708093,-0.4604514438929095,0.0,1.8235081057595628,0.6609833142857142,1.0009995538280678,0.7642080200629016,0.0,0.0,0.0,87374.61426483,0.0011843111298696996,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739428200000000000,1739428560000000000,96497.7,96290.20000000001,8.33,-2531.4366035000003,6.0,False,0.0,-2531.4366035000003,-0.9657406882611187,0.7872258316572258
XRPUSDT:EXCURSION:60:1739437200000000000:-1:1739457540000000000:1739457660000000000,XRPUSDT:EXCURSION:60:1739437200000000000:-1:1739457540000000000,XRPUSDT,1,1739457660000000000,1739457540000000000,2.4245,2.4126999999999996,2.4388176950154783,1.2133639843625097,2.4201,3.584962500721156,60:1739437200000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2.4128,2.4201,2.4389176950154785,2.4128,PUBLIC_EXCURSION_RECLAIM,4.876800763575341,-0.25299212727721054,1.740701226635383,0.4479721504162696,0.3307369140164452,0.4980395906173949,-1.8363000000000005,1.2845000000000004,0.42856038366068105,-103.696098305045,-1.7785484486499124,-1.0,1.9589557230950914,0.24595932203388832,1.2133639843625097,0.8726201072818428,0.0,0.0,0.0,84843.17766133,0.0016776063162047081,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739457660000000000,1739459820000000000,2.4249,2.4388,165958.7,2024.66128867,36.0,False,0.0,2024.66128867,0.7954524038659796,0.5843337851415572
ETHUSDT:EXCURSION:HOUR:1739497800000000000:1:1739498100000000000:1739498220000000000,ETHUSDT:EXCURSION:HOUR:1739497800000000000:1:1739498100000000000,ETHUSDT,-1,1739498220000000000,1739498100000000000,2681.23,2687.26,2671.6236422113193,1.5930941606435167,2682.0,3.584962500721156,HOUR:1739497800000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2687.25,2682.0,2687.25,2671.613642211319,PUBLIC_EXCURSION_RECLAIM,3.2039713984804687,-0.3768052729305529,0.918909377485007,0.38500014398224036,0.6304897488525749,0.8132624562791702,0.35749999999999993,0.4148999999999998,-31.446633486265085,-39.182809716606926,-0.6226137944622693,1.0,1.571786093385811,0.5341781094527185,1.5930941606435167,0.7269172860028328,0.0,0.0,0.0,86867.83894999999,1.5042324571517066e-05,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1739498220000000000,1739498760000000000,2680.75,2687.75,262.075,-2537.99981876,9.0,False,0.0,-2537.99981876,-0.9738931574821532,0.56740624128002
ETHUSDT:EXCURSION:HOUR:1739568780000000000:1:1739569080000000000:1739569500000000000,ETHUSDT:EXCURSION:HOUR:1739568780000000000:1:1739569080000000000,ETHUSDT,-1,1739569500000000000,1739569080000000000,2738.4,2750.01,2723.1330529950837,1.3149825154966563,2747.21,3.584962500721156,HOUR:1739568780000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2750.0,2747.21,2750.0,2723.1230529950835,PUBLIC_EXCURSION_RECLAIM,3.182416715318585,-0.2790190775910213,1.363816332635277,0.4315966392268428,0.655206837203582,0.18873790227180667,0.8263999999999996,0.45229999999999926,2.2141299318967356,-80.65194614687243,0.5486037881449028,-1.0,1.92214653103153,0.2836387596899193,1.3149825154966563,0.5591880706651675,0.0,0.0,0.0,84329.83913124,0.003106697952806223,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1739569500000000000,1739572500000000000,2738.03,2723.13,164.505,2136.32098729,50.0,False,0.0,2136.32098729,0.8444306346358643,0.5995560516162373
