client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id
O-20240712-021259-001-000-1,BACKTESTER-001,SharedAccountV40BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-SharedAccountV40BTCStrategy-000,BINANCE-001,T-a1379a7ec30274a5-93547,MARKET,BUY,19.853,GTC,False,False,19.853,TAKER,56956.8,0.0,['848.07251280 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240712-021259-001-000-1,"['O-20240712-021259-001-000-2', 'O-20240712-021259-001-000-3']",,,,,['ENTRY'],25cef7a5-3fa9-4b0d-b308-ffb61a1a9c45,2024-07-12 02:12:59.999000+00:00,2024-07-12 02:13:59.999000+00:00,,,,,
O-20240712-021259-001-000-3,BACKTESTER-001,SharedAccountV40BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-SharedAccountV40BTCStrategy-000,BINANCE-001,T-66af6ca272609968-93586,LIMIT,SELL,19.853,GTC,True,False,19.853,MAKER,57327.6,0.09999999999854481,['853.59363210 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240712-021259-001-000-1,['O-20240712-021259-001-000-2'],O-20240712-021259-001-000-1,,,,['TAKE_PROFIT'],47e43ad1-6fe2-480d-b9fc-89550b1ad3fa,2024-07-12 02:12:59.999000+00:00,2024-07-12 02:24:59.999000+00:00,57327.7,,True,,
O-20240721-012059-001-000-4,BACKTESTER-001,SharedAccountV40BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-SharedAccountV40BTCStrategy-000,BINANCE-001,T-398f4dc8ca2c857b-140629,MARKET,BUY,20.508,GTC,False,False,20.508,TAKER,67146.80822118199,0.0,['1032.78505725 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240721-012059-001-000-2,"['O-20240721-012059-001-000-5', 'O-20240721-012059-001-000-6']",,,,,['ENTRY'],12298ecd-c4bd-42da-8c46-e79f2c27af22,2024-07-21 01:20:59.999000+00:00,2024-07-21 01:21:59.999000+00:00,,,,,
O-20240721-042159-001-000-7,BACKTESTER-001,SharedAccountV40BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-SharedAccountV40BTCStrategy-000,BINANCE-001,T-98bc14d5485adf0d-141249,MARKET,SELL,20.508,GTC,True,False,20.508,TAKER,67152.91665203821,0.0,['1032.87901103 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,35a5de7a-91f0-4fb7-8292-f821ceb5b58e,2024-07-21 04:21:59.999000+00:00,2024-07-21 04:22:59.999000+00:00,,,,,
