symbol,symbol_priority,provisional_index,provisional_time,event_label,offset_minute,bar_index,bar_time,parent_direction,side,fresh_parent_extreme,dynamic_parent_extreme,extreme_updates,bars_since_extreme,close,directional_return_bps,efficiency_60s,flow_60s,flow_3m,parent_flow_consensus,opposite_flow_consensus,parent_flow_run,opposite_flow_run,return_z_vs_parent,efficiency_z_vs_parent,impact_per_abs_flow,impact_per_abs_flow_z_vs_parent,opposite_depth_change,same_depth_change,resilience_1m,resilience_3m,retrace_fraction_from_dynamic_extreme,premium_change_directional,oi_change_5m,parent_run_vwap,pre_value_15m,pre_value_30m,pre_value_60m,source_run_start_open,source_target_touched,parent_vwap_touched,pre_value_15m_touched,pre_value_30m_touched,pre_value_60m_touched,absorption_under_load_observation,deep_absorption_under_load_observation,counterflow_resilience_observation,next_open,updated_stop,pre_value_15m_cost_rr,pre_value_15m_geometry_eligible,pre_value_15m_net_reward_bps,pre_value_30m_cost_rr,pre_value_30m_geometry_eligible,pre_value_30m_net_reward_bps,pre_value_60m_cost_rr,pre_value_60m_geometry_eligible,pre_value_60m_net_reward_bps
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,0,1375,2026-04-13T22:55:59.999000+00:00,1,-1,False,74750.0,0,0,74622.7,1.7690552085172242,0.0054270735414012,0.310159030923785,0.241796588217471,True,False,1,0,-0.5507472124977176,-0.4307565280148283,5.703703687887226,-0.49037812960392685,0.0205021674534284,-0.1752142399971412,0.1957164074505696,0.1957164074505696,0.22623067353830384,-6.459000000000003e-05,0.0050051973402409,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,False,False,False,False,False,False,False,74622.7,74766.7335,1.0526993771645128,True,41.37273448501679,1.0403262907309165,True,40.8864528068076,1.5227141636008419,True,59.845051829442454
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,1,1376,2026-04-13T22:56:59.999000+00:00,1,-1,False,74750.0,0,1,74632.7,1.3399850209727155,0.0125432930009244,0.0117998389759409,0.15363090203371,True,False,2,0,-0.5921821882366122,-0.37383053787142906,113.55960226163236,2.6360203704316785,-0.0496801702833442,-0.0231289823976342,-0.02655118788571,0.16916521956485958,0.20845921450151683,-0.0002410399999999,0.0050051973402409,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,False,False,False,False,False,False,False,74632.8,74766.7255,1.1257921430634885,True,42.717721345776354,1.1129783040027124,True,42.231505475697226,1.6125497408474274,True,61.18753884556074
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,2,1377,2026-04-13T22:57:59.999000+00:00,1,-1,False,74750.0,0,2,74632.3,-0.0669948969992854,0.0004858580263577,-0.0665838786302827,0.1246660272751155,False,False,0,0,-0.7280531493488527,-0.4702836375012219,-1.006172941205164,-0.6848760523510554,0.0338152668465987,0.0743185112101145,-0.0405032443635158,0.1286619752013438,0.20917007286297795,-2.862999999999997e-05,0.0050051973402409,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,False,False,False,False,False,False,False,74632.3,74766.8745,1.1214639398360047,True,42.65114640249703,1.1086793545591993,True,42.164927275009106,1.6071102780247635,True,61.12108764104842
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,3,1378,2026-04-13T22:58:59.999000+00:00,1,-1,False,74750.0,0,3,74577.0,-7.41240693870883,0.1463621564586052,0.1113779314641927,-0.0089871227614892,False,False,0,0,-1.437393901924087,0.696649559815614,-66.55184596443434,-2.584836059485344,0.0,0.0,0.0,-0.0670544322492258,0.3074462413364153,-7.432e-05,0.0050051973402409,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,False,False,False,False,False,False,False,74577.0,74767.1205,0.7755546478309155,False,35.28244839099305,0.7648589864156073,False,34.79586872449427,1.1818493135066066,True,53.766085376898445
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,4,1379,2026-04-13T22:59:59.999000+00:00,1,-1,False,74750.0,0,4,74599.9,3.070180460898625,0.0707908618634281,0.0115890149360067,-0.0123224007460353,False,False,0,0,-0.4250985544676281,0.0921191914481923,264.9216070206926,7.02352212878522,-0.0322314970926408,0.6078956306879824,-0.6401271277806232,-0.680630372144139,0.2667496001421834,0.00031451,0.0050051973402409,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,False,False,False,False,False,False,False,74600.0,74767.1655,0.9042702676666865,False,38.348514124062504,0.8928001004744904,False,37.86208447542407,1.3399859811366654,True,56.82645240151386
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,5,1380,2026-04-13T23:00:59.999000+00:00,1,-1,False,74750.0,0,5,74472.5,-17.105774853114596,0.2678287085321219,-0.2092083639560647,-0.0693579000304007,False,True,0,1,-2.3734749348667865,1.6683177026293263,-81.76429722773976,-3.0257965024503073,-0.042467354194326,0.4236908362589733,-0.4661581904532993,-1.1062853182339225,0.49315798827083956,-0.00048591,0.0019427320246523,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74472.5,74766.9905,0.3581916995042288,False,21.327995617913558,0.35000840074071726,False,20.84073318159853,0.6690495797366263,False,39.83756888989888
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,6,1381,2026-04-13T23:01:59.999000+00:00,1,-1,False,74750.0,0,6,74482.3,1.329263194056389,0.0164336583888547,-0.1651420168947099,-0.1519459599236548,False,True,0,2,-0.593217586758931,-0.34270967334677305,8.049212544714422,-0.4223893086977534,-0.0166761537920842,0.0141445704765019,-0.0308207242685861,-1.1371060425025086,0.4757419584147831,0.00017725,0.0019427320246523,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74482.3,74766.9355,0.38887287010660304,False,22.638306734017476,0.38050394865374937,False,22.151108409200774,0.7067819747165563,False,41.14544461104154
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,7,1382,2026-04-13T23:02:59.999000+00:00,1,-1,False,74750.0,0,7,74458.9,-3.1421796242462223,0.0428580722560453,0.1448615202133735,-0.1128160915217842,False,False,0,0,-1.0250213570337043,-0.13132834483310996,-21.6909198494967,-1.2844608925207595,-0.1036563124657867,-0.0146903882333566,-0.0889659242324301,-0.5859448389543155,0.5173271725608802,0.00019326,0.0019427320246523,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74458.8,74766.5945,0.31784206147704314,False,19.49565603602379,0.30989665083685214,False,19.00830394616417,0.6196633172523855,False,38.00863496528308
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,8,1383,2026-04-13T23:03:59.999000+00:00,1,-1,False,74750.0,0,8,74502.0,5.800183835090409,0.1667601220745735,0.2627615922303142,0.0334081206324752,True,False,1,0,-0.1614642427386111,0.8598224912021075,22.07394081393902,-0.01585716716326914,0.1229520154706527,0.0551664278550894,0.0677855876155633,-0.0520010608854529,0.4407321841123179,6.696999999999996e-05,0.0019427320246523,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74501.9,74766.3455,0.4551370999189,False,25.257894814159094,0.4463602917858438,False,24.770824661740647,0.7885405415253772,False,43.76016382337757
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,9,1384,2026-04-13T23:04:59.999000+00:00,1,-1,False,74750.0,0,9,74612.1,14.780640323859544,0.2682060949524162,0.1338327426107721,0.1734261869993641,True,False,2,0,0.705771485909508,1.6713365942984384,110.44113746316829,2.545626022071901,0.0523368436835136,-0.0784565746013482,0.1307934182848618,0.109613081667995,0.24506842011728255,0.00020893,0.0019427320246523,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,False,False,False,False,False,False,False,74612.0,74766.4045,0.9816467010359649,False,39.94745019105574,0.9696953684738363,False,39.46109877588923,1.4356403793296257,True,58.422416624041034
