trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-2540c71d9ce4a4d4-15857,MARKET,SELL,2597.1,GTC,False,False,2597.1,TAKER,76.169,0.0,['158.25480792 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220509-013900-001-000-1,"['O-20220509-013900-001-000-2', 'O-20220509-013900-001-000-3']",,,,,['ENTRY'],af654c2d-48db-489a-845e-ede26f3092eb,2022-05-09 01:39:00+00:00,2022-05-09 01:39:00+00:00,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-003,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-c304490154be58f9-16033,LIMIT,BUY,2597.1,GTC,True,False,2597.1,MAKER,74.601,0.0010000000000047748,['77.49850284 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220509-013900-001-000-1,['O-20220509-013900-001-000-2'],O-20220509-013900-001-000-1,,,,['TAKE_PROFIT'],7f57f91c-1125-42fe-9068-1b55ac4678f7,2022-05-09 01:39:00+00:00,2022-05-09 02:27:00+00:00,74.600,,True,,
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-775c870db8edf987-21779,MARKET,BUY,4.427,GTC,False,False,4.427,TAKER,30347.2,0.0,['107.47764352 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220510-004300-001-000-2,"['O-20220510-004300-001-000-5', 'O-20220510-004300-001-000-6']",,,,,['ENTRY'],9523dddd-a2f9-4404-9928-2eb393007639,2022-05-10 00:43:00+00:00,2022-05-10 00:43:00+00:00,,,,,
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-791395f6bfd0a019-22950,LIMIT,SELL,4.427,GTC,True,False,4.427,MAKER,31888.4,0.09999999999490683,['56.46797872 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220510-004300-001-000-2,['O-20220510-004300-001-000-5'],O-20220510-004300-001-000-4,,,,['TAKE_PROFIT'],8b7b7eb0-4118-45a1-a1d8-29a9107b7564,2022-05-10 00:43:00+00:00,2022-05-10 05:47:00+00:00,31888.5,,True,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-004,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-4be47b4fe503c1a6-23446,MARKET,BUY,2028.7,GTC,False,False,2028.7,TAKER,69.841,0.0,['113.34914936 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220510-111800-001-000-3,"['O-20220510-111800-001-000-8', 'O-20220510-111800-001-000-9']",,,,,['ENTRY'],09168a7d-ea54-43a7-9ff2-68354aa9180c,2022-05-10 11:18:00+00:00,2022-05-10 11:18:00+00:00,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-006,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-409a3035f95f052c-23760,LIMIT,SELL,2028.7,GTC,True,False,2028.7,MAKER,72.989,0.000999999999990564,['59.22911372 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220510-111800-001-000-3,['O-20220510-111800-001-000-8'],O-20220510-111800-001-000-7,,,,['TAKE_PROFIT'],d5f88abb-354c-4c3f-94f8-238e37d031ad,2022-05-10 11:18:00+00:00,2022-05-10 12:40:00+00:00,72.990,,True,,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-438242e85e0c55f0-30918,LIMIT,SELL,102.487,GTD,False,False,102.487,MAKER,2218.38,0.009999999999763531,['90.94204442 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220511-170700-001-000-4,"['O-20220511-170700-001-000-11', 'O-20220511-170700-001-000-12']",,,,,['ENTRY'],fdca76c5-fa45-4688-aaa9-cfeaa7b0206b,2022-05-11 17:07:00+00:00,2022-05-11 17:09:00+00:00,2218.39,1.652292420000001e+18,True,,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-003,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-0d82cbf64c412ffe-31511,LIMIT,BUY,102.487,GTC,True,False,102.487,MAKER,2120.01,0.010000000000218279,['86.90938595 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220511-170700-001-000-4,['O-20220511-170700-001-000-11'],O-20220511-170700-001-000-10,,,,['TAKE_PROFIT'],403faff3-5d3c-469b-b425-7dea5849e378,2022-05-11 17:07:00+00:00,2022-05-11 19:40:00+00:00,2120.00,,True,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-007,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-03dbe1682f3909f3-40903,MARKET,SELL,2042.9,GTC,False,False,2042.9,TAKER,54.639,0.0,['89.29761048 USDT'],NO_TRIGGER,FILLED,OTO,OL-20220513-144600-001-000-5,"['O-20220513-144600-001-000-14', 'O-20220513-144600-001-000-15']",,,,,['ENTRY'],f9325ab7-bf66-4469-879a-52c4569898fa,2022-05-13 14:46:00+00:00,2022-05-13 14:46:00+00:00,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-009,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-60ce54322e863beb-41581,LIMIT,BUY,2042.9,GTC,True,False,2042.9,MAKER,51.091,0.0009999999999976694,['41.74952156 USDT'],NO_TRIGGER,FILLED,OUO,OL-20220513-144600-001-000-5,['O-20220513-144600-001-000-14'],O-20220513-144600-001-000-13,,,,['TAKE_PROFIT'],5bd90208-eaa4-4d95-a7ff-9eabcf98ebd2,2022-05-13 14:46:00+00:00,2022-05-13 17:42:00+00:00,51.090,,True,,
