scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
HSP-1708966980000000000-000017,POIL,POIL,SHORT,SHORT,1708967040000000000,2024-02-26,17,1708967100000000000,53309.1,53360.6,53462.700000000004,53143.5,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,53378.5,56.57000000000007,16.937,100000.0,3000.0,177.12102878124648,0.8036715401862562,0.0007,,False,True,53360.5,1708967100000000000,1024,5,53302.5,53469.4,58.0,108.90000000000146,0.567514677103694,1.0655577299412604,1.025278416121618,1.9250486123387187,-0.42346620565666016,-0.09521229701543807,,,53462.8,1708967340000000000,2024-02-26,17,4.0,-2999.14146247,-0.0019171484525070588,-0.9997138208233334,STOP,
HSP-1708972500000000000-000020,POIL,POIL,SHORT,SHORT,1708972620000000000,2024-02-26,18,1708972680000000000,53342.0,53424.5,53568.6,53143.5,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,53478.0,51.67999999999993,13.273,97000.85853753,2910.0257561259,219.23988878124652,0.940533226623486,0.0007,,False,True,53424.4,1708972680000000000,1117,12,53342.0,53571.2,82.40000000000146,146.79999999999563,0.571428571428593,1.0180305131761345,1.5944272445820737,2.840557275541715,-0.21197880667769867,0.03404271020885444,,,53568.700000000004,1708973340000000000,2024-02-26,18,11.0,-2909.37749141,-0.002701013020267947,-0.9997772305916759,STOP,
HSP-1708980420000000000-000023,POIL,POIL,SHORT,SHORT,1708980480000000000,2024-02-26,20,1708980540000000000,54546.3,54613.9,54636.8,54338.2,CONFIRMED_LTF_SELLSIDE_LIQUIDITY,54614.6,68.33499999999985,28.357,94091.48104612,2822.7444313836,99.54171637499913,2.001507882880386,0.0007,,False,True,54613.8,1708980540000000000,1248,2,54533.0,54710.7,80.80000000000291,96.89999999999418,3.5130434782609963,4.213043478260617,1.1824101851174813,1.418014194775655,-0.7711278526766234,0.042165638215347113,,,54636.899999999994,1708980600000000000,2024-02-26,20,1.0,-2823.66216993,-0.000422970018566576,-1.0003251227905001,STOP,
HSP-1709006760000000000-000024,POIL,POIL,SHORT,SHORT,1709006820000000000,2024-02-27,4,1709006880000000000,55807.0,55841.8,55937.100000000006,55587.9,CONFIRMED_LTF_SELLSIDE_LIQUIDITY,55888.5,133.07499999999965,15.762,91267.81887619,2738.0345662857,173.7102054999994,1.0114501303724615,0.0007,,False,True,55841.7,1709006880000000000,1687,3,55801.0,55972.8,40.69999999999709,131.10000000000582,0.4266247379454231,1.3742138364779226,0.3058425699793139,0.9851587450686167,-0.4517780044880903,-0.2167396549421677,,,55937.2,1709007000000000000,2024-02-27,4,2.0,-2738.57231526,-0.0017101914877233322,-1.000196399629472,STOP,
HSP-1709015160000000000-000028,POIL,POIL,SHORT,SHORT,1709015280000000000,2024-02-27,6,1709015340000000000,56267.1,56336.6,56380.0,55700.6,PRIOR_SLOW_SELLSIDE_LIQUIDITY,56321.2,38.32499999999963,21.686,88529.24656093,2655.8773968278997,122.46659549999796,4.551232584888908,0.0007,,False,True,56336.5,1709015340000000000,1828,9,56262.0,56388.7,74.5,52.19999999999709,1.7126436781609196,1.1999999999999331,1.9439008480104556,1.3620352250488608,-0.36456488251116026,-0.03689944985855411,,,56380.1,1709015820000000000,2024-02-27,6,8.0,-2656.57013132,-0.0007739209926068987,-1.0002608307495398,STOP,
HSP-1709019180000000000-000031,POIL,POIL,SHORT,SHORT,1709019300000000000,2024-02-27,7,1709019360000000000,55884.8,55886.0,55986.899999999994,55587.9,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,55935.7,58.76500000000124,14.361,85872.67642961,2576.1802928883,179.37600549999797,1.2257395819866277,0.0007,,False,True,55885.9,1709019360000000000,1895,4,55853.3,55990.6,32.599999999998545,104.69999999999709,0.3227722772277316,1.0366336633663824,0.5547519782182908,1.7816727644004915,-0.3179091865773496,-0.2554268051197181,,,55987.0,1709019540000000000,2024-02-27,7,3.0,-2576.52180183,-0.0018090430681083876,-1.0001325640688437,STOP,
HSP-1709119260000000000-000065,POIL,POIL,SHORT,SHORT,1709119440000000000,2024-02-28,11,1709119500000000000,59361.3,59371.7,59558.8,59011.8,PRIOR_SLOW_SELLSIDE_LIQUIDITY,59424.3,55.6450000000008,9.237,83296.15462778,2498.8846388333995,270.50694393750814,1.0233805682413355,0.0007,,False,True,59371.6,1709119500000000000,3564,13,59337.2,59589.0,34.400000000001455,217.40000000000146,0.18376068376068724,1.161324786324767,0.6182046904483954,3.906909875101057,-0.28359944807081966,-0.1807575039969932,,,59558.899999999994,1709120220000000000,2024-02-28,11,12.0,-2499.08281995,-0.003154706964272407,-1.0000793078293895,STOP,
HSP-1709123460000000000-000069,POIL,POIL,SHORT,SHORT,1709123520000000000,2024-02-28,12,1709123580000000000,59300.0,59330.0,59380.8,59114.8,PRIOR_FAST_SELLSIDE_LIQUIDITY,59347.1,75.48499999999949,18.081,80797.07180783,2423.9121542349,134.05315393750524,0.9853452613399608,0.0007,,False,True,59329.9,1709123580000000000,3632,2,59285.2,59410.1,44.700000000004366,80.19999999999709,0.8781925343812002,1.5756385068761256,0.5921706299265374,1.0624627409418776,-0.6218572823647354,-0.2874275529388764,,,59380.899999999994,1709123640000000000,2024-02-28,12,1.0,-2424.61798236,-0.0008596003027140232,-1.0002911937727887,STOP,
HSP-1709177760000000000-000074,POIL,POIL,SHORT,SHORT,1709177820000000000,2024-02-29,3,1709177880000000000,61284.0,61368.0,61429.100000000006,61171.9,PRIOR_SLOW_SELLSIDE_LIQUIDITY,61368.3,71.24500000000043,15.964,78372.45382547,2351.1736147641,147.27235506249735,0.7477443404314849,0.0007,,False,True,61367.9,1709177880000000000,4537,4,61283.9,61440.0,84.0,72.09999999999854,1.3725490196077452,1.1781045751632908,1.179030107375949,1.0120008421643358,-0.5854128560883799,-0.013962294546912,,,61429.2,1709178060000000000,2024-02-29,3,3.0,-2350.82623308,-0.0009988935583586148,-0.999852251793777,STOP,
HSP-1709221560000000000-000083,POIL,POIL,SHORT,SHORT,1709221680000000000,2024-02-29,15,1709221740000000000,62953.0,62991.7,63060.99999999999,62657.799999999996,HIGHER_TIMEFRAME_EXTENSION,63009.0,96.39000000000124,14.461,76021.62759239,2280.6488277717,157.70749443750464,1.558314394801231,0.0007,,False,True,62991.6,1709221740000000000,5268,17,62655.3,63060.0,336.29999999999563,68.40000000000146,4.845821325648759,0.9855907780980864,3.4889511360098693,0.7096171802054215,1.3570902306409347,1.5734646656144162,1.70922222e+18,1.70922264e+18,62657.9,1709222700000000000,2024-02-29,16,16.0,3553.72350635,0.005297531734389936,1.5582072360619208,OTHER_EXIT,
