plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,parent_minutes,width_range,slope_range,response_activity,response_body,wave_progress,planned_rr,risk_bps,risk_range,cost_r,rank,close_failure_clock,close_failure_origin_time,close_failure_origin_price,close_failure_slope,close_failure_offset,close_failure_side,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
ETHUSDT:AFFINE:15:ETHUSDT:15m:PIVOT:HIGH:903:s2:ETHUSDT:15m:PIVOT:LOW:911:s2:ETHUSDT:15m:PIVOT:HIGH:913:s2:1710077700000000000,ETHUSDT:AFFINE:15:ETHUSDT:15m:PIVOT:HIGH:903:s2:ETHUSDT:15m:PIVOT:LOW:911:s2:ETHUSDT:15m:PIVOT:HIGH:913:s2,ETHUSDT,1,1710077700000000000,1710077580000000000,3927.68,3918.09,3938.8303333333333,1.1627042057699533,3923.4423333333334,15,ETHUSDT:AFFINE:15:ETHUSDT:15m:PIVOT:HIGH:903:s2:ETHUSDT:15m:PIVOT:LOW:911:s2:ETHUSDT:15m:PIVOT:HIGH:913:s2,AFFINE_OPPOSITE_BOUNDARY,3924.52,3925.72,3927.68,3923.0,AFFINE_AUCTION_FIRST_CHALLENGE,15,2.4540652511652024,-0.10740548938373816,0.7587921532006637,0.3283272915587392,-0.24132573795964668,1.1627042057699533,24.41644940524608,0.9932677369238444,0.49147194994787813,3.2726774979661637,15,1710064800000000000,3962.0,-1.1522222222222102e-12,-23.69399999999996,1,10000.0,3.2726774979661637,ETHUSDT-PERP.BINANCE-SourceClockStrategy-000,1710077700000000000,1710078540000000000,3928.21,3917.55,20.05,-292.386744,14.0,False,0.0,-292.386744,-0.9746224800000001,
SOLUSDT:AFFINE:15:SOLUSDT:15m:PIVOT:LOW:1028:s2:SOLUSDT:15m:PIVOT:HIGH:1033:s2:SOLUSDT:15m:PIVOT:LOW:1039:s2:1710196500000000000,SOLUSDT:AFFINE:15:SOLUSDT:15m:PIVOT:LOW:1028:s2:SOLUSDT:15m:PIVOT:HIGH:1033:s2:SOLUSDT:15m:PIVOT:LOW:1039:s2,SOLUSDT,-1,1710196500000000000,1710193800000000000,148.195,149.42699999999996,146.7828484848485,1.1462268791814336,148.99412121212126,15,SOLUSDT:AFFINE:15:SOLUSDT:15m:PIVOT:LOW:1028:s2:SOLUSDT:15m:PIVOT:HIGH:1033:s2:SOLUSDT:15m:PIVOT:LOW:1039:s2,AFFINE_OPPOSITE_BOUNDARY,148.332,148.436,148.992,147.861,AFFINE_AUCTION_FIRST_CHALLENGE,15,2.4266491631112452,0.027099254536078813,0.969076481512747,0.25889633831872305,0.3816400206291908,1.1462268791814336,83.133708964538,1.2707581227436382,0.1443457792207826,3.3856148428249204,15,1710177300000000000,146.081,2.919191919192078e-14,2.3526363636363783,-1,9707.613255999999,3.3856148428249204,SOLUSDT-PERP.BINANCE-SourceClockStrategy-000,1710196500000000000,1710200400000000000,148.17,149.45,202.66,-289.5626346,65.0,False,0.0,-289.5626346,-0.9942802175431042,
BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1070:s2:BTCUSDT:15m:PIVOT:HIGH:1075:s2:BTCUSDT:15m:PIVOT:LOW:1082:s2:1710229200000000000,BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1070:s2:BTCUSDT:15m:PIVOT:HIGH:1075:s2:BTCUSDT:15m:PIVOT:LOW:1082:s2,BTCUSDT,-1,1710229200000000000,1710227820000000000,72117.0,72577.09999999999,71627.32222222222,1.0642855417904467,72353.58888888889,15,BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1070:s2:BTCUSDT:15m:PIVOT:HIGH:1075:s2:BTCUSDT:15m:PIVOT:LOW:1082:s2,AFFINE_OPPOSITE_BOUNDARY,72198.0,72222.9,72423.2,72069.1,AFFINE_AUCTION_FIRST_CHALLENGE,15,3.162675042533615,0.06216463813636852,1.0754124957945848,0.4157832744404883,0.26580290537886114,1.0642855417904467,63.799104233397294,1.8064389477816387,0.18809041512714983,3.4382101281821478,15,1710215100000000000,71300.0,1.7592592592592593e-11,805.5333333333256,-1,9418.0506214,3.4382101281821478,BTCUSDT-PERP.BINANCE-SourceClockStrategy-000,1710229200000000000,1710231840000000000,72108.9,71627.3,0.508,219.05980572,44.0,False,16.609314762,235.669120482,0.8341043879664617,
SOLUSDT:AFFINE:15:SOLUSDT:15m:PIVOT:HIGH:1107:s2:SOLUSDT:15m:PIVOT:LOW:1116:s2:SOLUSDT:15m:PIVOT:HIGH:1119:s2:1710262200000000000,SOLUSDT:AFFINE:15:SOLUSDT:15m:PIVOT:HIGH:1107:s2:SOLUSDT:15m:PIVOT:LOW:1116:s2:SOLUSDT:15m:PIVOT:HIGH:1119:s2,SOLUSDT,1,1710262200000000000,1710261060000000000,147.576,145.49099999999999,150.64555555555555,1.4722088995470222,146.84255555555555,15,SOLUSDT:AFFINE:15:SOLUSDT:15m:PIVOT:HIGH:1107:s2:SOLUSDT:15m:PIVOT:LOW:1116:s2:SOLUSDT:15m:PIVOT:HIGH:1119:s2,AFFINE_OPPOSITE_BOUNDARY,147.162,147.347,148.443,146.577,AFFINE_AUCTION_FIRST_CHALLENGE,15,2.9617962466488015,-0.045129579982128375,0.7091723595383251,0.2774798927613874,0.2057640750670174,1.4722088995470222,141.28313546918253,1.397453083109934,0.08493582733812916,3.2440594541808556,15,1710248400000000000,152.294,-7.481481481481677e-14,-4.418999999999983,1,9653.71974188,3.2440594541808556,SOLUSDT-PERP.BINANCE-SourceClockStrategy-000,1710262200000000000,1710262800000000000,147.6,146.44,127.04,-166.0438208,10.0,False,0.0,-166.0438208,-0.5733327851496962,
BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1153:s2:BTCUSDT:15m:PIVOT:HIGH:1165:s2:BTCUSDT:15m:PIVOT:LOW:1173:s2:1710312900000000000,BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1153:s2:BTCUSDT:15m:PIVOT:HIGH:1165:s2:BTCUSDT:15m:PIVOT:LOW:1173:s2,BTCUSDT,-1,1710312900000000000,1710311820000000000,72585.0,73003.7,72050.90000000001,1.2756149988058156,72752.845,15,BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1153:s2:BTCUSDT:15m:PIVOT:HIGH:1165:s2:BTCUSDT:15m:PIVOT:LOW:1173:s2,PARENT_UNSPENT_SWING,72633.1,72662.0,72851.2,72532.3,AFFINE_AUCTION_FIRST_CHALLENGE,15,2.6118842051802695,0.16828339258506658,1.170645449391391,0.39156932453024507,-1.4474352463179172,1.2756149988058156,57.68409450988457,2.126460132046694,0.20802961547647622,3.4830747665432904,15,1710289800000000000,71388.1,3.68166666666665e-11,514.2799999999988,-1,9487.675921080001,3.4830747665432904,BTCUSDT-PERP.BINANCE-SourceClockStrategy-000,1710312900000000000,1710313200000000000,72577.0,72806.9,0.552,-167.0307564,5.0,False,0.0,-167.0307564,-0.5868341126228328,
BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1173:s2:BTCUSDT:15m:PIVOT:HIGH:1181:s2:BTCUSDT:15m:PIVOT:LOW:1183:s2:1710321600000000000,BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1173:s2:BTCUSDT:15m:PIVOT:HIGH:1181:s2:BTCUSDT:15m:PIVOT:LOW:1183:s2,BTCUSDT,-1,1710321600000000000,1710318660000000000,73527.7,73991.5,72796.6,1.5763260025872934,73858.54666666666,15,BTCUSDT:AFFINE:15:BTCUSDT:15m:PIVOT:LOW:1173:s2:BTCUSDT:15m:PIVOT:HIGH:1181:s2:BTCUSDT:15m:PIVOT:LOW:1183:s2,PARENT_UNSPENT_SWING,73621.9,73690.1,73739.8,73355.1,AFFINE_AUCTION_FIRST_CHALLENGE,15,3.249400831499173,0.3647346539496247,0.9720963828848429,0.7938371239912214,-1.0564930300807194,1.5763260025872934,63.07826846209019,2.2685253118122257,0.1902398447606715,3.3871473317905285,15,1710307800000000000,72050.8,8.285555555555523e-11,664.3399999999965,-1,9320.64516468,3.3871473317905285,BTCUSDT-PERP.BINANCE-SourceClockStrategy-000,1710321600000000000,1710333360000000000,73519.6,72796.6,0.498,334.49707824,196.0,False,0.0,334.49707824,1.1962586721198074,
ETHUSDT:AFFINE:15:ETHUSDT:15m:PIVOT:LOW:1235:s2:ETHUSDT:15m:PIVOT:HIGH:1240:s2:ETHUSDT:15m:PIVOT:LOW:1243:s2:1710376200000000000,ETHUSDT:AFFINE:15:ETHUSDT:15m:PIVOT:LOW:1235:s2:ETHUSDT:15m:PIVOT:HIGH:1240:s2:ETHUSDT:15m:PIVOT:LOW:1243:s2,ETHUSDT,-1,1710376200000000000,1710374160000000000,4009.44,4025.52,3992.795,1.0351368159204015,4017.045,15,ETHUSDT:AFFINE:15:ETHUSDT:15m:PIVOT:LOW:1235:s2:ETHUSDT:15m:PIVOT:HIGH:1240:s2:ETHUSDT:15m:PIVOT:LOW:1243:s2,AFFINE_OPPOSITE_BOUNDARY,4012.31,4013.85,4015.45,4001.41,AFFINE_AUCTION_FIRST_CHALLENGE,15,1.6565153733528466,0.04714494875549013,0.7413385024709853,0.2582723279648483,0.0210834553440774,1.0351368159204015,40.105351370764815,0.9417276720351198,0.2992119402985088,3.262704272897882,15,1710363600000000000,3977.49,8.944444444444521e-13,28.28500000000031,-1,9655.142242920001,3.262704272897882,ETHUSDT-PERP.BINANCE-SourceClockStrategy-000,1710376200000000000,1710376740000000000,4008.93,3992.8,13.464,179.4343914,9.0,False,0.0,179.4343914,0.6194778108407365,
XRPUSDT:AFFINE:60:XRPUSDT:60m:PIVOT:LOW:352:s2:XRPUSDT:60m:PIVOT:HIGH:355:s2:XRPUSDT:60m:PIVOT:LOW:356:s2:1710555300000000000,XRPUSDT:AFFINE:60:XRPUSDT:60m:PIVOT:LOW:352:s2:XRPUSDT:60m:PIVOT:HIGH:355:s2:XRPUSDT:60m:PIVOT:LOW:356:s2,XRPUSDT,-1,1710555300000000000,1710552840000000000,0.6385,0.6522,0.6206312500000002,1.3042883211678618,0.64608125,60,XRPUSDT:AFFINE:60:XRPUSDT:60m:PIVOT:LOW:352:s2:XRPUSDT:60m:PIVOT:HIGH:355:s2:XRPUSDT:60m:PIVOT:LOW:356:s2,AFFINE_OPPOSITE_BOUNDARY,0.6415,0.6417,0.6484,0.6384,AFFINE_AUCTION_FIRST_CHALLENGE,60,2.3784403669724825,0.011467889908258201,0.9412917323143667,0.30275229357799,0.6238532110091789,1.3042883211678618,214.5653876272521,1.2568807339449624,0.05592700729926988,4.757698155122461,60,1710522000000000000,0.619,3.472222222222611e-17,0.025924999999999976,-1,9834.57663432,4.757698155122461,XRPUSDT-PERP.BINANCE-SourceClockStrategy-000,1710555300000000000,1710596460000000000,0.6384,0.6206,20237.8,351.2610185,686.0,False,4.357014848208408,355.61803334820837,1.2053324597190356,
XRPUSDT:AFFINE:60:XRPUSDT:60m:PIVOT:HIGH:368:s2:XRPUSDT:60m:PIVOT:LOW:374:s2:XRPUSDT:60m:PIVOT:HIGH:376:s2:1710624900000000000,XRPUSDT:AFFINE:60:XRPUSDT:60m:PIVOT:HIGH:368:s2:XRPUSDT:60m:PIVOT:LOW:374:s2:XRPUSDT:60m:PIVOT:HIGH:376:s2,XRPUSDT,1,1710624900000000000,1710615660000000000,0.605,0.5947000000000001,0.626,2.038834951456339,0.5991281249999999,60,XRPUSDT:AFFINE:60:XRPUSDT:60m:PIVOT:HIGH:368:s2:XRPUSDT:60m:PIVOT:LOW:374:s2:XRPUSDT:60m:PIVOT:HIGH:376:s2,PARENT_UNSPENT_SWING,0.6025,0.6032,0.6166,0.6004,AFFINE_AUCTION_FIRST_CHALLENGE,60,2.3689655172413935,-0.2948275862068975,0.7879139288677399,0.3448275862068902,-1.131034482758622,2.038834951456339,170.2479338842953,1.4206896551723993,0.0704854368932048,4.675394099597594,60,1710579600000000000,0.6432,-5.937500000000001e-16,-0.01717500000000005,1,10190.19466767,4.675394099597594,XRPUSDT-PERP.BINANCE-SourceClockStrategy-000,1710624900000000000,1710630900000000000,0.6051,0.5946,27531.2,-305.59219032,100.0,False,0.0,-305.59219032,-0.9996282383415087,
