plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,control_scale,defeated_scale,impulse_efficiency,impulse_activity,impulse_flow,break_distance,control_age,pullback_depth,pullback_activity,pullback_flow,opponent_value_reclaim,response_flow,response_activity,risk_bps,risk_range,cost_r,planned_rr,market_move,relative_move,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
BTCUSDT:60:ORIGIN:1739149200000000000:-1:1739159460000000000,BTCUSDT:60:ORIGIN:1739149200000000000:-1,BTCUSDT,-1,1739159460000000000,1739145660000000000,96685.1,97091.90000000001,95911.40000000001,1.9019174041297728,96550.65,60,BTCUSDT:60:ORIGIN:1739149200000000000:-1,OPPOSING_ORIGIN,96423.6,96677.7,96685.1,95200.1,AUCTION_CONTROL_SURVIVAL,2.4849066497880004,1.0986122886681098,0.38577255383536213,1.9715485878566401,0.1087845618853502,0.6939648668080896,1.85,0.7849666983824917,2.116728024833218,0.026726267387477354,0.23351702302697927,0.5601420625879515,2.2103578586783743,42.07473540390431,0.7221921407458098,0.28520678466076493,1.9019174041297728,-1.2792465557473691,-0.10795128784867547,10000.0,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739159460000000000,1739161980000000000,96674.59999999999,97103.2,0.561,-294.7992729,42.0,False,0.0,-294.7992729,-0.982664243,
SOLUSDT:15:ORIGIN:1739174400000000000:1:1739191380000000000,SOLUSDT:15:ORIGIN:1739174400000000000:1,SOLUSDT,1,1739191380000000000,1739173560000000000,203.3,202.45000000000002,204.71,1.6588235294117717,202.82999999999998,15,SOLUSDT:15:ORIGIN:1739174400000000000:1,OPPOSING_ORIGIN,202.7,202.96,205.91,203.3,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.450134770889487,1.7270362210857366,0.09430824265353137,0.036900369003691424,17.866666666666667,0.7543352601156071,1.761901480109133,-0.1288189411196245,0.12952734167464697,-0.07610713338636967,1.3758812345188531,41.810132808656874,0.5227552275522719,0.28701176470588424,1.6588235294117717,-0.4692361785665302,-0.14089757218797738,9705.2007271,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739191380000000000,1739191800000000000,203.33,202.42,258.78,-287.9897925,7.0,False,0.0,-287.9897925,-0.989125317438794,
BTCUSDT:15:ORIGIN:1739209500000000000:1:1739211660000000000,BTCUSDT:15:ORIGIN:1739209500000000000:1,BTCUSDT,1,1739211660000000000,1739208660000000000,97219.1,97133.79999999999,97377.9,1.8616647127779116,97232.05,15,BTCUSDT:15:ORIGIN:1739209500000000000:1,OPPOSING_ORIGIN,97204.3,97259.8,97520.8,97219.1,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.3557377049180381,0.5762346287198519,0.12566082737626072,0.1813200498132074,1.4,0.7795865633074567,0.7510363623395644,0.2025072423961319,0.12132642956262527,0.2542507084514087,0.6537750107788689,8.77399605633229,0.2124533001245761,1.3676778429071057,1.8616647127779116,0.22955885260622283,0.15750334849074432,9417.2109346,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739211660000000000,1739212200000000000,97231.6,97377.90000000001,1.301,101.74941462,9.0,False,0.0,101.74941462,0.3601541026907094,
SOLUSDT:240:ORIGIN:1739232000000000000:1:1739269860000000000,SOLUSDT:240:ORIGIN:1739232000000000000:1,SOLUSDT,1,1739269860000000000,1739217660000000000,201.37,199.13,204.3,1.308035714285712,200.785,240,SOLUSDT:240:ORIGIN:1739232000000000000:1,OPPOSING_ORIGIN,200.32,201.25,206.07,201.37,AUCTION_CONTROL_SURVIVAL,3.871201010907891,1.0986122886681098,0.2273402674591382,0.9360380064959232,-0.023355173049640854,0.059143374988076404,0.6291666666666667,0.6772334293948112,1.3508775542422558,-0.21320271533677493,0.028492027962469392,0.1457810388105812,0.8531598130263781,111.23801956597353,0.4273585805590023,0.10787678571428527,1.308035714285712,-0.8285599646290387,-0.5289304293305883,9518.96034922,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739269860000000000,1739281800000000000,201.39,199.11,113.86,-282.401265,199.0,False,0.0,-282.401265,-0.9889079431632835,
SOLUSDT:60:ORIGIN:1739296800000000000:-1:1739309880000000000,SOLUSDT:60:ORIGIN:1739296800000000000:-1,SOLUSDT,-1,1739309880000000000,1739293260000000000,197.93,199.0,195.51,2.2616822429906835,198.175,60,SOLUSDT:60:ORIGIN:1739296800000000000:-1,15M_OPPOSING_LIQUIDITY,197.87,198.48,197.93,194.94,AUCTION_CONTROL_SURVIVAL,2.4849066497880004,2.4849066497880004,0.312084993359893,1.1141700903737943,0.07675856744113407,0.08110992529348865,1.6333333333333333,0.7364532019704452,1.7362826551239503,-0.12860818383674621,0.012514639063103933,0.41027825099375353,0.8621136307541046,54.05951599050134,0.45677694770543864,0.22197757009345934,2.2616822429906835,-0.596219175669944,0.1344691457485348,9236.55908422,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739309880000000000,1739311920000000000,197.9,199.03,206.87,-274.81955455,34.0,False,0.0,-274.81955455,-0.9917818675553813,
SOLUSDT:60:ORIGIN:1739322000000000000:-1:1739360880000000000,SOLUSDT:60:ORIGIN:1739322000000000000:-1,SOLUSDT,-1,1739360880000000000,1739318460000000000,197.48,198.45999999999998,196.01999999999998,1.4897959183673706,197.89,60,SOLUSDT:60:ORIGIN:1739322000000000000:-1,OPPOSING_ORIGIN,197.86,197.92,197.48,193.01,AUCTION_CONTROL_SURVIVAL,2.4849066497880004,1.0986122886681098,0.32212885154061843,0.5886398199959915,0.08666238178840466,0.19327561908596297,8.8,0.8201834862385337,1.7654865760465273,-0.17950682307876467,0.1308054985329841,0.42201834862385323,1.0688442550889294,49.62527850921561,0.3946043889671787,0.24181224489796166,1.4897959183673706,-0.8293964855889417,-0.021251492996242294,8961.739529670002,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739360880000000000,1739366640000000000,197.45,198.49,215.02,-266.1883094,96.0,False,0.0,-266.1883094,-0.9900916688429344,
SOLUSDT:15:ORIGIN:1739404800000000000:-1:1739409300000000000,SOLUSDT:15:ORIGIN:1739404800000000000:-1,SOLUSDT,-1,1739409300000000000,1739403960000000000,196.05,196.79999999999998,194.88,1.5600000000000804,196.5,15,SOLUSDT:15:ORIGIN:1739404800000000000:-1,IMPULSE_EXTERNAL_LIQUIDITY,196.29,196.71,196.05,194.87,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.309711286089233,0.5728147993948581,0.11979230828896159,0.03877622242039847,2.0,0.6113989637305803,1.4564808292412348,0.21523364485981308,0.21618828464869494,0.6824487334137516,2.7082376241666926,38.255547054321426,0.5816433363061534,0.3136800000000119,1.5600000000000804,-0.3804943239815717,0.26239919769388836,8695.55122027,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739409300000000000,1739411220000000000,196.02,196.83,255.18,-256.8195315,32.0,False,0.0,-256.8195315,-0.9844863003100325,
BTCUSDT:15:ORIGIN:1739458800000000000:1:1739462400000000000,BTCUSDT:15:ORIGIN:1739458800000000000:1,BTCUSDT,1,1739462400000000000,1739457960000000000,95943.5,95505.9,96432.29999999999,1.1170018281535234,95877.1,15,BTCUSDT:15:ORIGIN:1739458800000000000:1,IMPULSE_EXTERNAL_LIQUIDITY,95818.6,95935.6,96432.4,95943.5,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,2.4849066497880004,0.22872563403898624,2.1854241262093392,0.10006691745307003,0.29495178672721206,1.0,0.5276848354020445,1.0800988835109901,-0.03531324562201575,0.25359119686601395,0.35036383708645435,0.3738464163602906,45.6101768228182,1.5513329551900439,0.2630991773308923,1.1170018281535234,0.3423126659617303,-0.205881935364722,8438.73168877,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739462400000000000,1739463480000000000,95954.09999999999,95495.3,0.448,-248.4270656,18.0,False,-0.34603371935999994,-248.77309931936,-0.9826638587187199,
XRPUSDT:15:ORIGIN:1739484000000000000:1:1739487720000000000,XRPUSDT:15:ORIGIN:1739484000000000000:1,XRPUSDT,1,1739487720000000000,1739483160000000000,2.53,2.4947,2.5881999999999996,1.648725212464589,2.5092499999999998,15,XRPUSDT:15:ORIGIN:1739484000000000000:1,OPPOSING_ORIGIN,2.5,2.5185,2.6036,2.53,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,3.871201010907891,0.3701007838745806,8.310371098880527,0.0690836892627612,1.1391978429390084,2.1333333333333333,0.675849403122132,0.38373261738681724,-0.02657888370637859,0.4761925634626915,0.11413884959639552,0.4027975280876429,139.5256916996043,2.379507920458375,0.08600566572237987,1.648725212464589,0.002052393618126161,0.3581696484375041,8189.9585894500005,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739487720000000000,1739505060000000000,2.5303,2.5882,6356.9,356.73149225,289.0,False,-0.7921405812936,355.93935166870637,1.4486819348399562,
ETHUSDT:15:ORIGIN:1739520900000000000:1:1739523180000000000,ETHUSDT:15:ORIGIN:1739520900000000000:1,ETHUSDT,1,1739523180000000000,1739520060000000000,2700.04,2694.3999999999996,2715.7099999999996,2.778368794326012,2697.76,15,ETHUSDT:15:ORIGIN:1739520900000000000:1,IMPULSE_EXTERNAL_LIQUIDITY,2697.51,2698.01,2715.72,2700.04,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.4889201547660822,2.161755801687062,0.18328421493140984,0.8678973867177865,1.5333333333333334,0.7354596622889172,0.6874818668744396,-0.05321074646921093,0.21042930844990737,0.7065257454712027,0.4586066791811922,20.888579428454126,0.6760968592664016,0.5744765957446475,2.778368794326012,0.19811555800328554,-0.16956215674843872,8545.89794112,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1739523180000000000,1739528340000000000,2700.39,2715.71,27.52,369.50176576,86.0,False,0.0,369.50176576,1.4412441630117505,
