group,policy,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,mean_without_best,top1_positive_share,top2_positive_share
all,continuation,30,3456,-0.0017310994475255668,-0.0019,0.27488425925925924,0.41099157619126186,4.17452596009976,10.15720565074812,-0.006605253178238167,0.003085666729259264,0.18976767395946648,-0.18678829510873596,-0.0017865260100167367,0.045458496551050685,0.0868047713090485
all,reversal,30,3456,-0.002068900552474433,-0.0019,0.2690972222222222,0.3346744284860556,3.5966788751161727,10.746799184467813,-0.006885666729259264,0.002805253178238167,0.18298829510873593,-0.1935676739594665,-0.002122462693042077,0.05087701778848005,0.07534404247651222
all,continuation,60,3456,-0.0014609980661487636,-0.0017704397599085802,0.34664351851851855,0.5779612674326866,6.914643588300204,11.96385290491033,-0.008800585434499563,0.0052092664364776905,0.2529101924076963,-0.13947143917464555,-0.0015346221444335233,0.03657602726417141,0.06280758824061806
all,reversal,60,3456,-0.002339001933851236,-0.0020295602400914195,0.328125,0.40667263868123926,5.540575688143805,13.624166371533677,-0.009009266436477691,0.005000585434499562,0.13567143917464553,-0.2567101924076963,-0.002378947068759629,0.024486884903488788,0.03722984595116474
all,continuation,120,3456,-0.001455167304872068,-0.0018882657204144376,0.3755787037037037,0.6734470009622014,10.371376702190842,15.40043490782871,-0.01094370810756583,0.008210888706365228,0.21664744041239214,-0.24532874382471614,-0.0015182939641245321,0.020888976134347495,0.03834838344761706
all,reversal,120,3456,-0.002344832695127932,-0.0019117342795855624,0.37905092592592593,0.5214712345819672,8.830959690684164,16.934701485046297,-0.01201088870636523,0.007143708107565829,0.24152874382471612,-0.22044744041239217,-0.0024154183902132705,0.027350226055216437,0.04385223666546664
all,continuation,240,3456,-0.0016092551458076964,-0.001951821930726392,0.41203703703703703,0.7352483440586244,15.445216852076323,21.00680263598773,-0.015216590903969417,0.01279115805649701,0.26274335459277176,-0.19380581309786604,-0.0016857682021719745,0.017011308880227914,0.029527985434447495
all,reversal,240,3456,-0.0021907448541923034,-0.0018481780692736077,0.41001157407407407,0.6556062981018742,14.412968927679302,21.984183143767908,-0.01659115805649701,0.011416590903969416,0.19000581309786602,-0.2665433545927718,-0.002246373380372349,0.013182975280892368,0.02428252741997446
all,continuation,480,3456,-0.0011254614927392955,-0.001259234947763686,0.46122685185185186,0.8711441772191065,26.296040739334654,30.185635658241665,-0.021263382661927274,0.02031308516954601,0.21802548359107843,-0.2915898456309304,-0.0011888915781470574,0.008291190516180914,0.01524043786567386
all,reversal,480,3456,-0.002674538507260705,-0.0025407650522363137,0.42766203703703703,0.7207674069158151,23.858966047999736,33.10217112909274,-0.02411308516954601,0.017463382661927276,0.28778984563093035,-0.22182548359107845,-0.002758609240730515,0.01206212561985928,0.021260162255122214
all,continuation,720,3456,-0.001248202955549144,-0.0013967589902286065,0.46238425925925924,0.8872157570152913,33.93436742223553,38.24815683661338,-0.028413394706683123,0.02611795837980764,0.27023800847241364,-0.29179098116947466,-0.0013267807302026788,0.007963549315946283,0.01438660072672958
all,reversal,720,3456,-0.0025517970444508572,-0.0024032410097713933,0.4340277777777778,0.7832221482886866,31.863238620198878,40.68224920582105,-0.029917958379807638,0.024613394706683125,0.28799098116947464,-0.27403800847241366,-0.002635890467957058,0.009038346183269336,0.014718721624442103
split:post_publication,continuation,30,1152,-0.0019635255147516673,-0.002074034453294447,0.2265625,0.18999470983378028,0.5305699896393257,2.7925513826332464,-0.005455834152483527,0.0015752680556431339,0.010982871039831877,-0.012789458272328013,-0.001974773470055389,0.02070013618240618,0.040251393005491694
split:post_publication,reversal,30,1152,-0.0018364744852483318,-0.0017259655467055529,0.2378472222222222,0.1964752795648379,0.5173042554795092,2.632922862485588,-0.005375268055643132,0.0016558341524835318,0.008989458272328011,-0.014782871039831879,-0.0018458801609716824,0.017377506906443938,0.03445766333082585
split:post_publication,continuation,60,1152,-0.002033761130409969,-0.001825204935068701,0.2864583333333333,0.2598555663245078,0.822560723905575,3.1654535461378597,-0.007160732182460215,0.002477150306882272,0.01992200604706197,-0.01947666016671311,-0.0020528365145780596,0.024219495859796117,0.043686410460740815
split:post_publication,reversal,60,1152,-0.0017662388695900302,-0.0019747950649312987,0.2951388888888889,0.32700697010661184,0.988663180302772,3.023370358070487,-0.006277150306882271,0.0033607321824602153,0.01567666016671311,-0.02372200604706197,-0.0017813934300038472,0.015856421558970397,0.03068751654904887
split:post_publication,continuation,120,1152,-0.0022247646507592652,-0.002284813490585556,0.3168402777777778,0.34714704964109566,1.3628079613266815,3.9257368390013556,-0.008551924756612471,0.0044331577679983135,0.018738885237281636,-0.022995391360883785,-0.0022429780737723334,0.013750202353557941,0.02641171154104471
split:post_publication,reversal,120,1152,-0.0015752353492407337,-0.001515186509414444,0.3732638888888889,0.4708504400402169,1.6147395011347903,3.4294106234601154,-0.008233157767998298,0.004751924756612471,0.019195391360883787,-0.022538885237281633,-0.001593281071838583,0.011887608711741953,0.02358061614747467
split:post_publication,continuation,240,1152,-0.0023503461969988527,-0.00224605096154372,0.3706597222222222,0.43725361889926306,2.1038027464420526,4.811401565384731,-0.011669285035053278,0.006981372214474594,0.01879976186114664,-0.030877953542854483,-0.0023687216166844703,0.008936085806019962,0.01784323514260715
split:post_publication,reversal,240,1152,-0.0014496538030011464,-0.0015539490384562798,0.4088541666666667,0.6030120240065004,2.5366783207033725,4.206679501760694,-0.010781372214474592,0.007869285035053278,0.027077953542854485,-0.022599761861146636,-0.00147443886585593,0.010674571277664519,0.020904785232271274
split:post_publication,continuation,480,1152,-0.002379826865449286,-0.0022299136086090113,0.4166666666666667,0.539208075911275,3.208110887669555,5.949671436667133,-0.015442476692872718,0.010017345437779946,0.022513976116762327,-0.030107622247767404,-0.0024014548437135876,0.007017829777422996,0.013843621776371929
split:post_publication,reversal,480,1152,-0.0014201731345507133,-0.0015700863913909885,0.4375,0.6945583498446617,3.7202682109368785,5.356307661939301,-0.013817345437779948,0.011642476692872732,0.026307622247767407,-0.026313976116762325,-0.0014442633129888697,0.007071431616254983,0.013832223369143515
split:post_publication,continuation,720,1152,-0.002421448335524357,-0.002270898151808796,0.4184027777777778,0.5912451764961061,4.034896569414091,6.824405051938152,-0.01884160711702831,0.013253286755331663,0.026548331853904608,-0.03388896337651691,-0.0024466175624482745,0.006579680890744543,0.012918273860683666
split:post_publication,reversal,720,1152,-0.0013785516644756416,-0.0015291018481912038,0.4366319444444444,0.742658285876697,4.583047595691775,6.171139113167715,-0.01705328675533165,0.015041607117028316,0.03008896337651691,-0.030348331853904606,-0.0014058909477432286,0.006565274033985942,0.012788809183403124
split:post_sample,continuation,30,2304,-0.0016148864139125163,-0.0018114687742413632,0.2990451388888889,0.4947898214634286,3.643955970460435,7.364654268114873,-0.007233398370004627,0.00424048417201038,0.18976767395946648,-0.18678829510873596,-0.0016979878296195848,0.052077378403528905,0.09944378423550446
split:post_sample,reversal,30,2304,-0.0021851135860874835,-0.0019885312257586366,0.2847222222222222,0.3795195412695631,3.079374619636664,8.113876321982225,-0.008040484172010375,0.0034333983700046288,0.18298829510873593,-0.1935676739594665,-0.002265518887301041,0.05942384987583185,0.08800109094004972
split:post_sample,continuation,60,2304,-0.0011746165340181605,-0.0017343918493761695,0.3767361111111111,0.692408086514111,6.092082864394628,8.798399358772471,-0.009830646115424701,0.006736776372221369,0.2529101924076963,-0.13947143917464555,-0.0012849442843185144,0.04151456866843325,0.07128794814378231
split:post_sample,reversal,60,2304,-0.002625383465981839,-0.0020656081506238303,0.3446180555555556,0.4293934627229906,4.551912507841033,10.600796013463189,-0.010536776372221368,0.006030646115424702,0.13567143917464553,-0.2567101924076963,-0.0026854341922695622,0.02980537058674582,0.04531606857448109
split:post_sample,continuation,120,2304,-0.001070368631928469,-0.001561961357209694,0.4049479166666667,0.7850811138410009,9.00856874086416,11.474698068827355,-0.012569234870224598,0.010526170593364062,0.21664744041239214,-0.24532874382471614,-0.0011649052402846654,0.024049041156743167,0.044149691487745044
split:post_sample,reversal,120,2304,-0.002729631368071531,-0.0022380386427903057,0.3819444444444444,0.5343254183495487,7.216220189549373,13.505290861586182,-0.01432617059336405,0.0087692348702246,0.24152874382471612,-0.22044744041239217,-0.0028356923212598884,0.03347025693236208,0.0536648444984965
split:post_sample,continuation,240,2304,-0.0012387096202121184,-0.0017804630039339614,0.4327256944444444,0.823777938408137,13.341414105634268,16.195401070602994,-0.01815978323919772,0.01680850570643266,0.26274335459277176,-0.19380581309786604,-0.0013533349194795887,0.01969381600124469,0.034184242736861714
split:post_sample,reversal,240,2304,-0.002561290379787881,-0.0020195369960660384,0.4105902777777778,0.6680516480903955,11.876290606975926,17.77750364200721,-0.020608505706432655,0.014359783239197739,0.19000581309786602,-0.2665433545927718,-0.0026449061433474357,0.015998750736720767,0.029469076226885053
split:post_sample,continuation,480,2304,-0.0004982788063842996,-0.00057030845873761,0.4835069444444444,0.9526309595354384,23.087929851665102,24.235964221574534,-0.0279871716652864,0.02942648170637101,0.21802548359107843,-0.2915898456309304,-0.000593165372774861,0.009443266892780966,0.01735812511454574
split:post_sample,reversal,480,2304,-0.0033017211936157012,-0.0032296915412623898,0.4227430555555556,0.725827035835586,20.138697837062857,27.745863467153434,-0.03322648170637098,0.024187171665286417,0.28778984563093035,-0.22182548359107845,-0.003428117879166959,0.014290389972547663,0.025187601180767606
split:post_sample,continuation,720,2304,-0.000661580265561537,-0.0007964188054380022,0.484375,0.9514927134640508,29.899470852821445,31.423751784675225,-0.04062866960373859,0.042662678622755565,0.27023800847241364,-0.29179098116947466,-0.000779209266316194,0.00903822043549352,0.016328054681000268
split:post_sample,reversal,720,2304,-0.0031384197344384644,-0.0030035811945619975,0.4327256944444444,0.7904756164396595,27.280191024507104,34.51111009265334,-0.046462678622755556,0.036828669603738595,0.28799098116947464,-0.27403800847241366,-0.003264832848161397,0.010556780226016691,0.017191453640576317
period:postpublication_2026_07,continuation,30,1152,-0.0019635255147516673,-0.002074034453294447,0.2265625,0.18999470983378028,0.5305699896393257,2.7925513826332464,-0.005455834152483527,0.0015752680556431339,0.010982871039831877,-0.012789458272328013,-0.001974773470055389,0.02070013618240618,0.040251393005491694
period:postpublication_2026_07,reversal,30,1152,-0.0018364744852483318,-0.0017259655467055529,0.2378472222222222,0.1964752795648379,0.5173042554795092,2.632922862485588,-0.005375268055643132,0.0016558341524835318,0.008989458272328011,-0.014782871039831879,-0.0018458801609716824,0.017377506906443938,0.03445766333082585
period:postpublication_2026_07,continuation,60,1152,-0.002033761130409969,-0.001825204935068701,0.2864583333333333,0.2598555663245078,0.822560723905575,3.1654535461378597,-0.007160732182460215,0.002477150306882272,0.01992200604706197,-0.01947666016671311,-0.0020528365145780596,0.024219495859796117,0.043686410460740815
period:postpublication_2026_07,reversal,60,1152,-0.0017662388695900302,-0.0019747950649312987,0.2951388888888889,0.32700697010661184,0.988663180302772,3.023370358070487,-0.006277150306882271,0.0033607321824602153,0.01567666016671311,-0.02372200604706197,-0.0017813934300038472,0.015856421558970397,0.03068751654904887
period:postpublication_2026_07,continuation,120,1152,-0.0022247646507592652,-0.002284813490585556,0.3168402777777778,0.34714704964109566,1.3628079613266815,3.9257368390013556,-0.008551924756612471,0.0044331577679983135,0.018738885237281636,-0.022995391360883785,-0.0022429780737723334,0.013750202353557941,0.02641171154104471
period:postpublication_2026_07,reversal,120,1152,-0.0015752353492407337,-0.001515186509414444,0.3732638888888889,0.4708504400402169,1.6147395011347903,3.4294106234601154,-0.008233157767998298,0.004751924756612471,0.019195391360883787,-0.022538885237281633,-0.001593281071838583,0.011887608711741953,0.02358061614747467
period:postpublication_2026_07,continuation,240,1152,-0.0023503461969988527,-0.00224605096154372,0.3706597222222222,0.43725361889926306,2.1038027464420526,4.811401565384731,-0.011669285035053278,0.006981372214474594,0.01879976186114664,-0.030877953542854483,-0.0023687216166844703,0.008936085806019962,0.01784323514260715
period:postpublication_2026_07,reversal,240,1152,-0.0014496538030011464,-0.0015539490384562798,0.4088541666666667,0.6030120240065004,2.5366783207033725,4.206679501760694,-0.010781372214474592,0.007869285035053278,0.027077953542854485,-0.022599761861146636,-0.00147443886585593,0.010674571277664519,0.020904785232271274
period:postpublication_2026_07,continuation,480,1152,-0.002379826865449286,-0.0022299136086090113,0.4166666666666667,0.539208075911275,3.208110887669555,5.949671436667133,-0.015442476692872718,0.010017345437779946,0.022513976116762327,-0.030107622247767404,-0.0024014548437135876,0.007017829777422996,0.013843621776371929
period:postpublication_2026_07,reversal,480,1152,-0.0014201731345507133,-0.0015700863913909885,0.4375,0.6945583498446617,3.7202682109368785,5.356307661939301,-0.013817345437779948,0.011642476692872732,0.026307622247767407,-0.026313976116762325,-0.0014442633129888697,0.007071431616254983,0.013832223369143515
period:postpublication_2026_07,continuation,720,1152,-0.002421448335524357,-0.002270898151808796,0.4184027777777778,0.5912451764961061,4.034896569414091,6.824405051938152,-0.01884160711702831,0.013253286755331663,0.026548331853904608,-0.03388896337651691,-0.0024466175624482745,0.006579680890744543,0.012918273860683666
period:postpublication_2026_07,reversal,720,1152,-0.0013785516644756416,-0.0015291018481912038,0.4366319444444444,0.742658285876697,4.583047595691775,6.171139113167715,-0.01705328675533165,0.015041607117028316,0.03008896337651691,-0.030348331853904606,-0.0014058909477432286,0.006565274033985942,0.012788809183403124
period:postsample_2026_04,continuation,30,1152,-0.0016954214530346598,-0.0017859535881105542,0.2725694444444444,0.32825280215870295,0.9544050573850877,2.9075305712810158,-0.00620762027439101,0.0026943909838845798,0.02734650560029618,-0.025888676152872034,-0.0017206533618559726,0.028652934504790964,0.052266588604414604
