trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20240715-170100-001-000-1,O-20240715-170100-001-000-2,SELL,FLAT,0.0,2305.1,1721062980000000000,2024-07-15 17:03:00+00:00,1721068080000000000,2024-07-15 18:28:00+00:00,5100000000000,153.792,154.91,['427.46880848 USDT'],-0.00727,-3004.57060848 USDT,True
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20240716-001600-001-000-4,O-20240716-001600-001-000-6,SELL,FLAT,0.0,1761.3,1721089260000000000,2024-07-16 00:21:00+00:00,1721109180000000000,2024-07-16 05:53:00+00:00,19920000000000,158.718,155.147,['221.12416980 USDT'],0.0225,6068.47813020 USDT,False
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240719-084100-001-000-10,O-20240719-084100-001-000-12,BUY,FLAT,0.000,208.029,1721382060000000000,2024-07-19 09:41:00+00:00,1721404920000000000,2024-07-19 16:02:00+00:00,22860000000000,3386.18,3487.98,['572.00985226 USDT'],0.03006,20605.34234774 USDT,False
