plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,context_progress,structure_direction,context_location,source_strength,acceptance,event_activity,event_progress,event_flow,approach_efficiency,departure_progress,return_depth,return_activity,return_flow,response_progress,response_flow,source_distance,risk_range,cost_r,planned_rr,elapsed_wave,market_progress,zone_strength,zone_width_range,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r
BTCUSDT:CONTROL:1723518600000000000:-1:ZONE:1723519380000000000,BTCUSDT:CONTROL:1723518600000000000:-1,BTCUSDT,-1,1723519380000000000,1723518600000000000,59387.6,59495.799999999996,59250.2,1.2698706099815633,59256.600000000006,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:489:s2,OPPOSING_DISPLACEMENT,59387.6,59411.5,59434.59999999999,58901.100000000006,BOUNDARY_CONTROL_RESPONSE_ZONE,-1.3854781582054383,-0.0,-0.26158771738338404,1.5245384961728659,1.0,1.0124199296900571,1.0653652765454829,0.19874060469495156,0.7236354001060149,2.1029281277728575,1.3684950773558164,0.8000847315882678,-0.4400741479755414,0.44306418219458443,0.11846679982018578,-0.7749186631173812,0.6400473232771224,0.439695009242156,1.2698706099815633,0.6241543090729939,0.06980183377696353,3.133891213388687,0.14137829044662265,100000.0,0.560304990757844,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723519440000000000,1723519620000000000,59387.6,59250.200000000004,18.248,2074.29468512,3.0,False,0.0,2074.29468512,0.6914315617066666
BTCUSDT:CONTROL:1723567800000000000:1:ZONE:1723576260000000000,BTCUSDT:CONTROL:1723567800000000000:1,BTCUSDT,1,1723576260000000000,1723567800000000000,60631.9,60415.00000000001,61010.200000000004,1.7441217150761321,60736.600000000006,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:86:s2,OPPOSING_DISPLACEMENT,60625.299999999996,60631.9,61544.99999999999,60563.100000000006,BOUNDARY_CONTROL_RESPONSE_ZONE,4.284740324844627,1.0,0.40333910543340123,1.3674077469631145,1.0,1.859715442808672,2.0548395941870026,0.2785915930169654,0.9348546190651453,4.433232794077199,1.1295150915388497,0.4519822738659207,-0.07606788219465034,0.26706882369072543,0.41035609278013724,-0.5741705511379387,1.1894707979160493,0.22303079760258784,1.7441217150761321,1.208960345836975,-0.9095505617977796,7.393939393933314,0.03619413216345348,102074.29468512001,0.7769692023974122,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723576440000000000,1723576860000000000,60631.9,60406.5,11.174,-2991.61088562,7.0,False,0.0,-2991.61088562,-0.9769390340792318
BTCUSDT:CONTROL:1723587600000000000:1:ZONE:1723589820000000000,BTCUSDT:CONTROL:1723587600000000000:1,BTCUSDT,1,1723589820000000000,1723587600000000000,60500.0,60410.3,60607.8,1.2017837235229254,60480.700000000004,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:564:s2,OPPOSING_DISPLACEMENT,60500.0,60525.2,60663.2,60410.4,BOUNDARY_CONTROL_RESPONSE_ZONE,3.36052335684351,0.0,0.06804601801480703,1.0620007607455284,0.0,1.0143386016167872,-0.6087270104580078,-0.22852685296989733,-0.5724228496388507,1.316263974035309,0.8942465753424854,0.8923350475531726,-0.40334834579713535,0.2942661377569676,0.22891523498509164,0.13919942300754373,0.6469527587450307,0.5389763656633397,1.2017837235229254,1.2431935174792172,-0.592012529365686,1.6190476190479215,0.1817526144969166,99082.68379950001,0.46102363433666027,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723590300000000000,1723592460000000000,60500.0,60397.2,19.682,-2855.8306451999997,36.0,False,0.0,-2855.8306451999997,-0.9607567254903159
BTCUSDT:CONTROL:1723623600000000000:-1:ZONE:1723624140000000000,BTCUSDT:CONTROL:1723623600000000000:-1,BTCUSDT,-1,1723624140000000000,1723623600000000000,60818.0,60880.1,60600.1,3.508856682769832,60663.2,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:604:s2,DEPARTURE_EXTREME,60818.0,60820.0,60742.5,60600.0,BOUNDARY_CONTROL_RESPONSE_ZONE,-0.7926082862523418,-0.0,0.1218379567395802,1.250496658840576,1.0,1.3280568763323088,1.101886792452812,0.17791003530681979,0.3593684210526298,0.7949685534590829,3.4493670886077537,0.3716688136870673,-0.21286793584598449,0.05283018867911715,0.22272682397077692,-1.9471698113207914,0.7811320754716798,0.7840847020934161,3.508856682769832,0.4700036292457356,-1.432704402515833,2.1499999999941792,0.025157232704402517,96226.8531543,0.21591529790658393,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723624200000000000,1723624500000000000,60818.0,60892.8,23.551,-2765.12291,5.0,False,0.0,-2765.12291,-0.9578486736843678
BTCUSDT:CONTROL:1723635900000000000:1:ZONE:1723637220000000000,BTCUSDT:CONTROL:1723635900000000000:1,BTCUSDT,1,1723637220000000000,1723635900000000000,61235.399999999994,61106.100000000006,61419.1,1.4207269914928145,61299.100000000006,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:618:s2,DEPARTURE_EXTREME,61231.299999999996,61235.399999999994,61419.2,61220.0,BOUNDARY_CONTROL_RESPONSE_ZONE,0.7723872137837222,1.0,0.5573217726396815,1.9224545550069165,1.0,1.605926821576245,0.6143790849672617,0.15288359210368666,0.7745879851143143,1.3082788671023118,1.5303913405496776,0.37548116555174876,-0.12698994348933043,0.7047930283224932,0.6164507863071996,-0.6938997821352085,1.4084967320260282,0.3782733178654633,1.4207269914928145,0.9028677115420143,-0.2625197680547862,15.804878048786808,0.04466230936817622,93461.7302443,0.6217266821345366,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723637640000000000,1723638180000000000,61235.399999999994,61419.100000000006,14.92,2374.802972,9.0,False,0.0,2374.802972,0.8469787458433495
BTCUSDT:CONTROL:1723640100000000000:1:ZONE:1723641060000000000,BTCUSDT:CONTROL:1723640100000000000:1,BTCUSDT,1,1723641060000000000,1723640100000000000,60873.40000000001,60798.100000000006,61026.700000000004,2.0358565737050425,60841.7,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:620:s2,OPPOSING_DISPLACEMENT,60873.40000000001,60891.6,61222.200000000004,60798.200000000004,BOUNDARY_CONTROL_RESPONSE_ZONE,0.25731126728634274,1.0,-0.5449676233112045,1.7653415669625816,0.0,1.6414033776114703,-2.0914780934036625,-0.22231806673686966,-0.2994836488812329,3.6639383726527295,0.916688567674084,0.4865058529066165,-0.1190879028762655,0.26287915262392014,-0.1059446849732123,0.30524795377958464,0.7250842561386489,0.6461293492695634,2.0358565737050425,0.7259370033829362,-0.054968287526367225,1.5000000000005997,0.17525276841587667,95836.5332163,0.35387065073043655,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723641180000000000,1723641240000000000,60873.40000000001,60788.4,21.512,-2744.26174656,1.0,False,0.0,-2744.26174656,-0.9544939542579547
BTCUSDT:CONTROL:1723654200000000000:1:ZONE:1723663260000000000,BTCUSDT:CONTROL:1723654200000000000:1,BTCUSDT,1,1723663260000000000,1723654200000000000,58767.8,58499.9,59436.09999999999,2.494587532661384,58668.0,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:530:s2,OPPOSING_LIQUIDITY,58767.8,58767.9,59436.19999999999,58500.0,BOUNDARY_CONTROL_RESPONSE_ZONE,-4.518946692357031,0.0,-0.8396263137407532,1.1197648787656063,0.0,1.9293713859404096,1.0833889259506342,0.02778356927352402,-0.2855912125780797,3.416499888814742,0.8700859151262637,1.0184597444116383,-0.26364698800663927,0.1738937069156839,0.43540134920033347,0.4438514565265891,1.1914609739826694,0.17489175065322787,2.494587532661384,2.403937587254333,-1.4754820936639679,390.9999999999127,0.00044474093839691107,93092.27146974001,0.8251082493467721,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723663320000000000,1723673040000000000,58767.8,58490.6,8.646,-2751.14734356,162.0,False,0.0,-2751.14734356,-0.9850969366647051
BTCUSDT:CONTROL:1723673100000000000:-1:ZONE:1723674000000000000,BTCUSDT:CONTROL:1723673100000000000:-1,BTCUSDT,-1,1723674000000000000,1723673100000000000,58829.0,58937.1,58367.299999999996,4.271045328399728,58658.700000000004,3.584962500721156,BTCUSDT:60m:PIVOT:LOW:163:s2,DEPARTURE_EXTREME,58829.0,58854.4,58896.5,58367.2,BOUNDARY_CONTROL_RESPONSE_ZONE,1.7774949083503528,-0.0,0.3598558358746854,1.2144881113711972,1.0,2.419996593878888,2.713820381573044,0.23941228116819424,0.7111441307577973,2.712889716147278,1.5842195540308452,0.18759593132479058,-0.10213909860896642,0.33876221498374753,0.12338309276992368,-1.5849232201024293,1.0060493252676141,0.43596725254394664,4.271045328399728,0.22314355131420976,-1.9745278875714167,1.4370078740156658,0.23638901814800375,90341.12412618,0.5640327474560534,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723674060000000000,1723674660000000000,58829.0,58948.3,16.445,-2640.07947775,10.0,False,0.0,-2640.07947775,-0.9741150567865361
BTCUSDT:CONTROL:1723699500000000000:1:ZONE:1723701060000000000,BTCUSDT:CONTROL:1723699500000000000:1,BTCUSDT,1,1723701060000000000,1723699500000000000,58379.8,58165.1,58621.9,1.1276199347927043,58474.700000000004,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:686:s2,DEPARTURE_EXTREME,58370.3,58379.8,58622.0,58165.2,BOUNDARY_CONTROL_RESPONSE_ZONE,-1.8797937885074918,0.0,-0.2215660125738147,1.3037225042301597,1.0,1.6147896024337023,3.4007825600893753,0.35339315072274524,0.47877127763647964,1.6467300167690826,1.644263408010891,0.2440572319166367,-0.17725462344987422,0.16769144773608274,0.30532841328413296,-1.060927892677481,2.4002235885970107,0.2169306939916118,1.1276199347927043,1.0055218656020979,-2.00975609756107,1.5789473684202868,0.10620458356623726,87701.04464842999,0.7830693060083882,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723701120000000000,1723702800000000000,58379.8,58155.4,9.694,-2570.39958004,28.0,False,0.0,-2570.39958004,-0.9769551359941201
BTCUSDT:CONTROL:1723703100000000000:-1:ZONE:1723703700000000000,BTCUSDT:CONTROL:1723703100000000000:-1,BTCUSDT,-1,1723703700000000000,1723703100000000000,58104.6,58294.8,57800.1,1.6009463722397108,58134.2,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:690:s2,DEPARTURE_EXTREME,58086.1,58104.6,58173.0,57800.0,BOUNDARY_CONTROL_RESPONSE_ZONE,1.3338587996847289,-1.0,0.5010647010647035,1.7520969245107096,1.0,2.4411012161723282,1.7127338563669758,0.2768429488189443,0.7496729175752377,4.0337960168980445,0.911430281268705,0.33236824138649645,-0.2189896763383967,0.5431502715751453,0.42372182735751845,0.357272178636078,2.295715147857667,0.24499369085172942,1.6009463722397108,0.5108256237659907,1.3144236572118693,2.4324324324324325,0.22329511164755975,85130.64506838999,0.7550063091482706,BTCUSDT-PERP.BINANCE-ResponseStrategy-000,1723703820000000000,1723707000000000000,58104.6,57800.1,10.446,2938.65890076,53.0,False,0.0,2938.65890076,1.1506467102805022
