plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,context_progress,structure_direction,context_location,source_strength,acceptance,event_activity,event_progress,event_flow,approach_efficiency,departure_progress,return_depth,return_activity,return_flow,response_progress,response_flow,source_distance,risk_range,cost_r,planned_rr,elapsed_wave,market_progress,zone_strength,zone_width_range
BTCUSDT:CONTROL:1723682100000000000:-1:ZONE:1723682460000000000,BTCUSDT:CONTROL:1723682100000000000:-1,BTCUSDT,-1,1723682460000000000,1723682100000000000,58963.8,59000.1,58844.9,3.275482093664346,58996.0,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:669:s2,DEPARTURE_EXTREME,58963.2,58963.8,59000.0,58844.8,BOUNDARY_CONTROL_RESPONSE_ZONE,1.9021973834624661,-0.0,-0.11618334892424675,1.3617583870434835,0.0,1.0734329108014007,-0.7160367722165486,-0.22477211575016873,-0.9244299674267414,1.5444330949948974,0.7870370370370522,0.5169971003964371,-0.11940307381313373,0.1338100102144927,-0.020196266127942925,0.3289070480081492,0.37078651685389624,1.3000776859505696,3.275482093664346,0.33647223662121295,-1.7547738693468564,21.99999999978172,0.006128702757975834
BTCUSDT:CONTROL:1723699500000000000:1:ZONE:1723701060000000000,BTCUSDT:CONTROL:1723699500000000000:1,BTCUSDT,1,1723701060000000000,1723699500000000000,58379.8,58165.1,58621.9,1.1276199347927043,58474.700000000004,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:686:s2,DEPARTURE_EXTREME,58370.3,58379.8,58622.0,58165.2,BOUNDARY_CONTROL_RESPONSE_ZONE,-1.8797937885074918,0.0,-0.2215660125738147,1.3037225042301597,1.0,1.6147896024337023,3.4007825600893753,0.35339315072274524,0.47877127763647964,1.6467300167690826,1.644263408010891,0.2440572319166367,-0.17725462344987422,0.16769144773608274,0.30532841328413296,-1.060927892677481,2.4002235885970107,0.2169306939916118,1.1276199347927043,1.0055218656020979,-2.00975609756107,1.5789473684202868,0.10620458356623726
BTCUSDT:CONTROL:1723703100000000000:-1:ZONE:1723703700000000000,BTCUSDT:CONTROL:1723703100000000000:-1,BTCUSDT,-1,1723703700000000000,1723703100000000000,58104.6,58294.8,57800.1,1.6009463722397108,58134.2,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:690:s2,DEPARTURE_EXTREME,58086.1,58104.6,58173.0,57800.0,BOUNDARY_CONTROL_RESPONSE_ZONE,1.3338587996847289,-1.0,0.5010647010647035,1.7520969245107096,1.0,2.4411012161723282,1.7127338563669758,0.2768429488189443,0.7496729175752377,4.0337960168980445,0.911430281268705,0.33236824138649645,-0.2189896763383967,0.5431502715751453,0.42372182735751845,0.357272178636078,2.295715147857667,0.24499369085172942,1.6009463722397108,0.5108256237659907,1.3144236572118693,2.4324324324324325,0.22329511164755975
BTCUSDT:CONTROL:1723703100000000000:1:ZONE:1723706880000000000,BTCUSDT:CONTROL:1723703100000000000:1,BTCUSDT,1,1723706880000000000,1723703100000000000,57883.0,57799.9,58005.9,1.478941034897757,57971.2,3.584962500721156,BTCUSDT:60m:PIVOT:LOW:170:s2,OPPOSING_DISPLACEMENT,57877.9,57883.0,58195.0,57800.0,BOUNDARY_CONTROL_RESPONSE_ZONE,-1.8305262056700202,0.0,-0.864045864045864,1.1225058521904,0.0,2.3610392671786746,-1.7127338563669758,-0.2768429488189443,-0.7496729175752377,2.7012673506337577,1.394101876675585,0.3362898565601868,-0.16728618121169575,0.23053711526854412,0.31325850046137854,-1.0645745322872497,1.0030175015087508,0.5566370637785898,1.478941034897757,0.7178397931503169,-2.613511868533205,3.7450980392164697,0.0615570307784989
BTCUSDT:CONTROL:1723738200000000000:-1:ZONE:1723738800000000000,BTCUSDT:CONTROL:1723738200000000000:-1,BTCUSDT,-1,1723738800000000000,1723738200000000000,59739.9,59770.1,59538.99999999999,6.652317880795632,59749.2,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:733:s2,DEPARTURE_EXTREME,59718.200000000004,59739.9,59770.0,59538.899999999994,BOUNDARY_CONTROL_RESPONSE_ZONE,-3.55335097001761,-1.0,-0.9650325278810425,1.3943322837562635,0.0,0.6050502071110128,0.35774946921448786,-0.09278635604316218,-0.40835053911445396,1.116242038216589,0.9557774607703494,0.512567811935638,-0.09444082854472825,0.14755838641190674,0.0112751804500637,0.04936305732481817,0.16029723991506073,1.5831139072849207,6.652317880795632,0.5108256237659907,0.1342887473461278,1.2857142857145252,0.115180467091281
BTCUSDT:CONTROL:1723771200000000000:-1:ZONE:1723772880000000000,BTCUSDT:CONTROL:1723771200000000000:-1,BTCUSDT,-1,1723772880000000000,1723771200000000000,57302.2,57372.0,57062.2,3.438395415472636,57326.5,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:770:s2,DEPARTURE_EXTREME,57251.8,57302.2,57365.299999999996,57062.1,BOUNDARY_CONTROL_RESPONSE_ZONE,3.9970961184784084,1.0,0.22285048090935755,1.2399160643506566,1.0,1.1909189802382103,1.5150820924016828,0.38763423322406604,0.36605504587156185,2.0190912562046583,0.9080937972768427,0.5348069825320911,0.017974154706400982,0.09469263077511558,0.37623072290379544,0.18556701030929953,0.5330278732340781,0.6573587392549869,3.438395415472636,1.0531499145913523,-0.2166796570537474,6.2622950819650915,0.38487972508586404
BTCUSDT:CONTROL:1723775700000000000:1:ZONE:1723780980000000000,BTCUSDT:CONTROL:1723775700000000000:1,BTCUSDT,1,1723780980000000000,1723775700000000000,57820.1,57488.5,58176.4,1.0744873341375285,57850.0,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:190:s2,OPPOSING_DISPLACEMENT,57799.100000000006,57820.1,58494.899999999994,57717.2,BOUNDARY_CONTROL_RESPONSE_ZONE,1.656567612041437,-1.0,0.4656953957005445,0.7462048321573647,1.0,2.8127949971577615,3.512994802079212,0.19915916686037552,0.6566689840103274,5.157137145141927,1.0463637773298213,0.37382370706770407,-0.16789684594598803,0.518992403038741,0.43063385847515684,-0.23910435825671034,2.6517393042782924,0.13889360675512727,1.0744873341375285,0.9028677115420143,0.028081123244919085,3.095238095239168,0.16793282686919508
BTCUSDT:CONTROL:1723791000000000000:1:ZONE:1723791840000000000,BTCUSDT:CONTROL:1723791000000000000:1,BTCUSDT,1,1723791840000000000,1723791000000000000,58432.4,58348.0,58619.8,2.2203791469194103,58494.899999999994,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:194:s2,DEPARTURE_EXTREME,58417.299999999996,58432.4,58619.9,58371.0,BOUNDARY_CONTROL_RESPONSE_ZONE,1.754791486083054,1.0,0.7592759019129547,1.6321684587813439,1.0,1.4764173437493997,1.5716945996276195,0.2884015443286401,0.5532511210762395,1.1638733705773725,1.4999999999999127,0.31965733277923103,-0.3093263678480095,0.19459962756053892,-0.39412055013921093,-0.5819366852885847,0.7858472998138097,0.5532616113743981,2.2203791469194103,0.20972053098206908,-0.9189944134078128,1.390728476820656,0.14059590316579262
BTCUSDT:CONTROL:1723855800000000000:1:ZONE:1723864560000000000,BTCUSDT:CONTROL:1723855800000000000:1,BTCUSDT,1,1723864560000000000,1723855800000000000,59031.9,58913.700000000004,59280.200000000004,2.100676818951007,59025.100000000006,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:862:s2,OPPOSING_DISPLACEMENT,59031.9,59045.9,59363.00000000001,58953.0,BOUNDARY_CONTROL_RESPONSE_ZONE,-0.7266330479652789,1.0,-0.4002619760478977,1.2328316681421905,1.0,1.5526602709195838,1.6300448430494119,0.22459212384614666,0.42857142857144775,3.7881165919282367,0.9798757028706848,0.9721877418817226,-0.26521896489323205,0.258968609865534,0.29090329533552933,0.07623318385645268,1.325112107623275,0.39893908629442615,2.100676818951007,2.3733541638822526,-0.5959952885747064,1.6571428571426492,0.15695067264573864
BTCUSDT:CONTROL:1723938300000000000:-1:ZONE:1723938540000000000,BTCUSDT:CONTROL:1723938300000000000:-1,BTCUSDT,-1,1723938540000000000,1723938300000000000,59406.59999999999,59416.1,59354.3,5.505263157889295,59406.59999999999,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:948:s2,DEPARTURE_EXTREME,59404.99999999999,59407.7,59416.0,59354.200000000004,BOUNDARY_CONTROL_RESPONSE_ZONE,0.9537016327443426,1.0,-0.0015842281288147575,0.7988010490819835,0.0,0.8411515823085938,0.5015045135407097,-0.277493645300585,0.06102987921173609,1.0511534603810648,1.0,0.7607163833178119,-0.0437872535534159,0.18455366098292278,0.27772939346811815,-0.0,0.19057171514561563,5.003261052627747,5.505263157889295,0.2363887780642304,-1.2116349047143837,3.4074074074008203,0.05416248746248422
BTCUSDT:CONTROL:1723939500000000000:-1:ZONE:1723940400000000000,BTCUSDT:CONTROL:1723939500000000000:-1,BTCUSDT,-1,1723940400000000000,1723939500000000000,59484.99999999999,59532.1,59434.5,1.0721868365177598,59518.59999999999,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:943:s2,OPPOSING_DISPLACEMENT,59452.899999999994,59484.99999999999,59532.0,59385.6,BOUNDARY_CONTROL_RESPONSE_ZONE,-0.5312574850299471,1.0,-0.27759197324411367,1.5652173913042622,0.0,1.6705873037652277,0.2763419483103167,-0.18876750568946177,-0.48197054342300644,2.644135188866693,0.7473684210526287,0.7506386955179605,-0.567187755324364,0.6739562624251967,0.7353933195517354,0.6679920477136985,0.93638170974168,1.0109609341824652,1.0721868365177598,0.6931471805599453,0.06660323501400074,1.059190031152696,0.6381709741550499
BTCUSDT:CONTROL:1723941600000000000:-1:ZONE:1723941840000000000,BTCUSDT:CONTROL:1723941600000000000:-1,BTCUSDT,-1,1723941840000000000,1723941600000000000,59695.9,59722.69999999999,59565.200000000004,4.876865671643801,59690.200000000004,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:232:s2,DEPARTURE_EXTREME,59695.9,59699.9,59722.59999999999,59565.100000000006,BOUNDARY_CONTROL_RESPONSE_ZONE,-0.5312574850299471,1.0,-1.0200668896320964,1.5707948243992824,0.0,2.2933105395642404,-1.9501845018449386,-0.46771510378168046,-0.7207933064766319,2.308118081180754,1.0455635491606488,0.4193203381136157,-0.09768520289415863,0.15129151291520768,-0.06353499668801066,-0.1051660516604615,0.4944649446492251,1.7825671641798786,4.876865671643801,0.06453852113757116,-3.046125461254679,2.0500000000010914,0.07380073800737909
BTCUSDT:CONTROL:1723949700000000000:1:ZONE:1723949820000000000,BTCUSDT:CONTROL:1723949700000000000:1,BTCUSDT,1,1723949820000000000,1723949700000000000,59789.6,59601.5,59985.9,1.0435938330675407,59780.19999999999,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:211:s2,DEPARTURE_EXTREME,59789.6,59849.9,59986.0,59705.799999999996,BOUNDARY_CONTROL_RESPONSE_ZONE,0.03880239520957387,1.0,1.2231473771857053,1.4510787757149888,1.0,3.235748596039857,2.4958828911254693,0.16774484497035305,0.999275012083125,3.7657822506865215,0.954324586977608,0.23564094763447985,0.14471685470882273,2.0201280878317633,0.618203443967044,0.17200365965249967,3.4419030192132856,0.2536885699096245,1.0435938330675407,0.03278982282299087,7.067137809187915,1.8325041459368934,1.1033851784081485
BTCUSDT:CONTROL:1723953600000000000:-1:ZONE:1723954560000000000,BTCUSDT:CONTROL:1723953600000000000:-1,BTCUSDT,-1,1723954560000000000,1723953600000000000,59415.299999999996,59495.200000000004,59214.1,2.5181476846054456,59365.9,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:968:s2,DEPARTURE_EXTREME,59415.299999999996,59416.899999999994,59413.299999999996,59214.0,BOUNDARY_CONTROL_RESPONSE_ZONE,0.5962786672436244,-1.0,0.480003547042657,1.0251126851254622,1.0,1.4654923783780962,1.2839673913044085,0.2218336732468799,0.8014230271668238,2.0638586956521325,1.3252139565503207,0.37728783567659463,-0.17158762070120917,0.34239130434777637,0.5669517155073522,-0.671195652173814,1.085597826087043,0.5954966207759049,2.5181476846054456,0.7259370033829362,-1.876777251184753,15.750000000012506,0.021739130434762194
BTCUSDT:CONTROL:1723981200000000000:-1:ZONE:1723981740000000000,BTCUSDT:CONTROL:1723981200000000000:-1,BTCUSDT,-1,1723981740000000000,1723981200000000000,59803.80000000001,59850.2,59705.7,2.1142241379319135,59786.5,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:1003:s2,DEPARTURE_EXTREME,59803.80000000001,59821.7,59818.3,59705.6,BOUNDARY_CONTROL_RESPONSE_ZONE,0.9987044234685026,-1.0,-0.22441353539548436,1.1106252732837378,1.0,1.2068759349283174,0.5683947532793482,0.5013700000500183,0.5424285044537999,1.0106183635229176,1.2138442521632864,0.40664479125681763,-0.2313659411899257,0.3960024984384792,0.16539202522038657,-0.21611492817004269,0.5796377264208812,1.0317000000002912,2.1142241379319135,0.4700036292457356,0.36789689513779267,1.7765363128502178,0.22361024359761014
BTCUSDT:CONTROL:1723992000000000000:1:ZONE:1723992900000000000,BTCUSDT:CONTROL:1723992000000000000:1,BTCUSDT,1,1723992900000000000,1723992000000000000,59740.1,59629.2,59914.90000000001,1.576194770063191,59705.6,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:1006:s2,DEPARTURE_EXTREME,59740.1,59768.99999999999,59915.00000000001,59629.299999999996,BOUNDARY_CONTROL_RESPONSE_ZONE,1.1594798083504665,1.0,-0.20131935445872295,1.6428571428571184,0.0,1.382782117978815,-0.44597989949754624,-0.31767066285392637,-0.21743388834472946,2.6306532663315756,0.8352435530086029,0.7192870999703642,0.41453905580522127,0.442211055276313,0.41453905580522127,0.433417085427104,1.3932160804019265,0.43034752028854256,1.576194770063191,0.6931471805599453,0.521575984990578,1.2179930795849196,0.3630653266330662
BTCUSDT:CONTROL:1724018400000000000:-1:ZONE:1724018700000000000,BTCUSDT:CONTROL:1724018400000000000:-1,BTCUSDT,-1,1724018700000000000,1724018400000000000,59493.2,59597.899999999994,59300.1,1.844317096466131,59466.8,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:1037:s2,DEPARTURE_EXTREME,59493.2,59504.600000000006,59479.100000000006,59300.0,BOUNDARY_CONTROL_RESPONSE_ZONE,1.305612594113609,-1.0,0.39813084112150443,1.2162386081191636,1.0,1.8703545133358812,1.199628597956997,0.2714405537912401,0.48949232585597713,3.0974930362114184,1.1582733812949264,0.41885718949663114,-0.267444945608915,0.8077994428968486,0.25323255065937605,-0.490250696378669,1.9442896935930505,0.4551803247373574,1.844317096466131,0.2876820724517809,1.4484679665736595,3.815789473681288,0.21169916434554314
BTCUSDT:CONTROL:1724018400000000000:1:ZONE:1724020740000000000,BTCUSDT:CONTROL:1724018400000000000:1,BTCUSDT,1,1724020740000000000,1724018400000000000,59342.4,59299.9,59420.0,1.8258823529411423,59327.80000000001,3.584962500721156,BTCUSDT:60m:PIVOT:LOW:257:s2,OPPOSING_DISPLACEMENT,59342.4,59348.1,59556.0,59300.0,BOUNDARY_CONTROL_RESPONSE_ZONE,-1.305612594113609,0.0,-0.8623376623376576,1.9264844486333377,0.0,1.8703545133358812,-1.199628597956997,-0.2714405537912401,-0.48949232585597713,4.237697307334543,0.9360210341805788,0.6514101429126806,-0.0713821459858139,0.37140204271119476,0.14208050677192888,0.27112349117901,0.7892293407612889,1.116433411764706,1.8258823529411423,0.5007752879124893,-2.0552486187842556,3.508771929826353,0.10584958217263646
BTCUSDT:CONTROL:1724044800000000000:1:ZONE:1724045100000000000,BTCUSDT:CONTROL:1724044800000000000:1,BTCUSDT,1,1724045100000000000,1724044800000000000,58430.3,58381.2,58489.1,1.1975560081464087,58442.4,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:1074:s2,DEPARTURE_EXTREME,58430.1,58430.3,58489.2,58381.299999999996,BOUNDARY_CONTROL_RESPONSE_ZONE,-4.111776447105808,1.0,-0.6675287727919259,1.1636798088410942,0.0,1.0563063631684697,0.4056107539450308,-0.2102684028017585,0.07357043235703742,0.547048509643437,1.2585470085470016,0.29857759158007036,-0.004139898186236057,0.21507890122737128,0.14746491194705408,-0.14143775569840616,0.5739333722969753,0.9514211812626164,1.1975560081464087,0.2876820724517809,-0.324956165984841,92.49999999798092,0.002337814143826619
BTCUSDT:CONTROL:1724061000000000000:-1:ZONE:1724073000000000000,BTCUSDT:CONTROL:1724061000000000000:-1,BTCUSDT,-1,1724073000000000000,1724061000000000000,58533.100000000006,58584.299999999996,58467.5,1.2812500000003686,58339.8,3.584962500721156,BTCUSDT:60m:PIVOT:LOW:269:s2,OPPOSING_DISPLACEMENT,58533.100000000006,58557.7,58531.9,57750.0,BOUNDARY_CONTROL_RESPONSE_ZONE,0.6009745533297176,-1.0,-0.6066885514977503,1.4884979702300323,1.0,2.7368489932298115,5.727912431587158,0.4353071470470164,0.8597656249999841,9.222830336200097,1.3277382163445268,0.44563843643943696,-0.0007125915877572627,0.7771696637997892,0.3360476973266418,-3.022673964034413,0.8006254886628495,0.9151796875001821,1.2812500000003686,1.4663370687934272,-0.9843296575740575,2.0203252032526313,0.3846755277559185
BTCUSDT:CONTROL:1724088900000000000:1:ZONE:1724089560000000000,BTCUSDT:CONTROL:1724088900000000000:1,BTCUSDT,1,1724089560000000000,1724088900000000000,58984.8,58750.9,59262.799999999996,1.1885421120136426,58945.4,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:277:s2,DEPARTURE_EXTREME,58984.8,59007.0,59262.899999999994,58791.2,BOUNDARY_CONTROL_RESPONSE_ZONE,0.2939068100358314,0.0,0.6323616894705633,2.2088240678586564,1.0,2.0171365136207724,3.03799336038366,0.2577154894492969,0.7741935483870991,2.3423091110290994,0.8759055118110162,0.3168245699425448,-0.07565120705117534,0.3651789007746239,0.08921746995646651,0.29066765031354974,1.7255625230542435,0.20114365113296154,1.1885421120136426,0.16833531481921474,1.5543517515348209,2.229729729730022,0.16377720398374923
BTCUSDT:CONTROL:1724110200000000000:1:ZONE:1724110860000000000,BTCUSDT:CONTROL:1724110200000000000:1,BTCUSDT,1,1724110860000000000,1724110200000000000,59305.100000000006,59164.200000000004,59499.9,1.3825408090844118,59319.00000000001,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:284:s2,DEPARTURE_EXTREME,59273.799999999996,59305.100000000006,59500.0,59208.3,BOUNDARY_CONTROL_RESPONSE_ZONE,1.8021077283372613,-1.0,0.6662671232876811,1.1450050599971284,1.0,2.1594140665982606,0.848739495798311,0.18388717500332777,0.44279151170421277,1.9012605042015172,1.0767955801105085,0.2309604202033857,-0.11559964789570092,0.38025210084036454,0.1378964152837654,-0.14600840336135312,1.4800420168066701,0.33612164655783905,1.3825408090844118,0.16833531481921474,0.8613445378150866,1.1565495207665362,0.32878151260513394
