plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,context_progress,structure_direction,context_location,source_strength,acceptance,event_activity,event_progress,event_flow,approach_efficiency,departure_progress,return_depth,return_activity,return_flow,response_progress,response_flow,source_distance,risk_range,cost_r,planned_rr,elapsed_wave,market_progress,zone_strength,zone_width_range
BTCUSDT:CONTROL:1723443600000000000:1:ZONE:1723443780000000000,BTCUSDT:CONTROL:1723443600000000000:1,BTCUSDT,1,1723443780000000000,1723443600000000000,58388.1,58337.700000000004,58455.3,1.333333333333574,58340.0,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:401:s2,DEPARTURE_EXTREME,58388.1,58396.2,58455.4,58337.8,BOUNDARY_CONTROL_RESPONSE_ZONE,-0.9617117117117039,1.0,-0.408717262473717,1.5167330089930473,0.0,1.2396759541425588,-0.7327235772357739,-0.25568899218486024,-0.17445638590351067,1.1727642276423171,0.5831889081455984,0.38902758680948646,0.4007642188331517,0.24390243902439565,0.6192885676241203,0.4888211382113782,0.5121951219511717,0.9261952380953452,1.333333333333574,0.18232155679395462,-0.18292682926829673,2.9629629629634953,0.08231707317071875
BTCUSDT:CONTROL:1723518600000000000:-1:ZONE:1723519380000000000,BTCUSDT:CONTROL:1723518600000000000:-1,BTCUSDT,-1,1723519380000000000,1723518600000000000,59387.6,59495.799999999996,59250.2,1.2698706099815633,59256.600000000006,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:489:s2,OPPOSING_DISPLACEMENT,59387.6,59411.5,59434.59999999999,58901.100000000006,BOUNDARY_CONTROL_RESPONSE_ZONE,-1.3854781582054383,-0.0,-0.26158771738338404,1.5245384961728659,1.0,1.0124199296900571,1.0653652765454829,0.19874060469495156,0.7236354001060149,2.1029281277728575,1.3684950773558164,0.8000847315882678,-0.4400741479755414,0.44306418219458443,0.11846679982018578,-0.7749186631173812,0.6400473232771224,0.439695009242156,1.2698706099815633,0.6241543090729939,0.06980183377696353,3.133891213388687,0.14137829044662265
BTCUSDT:CONTROL:1723567800000000000:1:ZONE:1723576260000000000,BTCUSDT:CONTROL:1723567800000000000:1,BTCUSDT,1,1723576260000000000,1723567800000000000,60631.9,60415.00000000001,61010.200000000004,1.7441217150761321,60736.600000000006,3.584962500721156,BTCUSDT:60m:PIVOT:HIGH:86:s2,OPPOSING_DISPLACEMENT,60625.299999999996,60631.9,61544.99999999999,60563.100000000006,BOUNDARY_CONTROL_RESPONSE_ZONE,4.284740324844627,1.0,0.40333910543340123,1.3674077469631145,1.0,1.859715442808672,2.0548395941870026,0.2785915930169654,0.9348546190651453,4.433232794077199,1.1295150915388497,0.4519822738659207,-0.07606788219465034,0.26706882369072543,0.41035609278013724,-0.5741705511379387,1.1894707979160493,0.22303079760258784,1.7441217150761321,1.208960345836975,-0.9095505617977796,7.393939393933314,0.03619413216345348
BTCUSDT:CONTROL:1723587600000000000:1:ZONE:1723589820000000000,BTCUSDT:CONTROL:1723587600000000000:1,BTCUSDT,1,1723589820000000000,1723587600000000000,60500.0,60410.3,60607.8,1.2017837235229254,60480.700000000004,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:564:s2,OPPOSING_DISPLACEMENT,60500.0,60525.2,60663.2,60410.4,BOUNDARY_CONTROL_RESPONSE_ZONE,3.36052335684351,0.0,0.06804601801480703,1.0620007607455284,0.0,1.0143386016167872,-0.6087270104580078,-0.22852685296989733,-0.5724228496388507,1.316263974035309,0.8942465753424854,0.8923350475531726,-0.40334834579713535,0.2942661377569676,0.22891523498509164,0.13919942300754373,0.6469527587450307,0.5389763656633397,1.2017837235229254,1.2431935174792172,-0.592012529365686,1.6190476190479215,0.1817526144969166
BTCUSDT:CONTROL:1723623600000000000:-1:ZONE:1723624140000000000,BTCUSDT:CONTROL:1723623600000000000:-1,BTCUSDT,-1,1723624140000000000,1723623600000000000,60818.0,60880.1,60600.1,3.508856682769832,60663.2,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:604:s2,DEPARTURE_EXTREME,60818.0,60820.0,60742.5,60600.0,BOUNDARY_CONTROL_RESPONSE_ZONE,-0.7926082862523418,-0.0,0.1218379567395802,1.250496658840576,1.0,1.3280568763323088,1.101886792452812,0.17791003530681979,0.3593684210526298,0.7949685534590829,3.4493670886077537,0.3716688136870673,-0.21286793584598449,0.05283018867911715,0.22272682397077692,-1.9471698113207914,0.7811320754716798,0.7840847020934161,3.508856682769832,0.4700036292457356,-1.432704402515833,2.1499999999941792,0.025157232704402517
BTCUSDT:CONTROL:1723624500000000000:-1:ZONE:1723625100000000000,BTCUSDT:CONTROL:1723624500000000000:-1,BTCUSDT,-1,1723625100000000000,1723624500000000000,60843.7,60915.100000000006,60762.1,1.1428571428569827,60911.00000000001,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:607:s2,DEPARTURE_EXTREME,60841.299999999996,60843.7,60915.00000000001,60762.0,BOUNDARY_CONTROL_RESPONSE_ZONE,-0.7926082862523418,-1.0,0.05902480752780592,1.231333507990616,0.0,1.371676236205089,-0.7308176100628748,-0.5113126837186855,0.02176759410801172,1.874213836478079,0.5483221476509604,0.2886673610367089,0.046564297536913685,0.1861635220126152,0.20547341758211496,0.8465408805032728,0.8981132075472796,0.6823221288514573,1.1428571428569827,0.5108256237659907,-0.16477987421363513,6.16666666666414,0.030188679245301324
BTCUSDT:CONTROL:1723635900000000000:1:ZONE:1723637220000000000,BTCUSDT:CONTROL:1723635900000000000:1,BTCUSDT,1,1723637220000000000,1723635900000000000,61235.399999999994,61106.100000000006,61419.1,1.4207269914928145,61299.100000000006,1.584962500721156,BTCUSDT:15m:PIVOT:HIGH:618:s2,DEPARTURE_EXTREME,61231.299999999996,61235.399999999994,61419.2,61220.0,BOUNDARY_CONTROL_RESPONSE_ZONE,0.7723872137837222,1.0,0.5573217726396815,1.9224545550069165,1.0,1.605926821576245,0.6143790849672617,0.15288359210368666,0.7745879851143143,1.3082788671023118,1.5303913405496776,0.37548116555174876,-0.12698994348933043,0.7047930283224932,0.6164507863071996,-0.6938997821352085,1.4084967320260282,0.3782733178654633,1.4207269914928145,0.9028677115420143,-0.2625197680547862,15.804878048786808,0.04466230936817622
BTCUSDT:CONTROL:1723640100000000000:1:ZONE:1723641060000000000,BTCUSDT:CONTROL:1723640100000000000:1,BTCUSDT,1,1723641060000000000,1723640100000000000,60873.40000000001,60798.100000000006,61026.700000000004,2.0358565737050425,60841.7,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:620:s2,OPPOSING_DISPLACEMENT,60873.40000000001,60891.6,61222.200000000004,60798.200000000004,BOUNDARY_CONTROL_RESPONSE_ZONE,0.25731126728634274,1.0,-0.5449676233112045,1.7653415669625816,0.0,1.6414033776114703,-2.0914780934036625,-0.22231806673686966,-0.2994836488812329,3.6639383726527295,0.916688567674084,0.4865058529066165,-0.1190879028762655,0.26287915262392014,-0.1059446849732123,0.30524795377958464,0.7250842561386489,0.6461293492695634,2.0358565737050425,0.7259370033829362,-0.054968287526367225,1.5000000000005997,0.17525276841587667
BTCUSDT:CONTROL:1723654200000000000:1:ZONE:1723663260000000000,BTCUSDT:CONTROL:1723654200000000000:1,BTCUSDT,1,1723663260000000000,1723654200000000000,58767.8,58499.9,59436.09999999999,2.494587532661384,58668.0,1.584962500721156,BTCUSDT:15m:PIVOT:LOW:530:s2,OPPOSING_LIQUIDITY,58767.8,58767.9,59436.19999999999,58500.0,BOUNDARY_CONTROL_RESPONSE_ZONE,-4.518946692357031,0.0,-0.8396263137407532,1.1197648787656063,0.0,1.9293713859404096,1.0833889259506342,0.02778356927352402,-0.2855912125780797,3.416499888814742,0.8700859151262637,1.0184597444116383,-0.26364698800663927,0.1738937069156839,0.43540134920033347,0.4438514565265891,1.1914609739826694,0.17489175065322787,2.494587532661384,2.403937587254333,-1.4754820936639679,390.9999999999127,0.00044474093839691107
BTCUSDT:CONTROL:1723673100000000000:-1:ZONE:1723674000000000000,BTCUSDT:CONTROL:1723673100000000000:-1,BTCUSDT,-1,1723674000000000000,1723673100000000000,58829.0,58937.1,58367.299999999996,4.271045328399728,58658.700000000004,3.584962500721156,BTCUSDT:60m:PIVOT:LOW:163:s2,DEPARTURE_EXTREME,58829.0,58854.4,58896.5,58367.2,BOUNDARY_CONTROL_RESPONSE_ZONE,1.7774949083503528,-0.0,0.3598558358746854,1.2144881113711972,1.0,2.419996593878888,2.713820381573044,0.23941228116819424,0.7111441307577973,2.712889716147278,1.5842195540308452,0.18759593132479058,-0.10213909860896642,0.33876221498374753,0.12338309276992368,-1.5849232201024293,1.0060493252676141,0.43596725254394664,4.271045328399728,0.22314355131420976,-1.9745278875714167,1.4370078740156658,0.23638901814800375
