scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason,partial_entry_abort_requested,partial_entry_abort_opened_quantity,partial_entry_open_parent_count,partial_entry_flatten_attempts,partial_entry_cancel_retry_count
OICB-1708963800000000000-000102,OICB_C,OICB_C,LONG,LONG,1708963920000000000,2024-02-26,16,1708963920000000000,53425.0,53425.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-161200-001-000-1,53222.0,54043.299999999996,SHOCK_RANGE_EXTENSION,53230.95,111.6049999999992,10.797,100000.0,3000.0,277.83131511999994,1.9540532076649388,0.0007,,False,False,(),False,53425.100000000006,1708963920000000000,971,13,53688.5,53150.5,263.3999999999942,274.6000000000058,1.2968980797635974,1.3520433284096403,2.3601093140987954,2.460463240894295,0.4778414914915305,0.6774631575231129,,,53221.9,1708964640000000000,2024-02-26,16,12.0,-2999.9777613,-0.003803455679072278,-0.9999925871,STOP,,,,,,
OICB-1708974300000000000-000121,OICB_C,OICB_C,SHORT,SHORT,1708974600000000000,2024-02-26,19,1708974600000000000,53545.5,53545.5,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-191000-001-000-4,53583.5,53400.5,SHOCK_RANGE_EXTENSION,53566.5,43.42000000000007,25.714,97000.0222387,2910.000667161,113.16388151999753,0.6180222793757837,0.0007,,False,False,(),False,53545.4,1708974600000000000,1149,3,53522.3,53598.3,23.099999999998545,52.900000000001455,0.6062992125984101,1.3884514435696451,0.5320128972823239,1.2183325656379864,-0.6650852638586675,-0.45992934583817735,,,53583.6,1708974720000000000,2024-02-26,19,2.0,-2910.5753742,-0.0007134132904039766,-1.0001974937825568,STOP,,,,,,
OICB-1708980000000000000-000130,OICB_C,OICB_C,LONG,LONG,1708980240000000000,2024-02-26,20,1708980240000000000,54583.1,54583.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-204400-001-000-7,54446.2,54807.0,SHOCK_RANGE_EXTENSION,54486.35,70.53000000000065,13.223,94089.4468645,2822.683405935,213.46288031999262,0.6891219085935976,0.0007,,False,False,(),False,54583.2,1708980240000000000,1243,18,54716.9,54412.7,133.70000000000437,170.5,0.975912408759156,1.2445255474452555,1.895647242308282,2.417411030767027,0.168669278452682,0.26697817397841406,,,54446.1,1708981260000000000,2024-02-26,21,17.0,-2822.05940373,-0.002511761860792305,-0.9997789329814007,STOP,,,,,,
OICB-1708998300000000000-000161,OICB_C,OICB_C,LONG,LONG,1708998480000000000,2024-02-27,1,1708998480000000000,55244.1,55244.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-014800-001-000-10,55106.0,55831.0,SHOCK_RANGE_EXTENSION,55112.65,45.13999999999978,12.702,91267.38746077,2738.0216238230996,215.55626215999936,2.3612044827637826,0.0007,,False,False,(),False,55244.2,1708998480000000000,1547,10,55876.0,55126.1,631.8000000000029,118.09999999999854,4.571635311143388,0.8545586107091246,13.99645547186544,2.616304829419564,2.367114621895176,2.569240412922572,1.7089986e+18,1.70899872e+18,55830.899999999994,1708999020000000000,2024-02-27,1,9.0,6464.65025586,0.010620119397149332,2.3610661799059893,OTHER_EXIT,,,,,,
OICB-1708999800000000000-000164,OICB_E,OICB_E,SHORT,SHORT,1708999860000000000,2024-02-27,2,1708999860000000000,56710.3,56710.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-021100-001-000-13,57801.100000000006,55736.899999999994,PRE_SHOCK_PRICE,56755.1,263.3350000000002,2.503,97732.03771663,2931.9611314989,1171.1247567599976,0.7637845198274734,0.0007,,False,False,(),False,56710.2,1708999860000000000,1570,46,56159.6,56957.4,550.5999999999985,247.20000000000437,0.5047208726739336,0.22660188834907177,2.0908728425769385,0.938728235897257,0.38431108846606954,0.4025114636839688,,,56298.700000000004,1709002560000000000,2024-02-27,2,45.0,831.98160631,0.007256190244435618,0.28376283620262993,TIMEOUT,TIMEOUT,,,,,
OICB-1709004300000000000-000169,OICB_C,OICB_C,LONG,LONG,1709004600000000000,2024-02-27,3,1709004600000000000,56625.6,56625.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-033000-001-000-17,56546.5,56819.2,SHOCK_RANGE_EXTENSION,56552.35,72.6300000000003,18.657,98564.01932294,2956.9205796882,158.4808977200021,0.7194155519073019,0.0007,,False,False,(),False,56625.7,1709004600000000000,1649,8,56649.0,56529.2,23.30000000000291,96.5,0.29419191919196674,1.2184343434343883,0.32080407545095435,1.3286520721464905,-0.38168183591987287,-0.3545682212078041,,,56546.4,1709005020000000000,2024-02-27,3,7.0,-2957.51640879,-0.001400424189016571,-1.0002015032483091,STOP,,,,,,
OICB-1709006100000000000-000172,OICB_C,OICB_C,SHORT,SHORT,1709006220000000000,2024-02-27,3,1709006220000000000,55872.7,55872.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-035700-001-000-20,56062.8,55450.2,SHOCK_RANGE_EXTENSION,56056.5,78.95499999999956,10.675,95606.50291415,2868.1950874245,268.6712614800062,1.2815808177742924,0.0007,,False,False,(),False,55872.6,1709006220000000000,1676,31,55587.9,56063.9,284.6999999999971,191.3000000000029,1.4968454258674582,1.005783385909561,3.6058514343613286,2.4228991197518077,0.6545405304284296,0.7685140899052302,1.70900634e+18,,56062.899999999994,1709008020000000000,2024-02-27,4,30.0,-2867.89052375,-0.0034059628512006896,-0.9998938134732064,STOP,,,,,,
OICB-1709016600000000000-000187,OICB_C,OICB_C,SHORT,SHORT,1709016900000000000,2024-02-27,6,1709016900000000000,56425.9,56425.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-065500-001-000-23,56468.8,56220.3,SHOCK_RANGE_EXTENSION,56417.95,47.55999999999985,22.78,92738.6123904,2782.1583717119997,122.13109335999663,1.0359576666283974,0.0007,,False,False,(),False,56425.8,1709016900000000000,1854,12,56180.0,56447.9,245.8000000000029,22.099999999998545,5.716279069767509,0.5139534883720592,5.1682085786375875,0.46467619848609365,1.295902506444304,1.3655485708984034,1.70901744e+18,1.70901756e+18,56220.4,1709017560000000000,2024-02-27,7,11.0,2882.7556948,0.0036401787834643273,1.036158014623049,TARGET,,,,,,
OICB-1709019000000000000-000190,OICB_C,OICB_C,SHORT,SHORT,1709019120000000000,2024-02-27,7,1709019120000000000,55969.3,55969.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-073200-001-000-26,56055.8,55707.8,SHOCK_RANGE_EXTENSION,56047.5,54.790000000001235,17.375,95621.3680852,2868.641042556,165.10075823999512,1.1094804587979723,0.0007,,False,False,(),False,55969.2,1709019120000000000,1891,10,55853.3,56099.0,115.89999999999418,129.8000000000029,1.3383371824478798,1.4988452655888473,2.115349516334944,2.369045446249315,0.1587903670429434,0.22667521578303865,,,56055.9,1709019660000000000,2024-02-27,7,9.0,-2868.91777875,-0.001549066272164054,-1.0000964694396737,STOP,,,,,,
OICB-1709034300000000000-000217,OICB_C,OICB_C,SHORT,SHORT,1709034660000000000,2024-02-27,11,1709034660000000000,56468.2,56468.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-115100-001-000-29,56508.3,56282.899999999994,SHOCK_RANGE_EXTENSION,56494.75,41.82999999999993,23.298,92752.45030645,2782.5735091935,119.42998248000508,0.8892176427956601,0.0007,,False,False,(),False,56468.061464503386,1709034660000000000,2150,1,56468.2,56505.0,0.0,36.900000000001455,0.0,0.9179104477611305,0.0,0.8821420033469165,-0.6644513241328173,-0.6644513241328173,,,56468.299999999996,1709034660000000000,2024-02-27,11,0.0,-1847.39134458,-4.224255099671355e-06,-0.6639146597479997,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,True,8.978,1.0,3.0,0.0
