end_time_ns,entry_kind,legs,native_account_pnl,native_equity_after,native_equity_before,return,scenario_id,scenario_kind,signal_time_ns
1704716476756000000,CONTINUATION,"[{""break_even_price"": 44404.181849063294, ""direction"": ""LONG"", ""duration_ns"": 1996727000000, ""entry_price"": 44359.79985820966, ""entry_time_ns"": 1704714480029000000, ""exit_price"": 44700.30094526893, ""exit_reason"": ""PROTECTED_TRAIL"", ""exit_time_ns"": 1704716476756000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 2.710494585930903, ""native_account_pnl"": 3131.0775967999944, ""native_equity_after"": 103131.0775968, ""native_equity_before"": 100000.0, ""net_r"": 1.0436925322666648, ""planned_loss"": 3000.0, ""protection_active"": true, ""quantity"": 10.579, ""realized_pnl_event"": ""3131.07759680 USDT"", ""realized_return_event"": 0.007675893221963001, ""scenario_id"": ""NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-b93fd4017e598f42"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 0, ""target_mode"": ""EXISTING_NET_R_OBJECTIVE"", ""target_price"": 45255.338115814426}]",3131.0775967999944,103131.0775968,100000.0,0.031310775968000026,NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-b93fd4017e598f42,MEASURED_ACCEPTANCE_CONTINUATION,1704714480000000000
1704736368888000000,CONTINUATION,"[{""break_even_price"": 45491.66890466076, ""direction"": ""LONG"", ""duration_ns"": 228882000000, ""entry_price"": 45446.19997022332, ""entry_time_ns"": 1704736140006000000, ""exit_price"": 45484.2022133995, ""exit_reason"": ""STRUCTURAL_PROTECTION"", ""exit_time_ns"": 1704736368888000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 0.0036812738594802336, ""native_account_pnl"": -75.18930099999125, ""native_equity_after"": 103055.8882958, ""native_equity_before"": 103131.0775968, ""net_r"": -0.024302180213142746, ""planned_loss"": 3093.9323279039995, ""protection_active"": false, ""quantity"": 10.075, ""realized_pnl_event"": ""-75.18930100 USDT"", ""realized_return_event"": 0.0008362028772719114, ""scenario_id"": ""NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-2d35f0fd59486f2c"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": true, ""structural_protection_stop"": 45491.66890466076, ""structural_protection_trigger"": 45440.0, ""structural_trail_updates"": 1, ""target_mode"": ""STRUCTURAL_PROTECTION_THEN_EXISTING_OBJECTIVE"", ""target_price"": 46413.438419030535}]",-75.18930099999125,103055.8882958,103131.0775968,-0.0007290654063942803,NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-2d35f0fd59486f2c,MEASURED_ACCEPTANCE_CONTINUATION,1704736140000000000
1704769487758000000,CONTINUATION,"[{""break_even_price"": 46394.690760851154, ""direction"": ""SHORT"", ""duration_ns"": 8807686000000, ""entry_price"": 46441.108660561855, ""entry_time_ns"": 1704760680072000000, ""exit_price"": 46879.199860313514, ""exit_reason"": ""INITIAL_STOP"", ""exit_time_ns"": 1704769487758000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 0.27938500048241843, ""native_account_pnl"": -3123.252973900002, ""native_equity_after"": 99932.6353219, ""native_equity_before"": 103055.8882958, ""net_r"": -1.0102133336089665, ""planned_loss"": 3091.676648874, ""protection_active"": false, ""quantity"": 6.443, ""realized_pnl_event"": ""-3123.25297390 USDT"", ""realized_return_event"": -0.009433263166770392, ""scenario_id"": ""NT-LVCFR-V19-MEASURED-9e3283217c4d974e"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 1, ""target_mode"": ""EXISTING_NET_R_OBJECTIVE"", ""target_price"": 44955.915300968416}]",-3123.252973900002,99932.6353219,103055.8882958,-0.030306400008269008,NT-LVCFR-V19-MEASURED-9e3283217c4d974e,MEASURED_ACCEPTANCE_CONTINUATION,1704760680000000000
1704887592621000000,CONTINUATION,"[{""break_even_price"": 45634.24425731512, ""direction"": ""SHORT"", ""duration_ns"": 12072349000000, ""entry_price"": 45679.90133010883, ""entry_time_ns"": 1704875520272000000, ""exit_price"": 44806.8, ""exit_reason"": ""TARGET"", ""exit_time_ns"": 1704887592621000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 3.425386042898894, ""native_account_pnl"": 10269.578235000008, ""native_equity_after"": 110202.21355690001, ""native_equity_before"": 99932.6353219, ""net_r"": 3.4255003222654112, ""planned_loss"": 2997.979059657, ""protection_active"": true, ""quantity"": 12.405, ""realized_pnl_event"": ""10269.57823500 USDT"", ""realized_return_event"": 0.01911346795167747, ""scenario_id"": ""NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-d3631047d2af634d"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 1, ""target_mode"": ""EXISTING_NET_R_OBJECTIVE"", ""target_price"": 44909.557246608274}]",10269.578235000008,110202.21355690001,99932.6353219,0.10276500966796243,NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-d3631047d2af634d,MEASURED_ACCEPTANCE_CONTINUATION,1704875520000000000
1704929987403000000,CONTINUATION,"[{""break_even_price"": 47075.95036815457, ""direction"": ""LONG"", ""duration_ns"": 2147392000000, ""entry_price"": 47024.19788402849, ""entry_time_ns"": 1704927840011000000, ""exit_price"": 46394.93289928789, ""exit_reason"": ""INITIAL_STOP"", ""exit_time_ns"": 1704929987403000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 0.9226126586330905, ""native_account_pnl"": -3322.4149139000074, ""native_equity_after"": 106879.798643, ""native_equity_before"": 110202.21355690001, ""net_r"": -1.0049450026653552, ""planned_loss"": 3306.066406707, ""protection_active"": false, ""quantity"": 4.915, ""realized_pnl_event"": ""-3322.41491390 USDT"", ""realized_return_event"": -0.013381727133177227, ""scenario_id"": ""NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-72b8c95e51a73581"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 1, ""target_mode"": ""EXISTING_NET_R_OBJECTIVE"", ""target_price"": 49094.74250725154}]",-3322.4149139000074,106879.798643,110202.21355690001,-0.03014835007996064,NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-72b8c95e51a73581,MEASURED_ACCEPTANCE_CONTINUATION,1704927840000000000
1704983556689000000,CONTINUATION,"[{""break_even_price"": 47058.6321904198, ""direction"": ""LONG"", ""duration_ns"": 11496686000000, ""entry_price"": 47011.5970757867, ""entry_time_ns"": 1704972060003000000, ""exit_price"": 47467.20026307801, ""exit_reason"": ""PROTECTED_TRAIL"", ""exit_time_ns"": 1704983556689000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 2.662086668081898, ""native_account_pnl"": 4035.8593229499966, ""native_equity_after"": 110915.65796595, ""native_equity_before"": 106879.798643, ""net_r"": 1.2586910324156384, ""planned_loss"": 3206.39395929, ""protection_active"": true, ""quantity"": 9.883, ""realized_pnl_event"": ""4035.85932295 USDT"", ""realized_return_event"": 0.009691293545225382, ""scenario_id"": ""NT-LVCFR-V19-MEASURED-e5f0278276438983"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 1, ""target_mode"": ""EXISTING_NET_R_OBJECTIVE"", ""target_price"": 48032.38088907068}]",4035.8593229499966,110915.65796595,106879.798643,0.037760730972469236,NT-LVCFR-V19-MEASURED-e5f0278276438983,MEASURED_ACCEPTANCE_CONTINUATION,1704972060000000000
1704998458026000000,CONTINUATION,"[{""break_even_price"": 45697.185645150435, ""direction"": ""SHORT"", ""duration_ns"": 4318001000000, ""entry_price"": 45742.905690818414, ""entry_time_ns"": 1704994140025000000, ""exit_price"": 46670.19383983572, ""exit_reason"": ""INITIAL_STOP"", ""exit_time_ns"": 1704998458026000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 0.09254381143429165, ""native_account_pnl"": -3318.643428149997, ""native_equity_after"": 107597.0145378, ""native_equity_before"": 110915.65796595, ""net_r"": -0.9973474406919137, ""planned_loss"": 3327.4697389784997, ""protection_active"": false, ""quantity"": 3.409, ""realized_pnl_event"": ""-3318.64342815 USDT"", ""realized_return_event"": -0.020271736895879706, ""scenario_id"": ""NT-LVCFR-V19-MEASURED-5fa793a7a10fca66"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 1, ""target_mode"": ""EXISTING_NET_R_OBJECTIVE"", ""target_price"": 42770.38879884137}]",-3318.643428149997,107597.0145378,110915.65796595,-0.029920423220757386,NT-LVCFR-V19-MEASURED-5fa793a7a10fca66,MEASURED_ACCEPTANCE_CONTINUATION,1704994140000000000
1705023182360000000,CONTINUATION,"[{""break_even_price"": 45912.2670148436, ""direction"": ""SHORT"", ""duration_ns"": 542179000000, ""entry_price"": 45958.202249475755, ""entry_time_ns"": 1705022640181000000, ""exit_price"": 46111.599351845965, ""exit_reason"": ""INITIAL_STOP"", ""exit_time_ns"": 1705023182360000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 0.021789238882366464, ""native_account_pnl"": -3138.4614338999963, ""native_equity_after"": 104458.5531039, ""native_equity_before"": 107597.0145378, ""net_r"": -0.9722888834731317, ""planned_loss"": 3227.910436134, ""protection_active"": false, ""quantity"": 15.737, ""realized_pnl_event"": ""-3138.46143390 USDT"", ""realized_return_event"": -0.003337752454665705, ""scenario_id"": ""NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-ed7b0b79e8c6cc78"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": null, ""structural_trail_updates"": 1, ""target_mode"": ""EXISTING_NET_R_OBJECTIVE"", ""target_price"": 45297.2366045055}]",-3138.4614338999963,104458.5531039,107597.0145378,-0.02916866650419392,NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-ed7b0b79e8c6cc78,MEASURED_ACCEPTANCE_CONTINUATION,1705022640000000000
1705063363995000000,CONTINUATION,"[{""break_even_price"": 45847.73613543836, ""direction"": ""SHORT"", ""duration_ns"": 283955000000, ""entry_price"": 45893.60680690953, ""entry_time_ns"": 1705063080040000000, ""exit_price"": 45849.199974345815, ""exit_reason"": ""STRUCTURAL_PROTECTION"", ""exit_time_ns"": 1705063363995000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 0.1502175721542571, ""native_account_pnl"": -17.12669125001412, ""native_equity_after"": 104441.42641264999, ""native_equity_before"": 104458.5531039, ""net_r"": -0.005465227033787907, ""planned_loss"": 3133.756593117, ""protection_active"": false, ""quantity"": 11.694, ""realized_pnl_event"": ""-17.12669125 USDT"", ""realized_return_event"": 0.0009676038919875651, ""scenario_id"": ""NT-LVCFR-V19-MEASURED-e56e32da40f1f9d6"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": true, ""structural_protection_stop"": 45847.73613543836, ""structural_protection_trigger"": 45888.25, ""structural_trail_updates"": 1, ""target_mode"": ""STRUCTURAL_PROTECTION_THEN_EXISTING_OBJECTIVE"", ""target_price"": 45044.178971093395}]",-17.12669125001412,104441.42641264999,104458.5531039,-0.00016395681101366577,NT-LVCFR-V19-MEASURED-e56e32da40f1f9d6,MEASURED_ACCEPTANCE_CONTINUATION,1705063080000000000
1705065959937000000,CONTINUATION,"[{""break_even_price"": 45715.96474267446, ""direction"": ""SHORT"", ""duration_ns"": 2339756000000, ""entry_price"": 45761.70357683422, ""entry_time_ns"": 1705063620181000000, ""exit_price"": 45960.38307177567, ""exit_reason"": ""INITIAL_STOP"", ""exit_time_ns"": 1705065959937000000, ""kind"": ""CONTINUATION"", ""mfe_net_r"": 0.1966675976260886, ""native_account_pnl"": -3069.7173768499924, ""native_equity_after"": 101371.7090358, ""native_equity_before"": 104441.42641264999, ""net_r"": -0.9797253453565712, ""planned_loss"": 3133.2427923794994, ""protection_active"": false, ""quantity"": 12.553, ""realized_pnl_event"": ""-3069.71737685 USDT"", ""realized_return_event"": -0.004341610547952396, ""scenario_id"": ""NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-527560136881b828"", ""settled_funding_cost_per_unit_estimate"": 0.0, ""structural_protection_active"": false, ""structural_protection_stop"": null, ""structural_protection_trigger"": 45527.5, ""structural_trail_updates"": 1, ""target_mode"": ""STRUCTURAL_PROTECTION_THEN_EXISTING_OBJECTIVE"", ""target_price"": 44967.5230583292}]",-3069.7173768499924,101371.7090358,104441.42641264999,-0.029391760360697128,NT-LVCFR-V19-MEASURED_ACCEPTANCE_CONTINUATION-527560136881b828,MEASURED_ACCEPTANCE_CONTINUATION,1705063620000000000
