symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,root_low,root_high,pool,shift,flow,delivery_minutes,first_leg_minutes,test_effort,test_progress_per_volume,test_depth,reply_fraction,rebound_ts,tip,tip_ts,episode,impact_imbalance,response_5,common_5,flow_5,response_15,common_15,flow_15,response_60,common_60,flow_60,relative_60,relative_240,value_position,reply_acceleration,activity_burst,owner_15,owner_60,owner_240,stop_bps,target_bps,duration_ratio,predicted_win,predicted_value,relative_strength,market_direction,market_breadth
BTCUSDT,1,1754784120000000000,1754779800000000000,1754778300000000000,5.0,116463.2,116382.4,116554.4,1.128712871287052,market,116382.4,116463.2,116461.5,116460.7,0.09536019710925125,52,26,0.4094977005135543,2.0179388069692044,0.8494623655913979,0.8677419354838397,1754781000000000000,116382.5,1754782260000000000,93,-0.1896507577150687,0.18328384989441607,0.18397018544313187,0.20179070849363076,0.009662072081383625,0.10817285549429502,0.19004949210204458,-0.21659984547346167,0.1937251052939313,0.12686372165368465,-0.18170128290487458,0.26398415651232265,-0.2804167709899397,-0.08100948416247865,0.9046055773811021,-1.0,1.0,1.0,6.937813833039356,7.830799771944879,2.0,0.4347029864206365,0.0,-0.018859770227457162,0.2934339645137536,0.75
BTCUSDT,-1,1754800320000000000,1754796600000000000,1754790900000000000,5.0,118490.6,118738.1,118100.1,1.5777777777777777,market,118490.6,118738.1,118500.0,118504.1,-0.07727277716768355,42,96,1.1776936077798246,1.8306061486257579,0.595,0.6184999999999854,1754797800000000000,118738.0,1754798520000000000,98,0.27860050912892764,0.9413736114261062,0.081340340842743,0.1928593756826487,0.8608513644399157,-0.21456558660227498,0.28800288883224046,0.07579855893791912,-0.1619840403363477,0.3872957863265983,0.035027175665532775,-3.630203819478226,-1.2187498946265651,0.5054246190126513,0.7847254287841136,-1.0,-1.0,-1.0,20.88773286657338,32.956200745038004,0.4375,0.34521079014742695,0.0,0.8501297316405426,-0.32950097932315425,0.25
BTCUSDT,1,1754808240000000000,1754805300000000000,1754804700000000000,5.0,117900.0,117690.2,118126.79999999999,1.0810295519541717,market,117690.2,117900.0,117880.1,117814.7,-0.12432108200364389,34,11,1.4904824219062933,0.35967481543197205,0.7690437601297078,0.8496758508914384,1754806200000000000,117690.3,1754807760000000000,100,-0.340720376413985,2.175585034998626,-0.026682583677516337,0.08016716236957372,0.16562534751171865,0.3859129495580146,-0.1404548601246982,-0.6241002374909123,-0.4172258383436489,-0.2874485474617451,-0.6570611572085555,2.2048724572091567,-0.3041006978746808,0.9341663635853575,0.6246897794278052,-1.0,1.0,1.0,17.794741306191934,19.23664122137306,3.090909090909091,0.46478251981912044,0.0,-0.20561444294090514,0.5607586736763448,1.0
BTCUSDT,1,1754850780000000000,1754849100000000000,1754847600000000000,5.0,118459.0,118395.7,118532.4,1.159557661927185,market,118395.7,118459.0,118450.9,118428.1,-0.12538715828394875,18,26,1.1641439835448042,1.4647359283976384,0.6752450980390605,0.7745098039214777,1754849700000000000,118395.8,1754850600000000000,104,-0.41988133367380936,0.12736492151885567,0.213541634763509,-0.022101418453428705,-0.01974107699293445,0.0786139676211911,-0.0966823403183614,-0.22992370107543555,0.1075256097080776,-0.20793756259550095,-0.28016737735305625,-0.591498732435444,-0.44171143076192,0.17711594097718159,0.4092095533621906,-1.0,1.0,1.0,5.343620999671018,6.196236672603532,0.6923076923076923,0.4096372083473659,0.0,-0.04834238264882501,0.08247453053471973,0.75
BTCUSDT,-1,1754856120000000000,1754853600000000000,1754853000000000000,5.0,118615.0,118692.40000000001,118494.1,1.5620155038757175,market,118615.0,118692.40000000001,118661.8,118622.5,-0.02248479403603776,27,11,1.7241941639161602,0.6397446163420009,0.18176400476757731,0.4606674612634182,1754854500000000000,118692.3,1754854980000000000,104,0.3877043950112486,0.2289971312473894,0.40191722788694284,-0.042313611750475114,0.21855553684784965,0.07560379785076436,-0.026135693410380096,-0.189468483025096,-0.15219988855823868,0.12248401693508257,-0.2057507247821975,0.7263568914794547,0.0003654423095046774,0.1602762149090487,0.8248216252809,1.0,-1.0,-1.0,6.5253129873969336,10.192640053955586,2.4545454545454546,0.3877911501739192,0.0,0.04144355945287859,0.1985504550843046,0.75
BTCUSDT,1,1754862180000000000,1754860200000000000,1754859000000000000,5.0,118221.0,118044.59999999999,118428.79999999999,1.1780045351472679,market,118044.59999999999,118221.0,118044.7,118220.9,0.034741537472808615,18,21,0.3143917454141816,1.8853454388843263,-0.17282665278503184,0.2860489328474623,1754861100000000000,118111.1,1754862120000000000,106,-0.1276167249511166,0.736914530866735,0.31415373228907545,0.0305489297197257,0.45435590823439576,-0.409105649139729,0.0920444796891022,-0.5953470153013036,-0.5438145421162045,-0.07135751573076507,-0.5779289095454325,-0.30140409052286077,-0.19567634544671786,0.488344514729367,0.4044129511604039,-1.0,1.0,1.0,14.921206892177256,17.577249388855478,0.8571428571428571,0.4245892409969284,0.0,0.6616131164069499,-0.5128912432447614,0.25
BTCUSDT,1,1754905500000000000,1754899800000000000,1754895300000000000,5.0,121432.8,121090.29999999999,121820.59999999999,1.1322627737225457,market,121090.29999999999,121432.8,121166.8,121398.3,0.0537849054431041,65,76,0.4822222274058355,1.872170521095954,0.11683743691697417,0.5236274659734085,1754901600000000000,121090.4,1754905200000000000,113,-0.03749023022346024,1.4328713628803886,0.16960767992128642,0.2792864595318881,0.6230553445155326,-0.23487182257722777,0.22622782622541376,-0.5673016719335087,-0.3630368914616352,-0.02750741644762059,-0.3380597932283164,-0.3774358606019983,-0.3532149386631872,0.278930820691407,1.2981423141421358,-1.0,1.0,1.0,28.204900158772137,31.93535848633881,0.8552631578947368,0.4418054253393874,0.0,0.9049537740827741,-0.04975140263761965,0.25
BTCUSDT,1,1754907060000000000,1754905200000000000,1754901600000000000,5.0,121256.9,121090.29999999999,121461.4,1.2274909963985166,market,121090.29999999999,121256.9,121090.4,121230.0,-0.05813592780600452,21,61,0.8469739687977565,1.5565371766302165,-0.0792239288601678,0.3694421988682003,1754905800000000000,121119.8,1754907000000000000,114,-0.03927650069348848,0.6512082260142109,-0.008293909803124538,0.01486283871714883,-0.027031762484675228,-0.37358808976572705,-0.1538968138337326,-0.16384059956587377,-0.8383212755309144,-0.07591010377493673,-0.0006152717084315055,-0.569041390069985,-0.5022253719362315,0.5639769494392146,1.1593450827595144,-1.0,1.0,1.0,13.739424313173588,16.86501964011945,0.3442622950819672,0.4307275623832928,0.0,0.10589650879581913,-0.5795986132339938,0.0
BTCUSDT,1,1754909460000000000,1754907600000000000,1754905800000000000,5.0,121187.6,121000.09999999999,121387.9,1.0682666666665217,market,121000.09999999999,121187.6,121100.1,121185.1,-0.06956250593130475,21,31,1.071694856818223,1.3972740312714216,0.34699548454328155,0.6509204584925756,1754908200000000000,121000.2,1754909340000000000,115,-0.03412130279927612,0.6987480942872868,0.260412100290771,-0.38015921986417145,0.5854589078648369,-0.23966407847751137,-0.32547798460126204,-0.08909282053366137,-0.4189521509212878,-0.1541014140087969,-0.0032415280033737254,-0.8299757607514744,-0.4406800672820733,0.33844411306581546,1.4032787262539717,-1.0,1.0,1.0,15.471879961317374,16.528093633341065,0.6774193548387096,0.4618906242413728,0.0,0.35506753756112863,-0.21766683637340173,0.25
BTCUSDT,-1,1754938980000000000,1754937600000000000,1754935800000000000,5.0,119665.5,119854.20000000001,119453.0,1.1261261261260567,market,119665.5,119854.20000000001,119854.1,119701.9,-0.16126090323545395,13,31,0.9927896197309735,12.143343554260156,-0.21186440677965487,0.25822532402792325,1754938200000000000,119769.1,1754938260000000000,119,-0.13002072130021175,0.2118189972307759,0.07316632658612822,0.00655644024380389,-0.13256491327996756,-0.3108354298450718,-0.10335513957542217,-0.24338621493855742,-0.33400076328749817,0.07662829898098596,-0.13992686870100673,0.5670944035678466,0.2760961116129622,0.5090340129317786,0.23346302217483983,1.0,-1.0,-1.0,15.768955964752717,17.757833293639354,0.41935483870967744,0.43910517024265155,0.0,-0.0251646122415638,-0.47377760344007086,0.0
BTCUSDT,-1,1754960640000000000,1754958000000000000,1754957700000000000,5.0,118852.9,119000.1,118601.90000000001,1.7051630434780272,market,118852.9,119000.1,118946.8,118858.5,-0.06620904610638245,19,6,0.421498676230566,0.9813350107973234,0.1542028985507162,0.42637681159421975,1754959500000000000,119000.0,1754960340000000000,120,-0.2960104775604086,-0.1471088748561077,0.5284836349056562,0.10103314073076806,0.08022926394726439,-0.5258580712078295,-0.04102316318132902,0.16041034191983494,-0.47590381123966646,-0.24244991832407908,-0.0462373732995317,-0.16699713296274202,-0.24470259318633247,-0.23243232662575083,0.7613145948004238,-1.0,1.0,-1.0,12.385057495442826,21.11854233257964,3.1666666666666665,0.46629328771372164,0.0,-0.07722793466508027,-0.37223011240734305,0.0
BTCUSDT,-1,1754963280000000000,1754961300000000000,1754959500000000000,5.0,118955.1,119070.1,118718.20000000001,2.0599999999999494,market,118955.1,119070.1,119070.0,118990.8,-0.13729478284476948,28,31,0.7265287313457747,1.20497525803407,-0.14862176754760947,0.17789144643362406,1754961600000000000,119017.7,1754962920000000000,120,-0.29586513602436376,0.4727930803776937,-0.062479773925743734,-0.009533097179688012,0.25553014637843835,-0.46778974158892667,-0.1151837898940521,0.4665393955432809,-0.7504672553197557,-0.278978752890341,0.2266105751059923,0.13296779471351947,-0.31916140903974227,0.18569499198971648,0.4002734310900081,-1.0,1.0,-1.0,9.667513204562058,19.91507720139735,0.9032258064516129,0.38899659762155103,0.0,0.27020966663611634,-0.5713564723052713,0.0
BTCUSDT,1,1754971380000000000,1754968200000000000,1754966400000000000,5.0,118830.0,118702.29999999999,119088.2,2.0219263899763003,market,118702.29999999999,118830.0,118809.0,118817.4,0.03443907419587133,23,31,1.1908641336354464,2.844970869344221,0.3816684568564436,0.4568564267812549,1754970000000000000,118702.4,1754970480000000000,120,0.29733040749569417,0.43839053799350386,-0.11554567954559365,0.1020754448100113,0.15122121753609416,-0.03887860846543276,0.21628473272758578,0.09739282288386873,-0.2533524404524634,-0.16715220826630786,-0.11968847826752542,-0.140123330098879,-0.09292467825307733,0.0735475607233095,0.7767138418263757,1.0,-1.0,1.0,10.746444500547979,21.728519734073643,0.7419354838709677,0.37155855576826835,0.0,0.26765171507454244,0.08926292542205926,0.75
BTCUSDT,-1,1754980980000000000,1754979000000000000,1754977500000000000,5.0,118839.7,118983.0,118552.5,2.0041870202372034,market,118839.7,118983.0,118845.0,118851.8,0.09469629888714548,23,26,1.4137037973902693,3.100377291479236,0.47129186602867884,0.48940533151057497,1754979600000000000,118982.9,1754980020000000000,124,-0.3084951500332235,0.2753905782297075,-0.03410122629063192,0.17917120560580269,0.4451210959252405,-0.10866906412756713,0.09006736825192052,-0.28623976717284777,-0.6723602023428652,-0.11653496735686009,-0.3661326517043122,0.04113759050199077,-0.045465178254201426,0.18530167292021665,0.7751782650070624,1.0,1.0,-1.0,12.058259992241895,24.167008163096767,0.8846153846153846,0.39043711317193514,0.0,0.6523049388302903,0.02060291215455476,0.5
BTCUSDT,-1,1754984100000000000,1754980200000000000,1754979600000000000,5.0,118952.3,119114.6,118777.0,1.0800985828712246,market,118952.3,119114.6,118982.9,119023.5,0.10486375600823361,35,11,0.7945023067877389,0.49817577143082664,0.638834951456339,0.7873786407766848,1754982000000000000,119114.5,1754983200000000000,124,-0.3107472292548455,0.03335644619965709,0.35283644733399344,0.6621256460519095,0.13609874973485386,0.19110004854353208,0.363537268627557,0.10934086918837815,-0.5289334815466573,0.18532425880953318,0.3212741150500917,0.015897579333600736,-0.17219941144924622,-0.02332744603482283,1.3358403859475803,-1.0,1.0,-1.0,13.64412457766709,14.736999620856672,3.1818181818181817,0.47334835601263364,0.0,0.47582262481413995,0.5348702482128698,0.75
BTCUSDT,1,1754990400000000000,1754987700000000000,1754985300000000000,5.0,118691.9,118499.9,119011.79999999999,1.666145833333303,market,118499.9,118691.9,118691.4,118580.0,-0.012265173919234318,30,41,2.0802122838498733,1.4479014924026676,0.5971918876754888,0.598751950077985,1754988600000000000,118500.0,1754989980000000000,124,0.2768193378729651,0.23568457837342635,0.642604821236413,0.21375306876442624,0.18788336868062805,-0.6906671183788415,-0.17515368474741708,-0.28970035791749815,-0.24805309848357235,0.13090375972531051,-0.22726512353583989,0.019386516426420163,-0.11350730108712254,0.016090655780099057,1.8639968373912343,1.0,-1.0,1.0,16.17633553763989,26.95213405464014,0.7317073170731707,0.45727700700783447,0.0,0.0983918598447664,-1.1691518955082083,0.0
