symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,predicted_value,rr,predicted_win,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
SOLUSDT,-1,1763398920000000000,135.24,136.15,134.2,89,5.0,1763396700000000000,1763397900000000000,market,0.002956956501595146,1.1428571428572054,0.6160940810025712,10000.0,265.1,2.999911089462909,1763398980000000000,1763399880000000000,10235.33770842,0.7844590280666679,15.0
XRPUSDT,-1,1763414220000000000,2.1417,2.1571,2.1179,91,5.0,1763409900000000000,1763411400000000000,market,0.0018213378353435037,1.5454545454545403,0.5091661031705785,10235.33770842,15940.6,2.999995944655186,1763414280000000000,1763417640000000000,9926.167508449998,-1.0068718420356098,56.0
SOLUSDT,-1,1763438100000000000,134.42,135.2,131.34,96,15.0,1763433000000000000,1763433900000000000,market,0.00861179449232596,3.9487179487179227,0.3419908209896665,9926.167508449998,294.68,2.999898530296213,1763438160000000000,1763441880000000000,9627.289666480001,-1.0036698175657666,62.0
ETHUSDT,-1,1763444220000000000,3013.32,3027.48,2956.64,98,15.0,1763435700000000000,1763438400000000000,market,0.00434349281213663,4.002824858757092,0.309870683251001,9627.289666480001,15.283,2.9999266952127934,1763444280000000000,1763451540000000000,9339.84947394,-0.9952271182504673,121.0
BTCUSDT,-1,1763452260000000000,90383.0,90500.6,89299.8,100,15.0,1763442000000000000,1763443800000000000,market,0.010530567858145008,9.210884353741015,0.29604542813750406,9339.84947394,1.072,2.9997851967464877,1763452320000000000,1763452860000000000,9096.519107600001,-0.8684307208552549,9.0
SOLUSDT,-1,1763480940000000000,139.68,142.09,137.13,108,15.0,1763472600000000000,1763477100000000000,market,0.003724050708732966,1.0580912863070602,0.5924640744052398,9096.519107600001,103.82,2.9999307469676446,1763481000000000000,1763520900000000000,8823.840996019999,-0.9992031323724837,665.0
BTCUSDT,-1,1763616060000000000,92746.20000000001,93150.09999999999,92093.6,124,15.0,1763591400000000000,1763604900000000000,market,0.0002958497166872069,1.6157464718989283,0.5061322553668791,8823.840996019999,0.482,2.9944686255951662,1763616120000000000,1763620920000000000,9094.51192136,1.0224984994708697,80.0
SOLUSDT,1,1763649120000000000,141.1,138.89,143.43,127,15.0,1763625600000000000,1763633700000000000,market,6.136912154205976e-05,1.054298642533952,0.5328607356227345,9094.51192136,112.47,2.9997372624199254,1763649180000000000,1763651880000000000,8820.207769210001,-1.0053834463461717,45.0
XRPUSDT,1,1763652240000000000,2.1105,2.0924,2.1376,130,15.0,1763646300000000000,1763649000000000000,market,0.0004779443880566746,1.497237569060731,0.4791222414598858,8820.207769210001,12256.8,2.9999921729166363,1763652300000000000,1763653260000000000,8552.89436182,-1.010230954434551,16.0
XRPUSDT,1,1763657520000000000,2.0229,2.0082,2.0443,131,5.0,1763652600000000000,1763655900000000000,market,0.0013872942504439267,1.4557823129251672,0.5099540282031956,8552.89436182,14314.8,2.999994830767523,1763657580000000000,1763657700000000000,8293.6730269,-1.0102674952437145,2.0
SOLUSDT,1,1763728620000000000,124.66,121.01,128.8,139,15.0,1763703000000000000,1763711100000000000,market,0.0008254312873044439,1.134246575342468,0.5091897908494142,8293.6730269,64.84,2.999739399026337,1763728680000000000,1763735820000000000,8553.31968303,1.0435531410021959,119.0
ETHUSDT,-1,1763737260000000000,2763.84,2779.57,2717.09,144,15.0,1763728200000000000,1763733600000000000,market,0.0034916110477653597,2.9720279720279685,0.3556395414640243,8553.31968303,12.994,2.999866933162936,1763737320000000000,1763739300000000000,9127.51192325,2.2376974145652913,33.0
ETHUSDT,-1,1763751480000000000,2775.82,2805.95,2714.86,146,5.0,1763743800000000000,1763746200000000000,market,0.0005261089741811636,2.0232326584799143,0.3859217614266602,9127.51192325,7.99,2.99987353100369,1763751540000000000,1763756940000000000,9593.67808315,1.7024214405116627,90.0
SOLUSDT,1,1763757540000000000,126.91,125.86,130.31,147,15.0,1763747100000000000,1763749800000000000,market,0.004226513015788587,3.2380952380952523,0.32637602282524464,9593.67808315,230.44,2.999955415017738,1763757600000000000,1763765520000000000,9302.81480672,-1.010607450410017,132.0
ETHUSDT,1,1763766720000000000,2725.82,2706.99,2774.97,149,15.0,1763751600000000000,1763757900000000000,market,0.00010194742852467562,2.610196494954787,0.34322923101779296,9302.81480672,12.081,2.9999893436977376,1763766780000000000,1763770140000000000,9863.19578539,2.007926239934754,56.0
ETHUSDT,-1,1763771040000000000,2765.28,2779.8,2711.54,150,15.0,1763757900000000000,1763761500000000000,market,0.007174252598206116,3.701101928374645,0.34878193258696066,9863.19578539,15.58,2.999980234658635,1763771100000000000,1763775120000000000,9568.383003429999,-0.996339619107689,67.0
SOLUSDT,1,1763790480000000000,125.7,125.27,127.22,153,15.0,1763775900000000000,1763786700000000000,market,0.0014152663600671828,3.5348837209301673,0.3444536411207978,9568.383003429999,441.17,2.9999895971597335,1763790540000000000,1763791800000000000,9280.15617134,-1.0040945336555382,21.0
XRPUSDT,1,1763807760000000000,1.9022,1.8977,1.9248,155,15.0,1763796600000000000,1763803800000000000,market,0.001288787109376431,5.022222222222319,0.3094786949032994,9280.15617134,33993.6,2.9999952965329437,1763807820000000000,1763808600000000000,8987.633574129999,-1.0507100376658252,13.0
SOLUSDT,-1,1763901060000000000,130.83,131.16,128.92,168,15.0,1763887500000000000,1763891100000000000,market,0.007076782414435569,5.7878787878791425,0.31128679477919863,8987.633574129999,478.21,2.9999427018038434,1763901120000000000,1763901180000000000,8716.07690073,-1.007149327870712,1.0
XRPUSDT,-1,1763923800000000000,2.064,2.0792,2.0389,174,15.0,1763910900000000000,1763916300000000000,market,0.0025986041100311726,1.6513157894736519,0.5002349728305504,8716.07690073,13813.2,2.99999258570586,1763923860000000000,1763929260000000000,8450.42616184,-1.0159415446328923,90.0
