plan_id,ts,score,reason
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2493:s2:ETHUSDT:15m:PIVOT:LOW:2499:s2:EXCURSION:1724726820000000000:1,1724726820000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2493:s2:ETHUSDT:15m:PIVOT:LOW:2499:s2:EXCURSION:1724726820000000000:1,1724726820000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2493:s2:ETHUSDT:15m:PIVOT:LOW:2499:s2:EXCURSION:1724728140000000000:1,1724728140000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2493:s2:ETHUSDT:15m:PIVOT:LOW:2499:s2:EXCURSION:1724728140000000000:1,1724728140000000000,1.0,global_position_occupied
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:2471:s2:SOLUSDT:15m:PIVOT:LOW:2485:s2:EXCURSION:1724744700000000000:1,1724744700000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:2471:s2:SOLUSDT:15m:PIVOT:LOW:2485:s2:EXCURSION:1724744700000000000:1,1724744700000000000,1.0,selected
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:HIGH:2518:s2:BTCUSDT:15m:PIVOT:LOW:2530:s2:EXCURSION:1724751840000000000:1,1724751840000000000,1.0,candidate
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:HIGH:2518:s2:BTCUSDT:15m:PIVOT:LOW:2530:s2:EXCURSION:1724751840000000000:1,1724751840000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2512:s2:ETHUSDT:15m:PIVOT:HIGH:2526:s2:EXCURSION:1724752080000000000:1,1724752080000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2512:s2:ETHUSDT:15m:PIVOT:HIGH:2526:s2:EXCURSION:1724752080000000000:1,1724752080000000000,1.0,global_position_occupied
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:2585:s2:SOLUSDT:15m:PIVOT:HIGH:2607:s2:EXCURSION:1724829720000000000:1,1724829780000000000,1.0,candidate
