plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,cell_slope,cell_width_bps,cell_age,cell_turns,edge_divergence,event_activity,event_flow,event_duration,penetration,reclaim,approach_efficiency,response_flow,response_activity,risk_range,risk_bps,cost_r,planned_rr,market_move,relative_move,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2228:s2:XRPUSDT:15m:PIVOT:HIGH:2254:s2:EXCURSION:1724505000000000000:-1,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2228:s2:XRPUSDT:15m:PIVOT:HIGH:2254:s2:EXCURSION:1724505000000000000:-1,XRPUSDT,-1,1724505120000000000,1724505000000000000,0.6156,0.617,0.6131152484472051,1.7748225377107176,0.6158176035196689,15,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2228:s2:XRPUSDT:15m:PIVOT:HIGH:2254:s2,AUCTION_VALUE,0.6102128933747413,0.6158176035196689,0.6158176035196689,0.6102128933747413,TWO_SIDED_AUCTION_RETURN,-0.10147483907908163,91.04467421909654,0.95,6,-0.4690671665912794,1.9427414998531387,-0.21322325180583795,3,0.10729446604418681,0.03882511566914051,-0.07380952380952217,0.22598364387511927,0.8587880252104136,0.24978990238540622,22.742040285899233,0.5276571428571591,1.7748225377107176,0.008936566263425448,-0.5068915679186616,10000.0,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724505120000000000,1724505360000000000,0.6155,0.6171,130396.2,-288.99709806,4.0,False,0.0,-288.99709806,-0.9633236601999999,
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:2256:s2:ETHUSDT:15m:PIVOT:HIGH:2262:s2:EXCURSION:1724515680000000000:-1,ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:2256:s2:ETHUSDT:15m:PIVOT:HIGH:2262:s2:EXCURSION:1724515680000000000:-1,ETHUSDT,-1,1724515680000000000,1724515680000000000,2762.51,2765.3849999999998,2757.4170000000004,1.7714782608697923,2763.6070000000004,15,ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:2256:s2:ETHUSDT:15m:PIVOT:HIGH:2262:s2,AUCTION_VALUE,2751.2070000000003,2763.6070000000004,2763.6070000000004,2751.2070000000003,TWO_SIDED_AUCTION_RETURN,-0.01935483870967801,44.886715342207225,1.8833333333333333,4,-0.1774193548386937,1.6292015975110838,-0.32734554367428215,1,0.0074999999999509495,0.08846774193549994,-0.07915129151291958,-0.32734554367428215,1.6292015975110838,0.23185483870963905,10.407202145872938,1.1530476521740953,1.7714782608697923,-0.23114364300307721,-0.32836668173503913,9711.002901939999,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724515680000000000,1724515800000000000,2762.09,2765.8,43.172,-279.49315354,2.0,False,0.0,-279.49315354,-0.9593693406756326,
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:2261:s2:XRPUSDT:15m:PIVOT:LOW:2280:s2:EXCURSION:1724533680000000000:1,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:2261:s2:XRPUSDT:15m:PIVOT:LOW:2280:s2:EXCURSION:1724533680000000000:1,XRPUSDT,1,1724533680000000000,1724533680000000000,0.6152,0.6134999999999999,0.6190408404558405,2.2593179152002736,0.614635925925926,15,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:2261:s2:XRPUSDT:15m:PIVOT:LOW:2280:s2,AUCTION_VALUE,0.614635925925926,0.623645754985755,0.623645754985755,0.614635925925926,TWO_SIDED_AUCTION_RETURN,-0.07930560166959134,146.45365831971807,2.3833333333333333,5,-0.3147559645211747,5.665499210822756,-0.3001712541960474,1,0.07058135306487709,0.06260652342328644,-0.1522842639593919,-0.3001712541960474,5.665499210822756,0.18868282502490555,27.633289986996665,0.4342588235294028,2.2593179152002736,-1.109613707056082,-0.1486143851128463,9431.5097484,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724533680000000000,1724533920000000000,0.6153,0.6134,109900.9,-276.32932792,4.0,False,0.0,-276.32932792,-0.9766175133197442,
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2274:s2:ETHUSDT:15m:PIVOT:LOW:2303:s2:EXCURSION:1724550420000000000:1,ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2274:s2:ETHUSDT:15m:PIVOT:LOW:2303:s2:EXCURSION:1724550420000000000:1,ETHUSDT,1,1724550480000000000,1724550420000000000,2749.98,2744.55,2762.5699999999997,2.3186003683241383,2748.746627272727,15,ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2274:s2:ETHUSDT:15m:PIVOT:LOW:2303:s2,PREEXISTING_OPPOSING_TURN,2748.746627272727,2788.096310984848,2788.096310984848,2748.746627272727,TWO_SIDED_AUCTION_RETURN,-0.0664042147733945,143.0907996135284,1.3,7,0.09873264835549371,1.6081223660407424,-0.3676914672643804,2,0.0454940637718664,0.031343904471921175,-0.09079291315713003,0.11345692686546294,1.0561103906958076,0.1379934852774231,19.745598149804128,0.6077303867403497,2.3186003683241383,-0.8362375191416636,0.20540131218462254,9155.18042048,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724550480000000000,1724552520000000000,2750.33,2762.57,30.009,309.46244088,34.0,False,0.0,309.46244088,1.1267298100346088,
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2295:s2:XRPUSDT:15m:PIVOT:HIGH:2315:s2:EXCURSION:1724569980000000000:1,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2295:s2:XRPUSDT:15m:PIVOT:HIGH:2315:s2:EXCURSION:1724569980000000000:1,XRPUSDT,1,1724570040000000000,1724569980000000000,0.5997,0.5984999999999999,0.6032390530303031,2.949210858585702,0.5994657575757576,15,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2295:s2:XRPUSDT:15m:PIVOT:HIGH:2315:s2,AUCTION_VALUE,0.5994657575757576,0.6072123484848485,0.6072123484848485,0.5994657575757576,TWO_SIDED_AUCTION_RETURN,-0.10444477042687468,129.17443570269987,3.7333333333333334,5,-0.8648965820742256,4.364920589288338,-0.31688096892190276,2,0.06186494547944395,0.030238130164782863,-0.18716577540106752,-0.2838133792513598,2.7951980629149094,0.1549068505207685,20.01000500250275,0.599699999999955,2.949210858585702,-1.1605687248010979,-0.2477888556379524,9464.64286136,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724570040000000000,1724570520000000000,0.5998,0.5984,138642.4,-277.16002184,8.0,False,0.0,-277.16002184,-0.9761242478978376,
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2274:s2:ETHUSDT:15m:PIVOT:LOW:2303:s2:EXCURSION:1724571480000000000:1,ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2274:s2:ETHUSDT:15m:PIVOT:LOW:2303:s2:EXCURSION:1724571480000000000:1,ETHUSDT,1,1724571540000000000,1724571480000000000,2734.13,2729.475,2753.1255077651513,4.080667618721878,2733.460665909091,15,ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2274:s2:ETHUSDT:15m:PIVOT:LOW:2303:s2,AUCTION_VALUE,2733.460665909091,2772.810349621212,2772.810349621212,2733.460665909091,TWO_SIDED_AUCTION_RETURN,-0.0664042147733945,143.9203099783883,7.15,7,0.09873264835549371,3.8009783195587685,-0.30575007081368005,2,0.04762975149373532,0.017009897609494177,-0.17708541375407535,-0.17474795159243545,2.6572595926496687,0.11829828249842571,17.025525487084373,0.7048240601503456,4.080667618721878,-1.4367002393612995,0.14441660104218967,9187.48283952,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724571540000000000,1724575320000000000,2734.47,2753.13,33.04,553.16027256,63.0,False,-3.0001470103965926,550.1601255496033,1.9960495352186745,
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2334:s2:XRPUSDT:15m:PIVOT:HIGH:2350:s2:EXCURSION:1724601000000000000:1,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2334:s2:XRPUSDT:15m:PIVOT:HIGH:2350:s2:EXCURSION:1724601000000000000:1,XRPUSDT,1,1724601000000000000,1724601000000000000,0.6018,0.6007,0.6037674999999999,1.7886363636362892,0.6013249999999999,15,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2334:s2:XRPUSDT:15m:PIVOT:HIGH:2350:s2,AUCTION_VALUE,0.6013249999999999,0.6064099999999999,0.6064099999999999,0.6013249999999999,TWO_SIDED_AUCTION_RETURN,0.15339233038347905,84.49651046859432,3.5833333333333335,4,-0.7433628318583834,1.857633763881031,0.0940792232623267,1,0.024582104228108272,0.09341199606688567,-0.07692307692307568,0.0940792232623267,1.857633763881031,0.2163225172074707,18.278497839813724,0.6565090909090968,1.7886363636362892,-0.24911962661600393,-0.28997695637257137,9737.64296507,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724601000000000000,1724602020000000000,0.6019,0.6038,145622.2,215.27184204,17.0,False,1.7170424274872,216.9888844674872,0.7427837353996591,
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2334:s2:XRPUSDT:15m:PIVOT:HIGH:2350:s2:EXCURSION:1724602440000000000:1,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2334:s2:XRPUSDT:15m:PIVOT:HIGH:2350:s2:EXCURSION:1724602440000000000:1,XRPUSDT,1,1724602500000000000,1724602440000000000,0.6023,0.6010000000000001,0.6040924999999999,1.3788461538462862,0.6016499999999999,15,XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2334:s2:XRPUSDT:15m:PIVOT:HIGH:2350:s2,AUCTION_VALUE,0.6016499999999999,0.6067349999999999,0.6067349999999999,0.6016499999999999,TWO_SIDED_AUCTION_RETURN,0.15339233038347905,84.42636559853905,4.0,4,-0.7433628318583834,1.292670905474855,0.09515726451870225,2,0.026941986234010337,0.12782694198624162,-0.08414239482200489,0.4900638983902175,1.2491611190488465,0.2556538839724396,21.583928274943663,0.5559692307692919,1.3788461538462862,-0.43565227949831115,-0.0657047879719081,9954.631849540001,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724602500000000000,1724602920000000000,0.6024,0.6009,134194.9,-282.03071159,7.0,False,0.0,-282.03071159,-0.9443868805757075,
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2358:s2:ETHUSDT:15m:PIVOT:LOW:2367:s2:EXCURSION:1724607720000000000:-1,ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2358:s2:ETHUSDT:15m:PIVOT:LOW:2367:s2:EXCURSION:1724607720000000000:-1,ETHUSDT,-1,1724607840000000000,1724607720000000000,2770.4,2774.8450000000003,2765.8279666666676,1.0285789276338104,2771.6934666666675,15,ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2358:s2:ETHUSDT:15m:PIVOT:LOW:2367:s2,AUCTION_VALUE,2759.942466666667,2771.6934666666675,2771.6934666666675,2759.942466666667,TWO_SIDED_AUCTION_RETURN,-0.04357075993533566,42.41625758013521,1.2333333333333334,5,0.4156242021955336,4.406415678508706,-0.4856256859950824,3,0.14837886137343503,0.11007290159708578,-0.10995304088879132,0.06880231190083161,0.78926931649727,0.3782656795166296,16.044614496102234,0.7479145106861367,1.0285789276338104,-0.4075037114288101,-0.3013529358326306,9672.601137950001,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724607840000000000,1724609640000000000,2770.01,2765.83,35.043,78.56041364,30.0,False,0.0,78.56041364,0.27073177290360867,
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:2361:s2:SOLUSDT:15m:PIVOT:LOW:2371:s2:EXCURSION:1724614740000000000:1,SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:2361:s2:SOLUSDT:15m:PIVOT:LOW:2371:s2:EXCURSION:1724614740000000000:1,SOLUSDT,1,1724614740000000000,1724614740000000000,158.747,158.57,158.997,1.4124293785309066,158.7359,15,SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:2361:s2:SOLUSDT:15m:PIVOT:LOW:2371:s2,PREEXISTING_OPPOSING_TURN,158.7359,160.24161428571423,160.24161428571423,158.7359,TWO_SIDED_AUCTION_RETURN,0.059013282732443884,94.84993642174327,2.15,5,0.7685009487666437,4.374401649606009,-0.7705948372615039,1,0.021850094876650076,0.007371916508557295,-0.026269119929061654,-0.7705948372615039,4.374401649606009,0.11755218216320469,11.149817004417148,1.0762508474574999,1.4124293785309066,-0.4690561046673709,0.013158486215576137,9751.16155159,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724614740000000000,1724615340000000000,158.78,159.0,720.41,78.3878121,10.0,False,0.0,78.3878121,0.26796059691718915,
