symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,root_low,root_high,pool,shift,flow,delivery_minutes,tip,tip_ts,owner_60,probe_volume,probe_depth,relative_strength,market_direction,market_breadth,episode
BTCUSDT,1,1722646620000000000,1722646490000000000,1722639600000000000,15.0,60913.8,60882.3,61200.1,9.08888888888875,market,60882.3,60913.8,61200.2,60898.0,-0.03164916264547397,2.1666666666666665,60882.4,1722646620000000000,-1,239.5640000000003,52.17208579993296,0.22664244066146,-2.158483292398027,0.0,93
BTCUSDT,-1,1722668700000000000,1722668600000000000,1722666600000000000,15.0,61841.6,61848.1,61825.6,2.4615384615384617,market,61841.6,61848.1,61825.5,61846.3,-0.7177577741407369,1.6666666666666667,61848.0,1722668700000000000,1,24.44000000000233,3.6383275982510157,0.2307389162271033,-0.8727489317786509,0.0,94
BTCUSDT,1,1722698530000000000,1722698310000000000,1722687300000000000,15.0,61734.1,61666.0,61811.4,1.1350954478708453,market,61666.0,61734.1,61811.5,61716.3,-0.2464095573397457,3.6666666666666665,61666.1,1722698500000000000,1,372.6560000000027,23.552623266557937,0.006252885615137149,-2.937110410315021,0.0,99
BTCUSDT,1,1722735480000000000,1722735460000000000,1722723300000000000,15.0,60315.0,60293.9,60345.3,1.4360189573462085,market,60293.9,60315.0,60345.4,60300.0,-0.04288295949811093,0.3333333333333333,60294.0,1722735480000000000,-1,47.03499999997439,8.521926552267505,0.2617665939095688,-1.939708759084907,0.0,101
BTCUSDT,-1,1722750200000000000,1722749820000000000,1722746700000000000,15.0,60892.2,60915.2,60773.1,5.178260869565154,market,60892.2,60915.2,60773.0,60899.9,-0.06933970248012286,6.333333333333333,60915.1,1722750200000000000,1,53.17300000000978,23.336322221893536,-0.7881878996443463,-1.8455039860632372,0.0,103
BTCUSDT,1,1722756390000000000,1722756380000000000,1722753000000000000,15.0,60658.2,60649.9,60680.9,2.734939759038109,market,60649.9,60658.2,60681.0,60652.0,-0.46102737009160144,0.16666666666666666,60650.0,1722756390000000000,-1,20.168000000005122,5.110603347939768,0.08332951245012687,-0.8930956491588073,0.0,103
BTCUSDT,1,1722815260000000000,1722815180000000000,1722808800000000000,15.0,58252.0,58225.9,58332.4,3.08045977011517,market,58225.9,58252.0,58332.5,58236.5,-0.3412556263345426,1.3333333333333333,58226.0,1722815260000000000,-1,64.20700000005309,18.282634072649866,-0.10876955696075064,-0.8940833556906446,0.25,109
BTCUSDT,1,1722838000000000000,1722837980000000000,1722820500000000000,15.0,52087.0,51962.9,52221.9,1.0870265914585258,market,51962.9,52087.0,52222.0,52043.4,-0.2335342738567741,0.3333333333333333,51963.0,1722838000000000000,-1,634.6820000000298,49.724499395242574,0.2354804084394313,-1.5646250146142027,0.0,113
BTCUSDT,1,1722851290000000000,1722851210000000000,1722845700000000000,15.0,52014.4,51949.9,52249.9,3.6511627906976742,market,51949.9,52014.4,52250.0,51998.1,-0.05103266720942927,1.3333333333333333,51950.0,1722851280000000000,-1,609.2960000000894,57.67633578393675,-0.3083215167910769,-0.9063006443848312,0.0,114
BTCUSDT,1,1722860330000000000,1722860280000000000,1722858300000000000,15.0,50480.4,50399.9,50590.0,1.3614906832297955,market,50399.9,50480.4,50590.1,50449.4,-0.26802918275039544,0.8333333333333334,50400.0,1722860330000000000,-1,346.36899999994785,37.65818020459397,-0.1668223406336684,-1.1829540842389368,0.0,116
BTCUSDT,-1,1722903990000000000,1722903960000000000,1722875400000000000,15.0,55613.3,55658.0,55523.1,2.017897091722824,market,55613.3,55658.0,55523.0,55634.1,-0.11312365455803274,0.5,55657.9,1722903990000000000,-1,305.19699999992736,24.256787495077877,0.24280105318620793,-2.4729874012731816,0.0,122
BTCUSDT,1,1722928470000000000,1722928450000000000,1722925800000000000,15.0,55477.1,55456.1,55498.200000000004,1.0047619047621819,market,55456.1,55477.1,55498.3,55476.0,-0.04653941212311563,0.3333333333333333,55456.2,1722928460000000000,1,109.64899999997579,7.58871678584602,0.02402291901127751,-1.269291774725457,0.0,124
BTCUSDT,1,1722933350000000000,1722933260000000000,1722920400000000000,15.0,54944.4,54849.9,55219.9,2.9153439153439153,market,54849.9,54944.4,55220.0,54912.4,-0.1062715512736501,1.5,54850.0,1722933340000000000,1,478.5100000000093,67.34080270236821,-0.29016714590096004,-2.537735763823502,0.0,127
BTCUSDT,1,1722948360000000000,1722948330000000000,1722942900000000000,15.0,54740.9,54699.9,54840.6,2.4317073170730996,market,54699.9,54740.9,54840.7,54713.6,-0.17532359846783563,0.5,54700.0,1722948360000000000,-1,114.57099999999627,25.702902217536995,-0.10591970223767389,-2.137879940513548,0.0,129
BTCUSDT,-1,1722953160000000000,1722953110000000000,1722948300000000000,15.0,55888.2,55999.0,55443.299999999996,4.0153429602887165,market,55888.2,55999.0,55443.2,55928.3,-0.051246809345620634,0.8333333333333334,55998.9,1722953160000000000,1,458.37000000011176,99.43064904577432,-0.555229081453585,-3.469902218056478,0.0,131
BTCUSDT,-1,1722968300000000000,1722968210000000000,1722964500000000000,15.0,56956.7,57000.0,56900.1,1.3071593533486083,market,56956.7,57000.0,56900.0,56975.5,-0.16351688950768037,1.5,56999.9,1722968260000000000,-1,880.2210000003688,17.539639761433065,-0.49772753916927304,-1.6530660864670037,0.0,135
BTCUSDT,1,1723040440000000000,1723040240000000000,1722999600000000000,15.0,56354.0,56301.9,56456.3,1.9635316698657537,market,56301.9,56354.0,56456.4,56329.0,-0.1570024434022847,3.3333333333333335,56302.0,1723040440000000000,1,252.92599999997765,27.39823260105786,0.4496869971997124,-1.898640422499068,0.0,147
BTCUSDT,1,1723054040000000000,1723054010000000000,1723051800000000000,15.0,55320.7,55299.9,55395.4,3.5913461538471174,market,55299.9,55320.7,55395.5,55311.1,-0.24838686994158532,0.5,55300.0,1723054040000000000,-1,298.64300000015646,17.262977511130554,-0.15911544800988953,-1.013226909181858,0.0,149
BTCUSDT,-1,1723079070000000000,1723079050000000000,1723076100000000000,15.0,55391.9,55418.0,55339.7,2.000000000000279,market,55391.9,55418.0,55339.6,55395.1,-0.3451451473358373,0.3333333333333333,55417.9,1723079070000000000,1,91.32099999999627,14.135640770582507,-0.2328783418074638,-0.5579816462548037,0.0,153
BTCUSDT,1,1723108150000000000,1723108110000000000,1723104900000000000,15.0,57040.0,56999.9,57089.9,1.2443890274315028,market,56999.9,57040.0,57090.0,57036.8,-0.09291036890241226,0.6666666666666666,57000.0,1723108120000000000,1,293.3580000004731,15.778401122019634,-0.4776007465032861,-1.1288692094496657,0.0,156
BTCUSDT,-1,1723120540000000000,1723081490000000000,1723027500000000000,15.0,58302.4,58499.0,57699.1,3.068667344862703,market,58302.4,58499.0,57699.0,58359.1,-0.054660909232323314,650.8333333333334,58498.9,1723120510000000000,-1,2265.8240000000224,137.19846867367406,-0.46148986990708707,-5.2387969995661905,0.0,154
BTCUSDT,-1,1723128510000000000,1723128460000000000,1723121100000000000,15.0,58800.0,58849.1,58500.1,6.107942973523632,market,58800.0,58849.1,58500.0,58821.1,-0.040389341797225274,0.8333333333333334,58849.0,1723128510000000000,-1,349.1019999999553,59.35374149659864,-0.3889612454319331,-0.6926775679268453,0.0,160
BTCUSDT,-1,1723153360000000000,1723153350000000000,1723138200000000000,15.0,60388.5,60831.299999999996,59839.799999999996,1.2391598915989381,market,60388.5,60831.299999999996,59839.7,60466.8,-0.32150043584463284,0.16666666666666666,60831.2,1723153360000000000,-1,2760.157999999821,164.18688988797538,-0.11715194060058498,-1.3361195013874418,0.0,161
BTCUSDT,-1,1723157430000000000,1723157280000000000,1723154400000000000,15.0,61617.6,61812.0,61359.1,1.329732510288056,market,61617.6,61812.0,61359.0,61674.0,-0.3075183322361904,2.5,61811.9,1723157430000000000,-1,697.2689999998547,73.50172677936197,-0.40091686981318764,-0.6570875891072031,0.0,163
BTCUSDT,1,1723177780000000000,1723177620000000000,1723169700000000000,15.0,60988.2,60959.9,61099.9,3.9469964664318584,market,60959.9,60988.2,61100.0,60986.0,-0.47832240807405424,2.6666666666666665,60960.0,1723177770000000000,1,166.7390000000596,22.955260197874342,-0.28875995627717277,-1.4709615627819943,0.0,165
BTCUSDT,1,1723198910000000000,1723198840000000000,1723180500000000000,15.0,60237.2,60200.9,60554.9,8.752066115703652,market,60200.9,60237.2,60555.0,60230.0,-0.05184165136532135,1.1666666666666667,60201.0,1723198910000000000,-1,431.3519999999553,58.767671804134324,-0.22945167459530547,-1.4025811174292322,0.0,169
BTCUSDT,-1,1723212290000000000,1723212210000000000,1723203000000000000,15.0,60974.0,61000.1,60775.1,7.620689655172894,market,60974.0,61000.1,60775.0,60994.9,-0.3675546229780774,1.3333333333333333,61000.0,1723212290000000000,1,647.6669999998994,36.9009741857185,0.1431299523705527,-3.980941113617634,0.0,170
BTCUSDT,-1,1723223750000000000,1723223730000000000,1723216500000000000,15.0,60688.7,60725.0,60553.299999999996,3.730027548209107,market,60688.7,60725.0,60553.2,60690.6,-0.11373005170358706,0.3333333333333333,60724.9,1723223750000000000,1,156.4670000001788,28.29192254900902,0.020381629181415728,-0.37496799324685015,0.0,174
ETHUSDT,1,1722646500000000000,1722646430000000000,1722635100000000000,15.0,2957.09,2951.29,2965.2599999999998,1.4086206896550624,market,2951.29,2957.09,2965.27,2954.58,-0.2002941378803869,1.1666666666666667,2951.3,1722646500000000000,-1,5378.430000000008,47.24239032291814,-0.306993366357067,-1.2412377711060003,0.0,93
ETHUSDT,-1,1722655530000000000,1722655440000000000,1722652200000000000,15.0,2974.48,2976.01,2971.11,2.2026143790846078,market,2974.48,2976.01,2971.1,2974.79,-0.45252498583965917,1.5,2976.0,1722655520000000000,1,1302.9380000000237,16.473467631317376,0.16877709905956295,-0.723349843558902,0.0,94
ETHUSDT,-1,1722754200000000000,1722754190000000000,1722746700000000000,15.0,2919.42,2919.92,2918.1600000000003,2.519999999999527,market,2919.42,2919.92,2918.15,2919.46,-0.42525646916296067,0.16666666666666666,2919.91,1722754200000000000,1,459.2170000001788,6.028594720868404,-0.21962883932999921,-0.39778752625527747,0.0,103
ETHUSDT,-1,1722829640000000000,1722829570000000000,1722826800000000000,15.0,2341.42,2343.4900000000002,2337.1600000000003,2.0579710144924768,market,2341.42,2343.4900000000002,2337.15,2341.49,-0.2524780878489601,1.1666666666666667,2343.48,1722829620000000000,1,5117.251999998465,27.034876271663894,-0.02373032107487244,-0.36393217924399635,0.0,112
