symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,rr,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
SOLUSDT,-1,1754796060000000000,185.33,185.51,185.01,98,15.0,1754793000000000000,1754796030000000000,market,1.7777777777781112,10000.0,637.45,2.9999694278511755,1754796061000000000,1754796122000000000,9683.75812662,-1.0541395779333367,1.0166666666666666
XRPUSDT,1,1754806820000000000,3.2407,3.2386,3.2444,100,15.0,1754803800000000000,1754806740000000000,market,1.7619047619046813,9683.75812662,37839.1,2.9999947249841927,1754806821000000000,1754806863000000000,9689.11157952,0.018427600903151802,0.7
XRPUSDT,1,1754811800000000000,3.1828,3.1634,3.2049,101,15.0,1754667900000000000,1754811460000000000,market,1.1391752577319543,9689.11157952,11933.9,2.9999778108269486,1754811801000000000,1754811857000000000,9397.1171683,-1.0045448399252404,0.9333333333333333
SOLUSDT,1,1754834360000000000,178.82,178.77,179.06,103,15.0,1754829000000000000,1754834320000000000,market,4.800000000001819,9397.1171683,785.85,2.999976134938515,1754834361000000000,1754834384000000000,9109.107401790001,-1.021624544889018,0.38333333333333336
BTCUSDT,1,1754856970000000000,118275.09999999999,118182.7,118395.7,104,15.0,1754850600000000000,1754856720000000000,market,1.3051948051945874,9109.107401790001,0.996,2.9975738369560547,1754856971000000000,1754857132000000000,8828.07174384,-1.0284054026148775,2.683333333333333
ETHUSDT,1,1754859860000000000,4192.5,4185.22,4206.62,106,15.0,1754857800000000000,1754859660000000000,market,1.9395604395602501,8828.07174384,19.704,2.999958338956102,1754859861000000000,1754859901000000000,8562.06150505,-1.004410500611741,0.6666666666666666
XRPUSDT,-1,1754875940000000000,3.2241,3.2265,3.2187,110,15.0,1754820000000000000,1754875880000000000,market,2.2499999999997686,8562.06150505,32248.7,2.9999959781668837,1754875941000000000,1754875979000000000,8302.36012432,-1.0110547192278627,0.6333333333333333
SOLUSDT,1,1754894370000000000,184.47,184.34,184.8,113,15.0,1754892000000000000,1754894200000000000,market,2.5384615384617235,8302.36012432,541.84,2.999962988476237,1754894371000000000,1754894962000000000,8039.845610339999,-1.0539754561718704,9.85
SOLUSDT,-1,1754928180000000000,180.82,181.12,180.46,118,15.0,1754923500000000000,1754928060000000000,market,1.2,8039.845610339999,404.02,2.999979799910434,1754928181000000000,1754928189000000000,8102.5271295600005,0.259878618976576,0.13333333333333333
SOLUSDT,1,1754942010000000000,175.72,175.44,176.5,119,15.0,1754696700000000000,1754941940000000000,market,2.7857142857142785,8102.5271295600005,442.56,2.9999654546500425,1754942011000000000,1754942333000000000,8367.08152971,1.0883616758070445,5.366666666666666
ETHUSDT,-1,1754988300000000000,4327.98,4329.01,4320.64,124,15.0,1754973900000000000,1754988090000000000,market,7.126213592227737,8367.08152971,32.965,2.9999529200059722,1754988301000000000,1754988319000000000,8117.722437810001,-0.9934132589106064,0.3
ETHUSDT,-1,1755001590000000000,4305.99,4311.65,4298.01,126,15.0,1754994600000000000,1755001580000000000,market,1.4098939929325947,8117.722437810001,20.024,2.9998734305215944,1755001591000000000,1755001627000000000,7876.22117594,-0.9916626398604874,0.6
XRPUSDT,-1,1755010320000000000,3.2071,3.2099,3.2015,128,15.0,1755003600000000000,1755010260000000000,market,1.9999999999998415,7876.22117594,28649.7,2.9999997787471937,1755010321000000000,1755010440000000000,7935.61533298,0.2513648601837781,1.9833333333333334
SOLUSDT,-1,1755045440000000000,194.01,194.1,193.8,130,15.0,1755036000000000000,1755045260000000000,market,2.3333333333333335,7935.61533298,580.08,2.9999908945323885,1755045441000000000,1755045489000000000,7691.538842950001,-1.0252365644775718,0.8
SOLUSDT,-1,1755058820000000000,199.95,200.16,199.6,132,15.0,1755054900000000000,1755058690000000000,market,1.6666666666665764,7691.538842950001,431.08,2.999985909005533,1755058821000000000,1755058888000000000,7749.72567598,0.2521681474413636,1.1166666666666667
XRPUSDT,-1,1755073250000000000,3.265,3.2661,3.2569,134,15.0,1755059400000000000,1755073140000000000,market,7.363636363635483,7749.72567598,35300.7,2.999999325315664,1755073251000000000,1755073255000000000,7512.773181969999,-1.0191865876595967,0.06666666666666667
XRPUSDT,-1,1755091660000000000,3.3268,3.3367,3.3061,135,15.0,1755030600000000000,1755091480000000000,market,2.0909090909090584,7512.773181969999,14992.8,2.999994465712274,1755091661000000000,1755092356000000000,7772.54363196,1.1525723976929823,11.583333333333334
BTCUSDT,-1,1755093030000000000,121121.0,121180.0,120799.09999999999,137,15.0,1754928900000000000,1755092940000000000,market,5.4559322033897315,7772.54363196,0.995,2.9988906892492584,1755093031000000000,1755093042000000000,7567.89059529,-0.8776750845050918,0.18333333333333332
ETHUSDT,-1,1755108210000000000,4746.5,4750.77,4738.79,140,15.0,1755102600000000000,1755108090000000000,market,1.8056206088991213,7567.89059529,20.004,2.999968090389238,1755108211000000000,1755108214000000000,7340.656297140001,-1.0008702569926253,0.05
ETHUSDT,-1,1755138990000000000,4761.36,4765.58,4748.01,142,15.0,1755135900000000000,1755138950000000000,market,3.1635071090044193,7340.656297140001,19.692,2.99985821757657,1755138991000000000,1755139603000000000,7114.11705314,-1.0286965943733684,10.2
