symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,root_low,root_high,pool,shift,flow,delivery_minutes,tip,tip_ts,owner_60,probe_volume,probe_depth,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1754793420000000000,1754792960000000000,1754772300000000000,15.0,117058.0,117073.8,117000.1,3.664556962024273,market,117058.0,117073.8,117000.0,117073.3,-0.09888744564292433,7.666666666666667,117073.7,1754793420000000000,-1,35.41400000000067,6.2960241931347785,-4.868137062728619,0.7258295319444767,0.75,96
BTCUSDT,1,1754856970000000000,1754856720000000000,1754850600000000000,15.0,118275.1,118182.7,118395.7,1.3051948051945874,market,118182.7,118275.1,118395.8,118209.3,-0.032291428326976936,4.166666666666667,118182.8,1754856740000000000,1,1075.146000000037,18.008862389463207,-1.309860226446835,-1.7117596317860655,0.0,104
BTCUSDT,-1,1754863750000000000,1754863650000000000,1754859600000000000,15.0,118849.0,118925.90000000001,118736.5,1.4629388816643332,market,118849.0,118925.90000000001,118736.4,118879.1,-0.11442755985024775,1.6666666666666667,118925.8,1754863740000000000,-1,165.37099999999919,15.936187935953077,-2.2549692225254376,0.09320074511622936,0.5,108
BTCUSDT,-1,1754875980000000000,1754875950000000000,1754872200000000000,15.0,119609.3,119615.1,119490.40000000001,20.49999999998871,market,119609.3,119615.1,119490.3,119612.5,-0.017101129319573354,0.5,119615.0,1754875980000000000,-1,58.88500000000931,10.425610717561018,-0.16242278755137196,-2.9494805777137416,0.0,110
BTCUSDT,1,1754899100000000000,1754899070000000000,1754883900000000000,15.0,121483.1,121432.2,121538.9,1.0962671905693278,market,121432.2,121483.1,121539.0,121471.3,-0.305258325203184,0.5,121432.3,1754899080000000000,1,191.67699999999604,8.783114688380284,0.09272618395279597,-1.4347300383969577,0.0,113
BTCUSDT,-1,1754922950000000000,1754922920000000000,1754920800000000000,15.0,120421.3,120439.1,120320.1,5.685393258425873,market,120421.3,120439.1,120320.0,120422.5,-0.03264253519816154,0.5,120439.0,1754922950000000000,-1,86.08399999997346,9.881972707486133,-0.027571735861033786,-0.7572806977962381,0.0,118
BTCUSDT,-1,1754928560000000000,1754928480000000000,1754923500000000000,15.0,120686.4,120799.1,120555.1,1.1650399290148608,market,120686.4,120799.1,120555.0,120700.0,-0.3538782349966504,1.3333333333333333,120799.0,1754928540000000000,-1,478.594000000041,20.217688157074864,0.04366285392939395,-1.775685182937425,0.0,118
BTCUSDT,1,1754935480000000000,1754935470000000000,1754918100000000000,15.0,119269.4,119252.9,119344.9,4.575757575757576,market,119252.9,119269.4,119345.0,119268.0,-0.35050304761957396,0.16666666666666666,119253.0,1754935480000000000,1,354.53899999998976,7.713629816197616,0.02345490973579495,-0.5175944559246493,0.25,119
BTCUSDT,-1,1754982500000000000,1754982360000000000,1754980200000000000,15.0,119019.1,119042.5,118983.0,1.5427350427356752,market,119019.1,119042.5,118982.9,119021.8,-0.18632168940708554,2.3333333333333335,119042.4,1754982480000000000,1,35.32600000000093,4.999197607778919,0.14351700735439288,-1.0444805799554404,0.0,124
BTCUSDT,-1,1755002000000000000,1755001810000000000,1754989200000000000,15.0,119102.1,119185.3,119012.0,1.0829326923078002,market,119102.1,119185.3,119011.9,119127.6,-0.35880335965268695,3.1666666666666665,119185.2,1755001990000000000,1,317.89000000001397,14.550541090375644,0.5809225714385269,-4.593462858872265,0.0,126
