scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
LRB-1708935480000000000-000036,SRR,LONG,1708935540000000000,2024-02-26,8,1708935600000000000,51373.6,51344.0,51290.6,51574.3,OPPOSING_EXTERNAL_LIQUIDITY,51320.0,19.15,23.908,100000.0,3000.0,125.4761976000007,1.259658748218252,0.0007,51344.1,1708935600000000000,499,51290.5,1708937580000000000,2024-02-26,8,33.0,-2999.12041176,-0.0010439368885616564,-0.99970680392,STOP,
LRB-1708938840000000000-000038,SRR,LONG,1708938900000000000,2024-02-26,9,1708938960000000000,51343.0,51315.9,51220.8,51508.5,OPPOSING_EXTERNAL_LIQUIDITY,51285.0,16.134999999999856,17.418,97000.87958824,2910.0263876472,167.06649644000538,0.72080831624576,0.0007,51316.0,1708938960000000000,555,51220.700000000004,1708939140000000000,2024-02-26,9,3.0,-2910.12436842,-0.0018571205861718692,-1.0000336700633423,STOP,
LRB-1708939860000000000-000040,SRR,LONG,1708939920000000000,2024-02-26,9,1708939980000000000,51118.2,51094.2,51072.8,51345.6,OPPOSING_INTERNAL_LIQUIDITY,51080.0,51.94499999999971,30.328,94090.75521982,2822.7226565946,93.07253107999533,1.9285189509429908,0.0007,51094.30567132684,1708939980000000000,572,51072.700000000004,1708940040000000000,2024-02-26,9,1.0,-2824.2214636,-0.0004228586932136009,-1.000530979195529,STOP,
LRB-1708940220000000000-000041,SRR,LONG,1708940280000000000,2024-02-26,9,1708940340000000000,51063.1,51035.5,50979.2,51317.6,OPPOSING_INTERNAL_LIQUIDITY,51000.0,59.365000000000144,21.397,91266.53375622,2737.9960126866,127.95945555999693,1.6431206985045068,0.0007,51035.6,1708940340000000000,578,50979.100000000006,1708940460000000000,2024-02-26,9,2.0,-2736.89647513,-0.001107070358729842,-0.9995984152089685,STOP,
LRB-1708942740000000000-000045,SRR,SHORT,1708942800000000000,2024-02-26,10,1708942860000000000,51176.5,51202.2,51226.5,50955.5,OPPOSING_INTERNAL_LIQUIDITY,51185.0,27.590000000000508,27.605,88529.63728109,2655.8891184327,96.20729504000292,1.818880885563164,0.0007,51202.1,1708942860000000000,620,51226.6,1708942980000000000,2024-02-26,10,2.0,-2655.60348445,-0.00047849599918753334,-0.9998924525949832,STOP,
LRB-1708943160000000000-000046,SRR,SHORT,1708943220000000000,2024-02-26,10,1708943280000000000,51204.3,51208.2,51272.3,51042.3,OPPOSING_INTERNAL_LIQUIDITY,51268.0,28.749999999999638,18.937,85874.03379664,2576.2210138992,136.03635000000583,0.6919080819206788,0.0007,51208.1,1708943280000000000,627,51272.4,1708944000000000000,2024-02-26,10,12.0,-2576.12035995,-0.0012556607255493353,-0.999960929614091,STOP,
LRB-1708944000000000000-000047,SRR,SHORT,1708944060000000000,2024-02-26,10,1708944120000000000,51212.6,51247.4,51280.5,50922.5,OPPOSING_EXTERNAL_LIQUIDITY,51270.0,29.66999999999971,23.789,83297.91343669,2498.9374031006996,105.04311151999606,2.4102586674786934,0.0007,51247.299999999996,1708944120000000000,641,51280.6,1708944960000000000,2024-02-26,10,14.0,-2499.49904917,-0.0006497903304174642,-1.0002247539568632,STOP,
LRB-1708959540000000000-000069,SRR,SHORT,1708959600000000000,2024-02-26,15,1708959660000000000,51720.0,51734.9,51755.9,51460.0,OPPOSING_INTERNAL_LIQUIDITY,51745.0,46.84999999999964,25.871,80798.41438752,2423.9524316255997,93.69159359999523,2.1609576934340007,0.0007,51734.8,1708959660000000000,900,51756.0,1708959720000000000,2024-02-26,15,1.0,-2422.65254076,-0.00040978219689642346,-0.9994637308683786,STOP,
LRB-1708970700000000000-000082,SRR,SHORT,1708970760000000000,2024-02-26,18,1708970820000000000,53569.5,53579.0,53648.899999999994,53373.0,OPPOSING_INTERNAL_LIQUIDITY,53630.9,53.90500000000029,16.196,78375.76184676,2351.2728554028,145.17193868000106,0.9019208615007459,0.0007,53578.899999999994,1708970820000000000,1086,53649.0,1708972200000000000,2024-02-26,18,23.0,-2351.00374788,-0.0013083508619998886,-0.9998855481522778,STOP,
LRB-1708972620000000000-000084,SRR,LONG,1708972680000000000,2024-02-26,18,1708972740000000000,53424.5,53395.9,53322.5,53669.5,OPPOSING_INTERNAL_LIQUIDITY,53392.2,53.659999999999854,15.379,76024.75809888,2280.7427429664,148.29568504000142,1.3382332732504478,0.0007,53396.0,1708972740000000000,1118,53669.4,1708974840000000000,2024-02-26,19,35.0,3052.02744938,0.005120233725372714,1.3381726013563655,TARGET,
LRB-1708975380000000000-000086,SRR,SHORT,1708975440000000000,2024-02-26,19,1708975500000000000,54316.9,54435.2,54517.9,53461.8,OPPOSING_INTERNAL_LIQUIDITY,54463.2,155.37999999999994,14.901,79076.78554826,2372.3035664477998,159.19759128000035,5.638729159043292,0.0007,54435.100000000006,1708975500000000000,1164,54518.0,1708976280000000000,2024-02-26,19,13.0,-2371.75000017,-0.0015229144430706323,-0.9997666545354359,STOP,
LRB-1708976280000000000-000087,SRR,SHORT,1708976340000000000,2024-02-26,19,1708976400000000000,54403.1,54401.8,54545.5,54020.0,OPPOSING_INTERNAL_LIQUIDITY,54505.5,134.35499999999993,10.449,76705.03554809,2301.1510664427,220.21154387999673,1.3882321272248803,0.0007,54401.7,1708976400000000000,1179,54545.6,1708976700000000000,2024-02-26,19,5.0,-2300.48433639,-0.002645137927675081,-0.9997102623715484,STOP,
LRB-1708980000000000000-000091,SRR,SHORT,1708980060000000000,2024-02-26,20,1708980120000000000,54494.8,54526.0,54620.3,54321.0,OPPOSING_INTERNAL_LIQUIDITY,54535.3,71.7400000000005,13.057,74404.5512117,2232.136536351,170.94163744000218,0.7523450806134876,0.0007,54525.9,1708980120000000000,1241,54620.4,1708980300000000000,2024-02-26,20,3.0,-2231.47276737,-0.001733121323994652,-0.9997026306544469,STOP,
LRB-1708985760000000000-000100,SRR,SHORT,1708985820000000000,2024-02-26,22,1708985880000000000,54752.5,54805.2,54858.4,54585.7,OPPOSING_INTERNAL_LIQUIDITY,54839.9,43.02000000000044,16.628,72173.07844433,2165.1923533299,130.2061491200012,1.0961569093673131,0.0007,54805.100000000006,1708985880000000000,1337,54585.8,1708986360000000000,2024-02-26,22,8.0,2373.25408036,0.004001452419574144,1.0960938766988149,OTHER_EXIT,
