symbol,close,beta,symbol_move,factor_move,residual_move,event_quote_volume,event_taker_pressure,oi_move,residual_z,factor_z,event_volume_z,oi_move_z,event_direction,directional_event_taker_pressure,residual_share,cross_market_breadth,confirmation_residual_move,directional_confirmation_residual,confirmation_symbol_return,directional_confirmation_symbol_return,confirmation_factor_move,confirmation_taker_pressure,confirmation_oi_change_z,entry_ts,entry_price,future_return,exit_ts,route,trade_direction_sign,direction,horizon_minutes,gross_return,net_return,rank_score,family,family_priority,family_rank,signal_ts,route_priority,direction_value,initial_stop,atr_at_signal,momentum,momentum_atr,volume_ratio,trend_quality,directional_breadth,residual_momentum_atr,leader_gap_atr,confirmation_return,confirmation_body_fraction,exit_price,exit_reason,holding_minutes,final_stop,trailing_updates
SOLUSDT,,,,,,,,,,,,,,,,,,,,,,-0.1335345374583904,,2024-04-29 18:15:00+00:00,134.262,,2024-04-30 00:50:00+00:00,BREADTH_ALIGNED_6H_TREND,,SHORT,,-0.0326775792320772,-0.0346775792320772,0.5295861966763767,V28_BREADTH_TREND,2,0.5295861966763767,2024-04-29 18:00:00+00:00,2.0,-1.0,138.64935714285716,4.387357142857143,-0.0553363002771012,-1.7027108334617544,1.339375791435397,0.1161083135514865,1.0,-0.4733531735275378,0.0320810439770692,-0.0054740335256776,0.6952022577610654,138.64935714285716,TRAILING_STOP,395.0,138.64935714285716,0.0
SOLUSDT,,,,,,,,,,,,,,,,,,,,,,-0.0087804705159151,,2024-05-01 06:15:00+00:00,124.664,,2024-05-01 18:05:00+00:00,BREADTH_ALIGNED_6H_TREND,,SHORT,,-0.0400316049541167,-0.0420316049541167,0.5199840602535764,V28_BREADTH_TREND,2,0.5199840602535764,2024-05-01 06:00:00+00:00,2.0,-1.0,129.6545,4.9905,-0.0750934973170335,-1.882987690062908,1.0665374576058426,0.1294602500544632,1.0,-0.0224689953282584,0.359479490724341,-0.0037878182486534,0.6061381074168873,129.6545,TRAILING_STOP,710.0,129.6545,0.0
SOLUSDT,,,,,,,,,,,,,,,,,,,,,,-0.1549822561674686,,2024-06-18 12:15:00+00:00,136.041,,2024-06-19 03:35:00+00:00,BREADTH_ALIGNED_6H_TREND,,SHORT,,-0.0332221273628645,-0.0352221273628645,0.4326271220837765,V28_BREADTH_TREND,2,0.4326271220837765,2024-06-18 12:00:00+00:00,2.0,-1.0,140.60942857142857,4.568428571428577,-0.0469689491940135,-1.4095942860024435,1.4052821631305392,0.1092008659782893,1.0,-0.4010519746495411,0.2113927488313873,-0.0077532384175517,0.6422960725075625,140.56057142857145,TRAILING_STOP,920.0,140.56057142857145,1.0
BTCUSDT,,,,,,,,,,,,,,,,,,,,,,-0.2791651424564424,,2024-06-24 18:15:00+00:00,59947.0,,2024-06-25 00:55:00+00:00,BREADTH_ALIGNED_6H_TREND,,SHORT,,-0.0101818511113389,-0.0121818511113389,3.682916514603174,V28_BREADTH_TREND,2,3.682916514603174,2024-06-24 18:00:00+00:00,2.0,-1.0,60773.485714285714,826.4857142857151,-0.0602609268175478,-4.391664772326769,3.978142290225435,0.1054028572494334,1.0,-2.503190576951781,1.3975919352359345,-0.004739965965218,0.7639818035857551,60557.37142857143,TRAILING_STOP,400.0,60557.37142857143,1.0
BTCUSDT,,,,,,,,,,,,,,,,,,,,,,-0.0337541071804812,,2024-07-03 12:15:00+00:00,60228.9,,2024-07-04 12:15:00+00:00,BREADTH_ALIGNED_6H_TREND,,SHORT,,0.043889229257051,0.041889229257051,1.2045906874957344,V28_BREADTH_TREND,2,1.2045906874957344,2024-07-03 12:00:00+00:00,2.0,-1.0,61234.12142857143,1005.221428571429,-0.0388136248812144,-2.3315826647472853,2.471075521985995,0.1045376346876287,1.0,-0.5247652217227283,0.4176616176961951,-0.0025834273137821,0.6764960971379054,57585.5,TWENTY_FOUR_HOUR_CAP,1440.0,59567.58571428571,10.0
BTCUSDT,,,,,,,,,,,,,,,,,,,,,,-0.2315340554171779,,2024-07-04 12:15:00+00:00,57585.5,,2024-07-05 12:15:00+00:00,BREADTH_ALIGNED_6H_TREND,,SHORT,,0.0382544216860147,0.0362544216860147,1.5631541698647853,V28_BREADTH_TREND,2,1.5631541698647853,2024-07-04 12:00:00+00:00,2.0,-1.0,58860.99285714286,1275.4928571428572,-0.0436615776460671,-1.9767937048147224,2.847952870912726,0.138828192815543,1.0,0.1727128848022723,0.5901492103550787,-0.0028208573744035,0.7997054491899753,55382.6,TWENTY_FOUR_HOUR_CAP,1440.0,56561.5,6.0
ETHUSDT,,,,,,,,,,,,,,,,,,,,,,-0.1104773662625241,,2024-07-05 18:15:00+00:00,2970.76,,2024-07-06 18:15:00+00:00,BREADTH_ALIGNED_6H_TREND,,SHORT,,-0.0258183091195518,-0.0278183091195518,0.937977248379097,V28_BREADTH_TREND,2,0.937977248379097,2024-07-05 18:00:00+00:00,2.0,-1.0,3070.9478571428576,100.1878571428572,-0.0485545343449258,-1.4488984876481474,1.8592352962493623,0.1740964814273519,1.0,-0.4338388237351975,0.5320494929274376,-0.0063284364881859,0.7929589270745816,3047.46,TWENTY_FOUR_HOUR_CAP,1440.0,3070.9478571428576,0.0
XRPUSDT,0.5297,0.8192963606957396,0.0159851167764206,0.0011504354535625,0.0150432588431819,90758102.0419,0.0692664919632082,0.0247388935083137,4.753873888684719,0.2714989867213957,3.3815550834604804,4.337454834884355,1.0,0.0692664919632082,0.9410790708374382,0.75,0.0136711932545192,0.0136711932545192,0.0152916745327544,0.0152916745327544,0.0018368821081549,0.0675633630407741,1.9241742057151596,2024-07-13 15:45:00+00:00,0.5378,0.0020453700260321,2024-07-13 17:45:00+00:00,RESIDUAL_POSITION_BUILDUP_CONTINUATION_2H,1.0,LONG,120.0,0.0020453700260321,4.537002603211167e-05,0.2114220638575399,V26_OI_BUILDUP,1,0.2114220638575399,,,,,,,,,,,,,,,,,,,
XRPUSDT,,,,,,,,,,,,,,,,,,,,,,0.231677244027856,,2024-07-24 18:15:00+00:00,0.6233,,2024-07-25 01:10:00+00:00,BREADTH_ALIGNED_6H_TREND,,LONG,,-0.0326373450069903,-0.0346373450069903,0.4917576367378458,V28_BREADTH_TREND,2,0.4917576367378458,2024-07-24 18:00:00+00:00,2.0,1.0,0.6029571428571429,0.0203428571428571,0.0552345343303875,1.6858557342708078,1.3224246789061114,0.1260438648771094,0.75,0.7369475491882713,0.3419903425299504,0.0038653567402158,0.7272727272726967,0.6029571428571429,TRAILING_STOP,415.0,0.6029571428571429,0.0
SOLUSDT,,,,,,,,,,,,,,,,,,,,,,0.0247363809696934,,2024-07-26 18:15:00+00:00,182.32,,2024-07-27 18:15:00+00:00,BREADTH_ALIGNED_6H_TREND,,LONG,,-0.0031757349714786,-0.0051757349714786,0.5268052326447632,V28_BREADTH_TREND,2,0.5268052326447632,2024-07-26 18:00:00+00:00,2.0,1.0,176.2252857142857,6.094714285714294,0.0671181144907704,2.0009183762699205,1.3239952125245098,0.1136308469955767,0.75,0.548378922681287,1.845500425637212,0.0034343078548784,0.6745945945945812,181.741,TWENTY_FOUR_HOUR_CAP,1440.0,176.59714285714284,2.0
