scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
AEPR-1708954200000000000-000004,AEPR,AEPR,LONG,LONG,1708955520000000000,2024-02-26,13,1708955580000000000,51315.0,51297.7,51253.7,51454.0,PRIOR_FAST_BUYSIDE_LIQUIDITY,51275.6,27.68000000000102,25.875,100000.0,3000.0,115.93768050000106,0.7260263413670945,0.0007,,False,True,51297.8,1708955580000000000,832,9,51334.0,51237.9,36.19999999999709,59.900000000001455,0.8208616780043608,1.3582766439907834,1.3078034682079391,2.1640173410404353,-0.5298048031933923,-0.3091510874240976,,,51253.6,1708956060000000000,2024-02-26,14,8.0,-3001.1372325,-0.0008616353917712721,-1.0003790775,STOP
AEPR-1709132400000000000-000012,AEPR,AEPR,LONG,LONG,1709132520000000000,2024-02-28,15,1709132580000000000,61052.7,60966.5,60722.59999999999,62374.4,ACCEPTED_EXPANSION_PROJECTION,60786.9,131.62499999999926,8.838,96998.8627675,2909.965883025,329.24656174999234,4.013136532017366,0.0007,,False,True,60966.59999999999,1709132580000000000,3782,4,61059.7,60666.0,93.10000000000582,300.59999999999127,0.38155737704920417,1.2319672131147184,0.7073124406458222,2.2837606837606304,-0.2601490188530215,0.02272336561463272,,,60722.5,1709132760000000000,2024-02-28,15,3.0,-2910.19758606,-0.004003831606157983,-1.0000796239695975,STOP
AEPR-1709308800000000000-000021,AEPR,AEPR,SHORT,SHORT,1709313420000000000,2024-03-01,17,1709313480000000000,61727.3,61754.0,61838.59999999999,61451.399999999994,PRIOR_FAST_SELLSIDE_LIQUIDITY,61800.0,65.28999999999942,16.471,94088.66518144,2822.6599554431996,171.36277020833526,1.2613954579352644,0.0007,,False,True,61753.9,1709313480000000000,6797,2,61727.4,61857.9,26.5,104.0,0.3128689492326232,1.227863046045012,0.405881451983462,1.5928932455200018,-0.5062682512340634,-0.3509333440798618,,,61838.700000000004,1709313540000000000,2024-03-01,17,1.0,-2821.72640022,-0.0013731926242715505,-0.9996692640141086,STOP
AEPR-1709458200000000000-000028,AEPR,AEPR,LONG,LONG,1709459100000000000,2024-03-03,9,1709459160000000000,61823.6,61791.9,61752.700000000004,61963.00000000001,PRIOR_FAST_BUYSIDE_LIQUIDITY,61776.9,28.919999999999344,21.758,91266.93878122,2738.0081634365997,125.83625149999885,0.6696923104070635,0.0007,,False,True,61792.03603731961,1709459160000000000,9225,18,61851.4,61750.0,59.400000000001455,42.0,1.5114503816795943,1.0687022900764547,2.05394190871379,1.4522821576763814,-0.5453235389803556,-0.21734897276401138,,,61752.600000000006,1709460180000000000,2024-03-03,10,17.0,-2739.70823363,-0.0006382058247083104,-1.0006209149468956,STOP
