plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,m_opponent_markout_1,m_own_markout_1,m_trapped_opponent_1,m_trapped_self_1,m_extreme_flow_1,m_extreme_share_1,m_late_flow_1,m_late_progress_1,m_flow_price_alignment_1,m_opponent_markout_5,m_own_markout_5,m_trapped_opponent_5,m_trapped_self_5,m_extreme_flow_5,m_extreme_share_5,m_late_flow_5,m_late_progress_5,m_flow_price_alignment_5,acceptance,control_frame,attack_flow,attack_progress,attack_activity,response_progress,response_flow,response_activity,retracement_flow,retracement_efficiency,liquidity_origin_overlap,peer_direction,peer_flow,peer_response,relative_displacement,x_spot_move_15,x_relative_move_15,x_spot_flow_15,x_relative_flow_15,x_oi_change_15,x_spot_move_60,x_relative_move_60,x_spot_flow_60,x_relative_flow_60,x_oi_change_60,x_index_basis,x_premium,x_premium_change,x_spot_activity,x_futures_activity,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
SOLUSDT:15:1755144900000000000:-1:1755150120000000000:1,SOLUSDT:15:1755144900000000000:-1,SOLUSDT,1,1755150120000000000,1755149460000000000,207.61,206.86,208.36,1.0,207.43,1.584962500721156,15:1755144900000000000:-1,OBSERVED_OPPOSING_STRUCTURE,207.43,207.61524220783497,208.54,207.69,INVENTORY_REJECTION,-0.16931216931216692,-0.19046502203588797,-0.3999999999999858,-0.31707317073162955,-1.3968253968253996,-0.20736787928451586,-0.30985915492957655,-0.3116279069767376,-1.7883597883597988,-0.07892209392378094,-0.1163110805230549,-0.5271565495207603,3.1534391534391952,0.006067327046264656,0.05424099017109574,0.3985507246376858,0.0,0.0,1.9139784946236524,0.25714285714287105,-0.45714285714277364,0.5326714202568544,0.5869413563141614,0.16886446069700178,0.05176099629199228,-0.22171031964113297,-1.1826481950083512,-0.31994759692376007,-0.5444078947368409,-0.9683489594915164,-3.0642380027476848,-0.4284764373338832,1.275878214387886,1.0,-1.0,-1.4775147928993941,1.80280930541464,0.0,2.4849066497880004,0.5925925925925992,-0.17132795530774309,2.751466666246114,0.8378378378378295,0.5041447930062708,1.0,0.19047619047619907,0.7936507936507994,36.12542748422523,0.331576,1.0,0.7936507936507994,1.0,0.007238267686150986,0.07241496317541517,0.24919340624449163,0.1943200299011585,0.01208029670980786,0.3818693807718378,-0.13037382007561524,0.031750619764899055,0.6932562682706763,-0.00851089326529951,0.010228637617745775,0.23666311202712098,0.23609987228852178,-0.1977003112080117,0.33092531367861283,0.07894502040667317,-0.02748055912915634,0.5431457213153534,0.0,1.584962500721156,-0.1713279553077422,-0.13756613756613376,1.129815195730103,-0.2328042328042333,-0.03169543919598775,0.7338485748989222,-0.19046502203588797,-0.44736842105260405,1.0,-0.9569377990430353,-0.21393617740794468,-0.008612689024830075,-0.4398875977823643,-1.4249729938926015,0.03256942457286607,-0.20220379793024368,-0.005164081354272265,-48.24541142241401,-1.750888243887411,-0.03023194658827139,-0.005113424947804992,-0.07380866897597597,55.459193638149884,6.100677796780918,5.9368,0.32999999999999935,0.6523030078046229,0.8130922666795689,100000.0,0.668424,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1755150120000000000,1755150240000000000,207.64,206.83,2882.88,-2932.5664368,2.0,False,0.0,-2932.5664368,-0.9775221456,0.5
SOLUSDT:15:1755039600000000000:-1:1755176580000000000:1,SOLUSDT:15:1755039600000000000:-1,SOLUSDT,1,1755176580000000000,1755174960000000000,192.42,189.99,196.99,1.8806584362140173,191.0,1.584962500721156,15:1755039600000000000:-1,OBSERVED_OPPOSING_STRUCTURE,191.0,192.448805537615,198.72,190.0,INVENTORY_REJECTION,-2.5569620253164485,-0.23082443408165032,-1.0,-0.5406360424028404,-5.088607594936682,-0.10914088357873171,-0.4652777777777782,-0.7661870503597206,-14.582278481012557,-0.11723193073803094,-0.3310344827586201,-0.6905370843989783,-13.886075949366978,-0.08598181042351753,-0.16191881918819193,-0.6950220541902978,0.0,0.0,1.7615384615384593,-0.2336448598130856,0.44859813084108824,0.9699284843204631,0.7093415434893403,-0.18653540710666877,0.03866598191107706,-3.8483755138896125,-2.8807699294541855,-0.3739281473365105,-1.6678207964988678,-4.740961337513125,-14.689290359878576,-0.34764625742355637,0.10701187886601993,-1.0,0.0,-4.154051383399208,5.019925341003349,0.0,3.332204510175204,1.2658227848101165,-0.21013724922187066,2.370098587594731,0.8160621761658047,1.1463587488124851,1.0,1.7974683544303496,3.075949367088556,100.0,0.09442222222222305,1.8806584362140173,5.7848101265822605,1.0,0.1583115457431394,0.05650088938102998,0.34097037287791154,0.22664605261557025,-0.3454223312860971,0.15632266417227333,0.3901274287895233,0.36810882690584035,0.26469753108775734,-0.09227933454183541,-0.037627274298323694,0.16916005933038722,0.3199943459232304,-0.16192580108792226,0.21885104301149783,-0.15769824814454494,-0.30416479509054867,0.3308687237107847,0.0,1.584962500721156,-0.21006160701795012,0.392405063291139,2.370011777294243,-0.7594936708860628,-0.02912311947067795,1.3148987131398702,-0.19909339676105245,-1.0,1.0,-4.609195402298982,-0.09756317166976353,0.025472064823111745,-0.4794121926376995,-6.424945199040045,0.06494057648849591,-0.2810622039865188,0.17192132040778713,-129.17464863701156,-17.800998251007304,-0.08421700306758859,-0.19765161166510584,0.08041968092707488,-249.9618154910621,-2.1740470496012243,1.3819000000000001,3.7134,1.375284425010613,1.404057779962812,97067.4335632,0.9055777777777769,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1755176580000000000,1755176700000000000,192.44,189.97,1084.65,-2886.47600325,2.0,False,0.0,-2886.47600325,-0.9912270598187233,0.5
ETHUSDT:60:1755237600000000000:-1:1755263160000000000:1,ETHUSDT:60:1755237600000000000:-1,ETHUSDT,1,1755263160000000000,1755261060000000000,4618.79,4582.99,4665.83,1.3139664804469198,4603.45,3.584962500721156,60:1755237600000000000:-1,OBSERVED_OPPOSING_STRUCTURE,4603.45,4621.877307971718,4670.23,4583.0,INVENTORY_REJECTION,-0.2877539813289276,-0.18382706089444523,-0.453287197231835,-0.2567164179104927,-2.264689730917062,-0.1720999069785247,-0.4225409836065378,-0.7990314769975942,-1.3047775947281808,-0.06058412262263682,-0.03897893562569715,-0.17941075318124167,-3.2564524986270813,-0.0740237589744302,-0.04017778500480994,-0.17941075318124167,0.0,0.0,1.152764018228661,0.3368869936034247,-0.3134328358209766,0.34793419535539605,0.42961412041510244,-0.3290662760452273,0.5743831619607503,-0.44089941528491217,-1.4144133462690167,0.1267648570779436,0.2748211521727472,-0.8093701630229654,-1.176785651361929,-1.4553195678940969,-0.12799194336625175,0.0,1.0,-0.8218166014776043,2.0171227772805778,0.0,3.58351893845611,2.246018671059833,0.09848012222570808,3.7851526841089167,0.7702905061395597,0.4964420832873894,1.0,1.6847885777045706,3.931905546403087,77.50947759045157,0.15421977653631203,1.3139664804469198,5.166392092256987,1.0,0.055022469754074654,0.09567192587052098,0.2230416268083222,0.3564442256206635,-0.08383128037232254,0.30807049442435114,-0.15166716460427856,0.01647499962254667,0.8536019803798444,-0.014640948858573942,0.04211674740580724,0.16303168358507283,0.26646154310095876,-0.062070980049712385,0.2796208949584248,-0.06707920105877166,-0.04261242934821614,0.6160287145069773,0.0,3.584962500721156,0.09848894676272499,5.59582646897306,3.7851622504153752,2.8841295991213802,0.004252958845575636,2.4819029873803315,-0.10828985202491452,-0.14986313868613116,1.0,-0.12721490231713362,-0.0815258092173056,0.026188392395063376,-2.1374748285999283,-2.25318457325304,-0.006464943517540425,-0.18579292148830417,0.013693014509780277,10.851123523298867,-1.2663889575170233,-0.03671349834229066,0.07684150301933164,-0.13742562564196842,6.289234287351064,-4.6758725884910035,-4.1389,1.8184000000000007,0.7550243280859169,0.6459324116250489,94180.95755995001,0.845780223463688,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1755263160000000000,1755264960000000000,4619.39,4582.42,67.191,-2793.19067786,30.0,False,0.0,-2793.19067786,-0.9885900328567024,0.5
BTCUSDT:60:1755198000000000000:-1:1755271860000000000:1,BTCUSDT:60:1755198000000000000:-1,BTCUSDT,1,1755271860000000000,1755270600000000000,117065.9,116900.4,117480.7,2.5063444108761503,117004.0,3.584962500721156,60:1755198000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,117004.0,117126.66406850379,117547.0,117227.1,INVENTORY_REJECTION,-0.03866525423730444,0.0958781006200718,-0.028616228929843827,0.0503759398496022,-1.9274364406780569,0.013809862050917807,-0.3030227329502997,-0.5499355670103208,-3.594279661017063,-0.12473760101683554,-0.16420655277549706,-0.6958160919540337,-10.010063559322312,-0.08499340457079062,-0.13015033503433113,-0.8474380851358263,0.0,0.0,2.477641603179849,0.29290254237281516,-0.6308262711863847,0.7346963944780779,0.8815788152379005,0.19537797730209522,0.08355952832398744,0.008542204468220405,-0.9040867896703553,0.7312616192717609,-0.8272016613763737,-1.9285346457756538,-3.5315364687126216,0.0010982050975969493,-0.06274319230444148,-1.0,0.0,-0.903094606542858,3.0524276172305362,0.0,3.091042453358316,0.5481991525423856,0.02100320582102715,2.643003356380941,0.886003683241263,0.7171900954789329,1.0,0.32786016949150215,0.8765889830508677,14.137336320824426,0.8482161933534742,2.5063444108761503,2.197033898305151,1.0,0.0009912927263318516,0.1444327948300903,0.05748521485588228,0.4197257342300704,0.6237652443440221,0.12395821738021782,0.0035320468642312396,0.03284072234870631,0.9030033277421878,-0.050688512630830455,0.09658995607926636,0.16602986825385282,0.3130548503294751,0.0403988622903622,0.1991307442103685,-0.07265577135470376,-0.0485743768340547,0.629329395468593,0.0,3.584962500721156,0.021003205821000043,1.4851694915255043,1.1555886173330017,-0.7568855932203257,0.08879789436053755,0.6365334783942157,-0.019728736579122323,-0.2287498226195766,1.0,-2.25961538461533,-0.08293891166421893,0.043496922676402025,0.3321789439372731,-1.906628544253242,-0.01781836669757863,-0.06982014589358591,0.08363000794450359,1.173454647904748,-3.6142746852488847,0.030372483315603785,-0.23325147325404863,0.10851387223721301,-57.0211048838587,-4.887850475019384,-8.3666,-7.3157000000000005,1.1601645226177824,0.895407731155394,91387.76688209,0.1517838066465258,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1755271860000000000,1755272640000000000,117082.0,116883.6,8.401,-2649.5309027999997,13.0,False,0.0,-2649.5309027999997,-0.9664061150979751,0.5
ETHUSDT:15:1755275400000000000:-1:1755284520000000000:1,ETHUSDT:15:1755275400000000000:-1,ETHUSDT,1,1755284520000000000,1755278460000000000,4387.08,4370.99,4430.19,2.679303915475406,4371.23,1.584962500721156,15:1755275400000000000:-1,OBSERVED_OPPOSING_STRUCTURE,4371.23,4388.790609669489,4463.09,4395.92,INVENTORY_REJECTION,-0.1622682660850698,-0.021408502635406085,-0.3321428571428853,-0.39016393442627717,-0.7241003271537724,-0.13279570432968096,-0.23626530031312712,-0.4673859735164424,-2.551363140676088,-0.11536873439836517,-0.25223166156366816,-0.7191621411947335,-3.7766630316248304,-0.035218008591073977,-0.07576128806440297,-0.7339510258107228,0.0,0.0,3.8894242962211374,0.019875776397499247,0.13540372670810485,0.9989520557250304,0.7243363844006357,0.055121684346048874,0.1444840267876511,0.9802468854380741,4.653276823310959,1.0646506575823773,-1.158318923651433,-0.9680060873566634,-2.76065823992366,0.243905760202891,0.20929509924757195,-1.0,1.0,0.21931371386146092,1.4816045409242156,0.0,4.624972813284271,0.010032715376207705,0.03159722692777557,2.6435395033789764,0.8274548225560607,0.9492154573093363,1.0,0.6913849509269461,0.7018538713195209,36.67587552540675,0.32659055313859237,2.679303915475406,1.8804798255179642,1.0,0.030265319336312275,0.01620309094766418,0.36615400555435,0.262234011397599,-0.5027921341519835,0.23056647081047082,0.31514934804118333,0.11348055842934272,0.40933175806352173,-0.036646025912377304,-0.030888605859645948,0.27830105777170216,0.19301914041009777,-0.3537699949617697,0.26418238179435477,0.11699648162518325,-0.027146621608712423,0.6301560292537887,0.0,1.584962500721156,0.03152212372663189,1.6868047982551697,1.0530091583541248,0.2442748091602796,0.03391933824829937,0.6601014456578788,-0.14875146776007045,-0.1850798512360485,1.0,-1.1442163244867467,-0.06813944945796414,-0.0018342627519959782,0.42011599733297433,-0.7280799102034076,0.0053460762411412415,-0.03600637922830088,-0.09678932510137969,2.289140071116691,-2.542060765290987,0.007555759268505161,-0.07209890941165528,-0.04326982498670984,-28.19963001439163,-1.1094002370459766,-4.7558,-3.3856,0.3631352554532565,0.4542163176414473,88738.23597929,0.6734094468614076,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1755284520000000000,1755288060000000000,4387.64,4370.39,120.893,-2614.7965104,59.0,False,0.0,-2614.7965104,-0.9822133910836547,0.5
SOLUSDT:60:1755324000000000000:-1:1755339780000000000:1,SOLUSDT:60:1755324000000000000:-1,SOLUSDT,1,1755339780000000000,1755338400000000000,186.01,185.27,186.84,1.121621621621668,186.01,3.584962500721156,60:1755324000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,185.82744577883776,186.01,186.85,185.34,INVENTORY_REJECTION,-0.12500000000002665,-0.12422029172968604,-0.07246376811595874,0.39726027397259744,-1.72499999999997,-0.045055997998345206,-0.27710843373494415,-0.1707317073170811,-5.4999999999999645,-0.13655454733581524,-0.2310924369747887,-0.5408805031446615,-1.5499999999999894,-0.03049846499183824,-0.020381328073635675,-0.6564705882352989,0.0,0.0,1.4367346938775618,0.5849056603773616,0.3396226415093925,1.4103270341908978,1.0677280786496801,0.8646049510328966,-0.03976442386059996,0.5376344086016616,1.074287837816712,0.8051983325254285,-1.161369965715836,-1.9616969085232419,-5.200712479180732,0.23669690852327196,-0.2992875208192327,1.0,1.0,-2.9328083989501605,1.6094379124341003,0.0,3.1780538303479458,1.8249999999999484,-0.19485324781876967,3.321977258939605,1.0,0.982201536141406,1.0,0.0,1.8499999999999255,39.7828073759465,0.30103783783784566,1.121621621621668,2.075000000000002,1.0,0.06535082145224827,0.08374760825900496,0.5417375419889527,0.0007949912982800804,-0.19084406702382312,0.3000842736383426,0.6358071487861355,0.050005376633056015,-0.39077622586490945,-0.03883538856501178,-0.04802591931496188,0.20393661065233246,0.24573534238924583,-0.290431626773603,0.24281425393851927,-0.15514267809951926,-0.04003957976827935,0.3710487054287183,0.0,3.584962500721156,-0.19485324781876975,-0.47499999999998754,2.2930429222582505,1.6249999999999911,0.06572233981369245,1.111285217199374,-0.11047385826682168,-0.10000000000002843,1.0,-2.064986737400452,-0.16258161737376567,0.012934715254316697,0.33998673740048213,-1.6461962052984607,-0.07561226012231673,-0.2333246802295875,0.1882686822312421,12.884125601644314,-5.4648083634862665,-0.002920706668359332,-0.28278371743001957,0.1462291700942043,-74.11767732051544,-4.7354050450543195,-6.6838,-1.3818000000000001,0.8588985935861038,0.9603194014704981,86123.43946889,0.6989621621621543,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1755339780000000000,1755342180000000000,186.04,186.84,2569.95,1720.8693594,40.0,False,0.0,1720.8693594,0.6660476211092421,0.5
BTCUSDT:15:1755347400000000000:-1:1755387780000000000:1,BTCUSDT:15:1755347400000000000:-1,BTCUSDT,1,1755387780000000000,1755381780000000000,117280.1,117137.29999999999,117484.9,1.4341736694675302,117268.5,1.584962500721156,15:1755347400000000000:-1,OBSERVED_OPPOSING_STRUCTURE,117268.5,117289.81411672647,117485.0,117307.7,INVENTORY_REJECTION,0.903137789904625,0.6208158343382262,0.4603616133519958,0.996204933586669,-0.3956343792632858,0.12481729682027522,-0.04265960576640627,0.1637168141594958,-5.0259208731238685,-0.10918045537408316,-0.1700831024930881,-0.5914563106795665,-11.68894952250961,-0.1767591730580937,-0.12037765538946178,-0.5120533424516687,0.0,0.0,3.0276434001383183,0.9948186528501941,-0.0051813471498058945,0.6003336952101748,0.7098330442404219,-0.0673872330158991,0.8453270822440455,-0.41821700289434993,0.5790732656829611,-0.7424631394570196,-0.30328831473874973,0.15649133052461406,-1.8445684086906553,-0.5521257097878999,-3.181352464433213,-1.0,-1.0,0.25032323315161586,3.6686767467964168,0.0,4.61512051684126,3.5770804911323495,-0.1975848703175393,4.991547693966058,0.9464203233256082,0.7280688117946126,1.0,0.3165075034107874,3.8963165075037325,12.175978703975991,0.9849470588234088,1.4341736694675302,5.58799454297354,1.0,0.013277312271699497,0.1118144573277503,0.08671465968586381,0.011714659685863866,0.8933609958506223,0.6308900523560202,0.8424753867791844,0.19919384476304933,0.9149307230051019,-0.08869570878271131,0.04186678434378463,0.06599814773709288,0.12219397665446292,0.29960527407195753,0.3509398858493159,-0.15507513160741448,0.02400943591446648,0.8971736222850515,0.0,1.584962500721156,-0.19758459563543002,3.2633015006817603,1.337851061103019,-4.316507503410787,-0.2683010622943127,0.6168200167323646,-0.009578780442104584,-0.058728737690227,1.0,0.5770992366412065,0.093387210786629,0.03348726474674318,-0.9727336159044924,-0.6673231352149223,0.2717132111932645,-0.5702889376616144,0.6951062344818879,-3.594922404168699,-5.112500434861919,0.09052228696461062,-0.3308466086257814,0.22166615325169753,-5.416651924097238,-4.42622089979694,-3.9989000000000003,1.5140999999999998,0.8326487372990526,0.552716646943094,87844.30882829,0.015052941176591172,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1755387780000000000,1755388800000000000,117307.0,117302.3,8.095,-987.6276417500001,17.0,True,-77.94185719488841,-1065.5694989448884,-0.40434017606754924,0.5
