symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,root_low,root_high,entry_kind,pool,shift,delivery_minutes,flow,accepted_pools,owner_15,space_15,flow_15,return_15,resilience_15,owner_60,space_60,flow_60,return_60,resilience_60,owner_240,space_240,flow_240,return_240,resilience_240,cost_fraction,stop_width,body_distance,pool_age,delivery_flow,episode,outcome,net_r,label_end,filled,censored,entry_index,exit_index
BTCUSDT,-1,1704081000000000000,1704073200000000000,1704049200000000000,60.0,42606.2,42832.1,42270.0,1.488269145639641,42606.2,42620.4,limit,42766.7,42462.0,135,0.0652842709098106,0,-1.0,-3.450205361054581,0.11066634749219594,0.8006707624677146,0.6900044149755187,1.0,2.2468750641963453,0.12334401299634667,0.9627804451443773,0.8394364321480307,-1.0,-1.1010675579653755,0.003024411506086542,-0.22951012421969566,-0.2325345357257822,0.16974581673306663,10.167088607594865,1.0013280212483207,400.0,0.0652842709098106,92,2,0.0,1704082860000000000,0,0,-1,10340
BTCUSDT,-1,1704145800000000000,1704141900000000000,1703512800000000000,60.0,43781.1,43915.6,43531.8,1.8535315985129788,43781.1,43813.5,limit,43850.0,43604.7,70,0.009529651139979056,0,-1.0,-5.851122080105312,0.14666671220746785,0.5553514202660974,0.40868470805862955,-1.0,-3.338981682738366,0.13416980689044156,0.8069091180598799,0.6727393111694383,-1.0,-2.582590299071517,-0.06931724111822969,-1.2821882110227267,-1.212870969904497,0.29295903345724905,3.5803413968655224,1.449814126394052,10485.0,0.009529651139979056,100,2,0.0,1704147540000000000,0,0,-1,11418
BTCUSDT,1,1704150600000000000,1704147600000000000,1704145500000000000,15.0,43589.7,43425.9,43760.0,1.039682539682585,43505.0,43589.7,limit,43531.8,43723.8,55,0.07595303649528606,0,-1.0,-1.491910040225672,0.15103391097297506,1.401938203889738,1.250904292916763,1.0,4.051313794354716,0.06572497443743981,0.35509376389946523,0.28936878946202543,1.0,3.0053911969498652,0.061752311583388744,0.9336421705020523,0.8718898589186636,0.2395038461538525,4.678496197650595,0.753968253968274,35.0,0.07595303649528606,101,2,0.0,1704151080000000000,0,0,-1,11477
BTCUSDT,-1,1704268800000000000,1704246900000000000,1704236400000000000,60.0,45375.9,45463.6,44960.0,4.742303306727654,45375.9,45390.0,limit,45338.9,45134.2,370,0.030625617734066024,0,1.0,4.278672562000777,0.12650710573405555,1.5748043433752281,1.4482972376411727,1.0,2.3600268550720034,0.1355710246566849,1.8107525373826348,1.67518151272595,-1.0,-8.030139863719402,0.06294008792552461,0.7285513519351874,0.6656112640096628,0.46565917901939974,3.7017235314807073,3.9395667046751592,175.0,0.030625617734066024,122,1,-1.0000353528040935,1704274680000000000,1,0,13527,13537
BTCUSDT,-1,1704355500000000000,1704346800000000000,1704337200000000000,15.0,43063.6,43290.1,42765.0,1.318322295805733,43063.6,43123.9,limit,43236.0,42966.9,150,0.08819340839908796,1,1.0,3.002324643615692,-0.018176267064341275,0.0347491278196258,0.05292539488396708,1.0,9.978019002695452,0.12032480890261954,1.4316640661685944,1.311339257265975,1.0,5.9282012060281675,0.06792000414857957,0.21390018680081335,0.14598018265223378,0.17111364238410595,6.774000598145728,0.8141280353200947,160.0,0.08819340839908796,137,2,0.0,1704356340000000000,0,0,-1,14898
BTCUSDT,-1,1704398700000000000,1704396000000000000,1704384000000000000,60.0,44314.2,44437.6,43904.3,3.3217179902754403,44314.2,44385.9,limit,44343.1,44033.3,50,0.03135995658171964,0,-1.0,-0.8566805212439017,-0.026295484361544073,0.1411003211460544,0.16739580550759847,-1.0,-5.220711882404013,0.012423683773420546,0.4505131682306239,0.4380894844572033,1.0,2.466735971464058,0.009513136565970734,0.011338418663522228,0.001825282097551494,0.3231991896272247,2.408411876163931,2.6110210696920038,200.0,0.03135995658171964,144,2,0.0,1704398880000000000,0,0,-1,15607
BTCUSDT,-1,1704536100000000000,1704532800000000000,1704529800000000000,15.0,43704.1,43765.1,43579.1,2.0491803278688523,43704.1,43734.8,limit,43749.7,43625.0,60,0.1283131126866215,0,1.0,4.093570805013086,0.11133964135240675,0.37474910321028493,0.26340946185787817,1.0,3.6625069458558612,0.12831311268662157,0.5119523267900271,0.3836392141034055,1.0,5.971923892005666,-0.02550617204982061,-0.008959165718825475,0.016547006330995137,0.6448145901639344,2.418995059566093,1.4278688524589926,50.0,0.1283131126866215,162,1,-1.0000436009901976,1704537840000000000,1,0,17909,17923
BTCUSDT,-1,1704595500000000000,1704588600000000000,1704500100000000000,15.0,44066.3,44268.0,43824.2,1.2002974714923615,44066.3,44073.7,limit,44214.6,43906.9,120,0.09942947509722966,0,1.0,3.434734316529335,0.11747107951851574,1.081684986250283,0.9642139067317673,-1.0,-2.7764956803466907,0.11730644847507889,0.65567540161807,0.5383689531429912,1.0,5.170300440202475,0.002829532456488898,-0.36192872051787844,-0.36475825297436737,0.19662702032722146,8.009397905325875,0.6613782845810777,1475.0,0.09942947509722966,168,1,-1.0000183303695158,1704633600000000000,1,0,19024,19519
BTCUSDT,-1,1704666300000000000,1704656400000000000,1704645900000000000,15.0,44148.4,44263.0,43912.0,2.062827225130929,44148.4,44167.1,limit,44180.5,44025.2,170,0.0523196455398145,0,-1.0,-3.886974419050835,0.13740143210254913,1.6388259869666453,1.501424554864096,-1.0,-0.8906402734135394,0.13549245484235634,1.1593885817218517,1.0238961268794953,1.0,5.801132748605029,0.04715460018740781,0.27862435972715605,0.23146975953974824,0.3467151832460777,5.313242538394615,1.1937172774869516,175.0,0.0523196455398145,176,2,0.0,1704666720000000000,0,0,-1,20071
BTCUSDT,-1,1704788100000000000,1704784800000000000,1704777300000000000,15.0,46858.5,46950.0,46708.7,1.637158469945387,46858.5,46870.6,limit,46860.0,46740.8,60,-0.0024269871507092144,0,-1.0,-1.5363306172727846,0.009581450400820167,0.6296436956035896,0.6200622452027694,-1.0,-14.127855292853983,-0.0024269871507092513,0.2086819105429105,0.21110889769361973,-1.0,-7.600024278683749,-0.020717241062301932,0.05014662289986385,0.07086386396216579,0.46090327868852454,3.187597979446047,0.9562841530054644,125.0,-0.0024269871507092144,189,0,0.9801838986605989,1704789720000000000,1,0,22100,22121
BTCUSDT,1,1704996300000000000,1704994200000000000,1704956400000000000,60.0,46077.7,45599.9,46587.6,1.0671829217245838,45841.2,46077.7,limit,45610.1,46330.6,40,0.010683616045931599,0,-1.0,-4.74865125260655,0.06418139448080669,0.020680893227427062,-0.04350050125337963,1.0,0.6459685837577022,-0.0032453341021969786,0.1439708336217409,0.1472161677239379,1.0,1.3034707425845453,-0.005205120998679719,-0.5781812115122293,-0.5729760905135496,0.08679349100041937,3.2709597918853195,0.5510673922143268,630.0,0.010683616045931599,223,2,0.0,1704998280000000000,0,0,-1,25597
