symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,entry_kind,pool,shift,rr,cost_r,scale,sweep_depth,shift_size,event_effort,flow,flow_resilience,retracement,event_minutes,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1763386200000000000,1763364300000000000,1763319600000000000,94904.65,95980.20000000001,93730.1,94898.4,94910.9,limit,95544.8,94862.0,1.0920459299892793,0.0794144251778147,60.0,2.72437290919026,2.0271637612834907,1.5398189459521887,0.0932715465659645,5.433081035136272,2.2940934754506124,370.0,5.552012882477923,0.8667318026379983,7.208666934999515,0.30663968904743516,0.5483929787950603,1.542844522527107,1.0,86
BTCUSDT,-1,1763421600000000000,1763419500000000000,1763414100000000000,92224.2,92371.0,91480.1,92206.9,92241.5,limit,92227.7,91875.4,5.068801089918096,0.5654072207084356,15.0,0.7048589262080717,0.198856847896666,0.6540093705859799,0.1421344263279565,1.6894158979879157,1.9157199307275488,40.0,0.7038744863670132,0.16052986079927314,1.7734683736925658,0.07031204262045301,0.1796180035910333,0.9229476316203107,1.0,92
BTCUSDT,1,1763469900000000000,1763468100000000000,1763465400000000000,91226.65,91056.0,92186.0,91176.7,91276.6,limit,91188.0,91564.3,5.621740404336586,0.4811250219748186,15.0,0.6691240638913257,1.036914015613261,1.6101980014002122,0.055367503293988735,2.458793877028603,2.749800597667256,35.0,1.2621536550126697,0.1428243398392621,2.2955165952300094,0.07853584879462484,0.24026611281830768,2.5399465896690874,1.0,105
BTCUSDT,1,1763476500000000000,1763473200000000000,1763468100000000000,91260.4,90887.9,92335.29999999999,91198.9,91321.9,limit,91056.1,91859.0,2.885637583892602,0.22049492617449662,15.0,0.7183631610164388,0.7730630328843849,2.9152914468344338,0.06695701112552012,3.7650254188769567,3.331136728211152,60.0,3.8319824300024767,0.5882700255854948,2.452947379080438,0.10228447200541525,0.6455099364789461,1.8036513032889885,1.0,107
BTCUSDT,1,1763504100000000000,1763501700000000000,1763499600000000000,92484.75,92420.2,93575.9,92420.3,92549.2,limit,92616.0,92958.5,16.903950426025485,1.2894852827265102,15.0,1.0449044461625858,0.3897701817571278,1.126298186193187,0.027647358808208157,0.6798122176687704,2.919271875009721,45.0,0.37855761488463135,0.051298748281592796,-3.0129768981581964,-0.10121428443312752,0.15422598923761477,2.5605484088960737,1.0,111
BTCUSDT,1,1763556600000000000,1763555100000000000,1763550000000000000,91378.7,91165.9,91784.5,91323.0,91434.4,limit,91188.0,91562.4,1.9069548872180326,0.38647006578946835,15.0,0.14817349576392475,0.0020205476695276665,0.9589112742184606,0.12242951611036319,1.8617482953464977,1.2392692372982796,30.0,0.5543035773350654,0.06384299123419204,1.3200911440786023,0.05088530037904295,0.21568006246926058,0.4766062787939304,1.0,119
BTCUSDT,1,1763565000000000000,1763561400000000000,1763555400000000000,91646.8,91006.29999999999,92835.79999999999,91588.1,91705.5,limit,91166.0,91863.2,1.8563622170178897,0.12877770491802984,15.0,0.609298014046103,1.1872912429093427,3.115843178744092,0.052746177167745996,3.6099136892220174,2.013432159197365,65.0,3.842471498354513,0.4887583159326012,2.6212031105515896,0.12657621119385853,-0.1991637178988377,2.762018549922879,1.0,121
BTCUSDT,-1,1763566500000000000,1763564700000000000,1763559900000000000,92013.1,92348.3,89966.1,91852.0,92174.2,limit,91863.2,91006.4,6.106801909307929,0.24705187947494248,15.0,1.4778896298407684,1.0080121434047609,4.941939733921546,0.04501465727503424,2.9869444802333462,4.0756234637361395,35.0,2.303679505483754,0.29522024367385996,2.6410040045010095,0.13179544106688912,0.7726107086456482,3.850478108474099,1.0,122
BTCUSDT,1,1763587500000000000,1763572800000000000,1763452800000000000,89691.5,88564.29999999999,92348.09999999999,89640.0,89743.0,limit,89299.7,90098.5,2.3568133427962774,0.0716131564939666,60.0,2.854060728866903,1.2001571839597913,1.2261905515166875,0.02349923283234183,4.1875309381831265,2.779924240465741,250.0,4.845265888541478,0.6350409523325378,3.686640664052471,0.14218562874251664,-0.4025227767906516,2.494338933257553,1.0,123
BTCUSDT,1,1763614800000000000,1763612400000000000,1763610300000000000,92278.55,92093.4,93002.9,92244.1,92313.0,limit,92330.0,92692.3,3.912233324331391,0.448558979206028,15.0,1.3239430824166298,1.3681678196305143,1.9143716807538678,0.17969262633223226,2.649011134957945,3.684368455359396,45.0,2.9787319837373243,0.3479369646243481,6.082860690714158,0.19751336023558025,0.10371077201559986,2.8376641440968164,1.0,124
