symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,phase,scale,rr,cost_r,sweep,impulse_volume,impulse_flow,test_effort,test_result,acceptance,test_flow,width_atr,slope_atr,overshoot,reaction_volume,range_location,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode,entry_fill,exit_fill,entry_ts,exit_ts,reason,net_r,unit_risk,hold_minutes,fee_r,funding_r,censored
BTCUSDT,-1,1763337600000000000,1763336700000000000,1763334900000000000,94221.7,94528.90000000001,92922.90000000001,92864.90000000001,94404.5,rejection,15.0,4.227864583333135,0.33738238932290393,1.0,0.6804505443148151,-0.22779469290639986,1.3268162479332177,0.3525390624999961,0.5950520833333203,-0.05510747747335549,2.56325545578471,0.03213226181907204,0.08073525591062848,0.7620418844425896,0.26913121764573694,-0.10821746208496173,-0.019585392310473907,-0.3782616520877383,-0.027621085391946815,0.01984782522394965,0.24439257271325762,1.0,86,94202.85566,94547.80578000001,1763337600000000001,1763339220000000000,stop,-0.9785502680344771,439.32542000001166,26.999999999983334,0.21481873441331373,-0.02144980189090299,0
BTCUSDT,-1,1763340300000000000,1763295300000000000,1763293500000000000,94674.0,94997.6,93741.67692307693,93943.6,94898.07692307692,rejection,15.0,2.881097271084844,0.3218213844252105,1.0,1.5605524593332236,-0.012654487006401594,0.8641290366474114,0.7694684796044361,0.6924503185318848,0.12155681963988156,3.527344091859192,0.10660321677980744,0.10416498766944633,1.400588805193461,0.15592615799874704,-1.3259734515939676,-0.13760834547825715,-1.4139282123184382,-0.04146346749897124,0.1071437332063708,-0.06988436958464145,0.5,79,94655.0652,95016.59952,1763340300000000001,1763340780000000000,stop,-1.0000000709073598,456.37012000000584,7.999999999983333,0.2078046484726011,0.0,0
BTCUSDT,1,1763397000000000000,1763377200000000000,1763370000000000000,93450.5,93015.9,94367.9,93435.83214285715,96213.29642857144,rejection,60.0,2.110906580763879,0.23652910722503137,1.0,2.8258533692230485,-0.43862015877331373,0.42786908854198624,0.2676023930050652,0.03375024653209629,-0.15922415394130296,4.3581669591865255,0.048788336672296276,0.15115663053402004,1.4314552265741987,0.1450170215606436,-1.620113500110356,-0.5256860648643051,-3.0985357178381743,-0.20681168375522277,0.12383942421198535,0.5322445637506839,1.0,86,93469.19009999999,94367.9,1763397000000000001,1763398380000000000,target,1.4741863183441575,565.1264800000058,22.999999999983334,0.11609467503628448,0.0,0
BTCUSDT,-1,1763403300000000000,1763362800000000000,1763355600000000000,92780.1,93175.5,91606.76000000001,92916.96,95537.36000000002,acceptance,60.0,2.9674759736975562,0.2581135811836154,0.0,2.426235286478865,0.2902583230692257,0.38398666247791347,0.050581689428427654,0.3461305007587319,0.09783437072422,3.359743274087768,0.00041028768421122897,0.13809342085177811,1.444992288989815,0.9349165485522546,1.3961320604312848,0.6426842943988457,1.6097380860239576,0.12121416916883045,-0.31722023879641853,0.20372362540075162,0.75,86,92761.444,91606.76000000001,1763403300000000001,1763408820000000000,target,2.073908643608541,525.5689199999943,91.99999999998333,0.12310863815919845,0.0,0
BTCUSDT,1,1763410800000000000,1763168400000000000,1763166600000000000,91607.7,91249.9,92438.79999999999,91325.22777777817,92813.1111111115,rejection,15.0,2.322806036892075,0.28163351034097034,1.0,2.2946781110972836,-0.24102580219606684,0.45053981822983163,0.12241475684740792,0.7894695981604913,-0.04743125193465249,2.555172042035785,-0.016343163509708554,0.0505602664488733,1.4529296685241895,0.11398980242192387,-1.0090973252160746,-0.4099344216547875,-2.5064287715330944,-0.21096832945461444,-0.04804291414176909,0.1738605202983776,1.0,64,91625.92152,91231.65002,1763410800000000001,1763426820000000000,stop,-1.0187661584290426,485.8003200000029,266.99999999998334,0.18820239922855436,0.0189720747816715,0
BTCUSDT,1,1763432700000000000,1763430300000000000,1763428500000000000,91312.3,90699.9,91974.59166666669,90914.49166666668,92011.91666666669,rejection,15.0,1.0814690833877803,0.16401621489222498,1.0,9.08078228295109,-0.25057397279513616,0.3309915666757712,0.6574134552580014,0.6495890485521131,-0.16050694627826917,2.3441472385628357,-0.07972781345363081,0.1954499548184911,5.675860975786086,0.36644921898378424,-1.1643571631232912,-0.24524227291131886,-1.5601659731154993,-0.10960055220431453,-0.8990989022094317,0.3627501195924583,0.75,94,91330.66248,90681.76002,1763432700000000001,1763434800000000000,stop,-1.0001353475184118,739.8085400000086,34.99999999998333,0.12301319372441814,0.0,0
BTCUSDT,-1,1763436300000000000,1763335800000000000,1763334000000000000,90176.4,90519.1,89679.57166666663,90453.16666666663,92000.35666666663,acceptance,15.0,1.449747106312666,0.2894486139480497,0.0,6.572951657399334,0.23851189701136022,0.5741568278115865,0.5091917128683807,0.8076062639819792,0.2244410056080002,2.579131035157223,0.03639012047484979,0.26659083025784175,3.0990794035705966,0.9408637294635476,1.8935198280981056,0.48632101725390525,2.904375029928083,0.21536198563676381,1.2566773880846176,-0.4746907070489085,0.25,86,90158.26474,89679.57166666663,1763436300000000001,1763436900000000000,target,0.8859541281475138,469.18685000001165,9.999999999983334,0.13430693273550134,0.0,0
BTCUSDT,1,1763437200000000000,1763186400000000000,1763179200000000000,90643.4,89666.0,91667.7,89981.81212121209,93036.84848484845,rejection,60.0,1.0479844485369438,0.1020132392060575,1.0,2.6020285978259783,-0.19750116007496255,2.068966776991291,0.6614487415592427,0.6768854908818381,-0.04126044343181609,3.3173758460186464,-0.05701810687152633,0.10334152646101291,4.722001533540801,0.36612595062375625,-0.6378407128457098,-0.20105421686747046,-1.4248801215460254,-0.14171238498423241,-0.07982344728203739,1.362647612045619,1.0,65,90661.42866,89648.0668,1763437200000000001,1763441280000000000,stop,-0.9999094139470163,1103.6165799999942,67.99999999998333,0.08169028026925844,0.0,0
BTCUSDT,-1,1763454600000000000,1763451900000000000,1763450100000000000,90797.8,91153.0,90336.3,89459.53333333333,90838.59999999999,rejection,15.0,1.2992680180180287,0.28118688063063296,1.0,0.689925394119043,0.16603741324155974,0.8086691836803671,-0.12021396396395675,0.11486486486483304,-0.036767555231081814,2.6888009490114118,-0.06232621362520351,0.22790776370492347,1.340971012037923,0.16586482320519044,-1.3544740543929865,-0.5395728155340027,-1.7613816910013547,-0.1420663626356372,-0.2617045352877963,0.1166760206592084,0.5,102,90779.54046,91171.2306,1763454600000000001,1763454960000000000,stop,-1.00020715429836,482.5655599999971,5.999999999983333,0.18852440594807585,0.0,0
BTCUSDT,-1,1763470500000000000,1763398800000000000,1763397000000000000,91460.2,91859.1,91056.20000000001,88966.96666666665,91616.10666666664,rejection,15.0,1.0127851591877077,0.252209125094003,1.0,4.195560938542006,-0.34067945958010015,0.22672667301794902,0.7733767861619284,0.3908414807386419,-0.12751095755242933,3.8136953859112097,0.07137524526203935,0.09168761686183263,2.2778558099440582,0.39286769776376773,0.03915705266493044,0.01379590180563837,-0.2696366163287636,-0.03143514089589306,0.05694859990814839,0.016694928212013585,0.5,90,91441.90796,91056.20000000001,1763470500000000001,1763472960000000000,target,0.6103213531201973,527.2235100000087,40.99999999998333,0.12126203169505652,0.0,0
