symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,phase,scale,rr,cost_r,sweep,deep_sweep,impulse_volume,impulse_flow,test_effort,test_result,acceptance,test_flow,width_atr,slope_atr,overshoot,reaction_volume,range_location,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode,entry_fill,exit_fill,entry_ts,exit_ts,reason,net_r,unit_risk,hold_minutes,fee_r,funding_r,censored,predicted_value,nav_before,nav_after
ETHUSDT,-1,1722646500000000000,1722636900000000000,1722635100000000000,2957.09,3002.5,2906.0733333333337,2925.1008333333334,2982.5433333333335,rejection,15.0,1.1234676649783437,0.071631777141599,1.0,0.0,1.6221218992177033,-0.41894865644841506,2.772027704901592,0.8392424576084517,0.5605226455259515,0.09352434102866672,2.2296639094537496,0.1230939056074363,0.3472457965211511,1.4616166129804442,0.9193031358885022,1.1407898733315105,0.45828785279899276,2.0335481954351122,0.1684945164506465,0.306993366357067,1.2412377711060003,1.0,92,2956.498582,3003.1005,1722646500000000001,1722685560000000000,stop,-0.9982433170269849,49.58171299999986,650.9999999999833,0.060098761432466216,-0.0017567745592008946,0,0.0,10000.0,9700.527004891905
BTCUSDT,-1,1722686100000000000,1722678300000000000,1722676500000000000,61894.8,61986.4,61753.799999999996,61444.92156862745,61919.66274509804,rejection,15.0,1.539301310043772,0.7432781659388765,1.0,0.0,1.685279071236227,-0.052892477514309144,0.8431146088852549,-0.1790393013100624,0.2714273482318252,0.041244988498403745,2.900281100380648,-0.014158931845833042,0.1403654416441657,1.6493303890461852,0.1616322204557482,-0.5864816439696177,-0.25276461295421354,-1.4411564563795174,-0.11068362032562415,-0.025340078462435356,-0.15062013097426644,0.25,95,61882.52102,61998.79728,1722686100000000001,1722687600000000000,stop,-0.9994396443431826,178.31683999999854,24.999999999983334,0.34736292517297024,0.0,0,0.0,9700.527004891905,9409.674267100587
SOLUSDT,-1,1722688500000000000,1722686400000000000,1722679200000000000,152.752,153.54999999999998,151.864,148.08697916666665,153.19047916666665,rejection,60.0,1.1127819548872617,0.2105604010025133,1.0,0.0,0.9985200693040717,-0.056031522249936794,1.591548277482558,0.5601503759398717,0.5494726399331497,0.010391965406611801,2.1580339013664527,0.01849984974719085,0.06848649619542352,1.2727805345713754,0.14756554307115768,-0.3725341171948362,-0.3542420587052561,-1.1472021111800212,-0.19477349414889678,0.3038386276628221,-0.6745199219965814,0.0,96,152.7214496,151.864,1722688500000000001,1722690480000000000,target,0.7415128624588929,1.0124113999999733,32.99999999998333,0.10542505230581443,0.0,0,0.0,9409.674267100587,9618.996102118694
BTCUSDT,1,1722701400000000000,1722668400000000000,1722666600000000000,60884.0,60731.9,61240.813333333324,60796.11333333333,61319.353333333325,rejection,15.0,2.3459127766819714,0.44031821170283136,1.0,0.0,10.143694039253019,-0.2638223238537364,0.4647219482337292,0.17291255752796295,0.5778216085908844,-0.07959391995407758,2.680498330613798,-0.06705856423005722,0.12253140687510046,7.530318922625983,0.10599721059972106,-5.793470610219326,-0.7407480186022092,-5.2258549557739125,-0.3157324584481077,0.04634262779657217,-1.5260439158130534,0.0,94,60894.276419999995,60719.75362,1722701400000000001,1722701820000000000,stop,-0.9919853900286737,237.23112999999853,6.999999999983333,0.25631971242560103,0.0,0,0.0,9618.996102118694,9332.738994117359
XRPUSDT,-1,1722704700000000000,1722704400000000000,1722702600000000000,0.5595,0.5627,0.5532,0.5508333333333334,0.5616904761904763,rejection,15.0,1.9687500000000033,0.19232812500000118,1.0,0.0,2.1979154559267076,0.1257644906080123,1.0,-0.0,0.6845238095238473,0.1257644906080067,2.2379024033180897,0.20023337292845908,0.0837719298245504,2.197915455926821,0.6734693877551032,-0.6183677693378914,-0.136363636363635,1.7314297541460866,0.16091954022988292,0.6326363767773769,-0.26055110706341444,0.25,99,0.5593881,0.5532,1722704700000000001,1722705480000000000,target,1.454700228827225,0.00398553999999998,12.999999999983334,0.09793755676771579,0.0,0,0.0,9332.738994117359,9740.029120627178
BTCUSDT,-1,1722722700000000000,1722721500000000000,1722719700000000000,60580.2,60842.299999999996,60121.799999999996,59758.09523809524,60622.95238095238,rejection,15.0,1.748950782144235,0.25424731018695296,1.0,0.0,1.4336364788791907,-0.32145926232557653,1.7554337858868285,0.5425410148798365,0.16311476899040364,-0.05299522758031049,2.358320607312694,0.03428018061505064,0.25350732298204565,1.291918361981176,0.2513912876607184,-1.17035652999838,-0.27031112230759063,0.04853761937086373,0.003186309609051092,0.10745747433474329,0.429782962962587,0.75,100,60569.98358,60854.46846,1722722700000000001,1722737220000000000,stop,-0.9770463799110123,347.09574999999853,241.99999999998334,0.17491492194877137,-0.017483533002060743,0,0.0,9740.029120627178,9454.535314851079
SOLUSDT,1,1722743100000000000,1722741300000000000,1722739500000000000,144.341,143.88,145.717,143.917,147.032,rejection,15.0,2.984815618221186,0.3444145336225502,1.0,0.0,0.8149812897524574,-0.06861931407458965,1.0,0.0,0.9197396963123533,-0.0686193140745897,2.504056821392468,0.21061408899031328,0.008667736757629264,0.8149812897524574,0.6053326927696382,-0.26125793481621873,-0.09304322931576978,1.033777551303598,0.0748370577281199,-0.41384342520288453,0.011921663882567863,0.5,102,144.3698682,143.851224,1722743100000000001,1722744360000000000,stop,-1.0000000695581617,0.6627547000000128,20.999999999983334,0.21744175650507983,0.0,0,0.0,9454.535314851079,9170.899235676343
BTCUSDT,-1,1722770100000000000,1722769200000000000,1722762000000000000,60790.4,60904.6,60591.1,60012.87142857143,60841.52857142857,rejection,60.0,1.7451838879160069,0.5855467600700676,1.0,0.0,2.8102185459789575,-0.10468935646693,0.43299149764478867,0.4483362521891278,0.4477107830873105,-0.09390045399813966,2.148001504988066,0.07791254640028504,0.07599213874426855,1.846199701125125,0.138470873786406,-0.7333185153825295,-0.5363033175355478,-0.04484415099370742,-0.007463652444024069,-0.7318967145401715,0.7116376753804825,0.75,106,60778.24192,60916.78092,1722770100000000001,1722770580000000000,stop,-1.0000000572756929,199.38649999999708,7.999999999983333,0.30517367735529183,0.0,0,0.0,9170.899235676343,8895.772242847965
ETHUSDT,1,1722783300000000000,1722765600000000000,1722763800000000000,2870.2,2850.0899999999997,2899.6066666666666,2858.7866666666664,2902.4816666666666,rejection,15.0,1.4622907342947074,0.15699751367478768,1.0,0.0,11.241451590430371,-0.14053870220286224,1.2673815283153087,0.7558428642466296,0.5675451682413396,-0.0066461273709035595,4.034493462141202,-0.0530915148353629,0.1988023038486432,8.721210476316266,0.26907630522088133,-4.2094646284247,-0.5125351320966705,-3.8484423275442463,-0.25741106719368045,0.8235224051435894,1.160920952018721,0.75,104,2870.77404,2849.519982,1722783300000000001,1722784080000000000,stop,-1.0000000833948302,24.114203000000124,12.999999999983334,0.11860839900037272,0.0,0,0.0,8895.772242847965,8628.899053306684
BTCUSDT,1,1722784500000000000,1722747600000000000,1722740400000000000,59359.8,59220.6,60070.669642857145,59272.06964285715,60147.5625,rejection,60.0,5.106822146962067,0.46907887931033015,1.0,0.0,19.480854297656347,-0.2187717657192656,0.1965535928788455,-1.7262931034481903,0.630246818554984,-0.13462589526825255,2.0468891141062224,-0.17977434190826044,0.05867511360948471,9.985666660862803,0.07543793047345611,-2.598202662589026,-0.8177938038118719,-3.344721253576776,-0.4618414256198247,0.3012184491569283,-1.3691233423736264,0.0,103,59371.67196,59208.75588,1722784500000000001,1722784680000000000,stop,-1.0000000626444865,222.20628000000437,2.9999999999833333,0.26682510467300397,0.0,0,0.0,8628.899053306684,8370.032065490896
