symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,phase,scale,rr,cost_r,sweep,impulse_volume,impulse_flow,test_effort,test_result,acceptance,test_flow,width_atr,slope_atr,overshoot,reaction_volume,range_location,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode,entry_fill,exit_fill,entry_ts,exit_ts,reason,net_r,unit_risk,hold_minutes,fee_r,funding_r,censored,predicted_value,nav_before,nav_after
ETHUSDT,-1,1754787900000000000,1754743500000000000,1754741700000000000,4303.61,4332.0,4260.16,4246.627692307692,4326.003846153846,rejection,15.0,1.5304684748150517,0.1667478337442742,1.0,5.474656267123624,-0.25427283682941426,0.41840670038853306,0.5811905600563512,0.7887934538163497,-0.0092598521208008,4.0430796935488855,-0.0651193291017278,0.07541501516634305,1.542237433589704,0.30434316353887514,-2.1555986822266275,-0.36883388530590133,-1.1236414680982665,-0.05846806254969453,0.049633614384851005,-0.23024867621595507,0.25,86,4302.749277999999,4260.16,1754787900000000001,1754792700000000000,target,1.1495848781964628,34.43492700000033,79.99999999998333,0.08721977656580979,0.0,0,0.0,10000.0,10344.875463458939
ETHUSDT,1,1754795100000000000,1754754300000000000,1754752500000000000,4255.38,4235.99,4311.973333333332,4239.043333333332,4305.23515151515,rejection,15.0,2.9186866082171936,0.24140887055182678,1.0,3.7854945470101917,-0.08121098957599548,1.0,0.0,0.8425305140107104,-0.08121098957599746,2.7400366571152768,0.06973242951799224,0.04597748508694249,3.785494547010098,0.20189603083654706,-1.497685499167359,-0.5803657362849096,-0.5157866589172249,-0.03706568300809151,-0.9775408419892033,1.2854368852393834,1.0,88,4256.231076,4235.142802,1754795100000000001,1754795400000000000,stop,-1.0000000765375598,25.333959000000327,4.999999999983333,0.16758876648533083,0.0,0,0.0,10344.875463458939,10034.529175802025
ETHUSDT,1,1754801400000000000,1754794800000000000,1754787600000000000,4259.41,4204.99,4320.51,4229.22511111111,4353.231777777777,rejection,60.0,1.1227489893421587,0.08609612274898923,1.0,6.20552211790265,-0.1505319783998671,0.2219902215680406,0.4935685409775751,0.5546653599575493,0.03208678641767102,2.477957904787093,0.11072945596790613,0.19535329641774551,1.1131826596385839,0.42845893377431254,0.384862124989515,0.3594624860022686,-0.8176821471739772,-0.12493130610002029,0.2609445929213427,0.04576873937202457,0.5,97,4260.25188,4204.149002,1754801400000000001,1754806740000000000,stop,-0.9998342605726868,60.34508000000007,88.99999999998333,0.0701333139503667,0.0,0,0.0,10034.529175802025,9733.543194041533
XRPUSDT,1,1754814600000000000,1754809200000000000,1754802000000000000,3.1945,3.151,3.2529999999999997,3.189431818181818,3.271359090909091,rejection,60.0,1.3448275862068766,0.08078045977011436,1.0,14.726974010050753,-0.3046361661713223,0.16074228642181784,0.3034482758620742,0.11650992685475585,-0.10095363713840215,3.0169834477271347,-0.06461138542069987,0.4678761651131831,5.170027521087861,0.3433544303797481,-1.4435455644251347,-0.233611442193083,-2.4525544538447557,-0.19727488151658693,0.2054826045832725,1.074485963119816,1.0,101,3.19523892,3.2529999999999997,1754814600000000001,1754878500000000000,target,1.148920828380232,0.04794185000000031,1064.9999999999834,0.04689471641165256,0.008999872218500063,0,0.0,9733.543194041533,10069.035309328721
SOLUSDT,-1,1754880000000000000,1754870400000000000,1754868600000000000,184.89,185.31,183.3777777777778,182.84444444444446,185.2377777777778,rejection,15.0,3.6005291005288926,0.48423571428569595,1.0,3.6127443843230704,-0.0544660077299981,0.2806542580303104,0.6190476190476416,0.8280423280424007,0.0243729995190371,2.9311985852250393,-0.08164898566086537,0.025998142989778504,2.197725986067721,0.09903381642512646,-1.3472082634042524,-0.37162162162160084,-2.3514907870328736,-0.13714285714285626,-0.0008774018983388338,-0.12338274065754137,0.25,108,184.85302199999998,185.347062,1754880000000000001,1754880660000000000,stop,-1.000000061842914,0.6791400000000158,10.999999999983334,0.27255064051594025,0.0,0,0.0,10069.035309328721,9766.964231367905
ETHUSDT,-1,1754886300000000000,1754823600000000000,1754816400000000000,4326.99,4349.68,4288.070000000001,4170.135046296297,4344.860601851852,rejection,60.0,1.7152930806521944,0.20977033935654002,1.0,6.9341090876643205,-0.25449270377471134,0.17089663879008676,0.03569854561482512,0.7875981424350802,-0.011196189342732548,4.0676548647794,-0.010928784699620688,0.027525442015943393,1.5827710602105651,0.24212661471122315,-0.910723435986298,-0.546979865771835,-1.4687510627907934,-0.19557332837347755,0.06336122211684314,-0.23702710056919812,0.0,103,4326.124602,4288.070000000001,1754886300000000001,1754896740000000000,target,1.217992242192699,28.763669000000508,173.99999999998334,0.10501707209187906,0.0,0,0.0,9766.964231367905,10123.846831275296
BTCUSDT,1,1754905500000000000,1754895600000000000,1754888400000000000,121432.8,121090.29999999999,121784.59999999999,121301.46153846153,123676.23076923077,rejection,60.0,1.0271532846714553,0.390003153284655,1.0,1.397759172496522,-0.15834957124868987,1.253752892928241,0.4402919708029095,0.3834699606962499,0.07195368212732174,3.0353733784395436,0.32996608765363733,0.08887665198237835,1.5547074444279243,0.2756843800322131,-0.32874690425467507,-0.343574672722422,-0.5365783452803853,-0.1145617290688781,0.9049537740827741,-0.04975140263761965,0.25,113,121457.08656,121066.08193999999,1754905500000000001,1754908740000000000,stop,-1.0000000668597584,512.2661700000145,53.99999999998333,0.23671597179645215,0.0,0,0.0,10123.846831275296,9820.131406030698
BTCUSDT,1,1754910000000000000,1754874000000000000,1754872200000000000,121167.6,120947.9,121387.9,121006.45000000003,121752.00000000003,rejection,15.0,1.002730996813731,0.6066652708238186,1.0,2.246447002201653,-0.19092454670199277,1.0,0.0,0.7335002275829362,-0.1909245467019813,2.9763244084048255,0.21497561450285171,0.0783984977533713,2.246447002201786,0.1624260355029629,-0.9768715481679958,-0.2522420369034075,-4.476363166983144,-0.28817044023540345,0.8242347140800093,-0.5546129816310623,0.25,109,121191.83352,120923.71042,1754910000000000001,1754910300000000000,stop,-1.0000000564518665,389.1808500000116,4.999999999983333,0.3110578847083468,0.0,0,0.0,9820.131406030698,9525.527447218834
ETHUSDT,1,1754912400000000000,1754904600000000000,1754902800000000000,4207.01,4190.599999999999,4237.279473684211,4205.67947368421,4247.6010526315795,rejection,15.0,1.844574874113895,0.28200554539913375,1.0,9.98627039228989,-0.33647667238626666,0.2539666360074423,-2.4253503960998373,0.08108021424679324,-0.12814493834693672,2.7598397047743415,-0.22650151473439764,0.35946817993496155,1.9581325996390344,0.17504536236525198,-2.7255023939127416,-0.5324074074074012,-4.073111910902959,-0.26380420415298766,-0.3209256614887515,-0.025131000296514147,0.25,114,4207.851402,4189.761879999999,1754912400000000001,1754912940000000000,stop,-1.0000000736259997,22.288327000000763,8.999999999983334,0.18838590446918047,0.0,0,0.0,9525.527447218834,9239.761602762475
XRPUSDT,1,1754926500000000000,1754925300000000000,1754923500000000000,3.1967,3.1763999999999997,3.2290500000000004,3.1784499999999998,3.231075,rejection,15.0,1.5935960591133111,0.17322019704433322,1.0,0.5416439140102243,-0.31060206038624194,1.0575121162369354,0.8620689655172361,0.8990147783251189,-0.06182992074917743,2.1069915817602376,-0.01351277261461388,0.03705463182897639,0.5652744368925079,0.31436699857752487,-1.0129574730362727,-0.28458942632172024,-1.4453661967039346,-0.103113396172523,-0.011421779175050495,0.5900682935137922,1.0,118,3.1973393399999996,3.1757647199999997,1754926500000000001,1754932680000000000,stop,-1.0044764718393429,0.024761170000000207,102.99999999998333,0.12869149680729838,0.004476389856149733,0,0.0,9239.761602762475,8961.32790870109
