symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,root_low,root_high,entry_kind,pool,shift,delivery_minutes,flow,relative_strength,market_direction,market_breadth,episode
ETHUSDT,1,1755120300000000000,1755110400000000000,1755108000000000000,15.0,4717.61,4687.8099999999995,4778.87,2.055704697986572,4716.6,4717.61,limit,4703.61,4748.0,170,-0.020108107529571373,0.6236676742683431,0.25851101075800975,0.5,140
ETHUSDT,-1,1755168900000000000,1755153600000000000,1755145800000000000,15.0,4748.34,4794.01,4669.0,1.7372454565360196,4748.34,4751.96,limit,4788.78,4718.0,260,0.08926957129664348,0.47630211020065527,1.5659038643970913,1.0,143
ETHUSDT,-1,1755175200000000000,1755173100000000000,1755171000000000000,15.0,4719.39,4737.0,4496.0,12.685406019307466,4719.39,4728.0,limit,4723.0,4692.48,40,0.16614455242186787,-0.04539644673351706,5.506070604051072,1.0,147
ETHUSDT,-1,1755202200000000000,1755199800000000000,1755190800000000000,15.0,4553.56,4572.47,4505.01,2.567424643046037,4553.56,4558.13,limit,4564.58,4532.63,45,0.016724342228135014,-0.31472487610011435,1.0919253137238065,1.0,154
ETHUSDT,-1,1755250500000000000,1755239700000000000,1755230400000000000,60.0,4648.42,4666.01,4616.17,1.8334280841387,4648.42,4649.68,limit,4647.99,4622.8,185,0.01995716017180993,0.26370562610304765,0.36328046461868096,0.75,158
ETHUSDT,1,1755289500000000000,1755288300000000000,1755280800000000000,60.0,4381.56,4363.99,4411.67,1.7137165623220612,4381.05,4381.56,limit,4371.0,4407.84,25,-0.0018444730665384546,0.39453058338782554,-0.05377045220998425,0.5,165
SOLUSDT,1,1754790600000000000,1754775000000000000,1754766000000000000,15.0,182.03,179.60000000000002,184.59,1.0534979423868416,181.93,182.03,limit,181.22,183.29,265,-0.0050292068063523265,1.1669638769024215,-0.16878698402492784,0.25,91
SOLUSDT,-1,1754804100000000000,1754799900000000000,1754796600000000000,15.0,184.98,186.14,182.0,2.568965517241378,184.98,185.01,limit,185.95,184.31,75,0.1797835836512166,0.5572889064111977,0.37583435449625197,0.5,98
SOLUSDT,-1,1754821200000000000,1754819400000000000,1754816400000000000,15.0,180.36,180.98999999999998,179.62,1.1746031746032506,180.36,180.41,limit,180.67,179.97,35,0.00985763364474368,0.1367814838875877,0.6718001242714602,1.0,102
SOLUSDT,1,1754859600000000000,1754857800000000000,1754847000000000000,15.0,181.69,181.19,183.3,3.2200000000000273,181.32,181.69,limit,181.26,183.07,35,0.2215922059062969,1.0389449569469982,-1.348502172112157,0.0,105
SOLUSDT,1,1754876700000000000,1754874300000000000,1754859600000000000,60.0,181.95,181.15,183.81,2.325000000000067,181.41,181.95,limit,181.2,183.12,45,-0.018522448026977,-0.06692704439743791,1.1690027882701919,1.0,109
SOLUSDT,1,1754920500000000000,1754919000000000000,1754816400000000000,60.0,177.57,177.13,179.97,5.454545454545496,177.5,177.57,limit,177.42,178.79,30,0.09985634850528702,-0.07568189134245995,0.022862284155207017,0.5,117
SOLUSDT,-1,1754977800000000000,1754962800000000000,1754960400000000000,15.0,175.5,176.67999999999998,173.86,1.38983050847459,175.5,175.59,limit,175.86,174.85,255,0.09226077806610966,0.233296043983802,-0.8722911310914803,0.25,120
SOLUSDT,-1,1754990400000000000,1754988300000000000,1754983800000000000,15.0,175.74,176.42,174.44,1.9117647058824303,175.74,176.28,limit,175.98,175.31,40,-0.07391470226624941,-0.28838458714132553,1.1691518955082083,1.0,124
SOLUSDT,1,1755046200000000000,1755039300000000000,1755036900000000000,15.0,192.08,190.99,194.77,2.467889908256871,192.05,192.08,limit,191.31,193.29,120,0.020473959779021778,0.9877850834574202,0.08743095422664893,0.5,129
SOLUSDT,-1,1755203100000000000,1755199500000000000,1755197100000000000,15.0,194.61,195.12,191.58,5.941176470588344,194.61,194.91,limit,194.6,193.33,65,-0.00686814819096182,0.72539636272796,-0.782131288216068,0.0,153
SOLUSDT,-1,1755250500000000000,1755240600000000000,1755238500000000000,15.0,196.49,197.98999999999998,194.9,1.0600000000000223,196.49,196.97,limit,197.74,196.25,170,0.12320071070376548,0.20127055010081757,0.36328046461868096,0.75,158
SOLUSDT,-1,1755338700000000000,1755329400000000000,1755316800000000000,60.0,187.96,189.54,185.28,1.696202531645591,187.96,188.12,limit,188.25,186.15,160,0.03862550254373176,-0.041224328642740726,0.5475162779807219,0.75,172
XRPUSDT,-1,1754812200000000000,1754797500000000000,1754778600000000000,15.0,3.2407,3.2776,3.161,2.159891598915977,3.2407,3.2438,limit,3.2621,3.2252,250,0.10596218595731566,1.458525910023568,1.4232993137341472,1.0,98
XRPUSDT,1,1754837100000000000,1754832900000000000,1754824500000000000,15.0,3.1623,3.1553999999999998,3.2019,5.739130434782329,3.1569,3.1623,limit,3.1759,3.195,75,0.014740740961182386,0.3848262386060357,0.9801574682201069,0.75,103
XRPUSDT,1,1754901300000000000,1754897700000000000,1754893800000000000,15.0,3.2442,3.2272,3.3156,4.199999999999895,3.2321,3.2442,limit,3.2587,3.2878,65,-0.04566330566460919,2.7968678286885122,0.3732272752454112,0.75,113
XRPUSDT,-1,1754977200000000000,1754965800000000000,1754946900000000000,15.0,3.1515,3.1743,3.1226,1.2675438596491209,3.1515,3.1534,limit,3.1698,3.1415,195,0.11561772441924212,0.14764457928325636,1.6041233003459845,1.0,120
XRPUSDT,1,1755075000000000000,1755065100000000000,1755054000000000000,60.0,3.2279,3.2011,3.2878,2.2350746268656527,3.226,3.2279,limit,3.2055,3.2493,170,0.020007933891504903,0.1133406916736146,0.20954219269712737,0.75,133
XRPUSDT,1,1755092400000000000,1755089700000000000,1755085500000000000,15.0,3.2791,3.2699,3.3366,6.249999999999747,3.2789,3.2791,limit,3.2746,3.294,50,0.045545909453137856,0.09281372929483034,-1.183254406673039,0.0,134
XRPUSDT,-1,1755132900000000000,1755131700000000000,1755126000000000000,15.0,3.2901,3.3049000000000004,3.2701,1.3513513513512987,3.2901,3.2992,limit,3.2944,3.273,25,0.018829270936026377,-0.1309053900717685,1.1762048716235651,1.0,140
XRPUSDT,-1,1755186000000000000,1755182100000000000,1755180000000000000,15.0,3.1128,3.1397000000000004,3.0837,1.0817843866170902,3.1128,3.1197,limit,3.1344,3.0946,70,0.049910198677373896,0.0787584538579671,0.0787584538579671,0.5,150
XRPUSDT,-1,1755207600000000000,1755198600000000000,1755193500000000000,15.0,3.0748,3.0970000000000004,3.0278,2.117117117117103,3.0748,3.0751,limit,3.0846,3.0414,155,0.06779223886311847,-0.45077835710337216,0.8992614546006739,1.0,153
XRPUSDT,-1,1755300600000000000,1755298500000000000,1755288000000000000,60.0,3.0927,3.0966,3.0688,6.128205128204708,3.0927,3.0938,limit,3.0932,3.0731,40,0.06633052647096915,-0.42248015722836385,0.6337316306397834,1.0,166
