symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,rr,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
SOLUSDT,-1,1754820900000000000,180.38,180.99,177.43,102,15.0,1754816400000000000,1754819400000000000,limit,4.88429752066126,10000.0,365.06,2.9999574639384234,1754822820000000000,1754836680000000000,9701.414656730001,-0.995284477566664,231.0
SOLUSDT,-1,1754846700000000000,182.06,182.41,181.05,104,15.0,1754839800000000000,1754846100000000000,limit,2.885714285714388,9701.414656730001,522.15,2.999955164933943,1754847360000000000,1754850960000000000,9402.14632547,-1.0282635466034695,60.0
SOLUSDT,1,1754859300000000000,181.5,181.19,186.12,105,15.0,1754847000000000000,1754857800000000000,limit,14.650793650793785,9402.14632547,545.42,2.999964406869152,1754859900000000000,1754874120000000000,9106.78404793,-1.0471448657060956,237.0
ETHUSDT,-1,1754882700000000000,4301.94,4346.01,4236.37,110,15.0,1754787600000000000,1754877900000000000,limit,1.4881425167366178,9106.78404793,5.664,2.9998418358911056,1754884320000000000,1754885640000000000,8834.27779323,-0.9974478120405232,22.0
BTCUSDT,1,1754937600000000000,119577.49999999999,119201.49999999999,120798.9,119,60.0,1754920800000000000,1754935500000000000,limit,3.2489692778293517,8834.27779323,0.537,2.99507206006135,1754937900000000000,1754941080000000000,8569.927406399998,-0.9974419830620123,53.0
ETHUSDT,-1,1754942100000000000,4299.82,4370.01,4164.24,118,60.0,1754888400000000000,1754928300000000000,limit,1.9318230391109106,8569.927406399998,3.464,2.9997681964140965,1754966040000000000,1755001980000000000,8314.531977859999,-0.9933784205658158,599.0
BTCUSDT,-1,1755060600000000000,119575.9,119798.7,119261.79999999999,132,15.0,1755054000000000000,1755058200000000000,limit,1.409243886021964,8314.531977859999,0.723,2.9994989469726447,1755062760000000000,1755063660000000000,8506.94574644,0.7713954679684647,15.0
ETHUSDT,-1,1755146700000000000,4764.26,4788.79,4716.51,142,60.0,1755129600000000000,1755145200000000000,limit,1.9465960048919893,8506.94574644,8.747,2.99966243271067,1755147720000000000,1755153600000000000,8253.74628175,-0.9921283628575288,98.0
ETHUSDT,1,1755165300000000000,4745.86,4718.95,4793.99,145,15.0,1755155700000000000,1755159600000000000,limit,1.7885544407282732,8253.74628175,7.872,2.9998217045648308,1755166440000000000,1755168180000000000,8007.60654367,-0.9940525981688413,29.0
XRPUSDT,-1,1755185700000000000,3.1162,3.1397,2.9811,150,15.0,1755180000000000000,1755182100000000000,limit,5.763326226012686,8007.60654367,9004.3,2.9999686426302765,1755229020000000000,1755237780000000000,7766.367989729999,-1.0042058244844685,146.0
BTCUSDT,-1,1755260700000000000,119028.90000000001,119053.19999999998,118550.09999999999,162,15.0,1755253800000000000,1755256200000000000,limit,19.703703703689065,7766.367989729999,1.547,2.998671605300631,1755261060000000000,1755261120000000000,7874.03076092,0.4620897495988263,1.0
ETHUSDT,1,1755279000000000000,4397.63,4370.99,4577.22,164,15.0,1755275400000000000,1755278700000000000,limit,6.741366366366255,7874.03076092,7.694,2.9997454224721776,1755283560000000000,1755288060000000000,7637.112571199999,-1.0029517575499007,75.0
XRPUSDT,-1,1755300300000000000,3.0932,3.0966,3.0529,166,60.0,1755288000000000000,1755298500000000000,limit,12.044776119402215,7637.112571199999,32025.7,2.999991381601496,1755308280000000000,1755313440000000000,7413.64132536,-0.9753740642884775,86.0
SOLUSDT,-1,1755323100000000000,187.15,188.26,184.05,169,60.0,1755302400000000000,1755314700000000000,limit,2.7757847533633013,7413.64132536,169.38,2.9999873308415657,1755326940000000000,1755329400000000000,7189.40573714,-1.0082116573086812,41.0
SOLUSDT,-1,1755338400000000000,188.04,189.54,184.05,172,60.0,1755316800000000000,1755329400000000000,limit,2.660000000000075,7189.40573714,127.88,2.999819187081868,1755350280000000000,1755388380000000000,6970.783257,-1.0136325965052095,635.0
