symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,phase,scale,rr,cost_r,sweep,deep_sweep,impulse_volume,impulse_flow,test_effort,test_result,acceptance,test_flow,width_atr,slope_atr,overshoot,reaction_volume,range_location,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode,entry_fill,exit_fill,entry_ts,exit_ts,reason,net_r,unit_risk,hold_minutes,fee_r,funding_r,censored,predicted_value,nav_before,nav_after
BTCUSDT,-1,1763337600000000000,1763336700000000000,1763334900000000000,94221.7,94528.90000000001,92922.90000000001,92864.90000000001,94404.5,rejection,15.0,4.227864583333135,0.33738238932290393,1.0,0.0,0.6804505443148151,-0.22779469290639986,1.3268162479332177,0.3525390624999961,0.5950520833333203,-0.05510747747335549,2.56325545578471,0.03213226181907204,0.08073525591062848,0.7620418844425896,0.26913121764573694,-0.10821746208496173,-0.019585392310473907,-0.3782616520877383,-0.027621085391946815,0.01984782522394965,0.24439257271325762,1.0,86,94202.85566,94547.80578000001,1763337600000000001,1763339220000000000,stop,-0.9785502680344771,439.32542000001166,26.999999999983334,0.21481873441331373,-0.02144980189090299,0,0.0,10000.0,9706.434919589658
BTCUSDT,-1,1763340300000000000,1763295300000000000,1763293500000000000,94674.0,94997.6,93741.67692307693,93943.6,94898.07692307692,rejection,15.0,2.881097271084844,0.3218213844252105,1.0,0.0,1.5605524593332236,-0.012654487006401594,0.8641290366474114,0.7694684796044361,0.6924503185318848,0.12155681963988156,3.527344091859192,0.10660321677980744,0.10416498766944633,1.400588805193461,0.15592615799874704,-1.3259734515939676,-0.13760834547825715,-1.4139282123184382,-0.04146346749897124,0.1071437332063708,-0.06988436958464145,0.5,79,94655.0652,95016.59952,1763340300000000001,1763340780000000000,stop,-1.0000000709073598,456.37012000000584,7.999999999983333,0.2078046484726011,0.0,0,0.0,9706.434919589658,9415.241851354238
ETHUSDT,1,1763348700000000000,1763323200000000000,1763316000000000000,3148.31,3146.8999999999996,3159.9799999999996,2965.3849479166665,3136.3799479166664,acceptance,60.0,8.276595744678765,2.4561283687937876,0.0,0.0,3.768514545070862,0.19072393387550646,0.12420604191217403,-1.6950354609924458,8.461029846333975,-0.0035411896919416413,2.800903769662624,-0.10750420511282237,0.13807451728608072,0.9480663672569843,0.9239682333029564,0.40065561101756153,0.3961775186264652,2.147749947531584,0.3571389660619859,-0.17255551290722365,0.4607538951015479,1.0,84,3148.9396619999998,3159.9799999999996,1763348700000000001,1763349060000000000,target,1.5187224132733728,5.816647000000309,5.999999999983333,0.3793363824553703,0.0,0,0.0,9415.241851354238,9844.216016135471
BTCUSDT,-1,1763386200000000000,1763381700000000000,1763379900000000000,94538.1,95026.40000000001,93730.1,95176.05384615384,95870.86923076924,acceptance,15.0,1.6547204587343747,0.21296725373745526,0.0,0.0,1.4881210112762708,0.30525197904193246,6.533869927773773,1.2725783329919935,1.306479308117609,0.23416174080961194,2.668680809027098,0.020976943232393692,1.044959369395264,4.326522014328102,0.9396203138921215,3.407216935759597,0.8667318026379983,4.423889602759444,0.30663968904743516,0.5483929787950603,1.542844522527107,1.0,87,94519.29235999999,93730.1,1763386200000000001,1763387400000000000,target,1.1645609371022996,620.9951500000029,19.999999999983334,0.10629014764446981,0.0,0,0.0,9844.216016135471,10188.141698999118
SOLUSDT,1,1763393400000000000,1763392500000000000,1763390700000000000,138.76,136.75,143.29000000000002,137.12750000000003,143.56250000000003,rejection,15.0,2.253731343283607,0.07593830845771178,1.0,0.0,3.542898442962774,-0.137784905082332,0.5939400785103235,0.905472636815921,0.8121890547263543,0.016120192920847445,3.475900529970684,0.04726360471988223,0.057109557109562566,2.4340984081924,0.3131618759455354,0.7130052369170594,0.10610932475884143,-1.9391581822214083,-0.14755445951499988,-0.11813202448049506,0.17077658468228685,1.0,89,138.797754,136.72265000000002,1763393400000000001,1763394720000000000,stop,-1.0045428286992715,2.202856999999991,21.999999999983334,0.0625370607352182,0.0,0,0.0,10188.141698999118,9881.10895855407
SOLUSDT,1,1763402700000000000,1763186400000000000,1763179200000000000,132.49,131.51000000000002,136.04000000000002,131.72318181818196,138.2204545454547,rejection,60.0,3.622448979591886,0.148713265306124,1.0,0.0,1.720534289149991,-0.21154872567140504,0.5468073985526801,0.27551020408164595,0.7824675324674091,-0.091041307644185,3.3765507124588106,-0.042519877448060045,0.03127186231987415,1.0296127860728062,0.08234295415959242,-1.491502812261435,-0.6067653276955589,-2.993399372343498,-0.17943925233645008,0.45740127460165936,-0.25242463161890993,0.25,65,132.516498,131.48369800000003,1763402700000000001,1763403300000000000,stop,-1.0000000841346073,1.1647999999999898,9.999999999983334,0.11332425995879221,0.0,0,0.0,9881.10895855407,9584.675664857152
BTCUSDT,-1,1763403300000000000,1763398800000000000,1763391600000000000,92780.1,93175.5,92287.01249999998,93534.53749999999,96029.5875,acceptance,60.0,1.2470599393020498,0.2581135811836154,0.0,0.0,0.42057644207086514,0.17378443685282952,2.1873186786550214,1.8022255943348553,1.9080361659079326,0.09643876295236206,2.1500135591652927,-0.004610157127725366,0.3925522534618482,1.1717659256261075,0.9349165485522546,0.9383177750245776,0.6426842943988457,1.0818789296936022,0.12121416916883045,-0.31722023879641853,0.20372362540075162,0.75,90,92761.444,92287.01249999998,1763403300000000001,1763406360000000000,target,0.779333327967767,525.5689199999943,50.99999999998333,0.12336750144966852,0.0,0,0.0,9584.675664857152,9808.765380358695
BTCUSDT,1,1763410800000000000,1763168400000000000,1763166600000000000,91607.7,91249.9,92438.79999999999,91325.22777777817,92813.1111111115,rejection,15.0,2.322806036892075,0.28163351034097034,1.0,0.0,2.2946781110972836,-0.24102580219606684,0.45053981822983163,0.12241475684740792,0.7894695981604913,-0.04743125193465249,2.555172042035785,-0.016343163509708554,0.0505602664488733,1.4529296685241895,0.11398980242192387,-1.0090973252160746,-0.4099344216547875,-2.5064287715330944,-0.21096832945461444,-0.04804291414176909,0.1738605202983776,1.0,64,91625.92152,91231.65002,1763410800000000001,1763426820000000000,stop,-1.0187661584290426,485.8003200000029,266.99999999998334,0.18820239922855436,0.0189720747816715,0,0.0,9808.765380358695,9508.9802335943
SOLUSDT,-1,1763429400000000000,1763420400000000000,1763413200000000000,131.2,132.34,128.91,123.72545454545453,131.69272727272727,rejection,60.0,2.0087719298245283,0.12659649122806854,1.0,0.0,2.0230463609468208,-0.14843137506123982,1.0236604716033157,0.8421052631578908,0.4322169059011166,0.11291568761168187,3.1874523955971505,0.4422572013973234,0.07998630762209252,1.9998745146538994,0.329446064139948,-0.41607091973563576,-0.19847328244275053,-0.3560606909276086,-0.06809487375669579,-0.008785446411440523,0.5549263469402582,0.75,92,131.163762,132.366468,1763429400000000001,1763432580000000000,stop,-1.0075449460089116,1.3244780000000147,52.99999999998333,0.09948456297499735,0.0,0,0.0,9508.9802335943,9221.558484312603
BTCUSDT,1,1763432700000000000,1763430300000000000,1763428500000000000,91312.3,90699.9,91974.59166666669,90914.49166666668,92011.91666666669,rejection,15.0,1.0814690833877803,0.16401621489222498,1.0,0.0,9.08078228295109,-0.25057397279513616,0.3309915666757712,0.6574134552580014,0.6495890485521131,-0.16050694627826917,2.3441472385628357,-0.07972781345363081,0.1954499548184911,5.675860975786086,0.36644921898378424,-1.1643571631232912,-0.24524227291131886,-1.5601659731154993,-0.10960055220431453,-0.8990989022094317,0.3627501195924583,0.75,94,91330.66248,90681.76002,1763432700000000001,1763434800000000000,stop,-1.0001353475184118,739.8085400000086,34.99999999998333,0.12301319372441814,0.0,0,0.0,9221.558484312603,8944.874286331524
