symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,phase,scale,rr,cost_r,sweep,deep_sweep,impulse_volume,impulse_flow,test_effort,test_result,acceptance,test_flow,width_atr,slope_atr,overshoot,reaction_volume,range_location,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode,entry_fill,exit_fill,entry_ts,exit_ts,reason,net_r,unit_risk,hold_minutes,fee_r,funding_r,censored,predicted_value,nav_before,nav_after
ETHUSDT,1,1763348700000000000,1763323200000000000,1763316000000000000,3148.31,3146.8999999999996,3159.9799999999996,2965.3849479166665,3136.3799479166664,acceptance,60.0,8.276595744678765,2.4561283687937876,0.0,0.0,3.768514545070862,0.19072393387550646,0.12420604191217403,-1.6950354609924458,8.461029846333975,-0.0035411896919416413,2.800903769662624,-0.10750420511282237,0.13807451728608072,0.9480663672569843,0.9239682333029564,0.40065561101756153,0.3961775186264652,2.147749947531584,0.3571389660619859,-0.17255551290722365,0.4607538951015479,1.0,84,3148.9396619999998,3159.9799999999996,1763348700000000001,1763349060000000000,target,1.5187224132733728,5.816647000000309,5.999999999983333,0.3793363824553703,0.0,0,0.0,10000.0,10455.616723982012
BTCUSDT,-1,1763355300000000000,1763343900000000000,1763342100000000000,95144.0,95339.20000000001,94850.1,95412.35555555556,97081.08888888889,acceptance,15.0,1.5056352459015196,0.5361598360655419,0.0,0.0,4.295078323629543,0.31670101333751044,0.19265440442732898,-0.06557377049181427,1.3747723132968694,0.20964630433956094,3.052161540575012,-0.20088834397736266,0.3369954589642255,1.837471447285801,0.4572742955721746,0.4717065606533596,0.15832770581373068,-0.23685924623734567,-0.024565130792722677,0.11736046612676154,0.28419563408685256,1.0,86,95124.9712,95358.26784000001,1763355300000000001,1763363280000000000,stop,-1.0000000594147074,328.5382400000116,132.99999999998334,0.2898950804630737,0.0,0,0.0,10455.616723982012,10141.948203626029
BTCUSDT,-1,1763386200000000000,1763381700000000000,1763379900000000000,94538.1,95026.40000000001,93730.1,95176.05384615384,95870.86923076924,acceptance,15.0,1.6547204587343747,0.21296725373745526,0.0,0.0,1.4881210112762708,0.30525197904193246,6.533869927773773,1.2725783329919935,1.306479308117609,0.23416174080961194,2.668680809027098,0.020976943232393692,1.044959369395264,4.326522014328102,0.9396203138921215,3.407216935759597,0.8667318026379983,4.423889602759444,0.30663968904743516,0.5483929787950603,1.542844522527107,1.0,87,94519.29235999999,93730.1,1763386200000000001,1763387400000000000,target,1.1645609371022996,620.9951500000029,19.999999999983334,0.10629014764446981,0.0,0,0.0,10141.948203626029,10496.27570474776
ETHUSDT,-1,1763396400000000000,1763392500000000000,1763390700000000000,3068.4,3077.9300000000003,3023.2988888888885,3083.3188888888885,3203.3588888888885,acceptance,15.0,4.732540515331648,0.35416998950681317,0.0,0.0,1.4471722674182401,0.07593245680921301,1.3132488086741807,1.313746065057683,1.5654657805758783,0.1385947371301671,3.596849220180929,0.03246073521489509,0.1664352623199632,1.3834468213313174,0.9655501089324622,1.2186259395598025,0.27068219633943474,3.745169810316675,0.23636982545055532,-0.0547471941296791,1.1257134001072897,1.0,89,3067.7963179999997,3078.545586,1763396400000000001,1763396460000000000,stop,-0.9992776361581188,13.8324310000002,0.9999999999833333,0.222171428290512,0.0,0,0.0,10496.27570474776,10181.614897506633
XRPUSDT,-1,1763402700000000000,1763398800000000000,1763391600000000000,2.1594,2.1636,2.1550374999999997,2.2096925,2.3190025000000003,acceptance,60.0,1.0386904761905977,0.5655571428571454,0.0,0.0,0.46027894473015724,-0.10109879960985646,2.615090248885545,9.976190476190427,11.974404761904779,0.029574962204228124,2.116684796773746,-0.07726257743232354,0.5460845302351113,0.7017373085902616,0.9400127632418617,0.991439590109001,0.7975077881619941,1.05146815904138,0.11319574734208807,0.24389037749107534,0.25242463161890993,0.75,90,2.1590681,2.1640327200000002,1763402700000000001,1763402760000000000,stop,-0.9861710203291454,0.007226099999999982,0.9999999999833333,0.2991309849019534,0.0,0,0.0,10181.614897506633,9880.390490944457
XRPUSDT,1,1763417700000000000,1763412300000000000,1763410500000000000,2.1534,2.15,2.1708999999999996,2.084246666666667,2.1448600000000004,acceptance,15.0,5.147058823529196,0.6966882352941035,0.0,0.0,0.27146818360436625,-0.1751164984851613,1.8754462101970018,0.41176470588229913,2.5117647058821686,0.07767956796360607,2.904567072405338,-0.17283004687321538,0.20688517377913884,0.49771984202552516,0.6960276338514688,0.24438999234383263,0.07692307692307847,0.05271156697612452,0.004797208896642462,-0.20519501365303416,0.3004473381708669,1.0,91,2.15383068,2.1708999999999996,1763417700000000001,1763418960000000000,target,2.426279269163624,0.00641238000000007,20.999999999983334,0.23565280597843288,0.0,0,0.0,9880.390490944457,10599.568089527056
ETHUSDT,1,1763429700000000000,1763420400000000000,1763413200000000000,3034.0,3016.7999999999997,3052.79,2869.3255952380955,3005.4627380952384,acceptance,60.0,1.0924418604650967,0.19403488372092717,0.0,0.0,0.9962839776791701,0.2216203522078688,1.2147279893007394,-0.17093023255814,1.6591431339977432,-0.019965625338640748,2.2159849178219724,-0.3149249049494515,0.3198044339041843,1.5934937981223412,0.7594226142742578,0.4232174016155966,0.22538141470179482,0.6159440952743938,0.12511572543314328,-0.3172373085724013,-0.6242688189109208,0.0,92,3034.6068,3016.1966399999997,1763429700000000001,1763430720000000000,stop,-1.0000000802405016,21.435560000000272,16.999999999983334,0.1411393833424441,0.0,0,0.0,10599.568089527056,10281.581021325805
XRPUSDT,1,1763437800000000000,1763434800000000000,1763433000000000000,2.1668,2.1590999999999996,2.1791333333333327,2.106533333333333,2.1549333333333327,acceptance,15.0,1.6017316017314862,0.3095428571428466,0.0,0.0,5.243489254390345,-0.1352280455206678,0.5909317476905371,0.98701298701296,1.5411255411255496,-0.07630203294486287,2.2860740870214356,-0.051956229250488914,0.435261707989001,3.99772386156414,0.8702397743300377,1.128867162806041,0.23828514456630592,0.3400771369122663,0.021466905187834614,0.5009204975796298,2.694537176931359,1.0,97,2.16733338,2.15866818,1763437800000000001,1763437920000000000,stop,-1.0093278865934696,0.01072813000000026,1.9999999999833333,0.201619553454325,0.0,0,0.0,10281.581021325805,9970.256428032975
XRPUSDT,1,1763454000000000000,1763451900000000000,1763450100000000000,2.1752,2.1662999999999997,2.187818518518519,2.1187851851851853,2.1648074074074075,acceptance,15.0,1.4178110694964994,0.2688449438202208,0.0,0.0,2.215311032722046,-0.006500608327091872,0.5863989175980309,0.07865168539322366,1.1677070328755208,-0.006370014127693964,2.325893151567283,-0.05615386652745619,0.36488009013358846,1.7876176541694127,0.8896551724137897,2.2944469863119026,0.7721088435374164,1.3140004767424927,0.10375099760574746,0.0039881483396922365,0.05704560930283917,0.75,102,2.17563504,2.16586674,1763454000000000001,1763454180000000000,stop,-1.0000000745452984,0.01193905000000013,2.9999999999833333,0.18181939852835663,0.0,0,0.0,9970.256428032975,9671.148712894914
ETHUSDT,1,1763456100000000000,1763450100000000000,1763448300000000000,3060.39,3053.39,3079.99,2991.6561904761907,3053.554761904762,acceptance,15.0,2.799999999999987,0.4809184285714286,0.0,0.0,3.097553564414024,0.23689650920788297,0.33382318938630945,-0.3414285714286182,0.9764625850339793,0.15676906009222616,2.301314470030239,0.08312116932302496,0.21543692830821182,1.5900363669494715,0.9312969030757846,1.3046040141095414,0.47132303559434985,2.9226252935067403,0.22825866023983898,-0.013414268103318888,-0.15504721491272055,0.25,101,3061.002078,3052.779322,1763456100000000001,1763456700000000000,stop,-1.0000000620586957,11.279646,9.999999999983334,0.2710094536654785,0.0,0,0.0,9671.148712894914,9381.0142335027
