futures_close,spot_close,index_close,futures_return,spot_return,index_return,futures_jump_z,spot_jump_z,index_jump_z,futures_volume_z,futures_pressure,open_interest_5m_z,perp_spot_gap_z,event_peer_spot_jump_breadth,confirmation_peer_spot_breadth,symbol,event_ts,event_direction,systemic_state,idiosyncratic_state,entry_ts,entry_price,confirmation_price_extension,confirmation_open_interest_5m_z,confirmation_directional_futures_taker_pressure,confirmation_directional_spot_follow,confirmation_directional_index_follow,confirmation_directional_futures_jump_z,continuation_target_price,reclaim_target_price,continuation_gross_return,reclaim_gross_return,route,trade_direction,horizon_minutes,gross_return,cost_return,net_return,context_score,state_quality,rank_score
3834.0,3832.0,3832.68863636,-0.004476143423218559,-0.004431710334340977,-0.0042243853697350175,-4.6146251253104955,-4.728476873207311,-4.586944406415185,2.3620513926900304,-0.2627553104689577,1.2756019073794471,-0.4370578178814696,0.75,0.5,ETHUSDT,2024-06-06 16:35:00+00:00,-1.0,True,False,2024-06-06 16:40:00+00:00,3832.31,0.00044079290558163287,0.6463468444241467,0.24247592858609746,0.0006108337025541033,0.0008455390368098392,0.45386120536529106,3836.24,3836.83,-0.001025491152855551,0.0011794452953961532,SYSTEMIC_COJUMP_ACCEPTANCE,-1.0,120,-0.001025491152855551,0.002,-0.003025491152855551,12.471774658497083,0.20340852961785913,2.5368653450101686
69696.0,69663.64,69661.3612766,0.0019029228165141632,0.001956878755100533,0.00196829956520439,5.362176278148392,6.064924689314817,6.203006102034721,2.078956468548402,0.23851371009755695,1.2178336359369584,-0.4246211090248269,0.5,1.0,BTCUSDT,2024-06-09 12:50:00+00:00,1.0,True,False,2024-06-09 12:55:00+00:00,69762.3,0.0009512741046833195,0.5180098205195414,0.12139938932561378,0.0010024596033879618,0.001029025514441173,2.587547377617314,69494.9,69481.6,-0.003833015826599895,0.00402366321064529,SYSTEMIC_COJUMP_ACCEPTANCE,1.0,120,-0.003833015826599895,0.002,-0.005833015826599895,8.18150730635546,1.9872617970696833,16.258796912366694
3593.19,3592.1,3591.80704545,-0.005071735382701448,-0.0050234128426538405,-0.005158039473750264,-4.945842353614426,-5.031764300727721,-5.313416539565783,3.8581084068128138,-0.27919797380512834,1.9888761315754389,-0.3454773697397597,1.0,0.5,ETHUSDT,2024-06-11 02:20:00+00:00,-1.0,True,False,2024-06-11 02:25:00+00:00,3592.35,0.00023377555876535894,2.2198054803008898,0.08545055529282763,0.00024222749177837954,0.0004591045165547314,0.22323386824766356,3554.0,3595.24,0.010675463136943786,0.0008044873133186137,SYSTEMIC_COJUMP_ACCEPTANCE,-1.0,120,0.010675463136943786,0.002,0.008675463136943786,42.72132975448821,0.27567211559342314,11.777079354384021
69261.0,69259.98,69287.66595745,-0.007809337498327906,-0.007766616294571094,-0.007246114636513923,-7.089540252712722,-7.024665963024657,-6.840869550433622,4.064382724681538,-0.11112000340211425,7.5677254195912855,-0.3339130607740032,1.0,1.0,BTCUSDT,2024-06-12 18:05:00+00:00,-1.0,True,False,2024-06-12 18:10:00+00:00,69135.1,0.001817761799569606,-0.0011688104543797024,0.06159017484647755,0.0019075363273639567,0.0028077744647063696,1.6484905607731446,67690.0,68881.6,0.020902551670569758,-0.0036667336852047594,SYSTEMIC_COJUMP_ACCEPTANCE,-1.0,120,0.020902551670569758,0.002,0.018902551670569756,225.26466940939252,0.41019586719190826,92.40263641608429
3370.17,3371.24,3371.19340909,-0.0062855245472484,-0.006259954058059236,-0.0063122283549397196,-4.558884865368734,-4.632170139716894,-4.585392700676993,2.4513989362139412,-0.4343782390302816,1.6893403409489078,-0.17991361746067103,1.0,0.75,ETHUSDT,2024-06-14 18:10:00+00:00,-1.0,True,False,2024-06-14 18:15:00+00:00,3367.29,0.0008545562983469646,0.8954051789971469,0.11256122138041402,0.0010417023127882175,0.0007194537466155282,0.6193221434272771,3413.49,3376.76,-0.013720231996650067,0.002812350584594725,SYSTEMIC_COJUMP_ACCEPTANCE,-1.0,120,-0.013720231996650067,0.002,-0.01572023199665007,21.6733801723043,0.5320310929119128,11.530912140166436
129.288,129.35,129.33381117,0.006456040798958895,0.006670828336648782,0.0063894086603566436,4.116875151037717,4.2712604447053595,4.1697205965914,1.1362438176907637,0.2874033624165748,-0.020504303037807467,-1.5240243479926947,0.75,0.5,SOLUSDT,2024-06-24 00:40:00+00:00,1.0,True,False,2024-06-24 00:45:00+00:00,129.436,0.001144731142874722,-0.13319901641698725,0.05134823351404716,0.0011589725075547008,0.001358431119028225,0.7158939720608825,126.933,127.007,-0.019337742204641684,0.018766031088723434,SYSTEMIC_COJUMP_ACCEPTANCE,1.0,120,-0.019337742204641684,0.002,-0.021337742204641685,0.8051467426980066,0.04180856003893046,0.0336620259322389
62676.9,62704.9,62691.64787234,0.004828404630851324,0.004874158873803935,0.004660473346406846,5.551518606041126,5.608954853919311,5.525244213027538,1.497512084389862,0.2706015905603363,-0.22819428739336028,-0.48602483335975877,0.5,0.75,BTCUSDT,2024-06-24 08:25:00+00:00,1.0,True,False,2024-06-24 08:30:00+00:00,62705.9,0.00046269040108870563,-0.11624334346607874,0.21772227389037702,0.0004682747906681328,0.0006468076354000374,0.52986286837284,61322.8,62129.7,-0.022056935631256325,0.009188927995611329,SYSTEMIC_COJUMP_ACCEPTANCE,1.0,120,-0.022056935631256325,0.002,-0.024056935631256327,0.09064052735305754,0.053154514271268216,0.004817953204743374
61516.2,61521.96,61520.66212766,0.005153365240794017,0.005354353433386194,0.005373433991001875,9.637059977795793,10.16008056101401,10.426767382891516,2.754644341970293,0.30354301735164557,0.6729155395915793,-2.1395141202900243,1.0,1.0,BTCUSDT,2024-06-30 07:10:00+00:00,1.0,True,False,2024-06-30 07:15:00+00:00,61723.7,0.003373095217194866,0.7629625763258044,0.09300093389216668,0.0033366484088741544,0.003456195805705775,5.637522246155186,61569.5,61438.0,-0.0024982300153749692,0.004628692058317951,SYSTEMIC_COJUMP_ACCEPTANCE,1.0,120,-0.0024982300153749692,0.002,-0.004498230015374969,24.500336797179727,5.710599058559392,139.9116002483626
0.4741,0.4744,0.47438465,0.0021114872709703247,0.0023214107713133147,0.0021709325261612955,4.111801303662356,4.590407498356716,4.206369677300449,1.556093214022296,0.17707810545583347,0.3749596091233074,-0.8193787680018744,1.0,1.0,XRPUSDT,2024-06-30 07:10:00+00:00,1.0,True,False,2024-06-30 07:15:00+00:00,0.4751,0.00210925964986286,-0.19801482988796038,0.06672997827519,0.0016849203649195177,0.0020080601839095324,4.047459428731592,0.4748,0.474,-0.0006314460113661102,0.0023153020416755155,SYSTEMIC_COJUMP_ACCEPTANCE,1.0,120,-0.0006314460113661102,0.002,-0.0026314460113661103,3.998707881464534,0.21040786692419056,0.8413595957919016
3411.7,3412.68,3412.89363636,0.004747894993339941,0.004561061560393043,0.004684675933471993,6.439369882760474,6.263018063631442,6.528567722742376,1.8133391131967862,0.5566544608396924,-0.20302058473506518,1.9031210565734684,0.75,0.5,ETHUSDT,2024-06-30 17:20:00+00:00,1.0,True,False,2024-06-30 17:25:00+00:00,3415.87,0.001222264560190034,-0.10427796419363894,0.2962134610557081,0.0012240943085313205,0.0011146677933666638,1.6561183502282428,3423.58,3411.7,0.002257111658230615,0.0012207724532842246,SYSTEMIC_COJUMP_ACCEPTANCE,1.0,120,0.002257111658230615,0.002,0.00025711165823061495,0.4114255625865575,0.12066646876576581,0.04964526979728846
