plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,shock_sigma,shock_pressure,shock_activity,recovery_fraction,response_pressure,response_progress,basis_stress,basis_repair,oi_change,spot_confirmation,peer_response,context_direction,risk_range,cost_r,planned_rr,net_to_excursion,extreme_age,test_effort,test_depth,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
BTCUSDT:EXCURSION:60:1724508000000000000:1:1724516940000000000:1724517180000000000,BTCUSDT:EXCURSION:60:1724508000000000000:1:1724516940000000000,BTCUSDT,-1,1724517180000000000,1724516940000000000,64210.7,64332.799999999996,63996.91771832082,1.750878637831094,64222.0,3.584962500721156,60:1724508000000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,64332.7,64222.0,64332.7,63996.817718320824,PUBLIC_EXCURSION_RECLAIM,4.286783765388278,-0.3076292688904523,1.4587079404723722,0.3632224938751956,0.07138749609063663,0.07490668281559357,-1.1409000000000002,0.07130000000000081,-43.31164398918119,-44.298017668236156,-0.0802994770217627,-0.0,2.078660448132009,0.6316633906633982,1.750878637831094,0.6762130785468613,0.0,0.0,0.0,1724517420000000000,-0.9687763080084891,0,0,4.0,False,2024-08,0.5,0.36833660933660184
SOLUSDT:EXCURSION:HOUR:1724523420000000000:1:1724523720000000000:1724524500000000000,SOLUSDT:EXCURSION:HOUR:1724523420000000000:1:1724523720000000000,SOLUSDT,-1,1724524500000000000,1724523720000000000,161.606,162.33499999999998,160.6001287836025,1.3797959072668053,162.249,3.584962500721156,HOUR:1724523420000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,162.325,162.249,162.325,160.59012878360252,PUBLIC_EXCURSION_RECLAIM,5.636770169837693,-0.15978566776980993,1.5167189203302205,0.4144399844808242,0.32891018552647744,0.6397043621127799,7.6625,10.528300000000002,69.26336688874102,-57.14656212961522,0.3781278700286017,-0.0,1.9676982277646298,0.2666181069958902,1.3797959072668053,0.5781836565365072,0.0,0.0,0.0,1724529420000000000,0.9332327338753315,1,1,82.0,False,2024-08,0.5,0.7333818930041098
BTCUSDT:EXCURSION:HOUR:1724523420000000000:1:1724523720000000000:1724525520000000000,BTCUSDT:EXCURSION:HOUR:1724523420000000000:1:1724523720000000000,BTCUSDT,-1,1724525520000000000,1724523720000000000,64191.0,64414.299999999996,63949.55007868496,1.0812804358040566,64252.0,3.584962500721156,HOUR:1724523420000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,64414.2,64252.0,64414.2,63949.45007868496,PUBLIC_EXCURSION_RECLAIM,6.337608957308773,-0.5274399791311075,1.756079636204871,0.480258284645729,0.49107395862850667,0.06887754635847239,7.9145,7.6871,5.323902313758566,-58.75128143202346,0.06900398688505575,1.0,3.417856911521463,0.3455583519928414,1.0812804358040566,0.7990274695931827,0.0,0.0,0.0,1724533560000000000,0.6196142079278989,1,1,134.0,False,2024-08,0.5,0.6544416480071586
ETHUSDT:EXCURSION:HOUR:1724530680000000000:1:1724530980000000000:1724531100000000000,ETHUSDT:EXCURSION:HOUR:1724530680000000000:1:1724530980000000000,ETHUSDT,-1,1724531100000000000,1724530980000000000,2798.72,2803.2700000000004,2789.941483647565,1.9293442532821394,2799.23,3.584962500721156,HOUR:1724530680000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2803.26,2799.23,2803.26,2789.9314836475646,PUBLIC_EXCURSION_RECLAIM,3.167672504760984,-0.5514785636715052,2.720211033238083,0.34062305810734866,0.20383509853173468,0.3023297727087251,1.6103,2.3428999999999998,-80.96173611358282,-37.93483412419363,0.030997910960015616,-1.0,1.0342860645296965,0.7387239560438527,1.9293442532821394,0.871432536061713,0.0,0.0,0.0,1724531220000000000,-0.9658320696598018,0,0,2.0,False,2024-08,0.5,0.26127604395614734
BTCUSDT:EXCURSION:HOUR:1724534520000000000:-1:1724534820000000000:1724535000000000000,BTCUSDT:EXCURSION:HOUR:1724534520000000000:-1:1724534820000000000,BTCUSDT,1,1724535000000000000,1724534820000000000,63928.9,63876.700000000004,64007.463199200865,1.5050421302848327,63911.0,3.584962500721156,HOUR:1724534520000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,63876.8,63911.0,64007.563199200864,63876.8,PUBLIC_EXCURSION_RECLAIM,3.344826676141643,-0.5283195750852707,0.4703909849426703,0.39843014180136016,0.4019148233740508,0.4962754507691282,0.3088999999999995,3.3835000000000006,-7.289361320790277,-2.8573155800692973,-1.4736694175816576,0.0,0.7995548929057372,1.469029885057553,1.5050421302848327,0.9903507084858062,0.0,0.0,0.0,1724535240000000000,0.20255713856661092,1,1,4.0,False,2024-08,0.5,-0.46902988505755294
SOLUSDT:EXCURSION:HOUR:1724534520000000000:-1:1724534820000000000:1724535000000000000,SOLUSDT:EXCURSION:HOUR:1724534520000000000:-1:1724534820000000000,SOLUSDT,1,1724535000000000000,1724534820000000000,159.245,158.993,159.63192688695045,1.5354241545652119,159.223,3.584962500721156,HOUR:1724534520000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,159.003,159.223,159.64192688695044,159.003,PUBLIC_EXCURSION_RECLAIM,3.005446814239196,-0.3228655210038189,0.6453549313577915,0.3787600818539091,0.4055107322271274,0.6766609327445412,1.9008000000000003,3.7735000000000007,12.471411930548015,-16.326534238855217,-1.4736694175816576,0.0,0.7681015993316413,0.7577095238094951,1.5354241545652119,0.9816332131748436,0.0,0.0,0.0,1724535180000000000,0.5654042886103268,1,1,3.0,False,2024-08,0.5,0.24229047619050492
BTCUSDT:EXCURSION:60:1724493600000000000:1:1724544360000000000:1724545440000000000,BTCUSDT:EXCURSION:60:1724493600000000000:1:1724544360000000000,BTCUSDT,-1,1724545440000000000,1724544360000000000,64329.0,64549.1,64042.15260218819,1.3032594175911614,64472.5,3.584962500721156,60:1724493600000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,64549.0,64472.5,64549.0,64042.05260218819,PUBLIC_EXCURSION_RECLAIM,6.1517886369137695,-0.26721293608251506,1.8993545262200153,0.4339700745079439,0.39277108433734936,0.46342857421257855,2.6090999999999998,2.9029,-36.972162302379985,-61.736043608284774,0.2872621971517716,-0.0,2.9824745375496065,0.3513260336210836,1.3032594175911614,0.5783440708528057,0.0,0.0,0.0,1724550060000000000,0.774846869297127,1,1,77.0,False,2024-08,0.5,0.6486739663789164
ETHUSDT:EXCURSION:HOUR:1724571180000000000:-1:1724571480000000000:1724571720000000000,ETHUSDT:EXCURSION:HOUR:1724571180000000000:-1:1724571480000000000,ETHUSDT,1,1724571720000000000,1724571480000000000,2736.36,2731.62,2744.2093550580653,1.6559820797604992,2735.9,3.584962500721156,HOUR:1724571180000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2731.63,2735.9,2744.2193550580655,2731.63,PUBLIC_EXCURSION_RECLAIM,3.3057436726541796,-0.24530221503925786,0.7598654055744778,0.37571424256318314,0.013496826455261601,0.41688782411436887,7.0849,3.250399999999999,24.549615993372242,-47.06852586770616,-2.288734249089721,0.0,1.4216174721595263,0.6921493670885729,1.6559820797604992,0.9990890822102146,0.0,0.0,0.0,1724573220000000000,0.6712650436135509,1,1,25.0,False,2024-08,0.5,0.3078506329114271
BTCUSDT:EXCURSION:HOUR:1724599800000000000:-1:1724600100000000000:1724600340000000000,BTCUSDT:EXCURSION:HOUR:1724599800000000000:-1:1724600100000000000,BTCUSDT,1,1724600340000000000,1724600100000000000,64089.9,64057.4,64209.988309841145,3.6950249181890213,64077.8,3.584962500721156,HOUR:1724599800000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,64057.5,64077.8,64210.08830984114,64057.5,PUBLIC_EXCURSION_RECLAIM,3.2319717069637695,-0.5000971718095746,0.886349533205121,0.21233605663325375,0.5026634857348278,0.3716475405748982,-0.2195999999999998,1.4330999999999996,-10.29701867167887,-21.671196018058225,-1.3103348113417752,-1.0,0.7147068087978196,2.3657963076923076,3.6950249181890213,0.9577193412956972,0.0,0.0,0.0,1724600940000000000,-0.9446534202374219,0,0,10.0,False,2024-08,0.5,-1.3657963076923076
ETHUSDT:EXCURSION:HOUR:1724599800000000000:-1:1724600100000000000:1724600400000000000,ETHUSDT:EXCURSION:HOUR:1724599800000000000:-1:1724600100000000000,ETHUSDT,1,1724600400000000000,1724600100000000000,2761.88,2758.5699999999997,2767.8323270729916,1.798286124770618,2758.97,3.584962500721156,HOUR:1724599800000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2758.58,2758.97,2767.842327072992,2758.58,PUBLIC_EXCURSION_RECLAIM,3.792570831822429,-0.45743776665384517,1.0516908998410364,0.35628195527911044,0.3781170660452822,0.14545712449510695,1.1506999999999996,2.7939999999999996,1.7888666781473717,-24.623118025450808,-0.2793775661858577,0.0,1.2345207232780975,1.0006858006041084,1.798286124770618,0.8075965426235328,0.0,0.0,0.0,1724601060000000000,-0.9599638303951293,0,0,11.0,False,2024-08,0.5,-0.0006858006041083886
