scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,partial_entry_abort_requested,partial_entry_abort_opened_quantity,partial_entry_open_parent_count,partial_entry_flatten_attempts,partial_entry_cancel_retry_count,forced_exit_reason
BAVR-1709000220000000000-000120,BAVR,BAVR,LONG,LONG,1709000460000000000,2024-02-27,2,1709000520000000000,56581.8,56676.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-022200-001-000-1,56259.100000000006,57200.0,BALANCED_AUCTION_POINT_OF_CONTROL,56332.5,312.9450000000008,6.037,100000.0,3000.0,496.89063508000146,0.8923217277552753,0.0007,,False,True,(),False,56676.8,1709000520000000000,1581,11,56705.8,56159.6,29.0,517.2000000000044,0.06942781900885851,1.2382092410821355,0.09266804071002868,1.6526865743181807,-0.16029171084534982,-0.10176851087535262,,,56259.0,1709001120000000000,2024-02-27,2,10.0,-2999.51399722,-0.007371622956836005,-0.9998379990733334,STOP,,,,,,
BAVR-1709038080000000000-000168,BAVR,BAVR,SHORT,SHORT,1709038260000000000,2024-02-27,12,1709038320000000000,57212.6,57281.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-125200-001-000-4,57421.0,56892.2,OPPOSITE_VALUE_AREA_EDGE,57275.9,131.7,13.231,97000.48600278,2910.0145800834,219.92784520000149,1.406271860294657,0.0007,,False,True,(),False,57281.5,1709038320000000000,2211,8,56808.1,57327.2,473.40000000000146,45.69999999999709,3.3935483870967844,0.32759856630822287,3.5945330296127675,0.3470007593014206,1.711131119653233,1.788483307524348,1.70903868e+18,1.70903874e+18,56892.3,1709038740000000000,2024-02-27,12,7.0,4092.06171654,0.006794514808445957,1.4061997299074436,OTHER_EXIT,,,,,,
BAVR-1709040840000000000-000172,BAVR,BAVR,LONG,LONG,1709041020000000000,2024-02-27,13,1709041080000000000,56950.0,56910.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-133800-001-000-7,56761.7,57139.4,OPPOSITE_VALUE_AREA_EDGE,56798.8,101.97999999999993,13.276,101092.54771932,3032.7764315796003,228.42889912000024,0.6521291332833696,0.0007,,False,True,(),False,56910.5,1709041080000000000,2257,18,57217.0,56839.5,306.5,71.0,2.059811827956949,0.4771505376343993,3.00549127279859,0.696214944106688,0.8144286065234982,0.991165088446449,1.7090421e+18,,57139.299999999996,1709042100000000000,2024-02-27,13,17.0,1977.66119864,0.004020347738993606,0.6520959402239713,OTHER_EXIT,,,,,,
BAVR-1709053800000000000-000190,BAVR,BAVR,SHORT,SHORT,1709053920000000000,2024-02-27,17,1709053980000000000,57130.4,57204.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-171300-001-000-10,57254.899999999994,57036.3,OPPOSITE_VALUE_AREA_EDGE,57156.1,61.68499999999913,23.72,103070.20891796,3092.1062675388,130.35668436000125,0.6783784079363468,0.0007,,False,True,(),False,57204.8,1709053980000000000,2472,9,57130.4,57255.8,74.40000000000146,51.0,1.4850299401200484,1.0179640718564649,1.206127907919308,0.8267812272027352,-0.364874499788905,-0.04475903961998016,,,57255.0,1709054460000000000,2024-02-27,17,8.0,-3091.2345192,-0.000877548737168858,-0.9997180729692405,STOP,,,,,,
BAVR-1709133600000000000-000289,BAVR,BAVR,SHORT,SHORT,1709133840000000000,2024-02-28,15,1709133900000000000,60967.8,61012.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-152500-001-000-13,61239.00000000001,60730.0,BALANCED_AUCTION_POINT_OF_CONTROL,61000.0,161.0200000000008,9.614,99978.97439876,2999.3692319628,311.95784711999625,0.6327138163768634,0.0007,,False,True,(),False,61012.700000000004,1709133900000000000,3804,3,60955.8,61261.6,56.900000000001455,248.89999999999418,0.25143614670791303,1.0998674326115376,0.3533722518941819,1.5457707117127868,-0.27477382214087,-0.09192892650322536,,,61239.100000000006,1709134020000000000,2024-02-28,15,2.0,-2999.33976364,-0.0037107028536681945,-0.9999901751600017,STOP,,,,,,
BAVR-1709241840000000000-000420,BAVR,BAVR,LONG,LONG,1709241960000000000,2024-02-29,21,1709242020000000000,61214.1,61256.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-212700-001-000-16,60932.700000000004,61700.0,BALANCED_AUCTION_POINT_OF_CONTROL,61078.6,185.40000000000109,7.11,96979.63463512,2909.3890390536,409.1641376000007,0.8740519931627577,0.0007,,False,True,(),False,61256.19999999999,1709242020000000000,5606,6,61323.7,60885.1,67.50000000000728,371.09999999999127,0.2086553323029685,1.1471406491499474,0.3640776699029497,2.0016181229772876,-0.05670741364599441,-0.04522862171778147,,,60932.600000000006,1709242320000000000,2024-02-29,21,5.0,-2908.9296576,-0.005282730564416077,-0.9998421038068703,STOP,,,,,,
BAVR-1709253420000000000-000434,BAVR,BAVR,SHORT,SHORT,1709253540000000000,2024-03-01,0,1709253600000000000,61649.8,61708.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240301-004000-001-000-19,61792.899999999994,61500.0,BALANCED_AUCTION_POINT_OF_CONTROL,61744.2,71.93000000000029,16.474,94070.70497752,2822.1211493256,171.30513807999944,0.710744939495848,0.0007,,False,True,(),False,61708.1,1709253600000000000,5799,22,61487.4,61726.7,220.6999999999971,18.599999999998545,2.6025943396227413,0.21933962264150356,3.068260809119925,0.25858473515916125,0.5734676210010701,0.7837660417243075,1.70925396e+18,,61500.1,1709254860000000000,2024-03-01,1,21.0,2005.77967924,0.003370708221449048,0.7107347888730147,TARGET,,,,,,
BAVR-1709298180000000000-000495,BAVR,BAVR,LONG,LONG,1709298360000000000,2024-03-01,13,1709298420000000000,62420.3,62398.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240301-130700-001-000-22,62242.8,62643.6,OPPOSITE_VALUE_AREA_EDGE,62360.9,79.11999999999898,11.877,96076.48465676,2882.2945397028,242.67813927999876,0.6505360576291928,0.0007,,False,True,(),False,62398.1,1709298420000000000,6546,16,62698.8,62316.0,300.70000000000437,82.09999999999854,1.9362524146813447,0.5286542176432766,3.8005561172902964,1.0376643073811882,0.8774262512138603,0.8774262512138603,1.70929926e+18,,62643.5,1709299320000000000,2024-03-01,13,15.0,1875.03244176,0.0039328120567773935,0.65053464034711,TARGET,,,,,,
BAVR-1709354760000000000-000566,BAVR,BAVR,LONG,LONG,1709355000000000000,2024-03-02,4,1709355060000000000,62290.3,62206.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240302-045100-001-000-25,62204.3,62357.5,BALANCED_AUCTION_POINT_OF_CONTROL,62252.1,33.73999999999978,33.022,97951.51709852,2938.5455129556,88.98641056000274,0.7203970763240777,0.0007,,False,True,(),False,62206.1,1709355060000000000,7490,2,62290.4,62165.5,84.30000000000291,40.599999999998545,46.833333333448536,22.555555555609452,2.498518079431045,1.2033195020746534,-0.9820428698050843,-0.03424736407299126,,,62204.19999999999,1709355120000000000,2024-03-02,4,1.0,-2938.53564862,-3.054362835813097e-05,-0.9999966431230837,STOP,,,,,,
BAVR-1709492100000000000-000744,BAVR,BAVR,SHORT,SHORT,1709492340000000000,2024-03-03,18,1709492400000000000,62887.0,62873.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240303-190000-001-000-28,62940.5,62690.8,OPPOSITE_VALUE_AREA_EDGE,62916.1,50.29000000000015,18.331,95012.9814499,2850.3894434970002,155.49287624000036,0.6071347593717891,0.0007,,False,True,(),False,62873.16532104087,1709492400000000000,9779,1,62873.3,62898.0,0.0,24.80000000000291,0.0,0.3684992570579768,0.0,0.49313978922256585,-0.5680166972002088,-0.5680166972002088,,,62873.40000000001,1709492400000000000,2024-03-03,19,0.0,-1617.84410223,-3.732577450824427e-06,-0.5675870382978784,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,True,6.357,1.0,3.0,0.0,PARTIAL_ENTRY_SINGLE_SLOT_ABORT
