decision_ts,entry_ts,exit_ts,symbol,route,route_priority,direction,direction_value,short_return,medium_return,short_score,medium_score,trend_score,directional_breadth,residual_trend_score,residual_leader_gap,volume_ratio,atr_24h,confirmation_return,confirmation_body_fraction,confirmation_taker_pressure,entry_price,initial_stop,final_stop,exit_price,exit_reason,trailing_updates,holding_minutes,rank_score,gross_return,net_return
2024-04-08 16:00:00+00:00,2024-04-08 17:00:00+00:00,2024-04-09 00:00:00+00:00,ETHUSDT,BREADTH_TREND_LEADER,2,LONG,1.0,0.07085042328026736,0.05386182400668593,2.2128338673712054,0.6358261669365227,1.424330017153864,0.75,0.5756008334083076,0.31575151857373995,2.418953104008248,34.18416666666665,0.0080872553446929,0.7730981837325654,0.0643525082220342,3661.01,3629.93,3668.17875,3697.6,NEXT_DECISION_CAP,3,420.0,6.029428153221306,0.009994509711800825,0.007994509711800825
2024-04-13 00:00:00+00:00,2024-04-13 01:00:00+00:00,2024-04-13 04:00:00+00:00,SOLUSDT,BREADTH_TREND_LEADER,2,SHORT,-1.0,-0.11208890589401554,-0.12202923473774707,-2.428168724682094,-0.9991509341349304,-1.7136598294085124,1.0,-0.32227357665989587,0.12761662464399015,2.9748034574098403,3.569458333333337,-0.009735108418159277,0.6173913043478338,-0.019308784636041243,151.666,153.483,152.1203125,152.1203125,TRAILING_STOP,1,180.0,10.1956023706976,-0.0029954801999130254,-0.004995480199913025
2024-04-13 08:00:00+00:00,2024-04-13 09:00:00+00:00,2024-04-13 11:00:00+00:00,SOLUSDT,BREADTH_TREND_LEADER,2,SHORT,-1.0,-0.1286389850057671,-0.14789729245032956,-2.6205921978516615,-1.1387753096196018,-1.8796837537356317,1.0,-0.49933638703164185,0.10933576430627223,1.2964198976961256,4.150291666666667,-0.007697144180813464,0.5132391879964764,-0.030476351017664882,149.932,152.0071458333333,152.0071458333333,152.0071458333333,TRAILING_STOP,0,120.0,4.873718839438034,-0.013840579951800214,-0.015840579951800215
2024-04-13 08:00:00+00:00,2024-04-13 09:00:00+00:00,2024-04-13 12:00:00+00:00,XRPUSDT,BREADTH_TREND_LEADER,2,SHORT,-1.0,-0.11151138038316688,-0.08065062690613345,-2.527033319240282,-0.6907970969869176,-1.6089152081135998,1.0,-0.22856784140960995,0.10933576430627223,1.225594926256969,0.011650000000000008,-0.004607445632141438,0.5813953488372009,-0.03484596748075053,0.5401,0.545925,0.545925,0.545925,TRAILING_STOP,0,180.0,3.9437566316834065,-0.010785039807442942,-0.012785039807442942
2024-04-13 08:00:00+00:00,2024-04-13 09:00:00+00:00,2024-04-13 12:00:00+00:00,BTCUSDT,BREADTH_TREND_LEADER,2,SHORT,-1.0,-0.04743744872991362,-0.007634025690923418,-1.8671252899817399,-0.11356819797550045,-0.9903467439786202,1.0,0.3900006227253696,0.10933576430627223,1.1061314010125758,775.7833333333323,-0.0038078383069424238,0.6952638700947462,-0.04254016432234686,67209.2,67597.09166666666,67597.09166666666,67597.09166666666,TRAILING_STOP,0,180.0,2.1909072628106276,-0.005771407287494368,-0.007771407287494368
2024-04-13 16:00:00+00:00,2024-04-13 17:00:00+00:00,2024-04-13 22:00:00+00:00,SOLUSDT,BREADTH_TREND_LEADER,2,SHORT,-1.0,-0.11020542219037388,-0.15922312566653318,-2.2274030357452417,-1.2163343446775987,-1.7218686902114202,1.0,-0.6613627420490649,0.12603698316339096,0.8221680925214544,4.327875000000002,-0.022790569697132335,0.6322844907838355,-0.047648849878438204,145.613,149.663,131.8104375,131.8104375,TRAILING_STOP,4,300.0,2.831330993207077,0.09478935603277172,0.09278935603277172
2024-04-16 08:00:00+00:00,2024-04-16 09:00:00+00:00,2024-04-16 16:00:00+00:00,SOLUSDT,BREADTH_TREND_LEADER,2,SHORT,-1.0,-0.10343279503428882,-0.21600678185966338,-1.1960812940054804,-0.9441061014898803,-1.0700936977476803,1.0,-0.08546757002817817,0.3016465517188047,1.0909554907808199,3.7490416666666704,-0.008512583819559327,0.6074572760227923,-0.04026532894333956,136.623,138.49752083333334,133.4909375,127.573,NEXT_DECISION_CAP,3,420.0,2.3348491904155657,0.06624067689920432,0.06424067689920432
2024-04-16 08:00:00+00:00,2024-04-16 09:00:00+00:00,2024-04-16 16:00:00+00:00,ETHUSDT,BREADTH_TREND_LEADER,2,SHORT,-1.0,-0.04168209419431279,-0.1477013591796077,-0.8165610048980981,-1.0936404812625042,-0.9551007430803011,1.0,0.029525384639200958,0.3016465517188047,1.19812112099999,54.248333333333335,-0.007183172508830049,0.6420143884892071,-0.09147914543517954,3083.56,3110.6841666666664,3091.966875,3007.61,NEXT_DECISION_CAP,1,420.0,2.288652745934588,0.024630621748887638,0.022630621748887636
2024-04-23 00:00:00+00:00,2024-04-23 01:00:00+00:00,2024-04-23 03:00:00+00:00,BTCUSDT,BREADTH_TREND_LEADER,2,LONG,1.0,0.028737101887769123,0.05340204786986513,0.8598767697538049,0.6039516057138012,0.7319141877338031,1.0,-0.054041365469733704,0.2615775373114134,0.8126193887849587,513.1583333333314,0.003227115557691951,0.6514510278113607,0.05786510699124592,66993.4,66669.2,66669.2,66669.2,TRAILING_STOP,0,120.0,1.1895353197585652,-0.0048392826756068485,-0.006839282675606849
2024-04-23 16:00:00+00:00,2024-04-23 17:00:00+00:00,2024-04-23 22:00:00+00:00,XRPUSDT,BREADTH_TREND_LEADER,2,LONG,1.0,0.014858841010401136,0.12059064807219033,0.4224777757914769,1.295935961355738,0.8592068685736074,1.0,0.12848420159542862,0.06671449195645174,0.8963353150461894,0.005845833333333337,0.006770356816102607,0.5606060606060619,0.10806915778190174,0.5502,0.5455,0.546975,0.546975,TRAILING_STOP,2,300.0,1.5402749184655484,-0.005861504907306525,-0.007861504907306525
