trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20251202-124000-001-000-1,O-20251202-124000-001-000-2,BUY,FLAT,0.0,4946.7,1764679200000000000,2025-12-02 12:40:00+00:00,1764680700000000000,2025-12-02 13:05:00+00:00,1500000000000,128.74150496290457,128.338,['1017.35614976 USDT'],-0.00313,-3013.37414976 USDT,False
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20251206-041100-001-000-4,O-20251206-041100-001-000-5,SELL,FLAT,0.000,291.359,1764994260000000000,2025-12-06 04:11:00+00:00,1765028400000000000,2025-12-06 13:40:00+00:00,34140000000000,3035.99,3041.13,['1416.49888487 USDT'],-0.00169,-2914.08414487 USDT,False
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20251207-040500-001-000-7,O-20251207-040500-001-000-8,BUY,FLAT,0.000,16.284,1765080720000000000,2025-12-07 04:12:00+00:00,1765081800000000000,2025-12-07 04:30:00+00:00,1080000000000,89642.36086956524,89576.32213215425,['1750.82314544 USDT'],-0.00074,-2826.19794544 USDT,False
