event_ts,entry_ts,exit_ts,symbol,route,direction,direction_value,event_direction,event_open,event_high,event_low,event_close,event_midpoint,entry_price,initial_stop,target_price,exit_price,exit_reason,return_z,body_displacement_atr,residual_body_atr,residual_leader_gap_atr,volume_ratio,confirmation_return,confirmation_body_fraction,confirmation_taker_pressure,rank_score,gross_return,net_return,holding_minutes
2024-04-12 20:00:00+00:00,2024-04-12 20:15:00+00:00,2024-04-13 04:15:00+00:00,BTCUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,LONG,1.0,DOWN,69374.0,69626.7,65102.0,66867.5,68120.75,67314.0,64957.35642857143,68120.75,67267.4,EIGHT_HOUR_CAP,-3.1948342478580565,1.732880331455155,1.0307247587060284,0.4733727531576388,5.810179605783341,0.006675878900992416,0.6874037573144413,0.01771185108259976,19.132890992025217,-0.0006922779808065105,-0.0026922779808065105,480.0
2024-06-17 20:00:00+00:00,2024-06-17 20:15:00+00:00,2024-06-18 00:45:00+00:00,BTCUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,65341.8,67280.6,65130.0,66661.4,66001.6,66203.7,67340.90571428572,66001.6,66001.6,EVENT_MIDPOINT_REACHED,2.5061123416157445,2.1881840147818106,1.1132261341930811,0.7976811444786396,4.788503827504567,-0.006866042417350893,0.7336111556339179,-0.07837117088442547,13.359301994839488,0.0030526994714795697,0.0010526994714795696,270.0
2024-07-13 08:00:00+00:00,2024-07-13 08:15:00+00:00,2024-07-13 09:30:00+00:00,XRPUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,0.4921,0.5157,0.4904,0.515,0.5035499999999999,0.5115,0.516982142857143,0.5035499999999999,0.516982142857143,EVENT_EXTREME_INVALIDATED,3.018713013591432,1.7860724233983305,1.415946189450405,1.2528200710159418,6.18894978790622,-0.006988934187536544,0.6666666666666666,-0.10166552385289507,26.45364585916828,-0.010717776846809413,-0.012717776846809413,75.0
2024-08-08 00:00:00+00:00,2024-08-08 00:15:00+00:00,2024-08-08 08:15:00+00:00,XRPUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,0.5329,0.6441,0.513,0.6001,0.5665,0.5878,0.6468585714285714,0.5665,0.6085,EIGHT_HOUR_CAP,5.6515101210413565,2.4360435007767958,2.2027094815388533,1.8797875512720355,11.98488154351709,-0.02049658390268283,0.672131147540983,-0.11729969964825693,149.19541499812692,-0.03521605988431453,-0.037216059884314534,480.0
2024-10-14 16:00:00+00:00,2024-10-14 16:15:00+00:00,2024-10-14 23:00:00+00:00,ETHUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,2536.7,2643.03,2533.45,2634.95,2585.825,2623.9,2646.7239285714286,2585.825,2646.7239285714286,EVENT_EXTREME_INVALIDATED,3.973824714058471,2.6597698926810422,1.1258115417651389,0.7959174818582502,5.426929275839926,-0.004193627962579827,0.5594936708860622,-0.2422987224341504,24.2788753258932,-0.00869847500721388,-0.01069847500721388,405.0
2024-10-20 16:00:00+00:00,2024-10-20 16:15:00+00:00,2024-10-20 22:05:00+00:00,ETHUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,2648.9,2720.0,2640.67,2705.71,2677.3050000000003,2699.72,2722.7074285714284,2677.3050000000003,2722.7074285714284,EVENT_EXTREME_INVALIDATED,2.3837231031721253,2.0983009708737894,1.4904051531127356,1.224500677343033,3.9701566430310833,-0.0022138366639441465,0.5640301318267701,-0.2214004882290218,14.104827898113296,-0.008514745444501148,-0.010514745444501148,350.0
2025-01-11 20:00:00+00:00,2025-01-11 20:15:00+00:00,2025-01-11 20:35:00+00:00,XRPUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,2.4067,2.5321,2.3961,2.5292,2.46795,2.5097,2.5384021428571426,2.46795,2.5384021428571426,EVENT_EXTREME_INVALIDATED,3.1513426238244255,1.9437832936642885,1.8027800028939327,1.5529855729756383,2.7423292166863558,-0.007709947809584006,0.6701030927834971,-0.05754121413351154,15.579658946072898,-0.011436483586541257,-0.013436483586541257,20.0
2025-01-15 04:00:00+00:00,2025-01-15 04:15:00+00:00,2025-01-15 07:45:00+00:00,XRPUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,2.6668,2.8777,2.6489,2.8309,2.74885,2.8133,2.887400714285714,2.74885,2.887400714285714,EVENT_EXTREME_INVALIDATED,3.238897244169454,1.691628009719466,1.2635360318949713,1.0276857293193606,2.8393645445729123,-0.006181998021760671,0.6916996047430952,-0.19257718789765488,11.619995397322493,-0.026339428530805176,-0.028339428530805177,210.0
2025-02-14 12:00:00+00:00,2025-02-14 12:15:00+00:00,2025-02-14 19:05:00+00:00,XRPUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,2.5871,2.7899,2.5866,2.7317,2.6593999999999998,2.6958,2.797420714285714,2.6593999999999998,2.797420714285714,EVENT_EXTREME_INVALIDATED,2.090198474048655,1.9226897141228982,1.609776881811227,1.0679130870744042,5.064030653694572,-0.013105872016400455,0.8423529411764618,-0.14381101677793795,17.039213255362412,-0.03769593971574814,-0.03969593971574814,410.0
2025-06-10 12:00:00+00:00,2025-06-10 12:15:00+00:00,2025-06-10 13:45:00+00:00,ETHUSDT,RESIDUAL_4H_OVERREACTION_RECLAIM,SHORT,-1.0,UP,2676.67,2798.72,2669.01,2772.99,2724.83,2753.7,2803.8028571428567,2724.83,2724.83,EVENT_MIDPOINT_REACHED,2.876002608843431,1.8949971894322621,1.2627241279270118,0.9589594331192249,3.1991856490375716,-0.006956390033862392,0.581724969843186,-0.135634634120391,11.61815584050267,0.010484075970512374,0.008484075970512374,90.0
