event_ts,symbol,route,direction,horizon_minutes,score,score_threshold,opening_flow,calibration_mean_net_bps,rank_value,gross_return,cost_return,net_return
2024-12-01 00:31:00+00:00,XRPUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.00418023401416643,0.0014750478955707625,0.3851853938453478,24.83759715011704,0.007038887940442579,-0.02150481915224367,0.002,-0.023504819152243672
2024-12-01 11:31:00+00:00,XRPUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.0018097295841220458,0.0014750478955707625,0.34607466301422196,24.83759715011704,0.003047313547990203,0.0670455137896877,0.002,0.0650455137896877
2024-12-01 21:46:00+00:00,BTCUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.0017183130098616718,0.0014750478955707625,0.5360411899313502,24.83759715011704,0.002893381729834268,-0.009976478887391949,0.002,-0.011976478887391949
2024-12-02 07:16:00+00:00,BTCUSDT,QH_PUBLIC_DELIVERY_8H,SHORT,480,0.0017591468108238296,0.0014750478955707625,-0.6736135563380281,24.83759715011704,0.002962139734333755,-0.0027666909504506787,0.002,-0.004766690950450679
2024-12-02 18:01:00+00:00,SOLUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.003736051870663698,0.0014750478955707625,0.3971572164153794,24.83759715011704,0.006290951742931691,0.013509239596981804,0.002,0.011509239596981804
2024-12-03 02:16:00+00:00,SOLUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.002120200931438533,0.0014750478955707625,0.6434782608695653,24.83759715011704,0.0035701007926930003,0.006454197453930499,0.002,0.004454197453930499
2024-12-03 15:46:00+00:00,BTCUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.0014834329359680826,0.0014750478955707625,0.3822929288490151,24.83759715011704,0.0024978788670813735,0.001905362473024752,0.002,-9.463752697524801e-05
2024-12-04 00:16:00+00:00,XRPUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.0063013177829192935,0.0014750478955707625,0.4442738414535665,24.83759715011704,0.009935038860046817,0.03332811766546695,0.002,0.03132811766546695
2024-12-04 09:01:00+00:00,SOLUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.002084939068897984,0.0014750478955707625,0.35843920145190555,24.83759715011704,0.0035107250978986242,-0.039347734011012214,0.002,-0.041347734011012216
2024-12-04 17:01:00+00:00,ETHUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.001671978179373623,0.0014750478955707625,0.41780704883428843,24.83759715011704,0.0028153608155889174,0.005177212840972389,0.002,0.0031772128409723894
2024-12-05 01:01:00+00:00,BTCUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.0035440974193722864,0.0014750478955707625,0.4254899488435768,24.83759715011704,0.005967729198995041,0.045563324963239005,0.002,0.043563324963239
2024-12-05 09:16:00+00:00,BTCUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.0020076120216182014,0.0014750478955707625,0.5921174255391988,24.83759715011704,0.0033805179327678864,-0.024228782495201218,0.002,-0.02622878249520122
2024-12-05 18:46:00+00:00,SOLUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.002618670967055218,0.0014750478955707625,0.42074625441358915,24.83759715011704,0.0044094496689721,0.020626336309897964,0.002,0.018626336309897962
2024-12-06 03:01:00+00:00,ETHUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.002224483931173189,0.0014750478955707625,0.4676650826353068,24.83759715011704,0.0037456977441406624,-0.0022676789957200016,0.002,-0.004267678995720002
2024-12-06 11:46:00+00:00,BTCUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.002183266375303162,0.0014750478955707625,0.5973208551243234,24.83759715011704,0.0036762935538573326,0.03783802547991799,0.002,0.03583802547991799
2024-12-06 21:16:00+00:00,ETHUSDT,QH_PUBLIC_DELIVERY_8H,LONG,480,0.0016647830357297184,0.0014750478955707625,0.49926862162896923,24.83759715011704,0.002803245271422443,-0.008799912818201139,0.002,-0.010799912818201139
