scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
HSP-1727213220000000000-000005,HFF,HFF,LONG,LONG,1727213280000000000,2024-09-24,21,1727213340000000000,64079.8,64079.8,64041.2,64255.399999999994,CONFIRMED_LTF_BUYSIDE_LIQUIDITY,64057.7,27.31499999999978,23.352,100000.0,3000.0,128.4632566875028,0.6660687437509323,0.0007,,False,True,64079.97784772182,1727213340000000000,2728,7,64110.0,64000.0,30.099999999998545,79.90000000000146,0.7777777777776524,2.064599483203939,1.1019586307888993,2.925132710964748,-0.48987361540338453,-0.46575909363367524,,,64041.100000000006,1727213700000000000,2024-09-24,21,6.0,-3002.19388693,-0.0006067081954086061,-1.0007312956433334,STOP
HSP-1727260560000000000-000010,HFF,HFF,SHORT,SHORT,1727260680000000000,2024-09-25,10,1727260740000000000,63620.1,63653.9,63688.5,63376.0,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,63666.6,25.475,23.473,96997.80611307,2909.9341833921,123.96845012500349,1.5227993074822364,0.0007,,False,True,63653.78231159203,1727260740000000000,3518,54,63479.1,63710.7,174.6999999999971,56.900000000001455,5.0345821325641245,1.6397694524494033,6.85770363101068,2.2335623159961315,0.5202313163951503,0.689747834338303,1.72726344e+18,,63688.600000000006,1727263920000000000,2024-09-25,11,53.0,-2909.651018,-0.0005469853815997414,-0.9999026901042244,STOP
HSP-1727264700000000000-000011,HFF,HFF,SHORT,SHORT,1727264760000000000,2024-09-25,11,1727264820000000000,63688.5,63714.0,63809.100000000006,63479.100000000006,PRIOR_FAST_SELLSIDE_LIQUIDITY,63792.0,33.35499999999956,15.291,94088.15509507,2822.6446528521,184.5949401250035,0.7891052154591048,0.0007,,False,True,63713.9,1727264820000000000,3586,11,63688.4,63815.2,25.5,101.29999999999563,0.2678571428571306,1.0640756302520062,0.7645030730025584,3.0370259331433656,-0.4100322032052459,-0.34606371093780164,,,63809.2,1727265420000000000,2024-09-25,11,10.0,-2822.20130547,-0.0014957489652963581,-0.9998429319178905,STOP
HSP-1727272260000000000-000014,HFF,HFF,SHORT,SHORT,1727272320000000000,2024-09-25,13,1727272380000000000,63509.0,63548.3,63673.6,63243.2,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,63606.9,85.30000000000109,12.759,91265.9537896,2737.9786136879998,214.5841001250006,1.0072784976803753,0.0007,,False,True,63548.19999999999,1727272380000000000,3712,5,63509.1,63717.7,39.09999999999127,169.50000000000728,0.3118022328547731,1.3516746411482892,0.4583821805391649,1.9871043376319473,-0.4160026299619241,-0.23319579582484962,,,63673.7,1727272620000000000,2024-09-25,13,4.0,-2737.51145547,-0.001974878910811121,-0.9998293784269664,STOP
HSP-1727272860000000000-000015,HFF,HFF,SHORT,SHORT,1727273040000000000,2024-09-25,14,1727273100000000000,63698.7,63680.2,63824.99999999999,63358.1,PRIOR_FAST_SELLSIDE_LIQUIDITY,63748.1,64.27000000000044,11.336,88528.44233413,2655.8532700238998,234.28241012500786,0.994411786508809,0.0007,,False,True,63680.1,1727273100000000000,3724,5,63653.1,63827.2,27.0,147.09999999999854,0.18633540372671556,1.0151828847481328,0.42010269176909626,2.2887817021938313,-0.38181359817951693,-0.2660602644762805,,,63825.100000000006,1727273340000000000,2024-09-25,14,4.0,-2655.49926304,-0.0022770064745502483,-0.9998667068742482,STOP
HSP-1727274240000000000-000018,HFF,HFF,SHORT,SHORT,1727274420000000000,2024-09-25,14,1727274480000000000,63679.3,63734.6,63844.19999999999,63243.2,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,63819.9,64.55500000000066,12.936,85872.94307109,2576.1882921327,199.13393012500347,2.020326419246854,0.0007,,False,True,63734.5,1727274480000000000,3747,12,63609.6,63859.1,124.90000000000146,124.59999999999854,1.13855970829547,1.1358249772106666,1.9347842924637932,1.9301370924017855,-0.10033307727847568,0.17856891579290235,,,63844.3,1727275140000000000,2024-09-25,14,11.0,-2575.62434976,-0.0017227718111855104,-0.9997810942723315,STOP
HSP-1727276580000000000-000020,HFF,HFF,SHORT,SHORT,1727276760000000000,2024-09-25,15,1727276820000000000,63905.3,63919.9,63981.6,63660.0,PRIOR_FAST_SELLSIDE_LIQUIDITY,63888.3,52.130000000000294,16.498,83297.31872133,2498.9195616398997,151.45982012500204,1.1250117018452335,0.0007,,False,True,63919.80000000001,1727276820000000000,3786,29,63625.0,63960.0,294.8000000000102,40.199999999989814,4.770226537217892,0.6504854368931616,5.655093036639335,0.7711490504505963,1.1567263836403507,1.355598071030044,1.72727736e+18,1.7272785e+18,63660.1,1727278500000000000,2024-09-25,15,28.0,2811.16136686,0.004062903826357585,1.1249507227096152,TARGET
HSP-1727278740000000000-000021,HFF,HFF,SHORT,SHORT,1727278800000000000,2024-09-25,15,1727278860000000000,63778.1,63804.2,63850.59999999999,63613.799999999996,PRIOR_FAST_SELLSIDE_LIQUIDITY,63833.6,51.42500000000037,18.996,86108.48008819,2583.2544026457,135.9871301250064,0.7427717601448237,0.0007,,False,True,63804.1,1727278860000000000,3820,10,63607.1,63824.3,197.0,20.200000000004366,4.2365591397856095,0.4344086021506995,3.8308215848322527,0.39280505590674225,0.689053662018328,0.791340768064429,1.72727934e+18,,63613.9,1727279400000000000,2024-09-25,15,9.0,1918.7365704,0.0029809996536272294,0.7427594310629574,OTHER_EXIT
HSP-1727316180000000000-000033,HFF,HFF,SHORT,SHORT,1727316300000000000,2024-09-26,2,1727316360000000000,63065.3,63122.0,63181.799999999996,62869.9,PRIOR_FAST_SELLSIDE_LIQUIDITY,63157.1,42.784999999999854,17.79,88027.21665859,2640.8164997577,148.44143012500058,1.1028300513013392,0.0007,,False,True,63121.9,1727316360000000000,4445,14,63065.4,63183.7,56.5,61.799999999995634,0.9432387312187895,1.0317195325542845,1.320556269720701,1.4444314596236028,-0.4436414412373971,-0.21578281732415958,,,63181.9,1727317140000000000,2024-09-26,2,13.0,-2640.2612214,-0.0009505417295740464,-0.9997897323203824,STOP
HSP-1727322120000000000-000040,HFF,HFF,SHORT,SHORT,1727322300000000000,2024-09-26,3,1727322360000000000,63417.5,63443.9,63480.600000000006,63271.9,PRIOR_FAST_SELLSIDE_LIQUIDITY,63448.5,26.615000000000144,20.366,85386.95543719,2561.6086631157,125.77592012500205,0.6606903763249146,0.0007,,False,True,63443.80000000001,1727322360000000000,4545,5,63412.5,63510.0,31.300000000010186,66.19999999998981,0.8505434782612473,1.7989130434781975,1.1760285553263203,2.487319180912623,-0.7022077827950768,-0.45874766761909136,,,63480.700000000004,1727322600000000000,2024-09-26,3,4.0,-2560.9664569,-0.0005816171162508263,-0.9997492957355482,STOP
